"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",4086.103,4131.16,4003.77,4012.01001,600,4006.018066
"2017-01-04",4094.115,4231.32,4031.02,4204,800,4197.721191
"2017-01-05",4241.334,4256.357,4057.059,4051,400,4044.949951
"2017-01-06",4104.13,4123.458,4017.019,4012,400,4006.008057
"2017-01-09",4091.11,4091.11,3890.821,3894.090088,700,3888.273926
"2017-01-10",3970.93,3995.858,3875.288,3960.280029,700,3954.365479
"2017-01-11",3995.968,4056.058,3975.948,3991.98999,500,3986.027832
"2017-01-12",3996.97,4005.983,3830.872,3827,500,3821.283936
"2017-01-13",3847.747,3847.747,3705.534,3830,700,3824.279785
"2017-01-17",3795.819,3820.706,3720.567,3741.679932,400,3736.091553
"2017-01-18",3747.277,3747.277,3686.526,3739.98999,500,3734.404297
"2017-01-19",3755.609,3871.783,3725.514,3754.340088,600,3748.73291
"2017-01-20",3756.611,3844.732,3755.559,3765,400,3759.376953
"2017-01-23",3805.684,3843.741,3771.633,3802,200,3796.321533
"2017-01-24",3830.721,4001.977,3780.646,3994.5,500,3988.53418
"2017-01-25",4055.056,4055.056,3708.449,3731.310059,1700,3725.737305
"2017-01-26",3756.661,3832.724,3746.596,3788.600098,700,3782.94165
"2017-01-27",3850.751,3955.898,3809.5,3916.689941,300,3910.840332
"2017-01-30",3905.833,3905.833,3766.345,3824.959961,500,3819.247314
"2017-01-31",3804.682,3855.758,3721.558,3850,600,3844.250244
"2017-02-01",3925.863,4056.058,3868.948,3906,700,3900.16626
"2017-02-02",4000.975,4000.975,3833.826,3832.429932,200,3826.706299
"2017-02-03",3847.747,4050.049,3818.713,3997.75,500,3991.779297
"2017-02-06",4030.019,4030.019,3886.825,3890,300,3884.190186
"2017-02-07",3970.931,3970.931,3852.754,3847.050049,300,3841.304199
"2017-02-08",3889.809,3902.318,3726.565,3745,700,3739.406982
"2017-02-09",3788.142,3824.181,3759.11,3791.48999,400,3787.344482
"2017-02-10",3833.191,3839.198,3754.105,3820,400,3815.822998
"2017-02-13",3848.208,3954.324,3813.169,3950,600,3945.680908
"2017-02-14",3934.091,3953.463,3858.218,3900,400,3895.73584
"2017-02-15",3897.712,3974.996,3854.214,3970.649902,500,3966.308594
"2017-02-16",3974.186,3989.392,3879.442,3901,500,3896.734375
"2017-02-17",3923.29,3951.32,3754.105,3871.050049,600,3866.817383
"2017-02-21",3927.294,3947.316,3859.53,3913.98999,300,3909.710449
"2017-02-22",3916.282,3984.156,3895.269,3963.969971,500,3959.635742
"2017-02-23",3961.191,3969.34,3879.272,3944.51001,300,3940.197021
"2017-02-24",3819.176,3964.335,3804.16,3955,500,3950.675537
"2017-02-27",3920.287,3938.767,3804.46,3832.459961,1400,3828.269287
"2017-02-28",3812.218,3813.88,3593.99,3632.449951,3900,3628.478271
"2017-03-01",3700.936,3828.186,3679.023,3814,900,3809.829834
"2017-03-02",3749.099,3825.182,3729.107,3797.02002,400,3792.868408
"2017-03-03",3789.143,3889.242,3729.077,3884.560059,700,3880.312744
"2017-03-06",3879.242,3954.324,3814.17,3930.530029,800,3926.232422
"2017-03-07",3933.301,3973.334,3904.269,3934.540039,500,3930.238037
"2017-03-08",3973.244,4024.45,3930.297,3986,900,3981.641602
"2017-03-09",3984.356,4024.4,3829.187,3902.129883,500,3897.863525
"2017-03-10",3980.352,4009.384,3831.229,3868.76001,800,3864.530029
"2017-03-13",3872.995,3945.314,3854.214,3895,500,3890.741211
"2017-03-14",3904.259,3938.306,3854.224,3872.449951,400,3868.21582
"2017-03-15",3864.475,4028.895,3856.216,4019,500,4014.605713
"2017-03-16",4029.406,4069.45,4004.379,4040,600,4035.58252
"2017-03-17",4104.488,4250.878,4069.45,4162.5,4300,4157.94873
"2017-03-20",4199.592,4234.15,4061.751,4105,800,4100.511719
"2017-03-21",3979.351,4054.433,3955.875,3967.76001,700,3963.421631
"2017-03-22",4000.374,4042.53,3849.209,3871.330078,600,3867.097168
"2017-03-23",3934.302,4029.396,3868.24,3911,600,3906.723633
"2017-03-24",3972.343,3988.151,3849.209,3879,200,3874.758789
"2017-03-27",3880.243,3944.213,3804.159,3912.629883,300,3908.351807
"2017-03-28",3916.913,3985.277,3884.247,3980,200,3975.648193
"2017-03-29",3925.292,4004.379,3882.245,3984.790039,300,3980.432861
"2017-03-30",3914.28,4204.597,3904.269,4084.689941,500,4080.223877
"2017-03-31",3988.361,4245.633,3971.383,4169.459961,1100,4164.900879
"2017-04-03",4119.504,4164.554,3999.373,4025.530029,700,4021.128418
"2017-04-04",4024.3,4114.899,3999.373,4034.280029,600,4029.869141
"2017-04-05",4071.452,4104.488,3893.257,3940.199951,500,3935.891846
"2017-04-06",3954.324,4054.433,3904.279,3996.830078,600,3992.459961
"2017-04-07",3959.629,4046.424,3954.324,4010.070068,400,4005.685547
"2017-04-10",4029.406,4104.048,3979.351,4088.310059,500,4083.8396
"2017-04-11",4051.85,4078.98,4004.479,4038.949951,200,4034.533691
"2017-04-12",4068.919,4068.919,3980.352,3987.530029,200,3983.170166
"2017-04-13",3949.669,3994.367,3920.336,3933,200,3928.699707
"2017-04-17",3948.517,4054.433,3904.269,3981,400,3976.647217
"2017-04-18",3985.357,4077.458,3957.337,4063,300,4058.557617
"2017-04-19",4067.448,4170.721,4062.442,4166.160156,400,4161.604492
"2017-04-20",4184.576,4304.697,4164.574,4288,500,4283.311035
"2017-04-21",4304.707,4360.768,4164.553,4185,500,4180.424316
"2017-04-24",4289.69,4344.741,4249.646,4319.799805,300,4315.07666
"2017-04-25",4344.751,4354.762,4303.215,4317.600098,400,4312.878906
"2017-04-26",4322.326,4358.485,4170.569,4275.02002,600,4270.346191
"2017-04-27",4292.694,4332.597,4191.984,4249,300,4244.354004
"2017-04-28",4196.589,4252.65,4109.504,4234.009766,1000,4229.379883
"2017-05-01",4179.57,4295.697,4134.541,4173.439941,300,4168.876465
"2017-05-02",4241.638,4254.652,4138.525,4176.600098,600,4172.033203
"2017-05-03",4138.525,4164.554,4035.572,4031.159912,500,4026.752197
"2017-05-04",4012.587,4104.488,3916.793,3955.01001,600,3950.685547
"2017-05-05",4094.477,4094.477,3968.329,3970.51001,300,3966.168701
"2017-05-08",4004.378,4014.389,3964.335,4010,200,4005.615479
"2017-05-09",4029.406,4029.406,3964.535,3981.590088,300,3977.236572
"2017-05-10",3974.366,4003.217,3838.106,3835,800,3830.806885
"2017-05-11",3836.696,3892.225,3743.55,3741,500,3738.371582
"2017-05-12",3747.643,3826.188,3690.593,3763.25,500,3760.605957
"2017-05-15",3819.603,3875.723,3802.601,3829.290039,300,3826.599854
"2017-05-16",3832.793,3852.697,3702.651,3771.850098,400,3769.200195
"2017-05-17",3772.48,3822.656,3249.283,3695,800,3692.404053
"2017-05-18",3717.612,3851.496,3702.601,3806.01001,400,3803.335938
"2017-05-19",3899.74,3902.742,3777.654,3829.800049,700,3827.109375
"2017-05-22",3840.698,3902.732,3802.672,3865.040039,200,3862.324707
"2017-05-23",3882.728,3892.735,3851.156,3875.01001,300,3872.287598
"2017-05-24",3880.096,4001.771,3837.446,3920,400,3917.246094
"2017-05-25",3946.143,3982.798,3875.773,3902.219971,200,3899.478271
"2017-05-26",3939.768,4000.811,3932.653,3994.050049,600,3991.243896
"2017-05-30",3981.527,4047.844,3952.767,4021.25,600,4018.424805
"2017-05-31",4054.849,4086.571,3977.795,4049.51001,1500,4046.665039
"2017-06-01",4031.832,4102.882,3978.835,4100,700,4097.119629
"2017-06-02",4104.783,4195.948,4072.821,4128,800,4125.100098
"2017-06-05",4160.923,4164.926,4040.839,4065.51001,800,4062.653809
"2017-06-06",4081.868,4152.918,3927.77,4120.379883,700,4117.484863
"2017-06-07",4141.91,4203.953,4117.893,4185,700,4182.060059
"2017-06-08",4159.923,4251.987,4102.883,4158,600,4155.078613
