"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",273.445,277.384,273.01,274.540009,890200,271.804413
"2017-01-04",277.849,280.323,277.495,276.399994,632600,273.645905
"2017-01-05",276.384,280.081,274.717,276.179993,831900,273.42807
"2017-01-06",278.758,283.161,278.434,278.98999,777000,276.210083
"2017-01-09",281.788,282.293,280.02,278.76001,671000,275.982361
"2017-01-10",280.253,282.03,278.919,278.880005,877500,276.101166
"2017-01-11",280.404,287.182,280.404,283.76001,841100,280.932556
"2017-01-12",284.778,287.091,282.98,283.540009,649600,280.714752
"2017-01-13",286.616,288.192,283.626,285.100006,580100,282.259216
"2017-01-17",287.434,288.596,285.303,284.359985,739600,281.526581
"2017-01-18",287.586,290.252,286.02,286.959991,787700,284.100647
"2017-01-19",289.747,290.888,284.283,283.089996,1152800,280.269196
"2017-01-20",287.151,287.788,284.626,283.619995,915900,280.793945
"2017-01-23",286.485,288,285.828,284,1065200,281.170166
"2017-01-24",287.272,288.777,283.363,280.769989,1539500,277.972351
"2017-01-25",285.303,286.273,282.959,283.420013,2351600,280.595947
"2017-01-26",304.595,312.039,301.504,305,3013700,301.960907
"2017-01-27",307.888,313.12,306.656,305.200012,1501300,302.158905
"2017-01-30",307.716,309.837,305.353,304.829987,1165200,301.792572
"2017-01-31",305.807,307.959,303.201,303.809998,912700,300.782745
"2017-02-01",305.241,309.666,304.726,306.179993,770500,303.129181
"2017-02-02",309.827,310.453,306.625,303.859985,737900,300.832275
"2017-02-03",309.827,309.827,306.05,304,587600,300.970856
"2017-02-06",306.544,307.726,304.787,301.970001,585600,298.96109
"2017-02-07",305.868,307.039,304.545,302.049988,476900,299.040283
"2017-02-08",305.262,308.534,305.05,305.359985,431600,302.317291
"2017-02-09",308.837,310.06,308.171,306.48999,524900,303.436035
"2017-02-10",309.726,310.807,308.332,306.470001,406500,303.41629
"2017-02-13",310.09,312.797,309.08,309.619995,743900,306.534851
"2017-02-14",311.534,313.12,309.908,309.899994,815600,306.812073
"2017-02-15",312.332,313.221,310.413,309.910004,570300,306.821991
"2017-02-16",313.039,315.585,311.433,311.170013,588800,308.069427
"2017-02-17",314.383,315.312,313.696,311.350006,474400,308.24765
"2017-02-21",314.473,316.898,313.645,312.519989,583200,309.406006
"2017-02-22",314.989,316.483,314.019,312.459991,408700,309.346588
"2017-02-23",313.95,314.625,312.157,310.200012,364400,307.946808
"2017-02-24",311.029,314.938,311.029,312.649994,488100,310.379028
"2017-02-27",315.28,315.653,311.896,310.200012,349400,307.946808
"2017-02-28",311.533,312.55,309.75,308.540009,612200,306.298889
"2017-03-01",314.263,318.977,313.205,315.359985,837700,313.069336
"2017-03-02",316.841,317.003,314.605,312.970001,435500,310.696686
"2017-03-03",315.109,315.895,312.792,311.929993,386800,309.664246
"2017-03-06",313.467,315.079,312.651,311.309998,408100,309.048798
"2017-03-07",312.802,314.212,312.651,310.579987,419600,308.324066
"2017-03-08",312.268,317.798,311.694,311,681700,308.740997
"2017-03-09",312.903,314.041,312.137,310.209991,548400,307.956757
"2017-03-10",313.779,315.592,312.933,311.899994,398900,309.63446
"2017-03-13",313.769,314.716,312.439,311.890015,320500,309.624573
"2017-03-14",312.54,313.537,310.515,310.140015,429400,307.887268
"2017-03-15",312.782,315.431,311.885,312.600006,581800,310.329407
"2017-03-16",315.048,316.026,312.641,311.329987,448300,309.068604
"2017-03-17",314.958,316.197,314.081,313.380005,739400,311.103729
"2017-03-20",315.794,315.794,312.873,312.130005,383000,309.862823
"2017-03-21",313.91,315.582,309.861,307.950012,908700,305.713165
"2017-03-22",310.626,314.273,307.937,311.660004,590900,309.39621
"2017-03-23",313.215,315.542,311.472,310.75,470800,308.492828
"2017-03-24",313.225,314.444,310.596,309.450012,342700,307.202271
"2017-03-27",309.125,312.339,308.4,309.470001,631800,307.222137
"2017-03-28",311.472,314.253,311.291,310.940002,327100,308.681427
"2017-03-29",312.983,314.454,310.888,310.140015,587600,307.887268
"2017-03-30",312.359,313.96,311.563,310.209991,384000,307.956757
"2017-03-31",312.198,313.558,311.694,310.190002,280100,307.93689
"2017-04-03",312.167,314.051,308.289,308.609985,519200,306.368347
"2017-04-04",311.321,312.369,308.632,308.380005,517200,306.140045
"2017-04-05",310.636,314.515,309.518,309.279999,518500,307.033478
"2017-04-06",311.644,313.96,311.019,310.470001,404900,308.214874
"2017-04-07",313.134,315.673,312.762,313.070007,455800,310.79599
"2017-04-10",315.23,316.046,313.447,311.850006,253000,309.584839
"2017-04-11",312.852,314.847,311.765,312.399994,344600,310.130829
"2017-04-12",314.635,315.995,313.809,312.959991,498200,310.686768
"2017-04-13",314.253,315.24,310.556,308.350006,435700,306.11026
"2017-04-17",311.895,313.648,311.291,310.850006,342300,308.592133
"2017-04-18",312.067,313.83,311.916,311.070007,431700,308.810516
"2017-04-19",314.333,314.716,312.439,311.540009,645500,309.2771
"2017-04-20",323.47,327.892,319.511,324.019989,1621000,321.666443
"2017-04-21",325.807,327.549,324.447,324.600006,768900,322.242218
"2017-04-24",331.337,332.052,327.761,327.730011,669400,325.349518
"2017-04-25",332.415,333.855,330.42,331.179993,534500,328.774445
"2017-04-26",333.251,334.399,330.4,330.940002,613000,328.536194
"2017-04-27",333.664,338.841,332.415,335.570007,589900,333.132568
"2017-04-28",339.939,340.473,335.477,334.679993,715300,332.248993
"2017-05-01",335.719,338.519,334.983,332.549988,444800,330.134491
"2017-05-02",335.537,337.814,334.953,334.700012,440300,332.26889
"2017-05-03",338.499,339.798,334.6,334.179993,372100,331.752655
"2017-05-04",337.34,341.37,336.333,338.609985,773900,336.150421
"2017-05-05",341.964,342.044,338.67,338.23999,462400,335.783142
"2017-05-08",340.977,341.843,339.566,337.75,356000,335.296722
"2017-05-09",339.506,342.105,339.083,338.380005,361000,335.92215
"2017-05-10",340.886,341.46,339.093,337.700012,313500,335.247101
"2017-05-11",338.74,339.254,334.631,334.640015,395500,332.209351
"2017-05-12",337.038,338.237,336.011,334.049988,257000,331.623596
"2017-05-15",336.202,337.955,335.839,333.929993,406800,331.504425
"2017-05-16",336.474,339.395,336.051,336.880005,582300,334.433044
"2017-05-17",337.635,337.635,329.978,328.470001,707500,326.908966
"2017-05-18",329.566,334.289,328.461,331.220001,702100,329.645874
"2017-05-19",333.394,335.314,331.857,332.369995,517300,330.790405
"2017-05-22",335.515,335.515,331.204,331.450012,473000,329.874786
"2017-05-23",333.364,335.163,332.601,331.910004,454300,330.332611
"2017-05-24",333.495,336.087,332.209,332.779999,362100,331.198486
"2017-05-25",335.414,336.148,333.294,334.089996,527300,332.502228
"2017-05-26",335.113,337.022,334.64,334.950012,404800,333.358154
"2017-05-30",336.549,337.564,335.726,335.359985,454500,333.766205
"2017-05-31",337.243,337.604,332.52,331.769989,1035200,330.193237
"2017-06-01",334.098,340.87,333.314,338.940002,837100,337.329193
"2017-06-02",341.453,348.516,340.267,345.399994,735700,343.758484
"2017-06-05",346.929,347.009,342.558,342.26001,420500,340.633423
"2017-06-06",343.724,344.889,341.624,340.320007,612600,338.702637
"2017-06-07",342.799,343.292,339.735,340.26001,314100,338.642914
"2017-06-08",341.885,349.622,341.885,345.970001,882000,344.325775
"2017-06-09",347.954,356.323,347.954,352.910004,1284600,351.232819
"2017-06-12",354.193,355.721,347.913,347.940002,1164400,346.286407
"2017-06-13",350.837,355.851,350.275,353.25,608100,351.571167
"2017-06-14",356.273,356.333,349.39,352.690002,676400,351.013855
"2017-06-15",350.868,353.369,350.164,351.5,447400,349.829498
"2017-06-16",353.4,353.57,350.214,350.549988,870100,348.884003
