"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",51.83,53.09,51.3,52.5,1602800,52.5
"2017-01-04",52.95,55.8,52.72,54.84,2273200,54.84
"2017-01-05",54.63,55.17,53.75,54.560001,951500,54.560001
"2017-01-06",54.82,56.47,54.67,56.169998,1198800,56.169998
"2017-01-09",56.22,56.4,55.04,55.689999,1523700,55.689999
"2017-01-10",55.89,56.61,55.01,56.18,1159700,56.18
"2017-01-11",56.37,58.06,56.14,57.68,2814300,57.68
"2017-01-12",57.52,57.71,54.94,56.330002,4201000,56.330002
"2017-01-13",56.7,57.65,55.36,56.419998,3077200,56.419998
"2017-01-17",56.19,56.36,53.22,53.299999,2818400,53.299999
"2017-01-18",53.64,54.37,53.17,54.299999,1950900,54.299999
"2017-01-19",54.8,55.26,53.63,53.82,1649500,53.82
"2017-01-20",53.93,54.51,53.53,53.779999,1157800,53.779999
"2017-01-23",53.7,54.16,52.89,53.709999,1476300,53.709999
"2017-01-24",54.15,54.72,53.56,54.450001,1405300,54.450001
"2017-01-25",57.24,60,56.8,58.59,3754700,58.59
"2017-01-26",58.9,59.1,57.35,57.73,1308500,57.73
"2017-01-27",57.39,57.91,56.05,57.310001,1102500,57.310001
"2017-01-30",56.77,57.43,55.66,57.400002,916200,57.400002
"2017-01-31",56.92,57.89,55.82,57.860001,1469900,57.860001
"2017-02-01",58.01,58.33,57.05,58.139999,1363700,58.139999
"2017-02-02",57.6,58.44,57,58.169998,2071900,58.169998
"2017-02-03",59.2,60.88,59.2,60.580002,2122100,60.580002
"2017-02-06",60.39,60.54,59.73,60.189999,1029900,60.189999
"2017-02-07",60.26,61.34,60.26,61.009998,1911300,61.009998
"2017-02-08",60.8,61.36,60.2,61.27,1032300,61.27
"2017-02-09",61.47,63.23,61.32,62.810001,1706100,62.810001
"2017-02-10",63.1,63.45,62.4,62.650002,1205400,62.650002
"2017-02-13",62.92,62.96,61.36,62.080002,1243400,62.080002
"2017-02-14",62.21,62.21,61.61,61.93,1375800,61.93
"2017-02-15",61.86,63.23,61.67,63.169998,1656800,63.169998
"2017-02-16",63.24,63.78,62.1,62.860001,1597400,62.860001
"2017-02-17",62.93,64.39,62.72,64.370003,1257900,64.370003
"2017-02-21",64.5,65.34,64.27,64.949997,1844400,64.949997
"2017-02-22",65.18,66.46,64.38,64.980003,2576700,64.980003
"2017-02-23",64.99,65.36,64.01,64.900002,3095800,64.900002
"2017-02-24",61.47,64.61,61.01,62.799999,4657300,62.799999
