"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",68.615,69.234,68.087,68.220001,517800,67.221161
"2017-01-04",69.558,69.629,68.757,68.360001,521800,67.359116
"2017-01-05",69.427,69.68,68.96,68.300003,293900,67.299988
"2017-01-06",69.518,70.005,69.122,68.489998,438700,67.487206
"2017-01-09",69.569,70.37,69.244,69.040001,367000,68.02916
"2017-01-10",69.883,70.928,69.589,69.449997,336900,68.433151
"2017-01-11",70.573,70.797,69.893,69.160004,476800,68.1474
"2017-01-12",69.579,69.721,68.645,68.5,383700,67.497055
"2017-01-13",69.812,70.492,69.528,69.260002,237000,68.245941
"2017-01-17",69.802,70.847,69.589,69.790001,277300,68.768173
"2017-01-18",71.04,71.213,70.553,70.059998,407200,69.034218
"2017-01-19",71.121,71.558,70.492,69.739998,360700,68.71891
"2017-01-20",70.776,71.142,69.701,68.779999,344300,67.772964
"2017-01-23",69.711,70.614,69.366,68.989998,223600,67.979889
"2017-01-24",69.883,71.182,69.548,70.040001,437800,69.014519
"2017-01-25",71.142,71.71,71.101,70.580002,257200,69.546616
"2017-01-26",71.324,71.71,71.04,70.169998,232400,69.142609
"2017-01-27",71.456,71.872,71,70.269997,355900,69.241142
"2017-01-30",71.02,71.192,70.309,70.029999,321700,69.004669
"2017-01-31",71.04,72.096,70.888,70.830002,465900,69.792953
"2017-02-01",72.43,72.948,72.025,71.68,660700,70.630501
"2017-02-02",72.684,72.786,72.025,71.449997,384600,70.403862
"2017-02-03",72.826,73.324,72.42,72.169998,283700,71.113327
"2017-02-06",72.745,73.425,72.248,71.190002,606800,70.147682
"2017-02-07",67.996,69,66.382,66.32,2666200,65.348984
"2017-02-08",66.93,67.681,66.24,66.589996,2157600,65.615028
"2017-02-09",67.651,68.178,67.346,67.139999,1226200,66.156975
"2017-02-10",68.28,68.574,67.833,67.160004,662600,66.176689
"2017-02-13",68.462,68.939,67.996,67.910004,752600,66.915703
"2017-02-14",68.696,70.421,68.604,68.940002,1269600,67.930626
"2017-02-15",69.802,70.228,69.437,68.720001,496500,67.713844
"2017-02-16",69.883,69.903,69.021,68.440002,442000,67.437943
"2017-02-17",69.376,69.812,68.889,68.550003,674900,67.546333
"2017-02-21",69.599,70.979,69.508,69.809998,788400,68.787888
"2017-02-22",70.766,71.142,70.086,69.379997,357500,68.364182
"2017-02-23",70.665,70.766,69.934,69.410004,318200,68.393745
"2017-02-24",68.914,71.016,68.914,70.25,415000,69.501808
"2017-02-27",70.905,71.532,70.814,70.349998,502100,69.600746
"2017-02-28",70.865,71.421,70.4,70.129997,458900,69.383087
"2017-03-01",71.39,72.047,71.087,71.150002,667400,70.392227
"2017-03-02",71.835,71.876,71.35,70.660004,251200,69.907448
"2017-03-03",71.38,71.663,70.572,70.07,449800,69.32373
"2017-03-06",70.268,70.43,69.803,69.459999,490100,68.720222
"2017-03-07",69.965,69.985,69.52,68.910004,338600,68.176079
"2017-03-08",69.763,70.127,69.227,68.660004,305900,67.928749
"2017-03-09",69.611,69.682,69.106,68.779999,378300,68.047455
"2017-03-10",69.925,70.026,68.934,68.57,521300,67.839699
"2017-03-13",69.278,69.702,68.742,68.900002,480600,68.166183
"2017-03-14",69.338,69.551,68.611,68.419998,462100,67.691299
"2017-03-15",69.389,70.167,69.126,69.370003,594900,68.63118
"2017-03-16",70.38,70.38,69.157,68.57,592600,67.839699
"2017-03-17",69.237,69.793,69.167,68.720001,1186700,67.988106
"2017-03-20",69.46,69.632,68.843,68.599998,319900,67.869385
"2017-03-21",69.884,70.086,68.995,68.419998,344900,67.691299
"2017-03-22",69.167,69.379,68.671,68.349998,300600,67.62204
"2017-03-23",69.086,69.541,68.924,68.309998,183900,67.582474
"2017-03-24",69.167,69.682,68.874,68.629997,256400,67.899063
"2017-03-27",68.995,69.207,68.388,68.339996,305400,67.612152
"2017-03-28",68.681,69.177,68.388,67.919998,407900,67.196625
"2017-03-29",68.54,69.783,68.277,68.849998,690700,68.116714
"2017-03-30",69.419,70.612,69.328,69.480003,918000,68.740013
"2017-03-31",69.814,70.531,69.733,69.459999,437300,68.720222
"2017-04-03",70.501,71.006,70.198,69.900002,623800,69.15554
"2017-04-04",70.521,70.875,69.905,69.5,321000,68.759796
"2017-04-05",70.572,70.754,70.036,69.389999,306700,68.65097
"2017-04-06",70.208,70.804,69.854,70.029999,243900,69.284149
"2017-04-07",70.572,70.946,70.531,69.900002,303800,69.15554
"2017-04-10",70.713,70.915,70.278,69.720001,208500,68.977455
"2017-04-11",70.289,70.996,70.157,70.239998,309200,69.491913
"2017-04-12",71.259,71.299,70.147,69.720001,341600,68.977455
"2017-04-13",70.329,70.663,69.864,69.220001,250400,68.48278
"2017-04-17",70.228,70.784,70.016,70.019997,339500,69.274261
"2017-04-18",70.612,70.824,70.076,69.910004,185600,69.165428
"2017-04-19",70.935,71.532,70.774,70.529999,218500,69.778824
"2017-04-20",71.764,72.007,71.229,70.949997,369900,70.194351
"2017-04-21",71.592,71.754,71.047,70.440002,250900,69.689796
"2017-04-24",71.896,72.674,71.552,71.800003,291600,71.035301
"2017-04-25",72.765,73.462,72.27,72.290001,512600,71.520081
"2017-04-26",73.26,74.14,73.26,72.980003,327000,72.202736
"2017-04-27",73.887,74.756,73.634,73.870003,379100,73.08326
"2017-04-28",74.817,75.686,73.978,73.800003,605000,73.014008
"2017-05-01",74.968,75.514,74.291,74.169998,378400,73.380058
"2017-05-02",74.847,75.201,74.453,74.389999,505400,73.597717
"2017-05-03",75.777,76.646,75.251,75.260002,1151500,74.45845
"2017-05-04",76.232,76.495,75.686,75.25,407300,74.448563
"2017-05-05",76.464,76.636,75.929,75.709999,584200,74.903656
"2017-05-08",76.545,76.545,75.787,75.300003,651500,74.498032
"2017-05-09",75.888,78.334,75.888,75.919998,930700,75.111412
"2017-05-10",76.697,77.344,76.212,76.379997,667000,75.566521
"2017-05-11",76.859,76.859,75.605,75.190002,606200,74.389206
"2017-05-12",75.686,76.151,75.474,75,379000,74.201225
"2017-05-15",75.201,76.384,75.201,75.120003,304800,74.319946
"2017-05-16",76.171,76.353,75.605,75.260002,354900,74.45845
"2017-05-17",76.07,76.07,74.938,74.150002,487900,73.360275
"2017-05-18",74.877,75.696,74.645,74.620003,415500,73.825272
"2017-05-19",75.919,76.646,75.747,75.580002,397300,74.77504
"2017-05-22",76.464,77.111,76.464,75.849998,309200,75.042168
"2017-05-23",76.838,77.313,76.697,76.279999,416500,75.46759
"2017-05-24",76.879,77.687,76.879,76.669998,360300,75.853432
"2017-05-25",77.637,78.324,77.344,77.370003,430200,76.545982
"2017-05-26",77.869,78.213,77.657,77.099998,377900,76.278847
"2017-05-30",77.778,78.092,77.293,77.07,232000,76.249176
"2017-05-31",78.415,78.749,78.031,77.559998,344400,76.733955
"2017-06-01",78.84,80.204,78.617,79.260002,618300,78.415848
"2017-06-02",80.356,81.468,80.123,79.449997,687600,78.603828
"2017-06-05",80.002,80.808,79.509,79.059998,501800,78.494606
"2017-06-06",79.217,80.254,79.217,78.949997,469700,78.385399
"2017-06-07",79.67,79.972,79.428,79.019997,353000,78.454903
"2017-06-08",79.499,80.818,79.257,80.099998,437300,79.527176
"2017-06-09",80.737,81.301,79.791,79.779999,344100,79.209465
"2017-06-12",80.214,80.617,79.76,79.440002,486200,78.871902
