"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",36.568,37.117,36.008,36.209999,2551000,35.588593
"2017-01-04",36.995,38.511,36.913,37.779999,3852700,37.131645
"2017-01-05",38.531,39.142,38.216,37.990002,3516600,37.338047
"2017-01-06",38.602,38.836,37.412,36.77,2743600,36.138988
"2017-01-09",37.412,37.758,36.659,36.099998,2102000,35.48048
"2017-01-10",37.493,37.931,37.015,37.130001,3380900,36.492809
"2017-01-11",37.829,38.257,36.964,37.07,2950100,36.433834
"2017-01-12",36.812,37.239,36.13,35.740002,3586100,35.126663
"2017-01-13",36.395,36.954,36.201,35.830002,2467100,35.215118
"2017-01-17",36.405,36.639,35.988,35.610001,2718000,34.99889
"2017-01-18",36.252,38.002,35.845,37.27,5721600,36.630405
"2017-01-19",37.9,37.931,36.13,35.790001,2648800,35.175804
"2017-01-20",36.588,36.913,36.283,35.799999,2457800,35.185631
"2017-01-23",36.537,36.73,35.479,35.5,5410800,34.890778
"2017-01-24",36.944,37.514,36.476,36.25,4775100,35.627907
"2017-01-25",36.171,36.618,33.912,33.860001,11423300,33.278923
"2017-01-26",34.533,36.364,34.482,35.669998,9597400,35.057858
"2017-01-27",36.344,37.168,36.252,36.23,5447900,35.60825
"2017-01-30",36.659,36.679,34.94,35.16,4855500,34.556614
"2017-01-31",35.845,35.916,33.942,33.810001,6307700,33.229782
"2017-02-01",34.828,35.265,33.383,33.470001,5118200,32.895618
"2017-02-02",34.126,34.767,33.831,34.099998,4645500,33.514801
"2017-02-03",34.583,34.604,33.932,33.869999,3255900,33.288754
"2017-02-06",34.726,34.858,34.319,33.93,2741900,33.347721
"2017-02-07",34.929,35.174,34.177,33.66,3343800,33.082359
"2017-02-08",34.4,35.133,33.993,34.509998,3441000,33.917767
"2017-02-09",36.232,37.137,35.286,36.48,6230400,35.853962
"2017-02-10",37.493,37.677,37.117,36.57,5956700,35.942417
"2017-02-13",38.287,38.918,37.972,37.709999,3732100,37.062851
"2017-02-14",38.368,38.501,37.758,37.810001,3640800,37.16114
"2017-02-15",38.531,38.908,38.104,37.529999,3395400,36.885937
"2017-02-16",38.185,38.409,37.514,37.380001,2027700,36.738518
"2017-02-17",37.961,38.155,37.473,37.16,1994700,36.522293
"2017-02-21",38.572,38.664,38.043,37.59,2516400,36.944916
"2017-02-22",37.982,38.114,37.605,37.369999,2158500,36.728687
"2017-02-23",38.216,38.399,35.774,35.52,4115000,34.910439
"2017-02-24",35.601,36.466,35.438,35.59,2012900,34.979237
"2017-02-27",36.293,37.493,35.652,36.700001,3342400,36.070187
"2017-02-28",37.371,38.053,37.066,36.599998,3738900,35.971897
"2017-03-01",38.012,38.796,37.9,37.650002,4298500,37.003887
"2017-03-02",37.992,38.104,36.791,36.18,2506800,35.559109
"2017-03-03",36.913,37.249,36.435,36.16,2180600,35.539452
"2017-03-06",36.395,36.527,35.977,35.66,3009600,35.048031
"2017-03-07",36.161,36.537,34.604,34.099998,4943800,33.514801
"2017-03-08",34.807,35.286,34.624,34.5,3938600,33.90794
"2017-03-09",34.909,35.631,34.563,34.049999,2648800,33.465664
"2017-03-10",34.929,35.286,34.492,33.98,2106100,33.396866
"2017-03-13",35.011,35.387,34.563,34.400002,2221200,33.809658
"2017-03-14",34.461,35.347,34.238,34.650002,2887800,34.05537
"2017-03-15",35.53,36.323,35.082,35.650002,2650800,35.038204
"2017-03-16",37.819,37.819,35.815,35.43,3537200,34.82198
"2017-03-17",36.751,37.951,36.649,36.34,4930100,35.716366
"2017-03-20",37.015,37.229,36.476,36.41,1683800,35.785164
"2017-03-21",36.975,37.117,34.492,33.950001,6053400,33.367382
"2017-03-22",34.919,35.642,34.573,34.799999,2540800,34.202793
"2017-03-23",35.316,35.723,34.624,34.509998,2650400,33.917767
"2017-03-24",35.214,35.408,34.258,33.889999,2601600,33.308407
"2017-03-27",33.495,34.512,33.118,33.73,3501900,33.151157
"2017-03-28",34.339,35.408,34.339,34.68,2327100,34.08485
"2017-03-29",34.895,35.168,34.571,34.34,1740400,33.902214
"2017-03-30",34.743,35.381,34.743,34.549999,1548900,34.109535
"2017-03-31",35.087,35.503,34.53,34.759998,2201000,34.316856
"2017-04-03",35.26,35.766,34.925,35.029999,2160200,34.583408
"2017-04-04",35.28,35.999,35.229,35.310001,1837700,34.859844
"2017-04-05",36.05,36.546,34.48,34.099998,3161900,33.665264
"2017-04-06",34.571,35.239,34.297,34.490002,1790900,34.050301
"2017-04-07",34.52,35.989,34.449,35.240002,3902800,34.790737
"2017-04-10",35.422,35.695,34.783,34.75,1955800,34.306984
"2017-04-11",35.097,35.786,34.601,35.18,2282700,34.731506
"2017-04-12",34.794,35.118,34.044,33.84,2800600,33.408588
"2017-04-13",34.338,34.399,33.335,32.91,3145700,32.490444
"2017-04-17",33.335,33.669,32.758,32.740002,3199500,32.322609
"2017-04-18",32.737,33.649,32.565,32.669998,2362100,32.253498
"2017-04-19",33.416,33.922,33.001,32.700001,3368900,32.283119
"2017-04-20",33.912,35.563,33.517,34.91,6564300,34.464943
"2017-04-21",35.705,35.918,35.29,35.369999,4053200,34.919075
"2017-04-24",36.799,37.376,36.181,36.610001,4405900,36.143276
"2017-04-25",37.427,37.67,36.536,36.34,3354400,35.876713
"2017-04-26",35.655,37.366,35.574,36.59,3778100,36.123524
"2017-04-27",36.951,37.073,36.424,36.279999,2610500,35.817474
"2017-04-28",36.911,37.113,36.556,36.139999,1811000,35.679264
"2017-05-01",36.84,38.005,36.546,36.799999,3532400,36.330849
"2017-05-02",37.174,37.913,36.87,36.98,3249800,36.508556
"2017-05-03",37.204,37.336,35.989,35.68,2929500,35.225132
"2017-05-04",35.958,36.678,35.584,35.869999,2349800,35.412701
"2017-05-05",36.566,36.667,35.705,35.82,1989500,35.363338
"2017-05-08",36.07,36.283,35.725,35.68,1474100,35.225132
"2017-05-09",36.232,36.303,35.361,35.029999,1880300,34.583408
"2017-05-10",35.614,35.685,34.834,34.52,3840000,34.079914
"2017-05-11",35.016,35.047,34.155,34.119999,3468800,33.685017
"2017-05-12",34.186,34.611,34.155,34.139999,1771500,33.704758
"2017-05-15",34.996,35.087,34.55,34.549999,3948100,34.109535
"2017-05-16",35.199,35.918,34.662,35.09,2442200,34.642647
"2017-05-17",34.449,35.108,33.892,33.889999,3174900,33.457943
"2017-05-18",34.034,34.54,33.771,33.860001,2690300,33.428329
"2017-05-19",34.52,35.047,34.378,34.220001,2509000,33.783741
"2017-05-22",34.864,35.016,34.085,33.970001,2712300,33.536926
