"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",26.043,26.127,25.643,24.709999,873800,23.521503
"2017-01-04",26.074,26.563,26.016,25.139999,1570600,23.93082
"2017-01-05",26.337,26.988,26.263,25.620001,1258500,24.387735
"2017-01-06",26.757,26.988,26.694,25.440001,665600,24.216394
"2017-01-09",26.778,26.799,26.289,25.190001,726800,23.978418
"2017-01-10",26.505,26.662,26.263,25.110001,1383800,23.902267
"2017-01-11",26.452,26.736,26.274,25.09,1392900,23.883226
"2017-01-12",26.379,26.699,26.263,25.389999,1189600,24.168797
"2017-01-13",26.725,26.851,26.473,25.299999,843100,24.083126
"2017-01-17",26.746,27.146,26.568,25.84,1259900,24.597153
"2017-01-18",27.083,27.209,26.878,25.66,741000,24.425812
"2017-01-19",26.788,26.809,26.274,25.200001,1089500,23.987938
"2017-01-20",26.421,26.516,26.284,25.24,1107200,24.026012
"2017-01-23",26.631,26.999,26.4,25.58,1772300,24.349661
"2017-01-24",26.904,26.988,26.31,25.219999,1281100,24.006973
"2017-01-25",26.505,26.568,26.116,24.9,913600,23.702366
"2017-01-26",26.179,26.337,25.811,24.700001,1442100,23.511984
"2017-01-27",26.043,26.106,24.908,23.809999,3510600,22.664793
"2017-01-30",24.971,24.982,24.141,23.370001,3050500,22.245956
"2017-01-31",24.624,25.118,24.551,23.66,2541800,22.522007
"2017-02-01",24.708,24.908,24.057,23.190001,2524100,22.074614
"2017-02-02",24.446,24.761,24.374,23.559999,2241000,22.426817
"2017-02-03",24.971,25.139,24.645,23.889999,1759100,22.740946
"2017-02-06",25.15,25.207,24.919,23.950001,1252100,22.798059
"2017-02-07",25.213,25.381,25.15,24.049999,1165600,22.89325
"2017-02-08",25.36,25.717,25.36,24.370001,656400,23.197857
"2017-02-09",25.622,25.801,25.501,24.389999,874000,23.216896
"2017-02-10",25.927,26.043,25.7,24.73,1151500,23.540543
"2017-02-13",25.843,25.948,25.58,24.610001,1033600,23.426313
"2017-02-14",25.832,25.832,25.286,24.139999,1384100,22.978918
"2017-02-15",25.234,25.286,24.982,23.99,1787500,22.836132
"2017-02-16",25.265,25.591,25.265,24.299999,1168100,23.131224
"2017-02-17",25.622,25.643,25.192,24.209999,1292300,23.045553
"2017-02-21",25.454,25.875,25.192,24.59,1006100,23.407278
"2017-02-22",25.896,25.896,25.58,24.49,1160000,23.312086
"2017-02-23",25.896,25.969,25.517,24.700001,1168500,23.511984
"2017-02-24",25.927,26.337,25.759,25.02,1462500,23.816595
"2017-02-27",26.295,26.599,26.043,25.25,1253300,24.035532
"2017-02-28",26.379,26.463,26.116,24.91,1753700,23.711884
"2017-03-01",25.885,25.969,25.423,24.379999,1584000,23.207375
"2017-03-02",25.612,25.817,25.444,24.26,932800,23.093151
"2017-03-03",25.465,25.486,25.053,24.059999,989400,22.902767
"2017-03-06",25.213,25.213,24.866,23.809999,968500,22.664793
"2017-03-07",24.94,25.139,24.892,23.799999,584900,22.655272
"2017-03-08",24.813,24.887,24.215,23.08,735400,21.969904
"2017-03-09",24.246,24.514,23.637,22.530001,1024800,21.446358
"2017-03-10",23.9,24.152,23.521,22.48,1129500,21.398762
"2017-03-13",23.7,23.784,23.521,22.5,2384600,21.417801
"2017-03-14",23.7,23.879,23.395,22.67,1170100,21.579622
"2017-03-15",23.963,24.719,23.921,23.25,2227800,22.131727
"2017-03-16",24.414,24.729,24.32,23.26,1290600,22.141249
"2017-03-17",24.75,24.866,24.467,23.639999,3036500,22.50297
"2017-03-20",24.834,24.898,24.514,23.5,1023500,22.369705
"2017-03-21",24.687,25.024,24.666,23.76,1194600,22.617197
"2017-03-22",25.024,25.034,24.551,23.610001,2251400,22.474413
"2017-03-23",24.792,25.076,24.656,23.469999,1021900,22.341145
"2017-03-24",24.687,24.971,24.645,23.709999,1098400,22.569601
"2017-03-27",25.013,25.26,24.609,23.459999,1839700,22.331625
"2017-03-28",24.687,25.528,24.645,24.280001,9542700,23.112186
"2017-03-29",24.891,25.233,24.777,23.99,3538500,23.112186
"2017-03-30",24.787,25.005,24.631,24.08,2141900,23.198895
"2017-03-31",24.932,24.984,24.766,23.879999,2871200,23.00621
"2017-04-03",24.828,25.119,24.694,24.01,1568500,23.131454
"2017-04-04",24.87,25.057,24.766,24.110001,2342500,23.227797
"2017-04-05",25.057,25.098,24.891,24.110001,1831300,23.227797
"2017-04-06",25.015,25.565,24.901,24.620001,3054700,23.719137
"2017-04-07",25.586,25.752,25.431,24.5,2104100,23.603527
"2017-04-10",25.503,25.576,25.254,24.59,962500,23.690233
"2017-04-11",25.659,25.918,25.534,24.82,2062300,23.911816
"2017-04-12",25.763,26.022,25.638,24.879999,2068100,23.969618
"2017-04-13",25.804,26.001,25.763,24.889999,929900,23.979254
"2017-04-17",25.825,26.043,25.825,25.08,763000,24.162302
"2017-04-18",26.033,26.282,26.012,25.299999,1198100,24.37425
"2017-04-19",26.178,26.178,25.866,25.1,1504500,24.181572
"2017-04-20",25.97,26.053,25.69,25.09,1116800,24.171936
"2017-04-21",26.126,26.126,25.95,25.129999,750200,24.210472
"2017-04-24",26.116,26.225,25.379,24.790001,1597100,23.882915
"2017-04-25",25.617,25.815,25.607,24.809999,871200,23.902182
"2017-04-26",25.648,25.763,25.389,24.5,843000,23.603527
"2017-04-27",25.462,25.648,25.368,24.5,775200,23.603527
"2017-04-28",25.296,25.306,24.86,23.99,1212800,23.112186
"2017-05-01",24.912,25.109,24.756,23.969999,1205900,23.092916
"2017-05-02",24.953,25.005,24.496,23.709999,1991700,22.842434
"2017-05-03",24.694,24.745,24.008,23.129999,1709700,22.283653
"2017-05-04",23.925,24.008,21.756,21.129999,6946500,20.356834
"2017-05-05",21.995,22.119,21.497,20.91,8106900,20.144886
"2017-05-08",21.808,21.984,21.533,21.09,5634700,20.3183
"2017-05-09",21.829,21.953,21.092,20.360001,2693200,19.615013
"2017-05-10",21.081,21.445,20.967,20.299999,3536000,19.557205
"2017-05-11",21.071,21.071,20.469,19.93,3307600,19.200747
"2017-05-12",20.78,21.081,20.677,20.280001,3430200,19.537939
"2017-05-15",21.092,21.434,21.04,20.370001,2089000,19.624647
"2017-05-16",21.144,21.206,20.396,19.77,2809300,19.0466
"2017-05-17",20.552,20.78,20.52,19.91,3151600,19.181479
"2017-05-18",20.677,21.201,20.417,20.34,3763400,19.595745
"2017-05-19",21.029,21.351,20.863,20.43,3232700,19.682449
"2017-05-22",21.175,21.486,21.175,20.65,1852700,19.894398
"2017-05-23",21.517,21.6,21.222,20.5,962800,19.749887
"2017-05-24",21.299,21.575,21.279,20.76,1050800,20.000376
"2017-05-25",21.59,21.683,21.414,20.75,1240300,19.990742
"2017-05-26",21.59,21.652,21.33,20.559999,1039000,19.807692
"2017-05-30",21.382,21.569,21.341,20.6,1117900,19.84623
"2017-05-31",21.382,21.538,21.154,20.379999,1532700,19.634281
"2017-06-01",21.258,21.559,21.092,20.74,1904100,19.981108
"2017-06-02",21.652,21.891,21.59,20.940001,1917900,20.17379
"2017-06-05",21.611,21.642,21.227,20.559999,1025900,19.807692
"2017-06-06",21.445,21.507,21.029,20.33,1637900,19.586111
"2017-06-07",21.154,21.59,21.113,20.719999,1536900,19.961838
"2017-06-08",21.528,21.58,21.019,20.33,971200,19.586111
"2017-06-09",21.102,21.164,20.853,20.299999,1754500,19.557205
"2017-06-12",21.071,21.486,21.071,20.68,1262900,19.923302
"2017-06-13",21.445,21.507,21.19,20.700001,1454200,19.94257
"2017-06-14",22.275,22.275,21.372,20.73,1670300,19.971474
"2017-06-15",21.351,21.839,21.294,21.01,1827200,20.241228
"2017-06-16",21.849,21.933,21.58,21.120001,2145700,20.347202
"2017-06-19",21.881,21.943,21.455,20.719999,1161300,19.961838
"2017-06-20",21.611,21.632,21.289,20.629999,741200,19.87513
"2017-06-21",21.434,21.515,20.905,20.25,890000,19.509037
"2017-06-22",21.009,21.32,20.843,20.5,1892700,19.749887
"2017-06-23",21.279,21.683,21.185,20.77,2249300,20.01001
"2017-06-26",23.458,24.029,23.054,23.110001,9112200,22.264387
"2017-06-27",24.029,24.133,23.396,22.690001,7274400,21.859755
"2017-06-28",23.179,23.804,23.077,23.059999,4310100,22.503836
"2017-06-29",23.599,23.978,23.333,22.83,3365600,22.279385
"2017-06-30",23.517,23.599,22.954,22.450001,2498300,21.90855
"2017-07-03",23.097,23.589,23.077,23,1006600,22.445284
"2017-07-05",23.568,23.589,22.902,22.370001,2550200,21.830481
"2017-07-06",22.861,22.995,22.59,22.15,2077800,21.615784
"2017-07-07",22.749,22.841,22.574,22.26,1815400,21.723131
"2017-07-10",22.81,22.954,22.247,21.75,2344100,21.225431
"2017-07-11",22.318,22.585,22.124,22.02,1997700,21.48892
"2017-07-12",22.728,23.189,22.667,22.48,2265800,21.937826
"2017-07-13",23.077,23.548,22.954,22.950001,2001700,22.39649
"2017-07-14",23.63,23.937,23.599,23.07,2753100,22.513596
"2017-07-17",23.691,24.173,23.671,23.52,2082000,22.952744
"2017-07-18",24.05,24.071,23.681,23.23,2551800,22.669735
"2017-07-19",23.896,24.03,23.732,23.4,1947400,22.835636
"2017-07-20",24.132,24.357,23.968,23.4,1612100,22.835636
"2017-07-21",24.081,24.194,23.671,23.27,1248800,22.708773
"2017-07-24",23.876,23.942,23.62,23.24,1167200,22.679497
"2017-07-25",23.855,23.907,23.732,23.280001,1701600,22.718531
"2017-07-26",23.855,24.296,23.855,23.58,1455700,23.011295
"2017-07-27",24.132,24.634,23.917,23.73,1589700,23.157677
"2017-07-28",24.337,24.409,24.122,23.6,952200,23.030815
"2017-07-31",24.194,24.224,23.825,23.389999,1749800,22.825878
"2017-08-01",24.06,24.347,24.06,23.58,1711900,23.011295
"2017-08-02",24.153,24.204,23.784,23.4,1464000,22.835636
"2017-08-03",23.978,24.209,23.773,23.620001,1431500,23.050331
"2017-08-04",24.112,24.696,24.071,23.969999,1518100,23.39189
"2017-08-07",24.603,24.634,24.306,23.84,993700,23.265024
"2017-08-08",24.347,24.593,24.178,23.799999,2795200,23.22599
"2017-08-09",24.419,24.685,24.255,23.9,1021500,23.323578
"2017-08-10",24.48,24.665,24.409,23.860001,996900,23.284544
"2017-08-11",24.357,24.419,24.019,23.700001,1286400,23.128403
"2017-08-14",24.429,24.972,24.378,24.24,2032800,23.655376
"2017-08-15",24.808,25.126,24.388,24.51,2935100,23.918865
"2017-08-16",25.157,26.017,25.157,25.01,3613000,24.406807
"2017-08-17",25.628,25.951,25.608,25.07,2661900,24.465359
"2017-08-18",25.69,25.761,25.157,24.860001,2353200,24.260424
"2017-08-21",25.567,25.854,25.372,25.09,2253400,24.484879
"2017-08-22",25.669,25.761,25.346,24.790001,1147000,24.192114
"2017-08-23",25.403,25.69,25.321,24.93,883500,24.328737
"2017-08-24",25.618,25.782,25.433,24.82,892700,24.22139
"2017-08-25",25.515,25.802,25.464,25.030001,898800,24.426325
"2017-08-28",25.751,25.77,25.28,24.84,1134400,24.240908
"2017-08-29",25.454,25.587,25.372,24.84,941200,24.240908
"2017-08-30",25.454,25.7,25.321,25.08,1040600,24.475119
"2017-08-31",25.884,26.315,25.792,25.379999,1902500,24.767883
"2017-09-01",26.079,26.356,25.905,25.559999,1268300,24.943541
"2017-09-05",26.284,26.376,25.848,25.290001,1571800,24.680056
"2017-09-06",25.966,26.438,25.843,25.290001,1722100,24.680056
"2017-09-07",26.017,26.181,25.956,25.5,1169600,24.884989
"2017-09-08",26.038,26.386,26.038,25.719999,1194600,25.099682
"2017-09-11",26.356,26.673,26.335,25.889999,1477400,25.265581
"2017-09-12",26.643,26.786,26.222,25.719999,1493000,25.099682
"2017-09-13",26.417,26.535,26.212,25.700001,1341600,25.080166
"2017-09-14",26.335,26.643,26.222,25.93,1316700,25.304619
"2017-09-15",26.571,26.702,26.366,26.01,1312500,25.382689
"2017-09-18",26.653,26.786,26.294,25.74,2553300,25.119202
"2017-09-19",26.438,26.694,26.397,25.889999,1986400,25.265581
"2017-09-20",26.643,26.663,26.002,25.52,2211700,24.904507
"2017-09-21",26.089,26.489,26.048,25.51,2063700,24.894749
"2017-09-22",26.202,26.427,26.053,25.48,1109200,24.865471
"2017-09-25",26.171,26.366,26.053,25.459999,1304900,24.845953
"2017-09-26",26.151,26.356,26.079,25.549999,1165700,24.933783
"2017-09-27",26.13,26.14,25.638,25.08,2259800,24.475119
"2017-09-28",25.129,25.261,24.967,24.799999,1895000,24.504761
"2017-09-29",25.129,25.372,25.058,24.870001,1616100,24.573929
"2017-10-02",25.281,25.473,25.251,25.139999,1977500,24.840714
"2017-10-03",25.554,25.574,25.347,25.190001,1744500,24.89012
"2017-10-04",25.504,25.504,25.22,25.120001,1766000,24.820953
"2017-10-05",25.392,25.645,25.332,25.059999,1343900,24.761665
"2017-10-06",25.23,25.291,24.927,24.870001,1147600,24.573929
"2017-10-09",25.251,25.332,25.165,24.959999,1001000,24.662855
"2017-10-10",25.332,25.605,25.22,25,1661600,24.702381
"2017-10-11",25.301,25.585,25.301,25.110001,1344600,24.811071
"2017-10-12",25.433,25.605,25.266,25.299999,874800,24.998808
"2017-10-13",25.736,26.101,25.605,25.5,2185900,25.196428
"2017-10-16",25.777,26.187,25.635,25.77,1348000,25.463215
"2017-10-17",26.03,26.425,25.949,25.860001,1626000,25.552143
"2017-10-18",26.08,26.192,25.772,25.75,2252700,25.443453
"2017-10-19",26.03,26.263,25.817,25.639999,1836700,25.334761
"2017-10-20",25.858,25.898,25.413,25.309999,1775200,25.00869
"2017-10-23",25.686,25.686,25.291,25.059999,1695900,24.761665
"2017-10-24",25.321,25.574,25.271,25.01,1475600,24.712261
"2017-10-25",25.24,25.321,24.653,24.530001,1725300,24.237976
"2017-10-26",24.896,24.907,24.4,24.290001,2025400,24.000834
"2017-10-27",24.613,24.917,24.431,24.540001,988800,24.247858
"2017-10-30",24.836,25.23,24.775,24.549999,1515100,24.257736
"2017-10-31",24.927,25.028,24.653,24.690001,1176500,24.396072
"2017-11-01",24.998,25.109,24.831,24.700001,1474700,24.405952
"2017-11-02",25.504,25.726,25.058,25.23,2816600,24.929642
"2017-11-03",25.392,25.908,25.175,25.530001,2304600,25.226072
"2017-11-06",25.929,26.384,25.907,25.780001,1690200,25.473095
"2017-11-07",26.111,26.576,26.055,26.1,2041900,25.789286
"2017-11-08",26.414,26.667,26.318,26.110001,1764600,25.799168
"2017-11-09",26.313,26.566,26.212,25.940001,970700,25.631191
"2017-11-10",26.111,26.384,26.07,25.950001,810300,25.641071
"2017-11-13",26.364,26.617,26.323,26.17,1211400,25.858452
"2017-11-14",26.394,26.465,26.202,26.02,1198200,25.710238
"2017-11-15",26.313,26.394,26.091,25.790001,1432100,25.482977
"2017-11-16",26.08,26.273,25.939,25.889999,1133500,25.581785
"2017-11-17",26.212,26.617,26.161,26.25,920900,25.9375
"2017-11-20",26.495,26.556,26.263,25.98,618700,25.670713
"2017-11-21",26.283,26.662,26.283,26.25,913500,25.9375
"2017-11-22",26.374,26.9,26.374,26.370001,1470100,26.056072
"2017-11-24",26.688,26.769,26.323,26.120001,547200,25.809048
"2017-11-27",26.506,26.536,26.263,26.08,900100,25.769524
"2017-11-28",26.263,26.364,26.01,25.84,723300,25.532381
