"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",24.191,24.312,24.019,24.01,6176100,23.761017
"2017-01-04",24.332,24.656,24.191,24.219999,5506700,23.968838
"2017-01-05",24.454,24.979,24.393,24.65,7982800,24.394377
"2017-01-06",24.908,25.323,24.807,25.01,6615400,24.750647
"2017-01-09",25.333,25.363,25.222,24.99,4309000,24.730852
"2017-01-10",25.302,25.515,25.191,25.129999,3859900,24.8694
"2017-01-11",25.363,25.767,25.312,25.469999,3968100,25.205875
"2017-01-12",25.646,26,25.464,25.700001,4598000,25.433489
"2017-01-13",25.979,26.454,25.909,26.139999,5102700,25.868927
"2017-01-17",26.343,26.505,26.06,26.200001,6597500,25.928305
"2017-01-18",26.525,26.97,26.485,26.41,9641700,26.136127
"2017-01-19",26.727,26.96,26.656,26.559999,7631600,26.284571
"2017-01-20",26.98,27.111,26.848,26.65,5620100,26.37364
"2017-01-23",26.929,27.111,26.838,26.76,5430400,26.482498
"2017-01-24",27.03,27.748,27.03,27.35,6056800,27.06638
"2017-01-25",27.717,27.92,27.475,27.26,16575300,26.977312
"2017-01-26",27.596,27.717,27.333,27.209999,8121400,26.92783
"2017-01-27",27.576,27.697,27.414,27.35,6373100,27.06638
"2017-01-30",27.626,27.687,27.333,27.27,5014900,26.987209
"2017-01-31",27.404,27.849,27.283,27.549999,9917700,27.264303
"2017-02-01",27.94,27.99,27.243,27.25,12311300,26.967415
"2017-02-02",26.899,28.132,26.717,27.76,15998200,27.472128
"2017-02-03",28.162,28.819,27.96,28.41,6990600,28.115387
"2017-02-06",28.667,28.758,28.415,28.26,7386200,27.966944
"2017-02-07",28.637,28.9,28.455,28.440001,5406800,28.145077
"2017-02-08",28.698,29.011,28.576,28.610001,5696300,28.313313
"2017-02-09",28.92,29.445,28.819,28.99,6465400,28.689373
"2017-02-10",29.385,29.567,29.243,29.02,4720300,28.719063
"2017-02-13",29.405,29.658,29.314,29.059999,3748500,28.758648
"2017-02-14",29.324,29.415,28.839,28.68,6323900,28.382587
"2017-02-15",28.774,28.854,28.421,28.52,8520500,28.298246
"2017-02-16",28.512,28.854,28.189,28.469999,9734600,28.248634
"2017-02-17",28.683,29.056,28.552,28.799999,5580200,28.576069
"2017-02-21",28.995,29.419,28.925,28.809999,7516300,28.585991
"2017-02-22",29.026,29.147,28.784,28.6,7240500,28.377626
"2017-02-23",28.864,28.985,28.723,28.58,4043900,28.35778
"2017-02-24",28.864,29.066,28.623,28.84,3740800,28.615761
"2017-02-27",29.026,29.066,28.713,28.68,2732600,28.457003
"2017-02-28",28.844,28.945,28.643,28.57,3889800,28.347858
