"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",20.212,20.396,19.795,19.6,1867000,19.248703
"2017-01-04",19.927,20.294,19.856,19.870001,1319200,19.513865
"2017-01-05",20.172,20.253,19.662,19.43,1254200,19.081749
"2017-01-06",20.263,20.263,19.805,19.540001,1603800,19.189779
"2017-01-09",19.927,19.927,19.571,19.280001,1700300,18.934439
"2017-01-10",19.713,20.1,19.642,19.549999,1829000,19.199598
"2017-01-11",19.469,19.937,19.469,19.58,2150800,19.229061
"2017-01-12",19.846,19.856,19.377,19.309999,1795500,18.9639
"2017-01-13",19.897,20.253,19.764,19.559999,953500,19.209419
"2017-01-17",19.316,19.622,19.123,18.790001,1064000,18.45322
"2017-01-18",19.632,19.632,19.011,19.01,1293400,18.669277
"2017-01-19",19.815,19.815,18.603,18.450001,5032200,18.119314
"2017-01-20",18.634,18.97,18.532,18.530001,2129100,18.19788
"2017-01-23",18.726,18.929,18.583,18.43,971000,18.099674
"2017-01-24",18.889,19.357,18.777,18.889999,1311300,18.551428
"2017-01-25",19.52,19.622,19.398,19.129999,1395200,18.787127
"2017-01-26",19.489,19.612,19.357,19.16,1378100,18.816589
"2017-01-27",18.817,18.817,17.982,17.719999,3678000,17.402397
"2017-01-30",17.942,17.942,17.382,17.290001,2667500,16.980106
"2017-01-31",17.514,17.728,17.453,17.35,1750000,17.03903
"2017-02-01",17.931,18.064,17.341,17.08,1867000,16.773869
"2017-02-02",17.259,17.392,17.117,16.93,1984700,16.626556
"2017-02-03",17.544,17.677,17.382,17.299999,1655800,16.989925
"2017-02-06",17.331,17.707,17.331,17.16,1295600,16.852434
"2017-02-07",17.524,17.616,17.351,17.129999,1149200,16.822971
"2017-02-08",17.31,17.473,17.086,17.1,2062600,16.79351
"2017-02-09",17.494,17.87,17.412,17.440001,1862700,17.12742
"2017-02-10",17.901,17.921,17.677,17.379999,1819800,17.068491
"2017-02-13",17.641,17.864,17.611,17.4,1654900,17.162193
"2017-02-14",17.661,18.077,17.57,17.73,1467800,17.487682
"2017-02-15",18.158,18.3,17.986,17.879999,1604200,17.635632
"2017-02-16",18.067,18.097,17.834,17.84,1763700,17.59618
"2017-02-17",17.844,17.945,17.692,17.639999,1339500,17.398912
"2017-02-21",17.925,18.067,17.864,17.690001,1634800,17.448231
"2017-02-22",17.986,17.986,17.783,17.59,1864300,17.349596
