"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",104.424,105.86,103.251,102.610001,210900,101.466293
"2017-01-04",104.151,107.225,103.847,104.980003,244000,103.809883
"2017-01-05",105.85,106.72,104.161,103.169998,144400,102.02005
"2017-01-06",104.252,106.467,104.222,103.720001,167100,102.563919
"2017-01-09",104.515,104.96,103.645,103.239998,165100,102.089272
"2017-01-10",104.646,106.082,104.03,104.010002,340500,102.850693
"2017-01-11",105.546,105.88,101.724,101.660004,141600,100.526886
"2017-01-12",102.503,103.473,101.693,102.010002,108200,100.872978
"2017-01-13",103.494,104.363,102.482,101.389999,126800,100.259888
"2017-01-17",102.442,102.442,99.984,99.059998,192400,97.955849
"2017-01-18",101.178,101.39,99.792,99,312000,97.89653
"2017-01-19",99.893,100.915,98.71,98,250700,96.907677
"2017-01-20",99.418,99.863,98.852,98.019997,257100,96.92746
"2017-01-23",99.186,100.015,98.437,97.900002,190900,96.8088
"2017-01-24",98.912,99.964,97.982,97.949997,184400,96.858238
"2017-01-25",99.762,100.793,98.993,98.970001,180900,97.866859
"2017-01-26",100.015,100.551,99.256,98.919998,165400,97.817413
"2017-01-27",99.974,101.147,99.893,99.860001,115800,98.746941
"2017-01-30",100.672,100.975,99.853,99.120003,233800,98.015198
"2017-01-31",100.015,103.16,100.015,101.75,174700,100.615883
"2017-02-01",103.413,103.898,102.897,102.160004,183600,101.021309
"2017-02-02",102.988,103.21,101.855,101.580002,243900,100.447777
"2017-02-03",103.069,104.171,102.229,102.800003,217000,101.654175
"2017-02-06",103.352,103.504,101.137,100.900002,218900,99.77536
"2017-02-07",96.758,103.746,96.758,101.18,576900,100.052238
"2017-02-08",101.724,101.936,99.843,99.860001,335000,98.746941
"2017-02-09",102.138,104.98,102.138,103.550003,363800,102.395821
"2017-02-10",105.203,105.203,102.988,103.25,339000,102.099159
"2017-02-13",104.768,105.627,104.303,103.910004,264600,102.751801
"2017-02-14",104.839,106.062,104.141,104.519997,223900,103.354996
"2017-02-15",105.042,106.08,104.417,105.199997,166500,104.346893
"2017-02-16",106.352,106.352,104.417,105.010002,161300,104.15844
"2017-02-17",105.193,106.423,105.153,105.239998,194700,104.386559
"2017-02-21",106.302,106.645,104.659,105.410004,215700,104.555191
"2017-02-22",106.09,107.139,105.858,105.709999,192200,104.85276
"2017-02-23",106.917,107.29,105.768,106.339996,226400,105.477638
"2017-02-24",106.534,107.562,106.262,106.589996,135200,105.725616
"2017-02-27",107.381,108.439,107.179,107.440002,144600,106.568726
"2017-02-28",108.137,108.157,107.109,106.32,177300,105.457809
"2017-03-01",108.187,109.468,106.836,108.199997,234400,107.322563
"2017-03-02",109.034,109.034,107.461,106.75,100200,105.884323
"2017-03-03",107.784,108.389,107.512,107.300003,99300,106.429863
"2017-03-06",107.986,108.833,107.29,107.080002,145900,106.211647
"2017-03-07",107.986,108.097,106.887,106.699997,133200,105.834724
"2017-03-08",107.814,108.258,107.3,106.940002,108700,106.072784
"2017-03-09",107.562,108.53,107.34,107.139999,96000,106.271156
"2017-03-10",108.56,109.236,108.147,108.080002,133100,107.203545
"2017-03-13",108.822,108.822,107.824,107.239998,68900,106.370346
"2017-03-14",107.794,108.661,107.482,106.830002,105800,105.963676
"2017-03-15",108.046,109.105,107.038,107.5,423500,106.628242
"2017-03-16",108.238,108.238,104.84,104.510002,263600,103.662491
"2017-03-17",105.939,106.292,105.465,104.809998,350100,103.960052
"2017-03-20",105.576,105.576,104.276,103.970001,159700,103.126862
"2017-03-21",105.012,105.647,102.753,102.290001,174700,101.460487
"2017-03-22",103.005,103.802,102.673,102.550003,117100,101.718391
"2017-03-23",103.298,104.669,103.005,103.5,208400,102.660675
"2017-03-24",104.427,105.183,104.235,103.82,201200,102.978088
"2017-03-27",99.628,101.967,99.346,101.019997,277800,100.200783
"2017-03-28",101.634,101.957,100.465,100.010002,265500,99.19899
"2017-03-29",100.707,101.16,99.92,99.959999,247600,99.149376
"2017-03-30",100.797,102.098,100.374,101.040001,204800,100.220627
"2017-03-31",101.957,102.925,101.16,101.650002,185200,100.825676
"2017-04-03",102.713,102.713,101.433,100.870003,189900,100.05201
