"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",32.409,33.155,32.025,31.940001,1354400,31.665436
"2017-01-04",32.469,32.862,31.965,32.509998,1130900,32.230534
"2017-01-05",32.752,33.367,31.834,31.629999,1754000,31.358101
"2017-01-06",32.318,32.489,31.692,31.42,1546200,31.149906
"2017-01-09",31.682,31.955,31.198,31.27,812300,31.001198
"2017-01-10",31.955,32.721,31.571,31.82,809500,31.546467
"2017-01-11",32.217,32.348,31.864,32.049999,605400,31.774488
"2017-01-12",32.298,32.298,31.37,31.379999,918900,31.110249
"2017-01-13",31.874,32.449,31.874,31.98,607400,31.705091
"2017-01-17",32.378,32.378,31.45,31.459999,638700,31.189562
"2017-01-18",32.005,32.57,31.773,31.76,863600,31.486984
"2017-01-19",32.056,32.237,31.027,30.889999,1786500,30.624462
"2017-01-20",31.319,32.056,31.319,31.58,804500,31.308533
"2017-01-23",31.349,31.904,31.097,31.26,694700,30.991282
"2017-01-24",32.005,33.216,31.854,32.48,938200,32.200798
"2017-01-25",33.316,33.367,32.57,32.810001,4105800,32.527958
"2017-01-26",33.831,34.164,32.731,32.98,1439200,32.696495
"2017-01-27",33.216,33.73,33.054,33.110001,1490900,32.825375
"2017-01-30",32.953,32.953,31.531,31.790001,1390800,31.516726
"2017-01-31",32.005,32.479,31.571,31.799999,1070300,31.52664
"2017-02-01",32.378,32.772,32.005,32.09,1341800,31.814146
"2017-02-02",32.217,32.288,31.793,31.75,1550100,31.477072
"2017-02-03",32.399,33.044,32.368,32.650002,1106300,32.369335
"2017-02-06",32.62,32.772,31.894,31.719999,786300,31.447325
"2017-02-07",32.167,32.227,31.228,31.08,992100,30.812828
"2017-02-08",31.259,31.37,30.694,30.93,1403400,30.664118
"2017-02-09",31.198,31.874,31.178,31.32,759300,31.050766
"2017-02-10",31.874,32.883,31.743,32.549999,1769800,32.270191
"2017-02-13",33.165,33.518,32.691,32.419998,1303000,32.141308
"2017-02-14",32.509,33.034,32.126,32.41,1079100,32.131397
"2017-02-15",32.57,33.014,32.358,32.639999,976600,32.359417
"2017-02-16",32.883,33.014,32.096,32,1175600,31.72492
"2017-02-17",32.429,32.56,32.025,32,1098100,31.72492
"2017-02-21",32.368,32.509,32.126,32.130001,936400,31.853804
"2017-02-22",33.417,33.589,31.42,31.41,2400900,31.13999
"2017-02-23",31.471,31.803,29.998,29.91,2378900,29.652887
"2017-02-24",29.836,30.704,29.231,30.35,1589200,30.089104
"2017-02-27",30.906,31.501,30.583,31.1,1646300,30.832657
"2017-02-28",31.289,31.723,31.158,31.24,1917700,30.971453
"2017-03-01",32.378,33.044,32.106,32.580002,1862500,32.299938
"2017-03-02",32.62,32.883,32.066,31.809999,1397900,31.536552
"2017-03-03",32.066,32.58,31.945,32.279999,1180600,32.002514
"2017-03-06",32.136,32.63,32.025,32.200001,929200,31.923203
"2017-03-07",32.086,32.469,31.975,31.799999,1023400,31.52664
"2017-03-08",31.844,32.267,31.23,31.139999,1355500,30.950174
"2017-03-09",31.291,31.482,29.429,29.74,2768500,29.558708
"2017-03-10",30.385,30.637,29.52,30.25,1978700,30.065599
"2017-03-13",30.405,30.637,30.073,30.200001,1035100,30.015905
"2017-03-14",30.174,30.355,29.49,30.030001,1320900,29.846943
"2017-03-15",30.546,31.723,30.405,31.09,2282700,30.90048
"2017-03-16",31.351,31.613,30.506,30.370001,1099400,30.18487
"2017-03-17",30.747,31.814,30.737,31.15,2637100,30.960114
"2017-03-20",31.2,31.391,30.737,30.82,1244600,30.632126
"2017-03-21",31.301,31.472,29.771,29.860001,1658100,29.677979
"2017-03-22",29.872,30.204,29.6,29.709999,1208000,29.528891
"2017-03-23",29.832,30.315,29.661,29.93,915000,29.747553
"2017-03-24",30.264,30.496,29.802,30,1251500,29.817125
"2017-03-27",29.289,29.892,28.846,29.57,1367900,29.389746
"2017-03-28",29.731,30.204,29.731,29.940001,2840400,29.75749
"2017-03-29",30.083,31.17,29.953,30.780001,1555900,30.592371
"2017-03-30",30.969,31.754,30.828,31.389999,1717000,31.198652
"2017-03-31",31.472,31.794,31.341,31.4,1258500,31.20859
"2017-04-03",31.613,31.814,30.667,30.559999,1252800,30.373709
"2017-04-04",30.687,30.918,30.436,30.68,906100,30.492979
"2017-04-05",31.2,32.166,31.18,31.09,2242200,30.90048
"2017-04-06",31.452,32.88,31.331,32.380001,2033100,32.182617
"2017-04-07",32.599,33.112,32.438,32.52,1219100,32.321762
"2017-04-10",32.76,33.383,32.76,32.82,1214800,32.619938
"2017-04-11",32.961,33.223,32.518,33.009998,1091800,32.808777
"2017-04-12",32.84,32.981,31.844,31.77,1348600,31.576336
"2017-04-13",31.794,31.925,31.079,31.059999,1170000,30.870663
"2017-04-17",31.452,32.065,31.11,31.709999,2902700,31.516699
"2017-04-18",31.583,32.116,31.301,31.870001,988700,31.675728
"2017-04-19",32.267,32.85,32.126,32.110001,1365300,31.914265
"2017-04-20",32.478,32.77,32.086,32.450001,1380200,32.25219
"2017-04-21",32.428,32.79,32.146,32.450001,1197600,32.25219
"2017-04-24",33.152,33.474,32.911,33.09,1774400,32.88829
"2017-04-25",35.084,36.653,34.712,35.66,3655600,35.442619
"2017-04-26",35.788,36.342,35.718,35.630001,2096500,35.412804
"2017-04-27",35.818,36.14,35.667,35.610001,1380700,35.392929
"2017-04-28",35.064,35.476,34.621,34.98,2262800,34.766766
"2017-05-01",35.275,35.838,35.013,35.150002,1320300,34.935734
"2017-05-02",35.748,36.211,34.742,34.720001,2193600,34.508354
"2017-05-03",35.718,35.718,33.202,33.099998,3139200,32.898228
"2017-05-04",33.464,33.615,32.85,33.279999,1646400,33.077129
"2017-05-05",33.655,33.786,33.243,33.330002,1891400,33.126827
"2017-05-08",33.484,33.675,32.367,32.860001,1894000,32.659695
"2017-05-09",33.102,33.363,32.679,32.959999,1464200,32.759083
"2017-05-10",33.112,33.625,32.981,33.349998,1237200,33.146702
"2017-05-11",32.8,33.132,31.442,32.619999,2941300,32.421154
"2017-05-12",32.558,32.78,32.327,32.560001,2584200,32.361523
"2017-05-15",33.051,34.068,33.051,33.450001,1892400,33.246094
"2017-05-16",33.766,33.766,33.051,33.27,1438500,33.067192
"2017-05-17",33.474,33.474,32.086,31.92,1475000,31.72542
"2017-05-18",31.894,32.387,31.482,31.84,2414500,31.645908
"2017-05-19",32.478,33.263,32.237,32.720001,1671700,32.520546
"2017-05-22",33.202,33.635,32.961,33.150002,1705800,32.947926
"2017-05-23",33.384,34.058,32.709,33.799999,2608400,33.59396
"2017-05-24",34.017,34.239,33.716,33.740002,1531400,33.534328
"2017-05-25",34.128,34.229,32.971,32.810001,734900,32.609997
"2017-05-26",32.991,33.223,32.699,32.91,957500,32.709385
"2017-05-30",33.202,34.198,33.192,33.799999,1739200,33.59396
"2017-05-31",33.977,34.138,32.679,32.779999,1709300,32.580173
"2017-06-01",33.343,34.359,33.082,33.849998,1377800,33.643654
"2017-06-02",33.997,34.309,33.625,33.57,1041600,33.365364
"2017-06-05",33.645,33.977,33.484,33.450001,1041800,33.246094
"2017-06-06",33.363,34.188,33.062,33.759998,3582700,33.554203
"2017-06-07",33.866,34.439,33.696,33.869999,1458900,33.743492
"2017-06-08",33.887,35.131,33.796,34.630001,1942100,34.500656
"2017-06-09",34.92,37.299,34.92,36.09,2564400,35.955204
"2017-06-12",36.185,37.008,35.613,36.75,3275200,36.61274
"2017-06-13",36.998,37.671,36.948,37.189999,1450500,37.051094
"2017-06-14",37.339,37.57,35.934,36.200001,1871000,36.064793
"2017-06-15",34.981,36.376,34.86,35.299999,2318700,35.168152
"2017-06-16",35.442,35.784,35.151,35.450001,1846600,35.317593
"2017-06-19",36.265,37.089,36.025,36.830002,2473500,36.69244
"2017-06-20",36.476,36.536,35.894,35.830002,1107500,35.696175
"2017-06-21",35.894,35.894,34.649,34.599998,1498700,34.470764
"2017-06-22",34.73,35.191,34.338,34.77,1387800,34.640133
"2017-06-23",35.001,35.723,34.68,35.349998,2524600,35.217964
"2017-06-26",35.713,36.516,35.312,36.209999,1716400,36.074753
"2017-06-27",36.426,36.647,35.593,35.509998,1076400,35.377365
"2017-06-28",36.065,36.908,35.713,36.459999,924900,36.323818
"2017-06-29",36.667,37.55,35.764,36.419998,1451600,36.283966
"2017-06-30",36.767,38.042,36.767,37.5,1538200,37.359936
"2017-07-03",37.791,38.132,37.319,37.18,1464600,37.04113
"2017-07-05",37.37,37.962,37.259,37.68,1383700,37.539261
"2017-07-06",37.691,37.861,36.727,36.599998,1793800,36.463299
"2017-07-07",36.757,37.43,35.924,37.209999,1407700,37.071018
"2017-07-10",37.289,37.791,37.008,37.169998,1295300,37.031166
"2017-07-11",37.5,38.052,37.199,37.830002,1319300,37.688702
"2017-07-12",38.253,38.925,38.042,37.919998,1311200,37.778366
"2017-07-13",38.012,38.684,37.902,38.48,1235400,38.336277
"2017-07-14",38.705,39.186,38.594,38.709999,967400,38.565418
"2017-07-17",38.745,39.066,38.514,38.720001,1579400,38.575378
"2017-07-18",38.785,38.825,38.173,38.169998,1092900,38.027431
"2017-07-19",38.484,39.146,38.383,38.84,846200,38.694927
"2017-07-20",39.156,39.718,38.664,38.66,1265900,38.515602
"2017-07-21",38.514,38.715,37.982,38.43,930300,38.286461
"2017-07-24",38.624,39.086,38.574,38.84,1188000,38.694927
"2017-07-25",39.708,40.05,39.176,39.139999,1640000,38.993809
"2017-07-26",39.357,39.417,38.173,38.16,1405400,38.017471
"2017-07-27",38.514,38.875,38.243,38.720001,975700,38.575378
"2017-07-28",38.574,38.915,38.454,38.689999,978800,38.54549
"2017-07-31",39.016,39.819,39.016,39.369999,1790100,39.22295
"2017-08-01",39.136,39.708,38.875,38.889999,2311900,38.744743
"2017-08-02",39.829,40.391,36.988,37.599998,2968600,37.45956
"2017-08-03",37.952,39.487,37.912,39,1951900,38.854332
"2017-08-04",39.367,39.949,39.227,39.439999,1387100,39.292686
"2017-08-07",39.437,39.598,38.686,39.290001,1223900,39.222809
"2017-08-08",39.367,40.059,39.107,39.189999,964800,39.122978
"2017-08-09",39.017,39.127,38.426,38.75,1092200,38.683731
"2017-08-10",38.466,38.736,37.925,37.900002,2155100,37.83519
"2017-08-11",37.694,38.376,37.484,38.080002,2368900,38.014881
"2017-08-14",38.396,39.377,38.265,39.16,1668600,39.093033
