"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",19.885,19.958,19.667,19.030001,225700,18.316656
"2017-01-04",19.771,20.124,19.719,19.360001,194800,18.634287
"2017-01-05",19.979,20.135,19.844,19.16,162500,18.441782
"2017-01-06",19.958,20.052,19.771,19.17,187400,18.451408
"2017-01-09",19.802,19.802,19.553,18.91,193100,18.201153
"2017-01-10",19.709,19.854,19.584,19.059999,181100,18.34553
"2017-01-11",19.802,19.906,19.646,19.129999,209500,18.412905
"2017-01-12",19.802,19.875,19.418,18.74,101300,18.037525
"2017-01-13",19.532,19.969,19.532,18.879999,98400,18.172277
"2017-01-17",19.553,19.636,19.085,18.43,178700,17.739147
"2017-01-18",19.21,19.989,19.075,18.440001,160700,17.748772
"2017-01-19",19.065,19.137,18.857,18.24,116500,17.556271
"2017-01-20",18.93,19.085,18.878,18.25,65900,17.565893
"2017-01-23",18.878,19.023,18.826,18.25,71000,17.565893
"2017-01-24",19.013,19.117,18.93,18.299999,189900,17.614019
"2017-01-25",19.065,19.179,18.94,18.360001,181900,17.671772
"2017-01-26",19.013,19.22,18.919,18.4,101900,17.710272
"2017-01-27",19.22,19.22,18.982,18.35,61600,17.662146
"2017-01-30",18.94,18.94,18.68,18.02,91300,17.344515
"2017-01-31",18.504,18.587,17.818,17.49,388500,16.834385
"2017-02-01",18.192,18.379,17.693,17.09,326800,16.449377
"2017-02-02",17.766,17.808,17.527,17.02,220200,16.382
"2017-02-03",17.818,18.036,17.797,17.190001,197900,16.54563
"2017-02-06",17.849,17.943,17.693,17.07,121800,16.430126
"2017-02-07",17.704,17.756,17.641,16.99,167700,16.353127
"2017-02-08",17.548,17.735,17.423,17.02,195800,16.382
"2017-02-09",17.756,17.891,17.714,17.17,175500,16.526377
"2017-02-10",17.87,18.078,17.797,17.200001,138700,16.555254
"2017-02-13",18.005,18.182,17.963,17.32,238000,16.670755
"2017-02-14",17.911,18.223,17.911,17.459999,176700,16.805506
"2017-02-15",18.088,18.182,17.984,17.34,238500,16.690006
"2017-02-16",18.026,18.171,17.943,17.459999,145000,16.805506
"2017-02-17",17.984,18.171,17.818,17.389999,110700,16.738131
"2017-02-21",18.078,18.171,18.026,17.379999,141100,16.728504
"2017-02-22",18.067,18.098,17.776,17.299999,179700,16.651503
"2017-02-23",17.911,18.046,17.787,17.25,229000,16.603378
"2017-02-24",17.891,17.932,17.61,17.17,209100,16.526377
"2017-02-27",17.797,17.901,17.756,17.200001,187200,16.555254
"2017-02-28",17.849,17.859,17.641,16.99,185600,16.353127
"2017-03-01",17.839,18.005,17.714,17.209999,262700,16.564878
"2017-03-02",17.668,17.668,17.4,16.879999,226200,16.366119
"2017-03-03",17.472,17.647,17.41,17.059999,163200,16.540638
"2017-03-06",17.575,17.688,17.193,16.98,140500,16.463074
"2017-03-07",17.503,17.585,17.431,16.93,120200,16.414598
"2017-03-08",17.544,17.585,17.338,16.82,133100,16.307945
"2017-03-09",17.338,17.523,17.297,16.799999,140300,16.288553
"2017-03-10",17.358,17.575,17.235,16.790001,151400,16.27886
"2017-03-13",17.286,17.451,17.286,16.809999,1e+05,16.298252
"2017-03-14",17.276,17.41,17.224,16.799999,138100,16.288553
"2017-03-15",17.358,17.503,17.255,16.780001,152900,16.269165
"2017-03-16",17.4,17.596,17.4,16.91,183300,16.395205
"2017-03-17",17.451,18.38,17.297,17.379999,807900,16.850897
"2017-03-20",17.812,17.998,17.647,17.34,280100,16.812115
"2017-03-21",17.926,18.019,17.059,16.549999,212200,16.046165
"2017-03-22",16.936,17.08,16.719,16.41,193200,15.910428
"2017-03-23",16.822,17.09,16.822,16.4,249100,15.900731
"2017-03-24",17.008,17.142,16.936,16.48,109100,15.978297
"2017-03-27",16.801,16.977,16.43,16.4,133600,15.900731
"2017-03-28",16.915,17.162,16.688,16.549999,181300,16.046165
"2017-03-29",17.09,17.101,16.843,16.49,117600,15.987991
"2017-03-30",17.049,17.297,17.049,16.709999,168700,16.201296
"2017-03-31",17.224,17.328,17.121,16.620001,213000,16.114035
"2017-04-03",17.204,17.204,16.905,16.620001,3e+05,16.114035
"2017-04-04",17.121,17.266,16.905,16.690001,300100,16.181904
"2017-04-05",17.317,17.369,16.822,16.35,277400,15.852255
"2017-04-06",16.956,17.018,16.781,16.389999,154400,15.891035
"2017-04-07",16.863,16.977,16.781,16.43,186900,15.929819
"2017-04-10",16.956,17.008,16.791,16.360001,152000,15.861951
"2017-04-11",16.791,16.977,16.791,16.42,170400,15.920124
"2017-04-12",16.946,16.987,16.781,16.27,136900,15.774691
"2017-04-13",16.76,16.781,16.451,15.96,159700,15.474128
"2017-04-17",16.533,16.822,16.513,16.27,212900,15.774691
"2017-04-18",16.709,16.863,16.636,16.32,119500,15.823168
"2017-04-19",16.863,17.008,16.863,16.41,163700,15.910428
"2017-04-20",16.977,17.049,16.894,16.5,186800,15.997688
"2017-04-21",17.049,17.214,16.977,16.6,152100,16.094645
"2017-04-24",17.358,17.441,17.245,16.719999,134600,16.210989
"2017-04-25",17.338,17.462,17.183,16.68,136700,16.172209
"2017-04-26",17.235,17.472,17.173,16.77,151600,16.25947
"2017-04-27",17.328,17.369,17.121,16.73,154700,16.220684
"2017-04-28",17.317,17.358,16.956,16.540001,165900,16.03647
"2017-05-01",17.152,17.565,17.132,16.950001,223300,16.433989
"2017-05-02",17.647,17.812,17.173,16.700001,154300,16.191601
"2017-05-03",17.235,17.338,17.162,16.75,148300,16.240076
"2017-05-04",17.276,17.441,17.183,16.799999,97700,16.288553
"2017-05-05",17.338,17.389,17.07,16.790001,132200,16.27886
"2017-05-08",17.307,17.431,17.297,16.9,89400,16.385511
"2017-05-09",17.482,17.503,17.204,16.77,79100,16.25947
"2017-05-10",17.276,17.41,17.214,16.809999,132200,16.298252
"2017-05-11",17.266,17.276,17.08,16.58,87100,16.075253
"2017-05-12",17.039,17.132,16.832,16.459999,115200,15.958904
"2017-05-15",16.967,17.173,16.967,16.629999,94500,16.12373
"2017-05-16",17.173,17.183,16.905,16.610001,160300,16.10434
"2017-05-17",16.874,16.977,16.544,16.059999,115500,15.571082
"2017-05-18",16.533,16.791,16.533,16.139999,180500,15.648647
"2017-05-19",16.698,16.801,16.461,16.01,155000,15.522605
"2017-05-22",16.523,16.667,16.451,16.1,157000,15.609865
"2017-05-23",16.657,16.781,16.471,16.24,76000,15.745603
"2017-05-24",16.719,16.76,16.533,16.049999,86700,15.561387
"2017-05-25",16.554,16.606,16.451,16.01,105700,15.522605
"2017-05-26",16.451,16.482,16.306,15.91,219500,15.42565
"2017-05-30",16.348,16.43,16.121,15.74,180700,15.260825
"2017-05-31",16.224,16.245,16.08,15.62,385700,15.144478
"2017-06-01",16.141,16.544,16.09,16.01,155300,15.522605
"2017-06-02",16.451,16.523,16.286,15.81,280900,15.328694
"2017-06-05",16.265,16.265,15.327,15.52,186500,15.047523
"2017-06-06",15.956,16.059,15.811,15.49,189600,15.018435
"2017-06-07",15.807,15.878,15.684,15.44,284600,15.091743
"2017-06-08",15.796,16.154,15.714,15.61,170400,15.257909
"2017-06-09",16.032,16.431,16.021,15.95,214900,15.59024
"2017-06-12",16.308,16.512,16.103,15.84,213600,15.482721
"2017-06-13",16.246,16.461,16.195,15.96,139800,15.600015
"2017-06-14",16.267,16.451,16.134,16.07,153300,15.707533
"2017-06-15",16.308,16.492,16.236,15.94,146000,15.580465
"2017-06-16",16.287,16.318,16.103,15.74,425500,15.384976
"2017-06-19",16.206,16.369,16.134,15.82,121900,15.463172
"2017-06-20",16.124,16.134,15.919,15.59,135300,15.23836
"2017-06-21",15.96,15.96,15.633,15.33,161800,14.984224
"2017-06-22",15.684,15.858,15.622,15.3,164400,14.954901
"2017-06-23",15.735,15.858,15.653,15.43,667500,15.081969
"2017-06-26",15.847,16.011,15.755,15.52,170500,15.16994
"2017-06-27",15.919,16.001,15.786,15.48,157100,15.13084
"2017-06-28",15.858,15.991,15.817,15.48,249300,15.13084
"2017-06-29",15.909,15.96,15.674,15.49,219100,15.140615
"2017-06-30",15.858,15.909,15.766,15.47,225300,15.121067
"2017-07-03",15.919,16.492,15.868,16.040001,141600,15.678211
"2017-07-05",16.451,16.451,16.073,15.82,147600,15.463172
"2017-07-06",16.124,16.267,15.94,15.61,197300,15.257909
"2017-07-07",15.98,16.165,15.96,15.77,104600,15.414301
"2017-07-10",16.113,16.175,16.001,15.66,133000,15.306781
"2017-07-11",16.052,16.113,15.919,15.68,157900,15.326331
"2017-07-12",16.042,16.195,16.032,15.81,104900,15.453398
"2017-07-13",16.154,16.216,16.021,15.7,133300,15.34588
"2017-07-14",16.011,16.073,15.95,15.65,118600,15.297007
"2017-07-17",16.021,16.134,15.878,15.68,175900,15.326331
"2017-07-18",16.001,16.093,15.899,15.68,132700,15.326331
"2017-07-19",16.042,16.175,16.011,15.75,92800,15.394752
"2017-07-20",16.113,16.134,15.817,15.6,101000,15.248136
"2017-07-21",15.97,16.052,15.888,15.66,97400,15.306781
"2017-07-24",16.021,16.124,15.929,15.7,120500,15.34588
"2017-07-25",16.216,16.39,16.206,15.93,149100,15.570692
"2017-07-26",16.349,16.379,15.991,15.65,109700,15.297007
"2017-07-27",16.062,16.328,15.96,15.87,88200,15.512045
"2017-07-28",16.431,16.441,16.062,15.83,104300,15.472947
"2017-07-31",16.165,16.41,16.124,15.98,117300,15.619563
"2017-08-01",16.42,16.42,16.216,16.030001,124800,15.668437
"2017-08-02",16.41,16.41,16.144,15.8,126000,15.443624
"2017-08-03",16.113,16.206,16.032,15.7,83000,15.34588
"2017-08-04",16.113,16.134,15.95,15.68,51700,15.326331
"2017-08-07",16.032,16.062,15.807,15.59,705600,15.23836
"2017-08-08",15.94,16.124,15.837,15.51,140500,15.160165
"2017-08-09",15.786,15.858,15.663,15.4,118000,15.052646
"2017-08-10",15.674,15.735,15.561,15.22,144300,14.876706
"2017-08-11",15.633,15.643,15.285,14.99,123900,14.651894
"2017-08-14",15.489,15.878,15.448,15.4,145000,15.052646
"2017-08-15",15.796,15.827,15.663,15.34,102100,14.993999
"2017-08-16",15.755,15.909,15.674,15.44,119200,15.091743
"2017-08-17",15.796,15.868,15.459,15.12,177400,14.778961
"2017-08-18",15.479,15.561,15.397,15.13,74400,14.788735
"2017-08-21",15.5,15.52,15.346,15.11,93900,14.769187
"2017-08-22",15.571,15.612,15.367,15.05,91000,14.71054
"2017-08-23",15.336,15.581,15.305,15.13,94900,14.788735
"2017-08-24",15.51,15.581,15.387,15.1,65800,14.759413
"2017-08-25",15.53,15.694,15.52,15.33,81200,14.984224
"2017-08-28",15.674,15.786,15.489,15.19,90000,14.847383
"2017-08-29",15.428,15.541,15.367,15.16,65700,14.818059
"2017-08-30",15.581,15.735,15.52,15.35,132700,15.003774
"2017-08-31",15.807,15.837,15.643,15.38,192400,15.033096
"2017-09-01",15.766,15.858,15.735,15.46,137600,15.111292
"2017-09-05",15.796,15.796,15.377,15.08,128500,14.739863
"2017-09-06",15.459,15.52,15.315,15.05,169700,14.71054
"2017-09-07",15.408,15.418,15.101,14.84,155800,14.505277
"2017-09-08",14.877,15.16,14.847,14.86,159600,14.693143
"2017-09-11",15.13,15.241,15.11,15,125100,14.831572
"2017-09-12",15.14,15.231,15.13,15,229900,14.831572
"2017-09-13",15.14,15.211,15.089,15,225400,14.831572
"2017-09-14",15.16,15.201,15.11,14.96,302800,14.792021
"2017-09-15",15.13,15.17,14.968,14.92,855700,14.75247
"2017-09-18",15.17,15.504,15.1,15.27,292000,15.09854
"2017-09-19",15.464,15.716,15.322,15.42,167700,15.246856
"2017-09-20",15.605,15.949,15.605,15.67,144300,15.494048
"2017-09-21",15.858,15.939,15.696,15.62,92800,15.44461
"2017-09-22",15.737,15.787,15.646,15.59,101500,15.414947
"2017-09-25",15.777,15.959,15.747,15.73,134600,15.553374
"2017-09-26",15.959,16,15.828,15.74,186700,15.563262
"2017-09-27",16.01,16.242,15.838,16.040001,152700,15.859895
"2017-09-28",16.242,16.303,16.081,16.1,156800,15.919221
"2017-09-29",16.273,16.354,16.222,16.129999,106800,15.948882
"2017-10-02",16.293,16.333,16.131,16,312800,15.820343
"2017-10-03",16.222,16.242,16.05,15.95,231000,15.770905
"2017-10-04",16.161,16.161,15.888,15.73,136800,15.553374
