"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",75.332,75.685,74.06,73.919998,551600,73.231247
"2017-01-04",74.585,75.32,74.343,74.650002,462700,74.09478
"2017-01-05",75.189,75.3,74.232,74.190002,429900,73.638206
"2017-01-06",75.129,75.461,74.847,74.589996,329600,74.035233
"2017-01-09",74.413,74.917,74.373,73.910004,526200,73.360291
"2017-01-10",74.323,74.988,74.152,74.010002,529100,73.459541
"2017-01-11",73.98,74.575,73.89,73.75,861100,73.201469
"2017-01-12",73.97,74.152,73.204,73.400002,478100,72.85408
"2017-01-13",74.353,74.988,74.232,73.879997,313700,73.330505
"2017-01-17",74.051,74.061,73.295,73,380100,72.457054
"2017-01-18",74.031,74.524,73.426,73.809998,423900,73.261024
"2017-01-19",74.454,74.454,73.567,73.620003,356800,73.072449
"2017-01-20",74.293,74.827,74.051,73.989998,370000,73.43969
"2017-01-23",74.413,74.615,73.698,73.589996,311700,73.042656
"2017-01-24",74.524,75.139,74.464,74.260002,359500,73.707687
"2017-01-25",75.27,75.522,75.058,74.690002,441200,74.134483
"2017-01-26",75.068,75.804,75.068,74.860001,388700,74.303223
"2017-01-27",75.431,75.562,74.806,74.550003,269400,73.995529
"2017-01-30",74.706,74.706,74.111,74.050003,259000,73.499252
"2017-01-31",74.575,74.968,73.517,73.540001,500600,72.993042
"2017-02-01",74.645,75.099,74.01,73.540001,398300,72.993042
"2017-02-02",73.134,75.088,73.134,73.660004,443300,73.112144
"2017-02-03",75.048,75.451,74.605,74.25,493300,73.697746
"2017-02-06",74.504,75.078,74.323,74.389999,408000,73.836708
"2017-02-07",75.018,75.27,74.625,74.18,333000,73.628273
"2017-02-08",74.454,74.847,74.081,73.830002,668900,73.280884
"2017-02-09",74.645,75.28,74.343,74.449997,565000,73.896271
"2017-02-10",75.381,75.784,75.119,74.919998,437900,74.36277
"2017-02-13",75.844,76.68,75.774,75.860001,381800,75.295784
"2017-02-14",76.187,76.821,76.126,76.169998,335400,75.603477
"2017-02-15",76.952,77.627,76.69,76.989998,328900,76.417374
"2017-02-16",77.355,78.01,77.033,77.419998,411400,76.84417
"2017-02-17",77.658,77.909,77.083,77.120003,452500,76.54641
"2017-02-21",77.688,77.98,77.547,77.260002,409000,76.685371
"2017-02-22",77.446,78.302,77.295,77.510002,387800,76.933517
"2017-02-23",78.181,78.443,77.678,77.559998,273900,76.983131
"2017-02-24",77.557,78.222,77.446,77.550003,447700,76.973213
"2017-02-27",77.416,78.363,77.416,77.470001,341900,76.893806
