"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",45.151,45.31,43.404,35.939999,1398800,29.428045
"2017-01-04",44.162,45.065,43.783,36.84,1123400,30.164978
"2017-01-05",45.065,45.615,44.949,37.139999,899800,30.41062
"2017-01-06",45.493,46.201,45.224,37.560001,1187100,30.75452
"2017-01-09",47.166,47.166,45.163,37,1184100,30.295984
"2017-01-10",45.591,45.591,43.759,35.959999,1097900,29.444422
"2017-01-11",31.016,31.17,30.114,29.870001,2746200,29.132326
"2017-01-12",30.544,30.77,29.847,29.799999,1165400,29.064054
"2017-01-13",30.596,30.862,30.196,29.58,737500,28.849487
"2017-01-17",30.073,30.38,29.422,28.799999,954700,28.088749
"2017-01-18",29.56,29.908,29.304,28.98,570000,28.264303
"2017-01-19",29.775,29.939,29.334,28.870001,468500,28.157022
"2017-01-20",29.591,29.837,29.119,28.469999,975800,27.766901
"2017-01-23",29.314,29.847,29.037,28.73,1093700,28.020479
"2017-01-24",29.652,29.775,28.863,28.98,803800,28.264303
"2017-01-25",29.704,30.073,28.924,28.889999,1304600,28.176525
"2017-01-26",29.468,29.868,28.955,28.33,964300,27.63036
"2017-01-27",29.129,29.201,28.453,28.42,918200,27.718136
"2017-01-30",29.099,29.15,28.719,28.41,795500,27.708382
"2017-01-31",29.119,29.611,28.914,28.84,659100,28.127762
"2017-02-01",29.683,29.919,29.078,29.059999,1196200,28.342329
"2017-02-02",29.857,29.98,29.611,29.01,476800,28.293566
"2017-02-03",29.909,30.155,29.847,29.280001,457200,28.556896
"2017-02-06",29.888,30.237,29.816,29.280001,476600,28.556896
"2017-02-07",29.991,30.216,29.745,29.379999,494500,28.654423
"2017-02-08",30.103,30.103,29.704,29.07,497800,28.352083
"2017-02-09",29.806,30.739,29.663,29.620001,958200,28.8885
"2017-02-10",30.483,32.154,30.483,31.35,1728600,30.575775
"2017-02-13",32.093,32.8,32.031,31.98,1057800,31.190216
"2017-02-14",32.698,32.872,32.318,31.98,642200,31.190216
"2017-02-15",32.687,33.564,32.656,32.490002,1109000,31.687626
"2017-02-16",33.241,33.743,33.241,32.75,1120900,31.941198
"2017-02-17",33.528,33.846,33.2,32.970001,678000,32.155769
"2017-02-21",33.866,34.697,33.815,33.700001,764500,32.867741
"2017-02-22",35.63,36.03,35.271,34.810001,2803100,33.950329
"2017-02-23",35.825,35.989,35.435,34.689999,2088800,33.833286
"2017-02-24",35.251,35.527,35.148,34.450001,892200,33.59922
"2017-02-27",35.374,35.876,35.261,34.939999,1743100,34.077114
"2017-02-28",35.855,35.855,35.199,34.52,2755700,33.667488
"2017-03-01",38.86,41.013,37.568,37.380001,4769800,36.45686
"2017-03-02",38.111,38.111,36.85,36.82,1971400,35.910686
"2017-03-03",37.732,38.409,37.547,37.349998,1450900,36.427597
"2017-03-06",39.475,39.526,38.388,38.02,2066400,37.081055
"2017-03-07",39.054,40.121,38.819,39.09,2610500,38.124626
"2017-03-08",40.193,40.859,39.993,39.330002,1645700,38.3587
"2017-03-09",40.151,40.599,39.672,39.060001,3774900,38.339073
"2017-03-10",39.326,39.84,39.173,38.77,2012100,38.05442
"2017-03-13",39.53,39.783,38.521,37.98,1921100,37.278999
"2017-03-14",38.623,38.801,38.307,38.029999,795800,37.328079
"2017-03-15",38.715,39.178,38.511,38.43,2385300,37.720699
"2017-03-16",39.061,39.246,37.828,37.290001,2311000,36.601742
"2017-03-17",38.358,38.857,37.798,37.400002,2423800,36.709709
"2017-03-20",38.093,38.445,37.716,37.59,1612600,36.896202
"2017-03-21",38.541,38.643,37.92,37.299999,1328800,36.611553
"2017-03-22",37.859,38.45,37.726,37.700001,998000,37.004173
"2017-03-23",38.368,38.949,38.175,37.529999,741500,36.837307
"2017-03-24",38.276,38.511,37.787,37.259998,421800,36.572292
"2017-03-27",36.657,38.103,36.657,37.200001,1092700,36.513401
"2017-03-28",37.777,38.175,37.675,37.16,2068900,36.47414
"2017-03-29",37.91,38.511,37.614,37.279999,860200,36.591923
"2017-03-30",38.113,38.48,37.808,37.560001,745300,36.866756
"2017-03-31",38.022,38.48,37.91,37.27,798800,36.582108
"2017-04-03",37.849,38.389,37.767,37.360001,670100,36.670448
"2017-04-04",37.95,38.755,37.95,37.950001,926600,37.249557
"2017-04-05",39.03,39.117,38.19,37.57,725500,36.876568
"2017-04-06",38.246,38.664,37.95,37.860001,2360000,37.161221
"2017-04-07",38.613,38.684,38.195,37.490002,448000,36.79805
"2017-04-10",38.307,38.48,38.113,37.529999,698100,36.837307
"2017-04-11",38.134,38.552,38.052,37.720001,1117500,37.0238
"2017-04-12",38.287,38.715,37.91,37.32,412400,36.631184
"2017-04-13",37.971,38.246,37.838,37.299999,518300,36.611553
"2017-04-17",38.103,38.287,38.093,37.490002,874800,36.79805
"2017-04-18",38.042,38.45,37.706,37.700001,528700,37.004173
"2017-04-19",38.439,40.762,38.439,38.41,1628100,37.701065
"2017-04-20",38.602,39.193,38.348,38.119999,1148800,37.416416
"2017-04-21",38.898,38.959,37.94,37.349998,1147800,36.660625
"2017-04-24",38.602,38.602,37.237,36.630001,1428600,35.953922
"2017-04-25",37.38,37.614,37.105,36.549999,1244100,35.875393
"2017-04-26",37.227,37.706,36.932,36.720001,585100,36.042259
"2017-04-27",37.492,37.645,37.258,36.84,461100,36.160042
"2017-04-28",37.563,37.594,36.86,36.560001,443700,35.885216
"2017-05-01",39.733,40.61,38.99,38.75,3374400,38.03479
"2017-05-02",39.428,39.591,38.99,38.709999,1587600,37.995525
"2017-05-03",39.957,40.334,39.733,39.400002,2727600,38.672794
"2017-05-04",40.131,40.752,40.029,39.59,2126800,38.859283
"2017-05-05",40.284,41.262,40.049,40.290001,1453100,39.546368
"2017-05-08",43.534,43.849,42.688,42.400002,30885700,41.61742
"2017-05-09",43.197,43.452,42.943,42.200001,8269000,41.421112
"2017-05-10",42.851,43.228,42.561,41.82,4456000,41.04813
"2017-05-11",42.606,42.892,42.586,42.040001,7722400,41.264069
"2017-05-12",42.841,43.085,41.852,41.360001,9588400,40.596615
"2017-05-15",42.026,42.219,41.476,40.84,5350400,40.086216
"2017-05-16",41.761,41.893,40.63,40.220001,4224200,39.477657
"2017-05-17",40.823,41.017,40.447,39.740002,2439300,39.006523
"2017-05-18",40.111,40.496,40,39.889999,1527800,39.401623
"2017-05-19",40.445,40.789,40.253,40,2199900,39.510273
"2017-05-22",40.526,40.663,40.131,39.790001,1652400,39.302849
"2017-05-23",40.344,40.344,39.645,39.619999,2019500,39.134926
"2017-05-24",40.152,40.708,39.686,39.279999,1423400,38.799091
"2017-05-25",39.969,39.969,39.149,38.700001,1312600,38.226192
"2017-05-26",39.18,39.473,39.028,38.84,827600,38.364479
"2017-05-30",39.281,39.433,38.4,38.02,2686500,37.554516
"2017-05-31",38.471,38.744,38.056,38.200001,1451600,37.732311
"2017-06-01",38.704,39.291,38.451,38.41,1493200,37.939739
"2017-06-02",38.704,39.321,38.36,38.669998,712800,38.196556
"2017-06-05",39.078,39.22,38.856,38.5,907200,38.028641
"2017-06-06",38.835,39.504,38.765,38.84,698300,38.364479
"2017-06-07",39.382,40.081,39.18,39.18,1347200,38.700317
"2017-06-08",39.686,39.828,39.453,39.169998,330400,38.690434
"2017-06-09",39.666,39.909,39.473,39.110001,774600,38.631172
"2017-06-12",39.595,40.202,39.119,38.799999,1235800,38.324966
"2017-06-13",39.332,39.817,39.22,39.310001,761900,38.828724
"2017-06-14",39.736,39.817,39.392,39.040001,481800,38.562031
"2017-06-15",39.413,42.399,39.2,41.119999,10559800,40.616562
"2017-06-16",41.63,41.812,41.417,41.080002,3612600,40.577057
"2017-06-19",41.528,41.579,41.225,40.98,1860000,40.478279
"2017-06-20",41.458,41.589,41.073,40.619999,1199800,40.122681
"2017-06-21",41.255,41.255,40.911,40.669998,1156100,40.17207
"2017-06-22",41.275,41.346,40.972,40.599998,592800,40.102928
"2017-06-23",41.103,41.458,40.931,40.830002,1376900,40.330116
"2017-06-26",41.417,41.569,41.184,40.84,3004300,40.339993
"2017-06-27",41.356,41.508,41.169,40.700001,496800,40.201706
"2017-06-28",41.356,41.771,41.225,41.02,1987300,40.517784
"2017-06-29",41.528,41.609,41.245,40.919998,1822300,40.419006
"2017-06-30",41.478,41.508,41.215,40.77,1711500,40.270847
"2017-07-03",41.346,41.62,41.255,40.889999,238200,40.389378
"2017-07-05",41.377,41.521,41.184,40.77,1067100,40.270847
"2017-07-06",41.204,41.508,41.053,40.82,814700,40.320232
"2017-07-07",41.346,41.468,41.215,40.84,460600,40.339993
"2017-07-10",41.336,41.468,41.194,40.849998,700900,40.349865
"2017-07-11",41.397,41.64,41.225,40.950001,400900,40.448647
"2017-07-12",41.559,41.704,41.397,40.939999,666300,40.438766
"2017-07-13",41.458,41.69,41.397,41.029999,336500,40.527664
"2017-07-14",41.528,41.903,41.528,41.349998,954100,40.843746
"2017-07-17",41.863,41.954,41.711,41.310001,761100,40.804237
"2017-07-18",41.812,41.883,41.609,41.34,274900,40.83387
"2017-07-19",41.964,42.116,41.863,41.400002,284300,40.893135
"2017-07-20",42.004,42.136,41.832,41.450001,1160000,40.942524
"2017-07-21",41.923,42.131,41.923,41.450001,562300,40.942524
"2017-07-24",41.954,42.217,41.863,41.599998,998700,41.090683
"2017-07-25",42.197,42.308,42.035,41.700001,1048900,41.189461
"2017-07-26",42.217,42.541,42.197,42,890600,41.48579
"2017-07-27",42.622,42.713,42.46,42.09,1153200,41.574688
"2017-07-28",42.521,42.753,42.5,42.23,1790400,41.712975
"2017-07-31",42.915,42.915,42.298,42.150002,686800,41.633953
"2017-08-01",42.733,42.774,42.45,42.169998,448000,41.653706
"2017-08-02",42.672,42.758,42.176,42.049999,870300,41.535175
"2017-08-03",41.913,41.913,40.577,40.529999,7371200,40.033787
"2017-08-04",41.002,41.377,40.85,40.799999,1741700,40.30048
"2017-08-07",41.316,41.508,41.063,40.59,1284400,40.093052
"2017-08-08",41.063,41.407,40.997,40.869999,573000,40.369621
"2017-08-09",41.377,41.377,40.901,40.59,534700,40.093052
"2017-08-10",40.951,41.093,40.779,40.400002,784600,39.90538
"2017-08-11",40.749,41.022,40.698,40.459999,644500,39.964642
"2017-08-14",41.063,41.134,40.516,40.09,880200,39.599174
"2017-08-15",40.678,40.759,40.233,39.810001,786300,39.322601
"2017-08-16",40.344,40.789,40.172,40.220001,3264500,39.727581
"2017-08-17",40.214,40.606,40.148,40.09,1506900,39.846855
"2017-08-18",40.345,40.395,40.164,39.950001,598100,39.707703
"2017-08-21",40.174,40.234,39.902,39.93,404500,39.687824
"2017-08-22",40.284,40.395,40.023,39.970001,382100,39.727581
"2017-08-23",40.143,40.355,40.013,39.84,852900,39.59837
"2017-08-24",40.164,40.264,40.053,39.830002,777000,39.588432
"2017-08-25",40.204,40.4,40.184,40.02,897900,39.777279
"2017-08-28",40.304,40.425,40.043,40,2067400,39.757401
"2017-08-29",40.113,40.214,40.043,39.860001,553300,39.618248
"2017-08-30",40.133,41.079,39.952,40.560001,1825900,40.314003
"2017-08-31",40.858,40.898,40.274,40.07,1039900,39.826973
"2017-09-01",40.445,40.737,40.335,40.369999,745300,40.125153
"2017-09-05",40.435,40.752,40.212,40.209999,456300,39.966125
"2017-09-06",40.576,40.576,40.254,40.09,620600,39.846855
"2017-09-07",40.345,40.405,39.962,39.810001,689900,39.568554
"2017-09-08",40.033,40.133,39.892,39.799999,429600,39.558613
"2017-09-11",40.143,40.294,39.842,39.689999,761600,39.44928
"2017-09-12",40.023,40.143,39.912,39.810001,383000,39.568554
"2017-09-13",40.043,40.315,39.962,39.869999,1978700,39.628185
"2017-09-14",40.113,40.154,39.832,39.709999,2053300,39.469158
"2017-09-15",39.993,40.294,39.917,40.049999,1127400,39.807095
"2017-09-18",40.294,40.687,40.222,40.34,606700,40.095337
"2017-09-19",40.626,41.039,40.405,40.790001,386300,40.54261
"2017-09-20",40.818,40.818,40.264,40.139999,1485800,39.896549
"2017-09-21",40.465,40.606,40.214,40.330002,536500,40.0854
"2017-09-22",40.405,40.797,40.395,40.540001,1978800,40.294125
"2017-09-25",40.807,41.15,40.657,40.580002,819400,40.333885
"2017-09-26",40.838,41.009,40.787,40.700001,811700,40.453156
"2017-09-27",41.009,41.049,40.777,40.59,842300,40.343822
"2017-09-28",40.797,41.17,40.737,40.779999,739700,40.532669
"2017-09-29",41.019,41.381,40.928,40.860001,2717700,40.612183
"2017-10-02",41.18,41.366,40.345,40.439999,2290500,40.194729
"2017-10-03",40.828,41.049,40.647,40.799999,978300,40.552547
"2017-10-04",41.019,41.497,41.019,41.23,1022100,40.979939
"2017-10-05",41.562,41.562,41.331,41.189999,793900,40.940182
"2017-10-06",41.381,41.472,41.2,41.080002,1005400,40.830853
"2017-10-09",41.24,41.351,40.958,40.779999,489500,40.532669
"2017-10-10",41.119,41.17,40.938,40.77,334300,40.522732
"2017-10-11",41.049,41.185,41.004,40.880001,171000,40.632065
"2017-10-12",41.079,41.16,40.712,40.599998,471600,40.35376
"2017-10-13",40.888,41.351,40.727,40.860001,1631800,40.612183
"2017-10-16",41.099,41.229,40.737,40.709999,727900,40.463093
"2017-10-17",40.999,41.109,40.807,40.75,520700,40.50285
"2017-10-18",41.079,41.22,40.938,40.75,1136400,40.50285
"2017-10-19",40.898,41.119,40.647,40.57,950900,40.323944
"2017-10-20",40.797,41.2,40.782,40.73,522000,40.482971
"2017-10-23",41.039,41.039,40.797,40.549999,202900,40.304062
"2017-10-24",40.878,41.029,40.838,40.75,594400,40.50285
"2017-10-25",41.039,41.089,40.838,40.709999,630700,40.463093
"2017-10-26",40.979,41.321,40.697,40.91,270800,40.66188
"2017-10-27",41.109,41.24,40.797,40.779999,436200,40.532669
"2017-10-30",40.958,41.27,40.777,40.919998,732500,40.671818
"2017-10-31",41.109,41.3,41.109,40.93,411400,40.681759
"2017-11-01",41.119,41.18,40.677,40.790001,804400,40.54261
"2017-11-02",40.958,41.094,40.677,40.689999,921100,40.443214
"2017-11-03",40.898,40.898,40.596,40.549999,498600,40.304062
"2017-11-06",40.858,40.868,40.486,40.439999,435000,40.194729
"2017-11-07",40.797,41.099,40.747,40.57,428700,40.323944
"2017-11-08",40.767,40.958,40.355,40.259998,854400,40.01582
"2017-11-09",40.486,41.17,40.486,40.82,450300,40.572426
"2017-11-10",41.15,41.361,40.938,41,685400,40.751335
"2017-11-13",41.25,41.275,41.039,40.799999,634300,40.552547
"2017-11-14",41.039,41.321,41.009,40.950001,381400,40.701637
"2017-11-15",41.059,41.23,41.019,40.860001,471400,40.612183
"2017-11-16",41.069,41.562,41.069,41.220001,535800,40.970001
"2017-11-17",41.05,41.25,40.9,41.18,1182400,41.18
"2017-11-20",41.25,41.29,41.08,41.27,532600,41.27
"2017-11-21",41.18,41.21,40.97,41.049999,1125000,41.049999
"2017-11-22",41.05,41.29,40.98,41.16,595900,41.16
"2017-11-24",41.25,41.28,41.11,41.169998,156900,41.169998
"2017-11-27",41.45,41.55,41.18,41.200001,789800,41.200001
"2017-11-28",41.2,41.38,40.96,41.200001,712600,41.200001
"2017-11-29",41.25,41.6,41.2,41.290001,757500,41.290001
"2017-11-30",41,41.41,40.95,41.200001,4025300,41.200001
"2017-12-01",41.18,41.34,41.065,41.150002,1215300,41.150002
"2017-12-04",41.25,41.6,41.23,41.540001,1600600,41.540001
"2017-12-05",41.6,41.6,41.16,41.169998,699700,41.169998
"2017-12-06",41.1,41.43,41.01,41.220001,1480200,41.220001
"2017-12-07",41.16,41.79,41.14,41.560001,1095100,41.560001
"2017-12-08",41.65,41.76,41.48,41.740002,1117600,41.740002
"2017-12-11",41.76,41.94,41.53,41.75,1345600,41.75
"2017-12-12",41.75,41.84,41.66,41.689999,1548100,41.689999
"2017-12-13",41.65,41.8,41.55,41.650002,1182400,41.650002
"2017-12-14",41.63,42.1,41.59,41.939999,1169500,41.939999
"2017-12-15",41.98,42.34,41.79,42.240002,1111000,42.240002
"2017-12-18",42.21,42.56,42.12,42.560001,511600,42.560001
"2017-12-19",42.52,42.53,42.34,42.400002,549500,42.400002
"2017-12-20",42.5,42.61,42.4,42.529999,432600,42.529999
"2017-12-21",42.59,42.68,42.435,42.459999,491300,42.459999
"2017-12-22",42.38,42.6,42.36,42.5,419300,42.5
"2017-12-26",42.54,42.65,42.27,42.529999,270600,42.529999
"2017-12-27",42.56,42.68,42.4,42.509998,242300,42.509998
"2017-12-28",42.58,42.58,42.43,42.509998,371800,42.509998
"2017-12-29",42.52,42.59,42.39,42.470001,605500,42.470001
"2018-01-02",42.5,42.59,42.34,42.450001,858200,42.450001
"2018-01-03",42.52,42.52,42.15,42.209999,1491900,42.209999
"2018-01-04",42.29,42.42,41.84,41.869999,1161000,41.869999
"2018-01-05",42,42.08,41.7,41.869999,839700,41.869999
"2018-01-08",41.79,41.91,41.76,41.799999,893300,41.799999
"2018-01-09",41.87,42.223,41.78,42.09,1105700,42.09
"2018-01-10",42.07,43.33,42.07,43.220001,3218700,43.220001
"2018-01-11",43.36,43.545,43.16,43.470001,2268500,43.470001
"2018-01-12",43.49,43.49,43.2,43.349998,1261300,43.349998
"2018-01-16",43.46,43.64,43.3,43.470001,605400,43.470001
