"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",29.34,29.99,29.28,29.870001,3441900,29.870001
"2017-01-04",30.15,30.9,30,30.540001,3838900,30.540001
"2017-01-05",30.55,30.71,29.9,30.290001,3248600,30.290001
"2017-01-06",30.49,30.66,30.24,30.469999,2663500,30.469999
"2017-01-09",30.57,30.8,30.44,30.469999,1943400,30.469999
"2017-01-10",30.71,31.06,30.55,30.709999,2149700,30.709999
"2017-01-11",30.71,30.75,30.19,30.549999,2532300,30.549999
"2017-01-12",30.34,30.59,30.01,30.379999,3128400,30.379999
"2017-01-13",30.35,30.58,29.94,30.08,3538800,30.08
"2017-01-17",29.94,30.42,29.93,30.139999,3174100,30.139999
"2017-01-18",30.28,30.32,29.16,29.35,5275500,29.35
"2017-01-19",29.58,29.66,28.77,29.200001,4362000,29.200001
"2017-01-20",29.09,29.25,28.7,29.02,3452900,29.02
"2017-01-23",28.94,28.94,28.29,28.450001,4404300,28.450001
"2017-01-24",28.44,28.69,28.39,28.540001,4094400,28.540001
"2017-01-25",28.77,29.43,28.73,29.299999,3843200,29.299999
"2017-01-26",29.34,29.64,29.05,29.129999,2681300,29.129999
"2017-01-27",29.13,29.37,28.81,29.129999,2410500,29.129999
"2017-01-30",29.06,29.14,28.74,28.940001,5833000,28.940001
"2017-01-31",28.94,28.94,20.8,21.49,54105500,21.49
"2017-02-01",21.65,21.86,21.1,21.440001,17974300,21.440001
"2017-02-02",21.34,21.37,20.5,20.65,14655200,20.65
"2017-02-03",20.67,20.84,20.44,20.700001,7668600,20.700001
"2017-02-06",20.96,20.98,20.51,20.6,7027700,20.6
"2017-02-07",20.78,20.89,20.45,20.469999,9775200,20.469999
"2017-02-08",20.5,21.14,20.5,21.08,6414600,21.08
"2017-02-09",21.08,21.91,21.08,21.709999,6848600,21.709999
"2017-02-10",22.18,22.2,21.32,21.6,5047300,21.6
"2017-02-13",21.74,21.93,21.26,21.32,4547600,21.32
"2017-02-14",21.55,21.77,21.31,21.76,5218500,21.76
"2017-02-15",21.47,21.96,21.38,21.889999,5644100,21.889999
"2017-02-16",21.97,22.03,21.5,21.639999,4231600,21.639999
"2017-02-17",21.68,22.09,21.52,21.879999,3334500,21.879999
"2017-02-21",22,22.07,21.75,21.780001,2998300,21.780001
"2017-02-22",22,22.34,21.69,21.870001,4186000,21.870001
