"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",38.205,38.32,37.194,35.950001,1863000,34.505676
"2017-01-04",37.538,38.111,37.236,36.310001,1815400,34.851208
"2017-01-05",37.642,38.017,37.09,36.43,2907400,34.966393
"2017-01-06",37.296,37.813,37.172,36.43,1415400,35.25185
"2017-01-09",37.71,37.834,37.234,36.049999,1366000,34.88414
"2017-01-10",37.141,37.224,36.914,35.73,889400,34.574482
"2017-01-11",36.893,36.996,36.635,35.52,1383400,34.371277
"2017-01-12",36.738,37.162,36.397,35.93,1296300,34.768021
"2017-01-13",36.996,37.182,36.81,35.630001,788900,34.477722
"2017-01-17",36.893,37.234,36.872,35.93,1268200,34.768021
"2017-01-18",37.182,37.503,37.027,36.07,813400,34.903492
"2017-01-19",37.1,37.234,36.8,35.709999,1061800,34.555134
"2017-01-20",37.162,37.41,36.976,36.07,1513900,34.903492
"2017-01-23",37.265,37.337,37.007,36.049999,1607900,34.88414
"2017-01-24",37.286,37.524,36.872,35.82,1647200,34.661579
"2017-01-25",36.976,37.089,36.418,35.259998,1615600,34.119686
"2017-01-26",36.573,36.655,36.159,35.009998,1951600,33.877769
"2017-01-27",36.387,36.407,35.839,34.919998,1825400,33.790684
"2017-01-30",36.8,36.8,35.736,34.650002,2128600,33.529419
"2017-01-31",35.994,36.934,35.994,34.950001,3500300,33.819714
"2017-02-01",35.994,36.19,35.591,34.48,2430300,33.364914
"2017-02-02",35.632,36.232,35.632,34.970001,2999600,33.839066
"2017-02-03",36.376,36.407,35.663,34.66,2387800,33.539089
"2017-02-06",35.787,36.025,35.56,34.759998,1114900,33.635853
"2017-02-07",36.056,36.211,35.808,34.919998,1403900,33.790684
"2017-02-08",36.097,36.903,35.994,35.709999,2734200,34.555134
"2017-02-09",36.852,36.903,36.531,35.400002,1062900,34.255161
"2017-02-10",36.459,36.945,36.345,35.700001,765600,34.545464
"2017-02-13",36.914,36.914,35.994,35.310001,1718900,34.168072
"2017-02-14",36.438,36.593,35.942,35.360001,1208600,34.216454
"2017-02-15",36.387,36.583,35.922,35.259998,1160200,34.119686
"2017-02-16",36.283,36.728,36.252,35.470001,1164200,34.322903
"2017-02-17",36.821,36.903,36.459,35.59,1183400,34.439018
"2017-02-21",36.624,37.244,36.573,35.950001,920800,34.787373
"2017-02-22",37.265,37.327,36.624,35.68,1087200,34.526108
"2017-02-23",37.017,37.482,36.955,36.189999,1367500,35.019615
"2017-02-24",37.369,37.451,37.141,36.200001,765900,35.029289
"2017-02-27",37.493,37.792,37.431,36.360001,796100,35.184113
"2017-02-28",37.596,37.813,37.358,36.5,1578000,35.319588
"2017-03-01",37.42,37.865,37.203,36.439999,1499500,35.261528
"2017-03-02",37.658,37.792,37.41,36.380001,1286400,35.203468
"2017-03-03",37.431,37.431,36.635,35.900002,1751500,34.738991
"2017-03-06",36.965,37.4,36.883,36.139999,1188900,34.971226
"2017-03-07",37.306,37.441,37.007,36.23,1080900,35.058319
"2017-03-08",37.575,37.617,37.038,35.919998,1328200,34.758339
"2017-03-09",37.151,37.306,36.335,35.169998,1602000,34.032597
"2017-03-10",36.345,37.131,35.891,34.889999,1416600,33.76165
"2017-03-13",36.18,36.459,36.097,35.139999,1203100,34.003567
"2017-03-14",36.418,36.418,36.139,35.09,1043800,33.955185
"2017-03-15",36.366,37.441,36.149,36.07,1347400,34.903492
"2017-03-16",37.12,37.555,37.1,36.07,1505800,34.903492
"2017-03-17",37.275,37.544,37.151,36.169998,1996000,35.000256
"2017-03-20",37.41,37.493,37.193,36.099998,995500,34.932518
"2017-03-21",37.379,37.534,37.296,36.169998,1139400,35.000256
"2017-03-22",37.555,37.555,37.027,36.110001,1962800,34.942196
"2017-03-23",37.244,37.844,37.141,36.389999,1314100,35.213142
"2017-03-24",37.741,37.947,37.575,36.41,981300,35.232494
"2017-03-27",37.534,37.71,37.027,36.080002,1414200,34.91317
"2017-03-28",37.234,37.524,36.821,36.259998,1265100,35.087341
"2017-03-29",37.389,37.441,37.007,36.099998,1411000,34.932518
"2017-03-30",37.224,37.41,36.872,36.150002,949800,34.980907
"2017-03-31",37.317,37.606,37.234,36.259998,1425800,35.087341
"2017-04-03",37.472,37.596,37.048,36.049999,890800,34.88414
"2017-04-04",37.203,37.813,37.1,36.189999,874800,35.019615
"2017-04-05",37.379,37.472,36.841,36.139999,1205800,34.971226
"2017-04-06",36.628,37.027,36.505,36.040001,918900,35.176193
"2017-04-07",36.986,37.161,36.864,36.150002,952300,35.283562
"2017-04-10",37.007,37.325,36.894,36.360001,808600,35.488525
"2017-04-11",37.243,37.519,37.13,36.52,917100,35.644691
"2017-04-12",37.396,37.519,37.068,36.200001,1315600,35.332359
"2017-04-13",37.089,37.191,36.874,36.029999,1029500,35.166435
"2017-04-17",37.079,37.56,36.976,36.66,1263600,35.781334
"2017-04-18",37.519,37.806,37.427,36.75,824300,35.869179
"2017-04-19",37.622,37.714,37.355,36.52,918000,35.644691
"2017-04-20",37.366,37.376,36.966,36.259998,1146900,35.390923
"2017-04-21",37.079,37.284,36.935,36.209999,891500,35.342121
"2017-04-24",37.355,37.407,36.3,35.970001,1636300,35.107872
"2017-04-25",36.966,38.042,36.771,37.060001,2470300,36.171749
"2017-04-26",37.888,38.462,37.642,37.18,2726700,36.288872
"2017-04-27",38.093,38.339,37.734,37.029999,1552900,36.142467
"2017-04-28",37.929,38.267,37.714,37.34,1962000,36.445034
"2017-05-01",38.236,38.728,38.114,37.610001,1603400,36.708569
"2017-05-02",38.544,38.677,38.206,37.43,968100,36.532883
"2017-05-03",38.452,38.452,38.042,37.209999,1454500,36.31815
"2017-05-04",37.939,38.595,37.765,37.619999,1660000,36.718327
"2017-05-05",38.616,38.933,38.513,37.98,1541000,37.069698
"2017-05-08",39.015,39.046,38.534,37.93,2037400,37.020893
"2017-05-09",38.831,38.943,38.38,37.549999,1544000,36.650005
"2017-05-10",38.472,38.831,38.359,37.52,1452200,36.620724
"2017-05-11",38.124,38.616,38.032,37.610001,1106700,36.708569
"2017-05-12",38.575,38.708,38.482,37.66,897700,36.75737
"2017-05-15",38.595,38.882,38.523,37.799999,1042400,36.894012
"2017-05-16",38.779,38.8,38.493,37.650002,1082900,36.747608
"2017-05-17",38.616,38.923,38.206,37.400002,2629800,36.503601
"2017-05-18",38.359,38.923,38.144,37.860001,1586800,36.952576
"2017-05-19",38.8,38.943,38.575,37.84,1379000,36.933056
"2017-05-22",38.851,39.107,38.697,38.099998,1122000,37.186821
"2017-05-23",39.189,39.527,39.138,38.279999,1457400,37.362503
"2017-05-24",39.292,39.435,39.056,38.389999,797600,37.469868
"2017-05-25",39.497,39.579,39.036,38.299999,816500,37.382027
"2017-05-26",39.302,39.548,39.22,38.330002,749000,37.411312
"2017-05-30",39.23,39.486,39.169,38.34,896300,37.42107
"2017-05-31",39.363,39.62,39.353,38.610001,1763000,37.684597
"2017-06-01",39.517,39.599,39.23,38.470001,1841600,37.547955
"2017-06-02",39.599,40.388,39.599,39.349998,1409500,38.406857
"2017-06-05",40.193,40.88,40.06,39.860001,1325500,38.904636
"2017-06-06",40.829,40.87,40.368,39.419998,1244100,38.475182
"2017-06-07",40.439,41.156,40.306,39.990002,1950600,39.031525
"2017-06-08",40.972,41.095,40.347,39.939999,963400,38.982719
"2017-06-09",40.911,41.279,40.685,40.220001,1083500,39.256012
"2017-06-12",40.531,41.033,40.531,39.73,1272900,38.777756
"2017-06-13",40.747,40.952,40.337,39.650002,1743200,38.699673
"2017-06-14",40.982,41.074,40.552,39.700001,1083400,38.748474
"2017-06-15",40.593,41.259,40.542,40,969700,39.041283
"2017-06-16",41.095,41.31,41.044,40.189999,1748700,39.22673
"2017-06-19",41.249,41.71,41.187,40.490002,970000,39.519539
"2017-06-20",41.546,41.597,40.788,40.259998,985700,39.295048
"2017-06-21",41.269,41.279,40.757,40.099998,900300,39.138885
"2017-06-22",40.993,41.105,40.429,39.630001,1516200,38.680149
"2017-06-23",40.644,40.921,40.531,39.669998,1769100,38.719189
"2017-06-26",40.767,40.962,40.521,39.73,1289300,38.777756
"2017-06-27",40.531,40.706,40.05,39.209999,1355100,38.270218
"2017-06-28",40.265,40.388,39.927,39.040001,1484600,38.104294
"2017-06-29",39.794,40.234,39.579,39.200001,1444400,38.260456
"2017-06-30",40.204,40.46,39.855,38.970001,1337400,38.035969
"2017-07-03",40.07,40.316,39.773,39.299999,512600,38.358059
"2017-07-05",40.275,40.685,40.132,39.349998,1346600,38.406857
"2017-07-06",39.562,39.633,38.626,38.07,1508200,37.452591
"2017-07-07",38.759,39.013,38.647,38.169998,1322900,37.550968
"2017-07-10",38.881,39.023,38.454,37.830002,1170000,37.216484
"2017-07-11",38.576,38.626,37.986,37.75,906500,37.137783
"2017-07-12",38.718,38.952,38.545,38,1082600,37.383728
"2017-07-13",38.626,38.698,38.393,37.799999,720700,37.18697
