"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",113.005,113.588,112.606,110.830002,2739600,108.26548
"2017-01-04",114.1,114.346,113.199,110.900002,3091400,108.333862
"2017-01-05",113.803,114.592,113.179,111.349998,3344900,108.773445
"2017-01-06",114.059,115.503,113.691,112.550003,2622000,109.945686
"2017-01-09",115.37,115.37,113.906,111.5,2434100,108.919983
"2017-01-10",114.397,114.479,113.691,111.260002,1800400,108.685539
"2017-01-11",114.264,114.264,113.199,111,2746200,108.431541
"2017-01-12",113.773,113.773,112.309,110.82,2644600,108.255707
"2017-01-13",113.558,113.895,112.452,110.220001,2880600,107.669586
"2017-01-17",112.38,112.882,111.991,109.970001,2238500,107.425377
"2017-01-18",112.81,113.517,112.421,110.419998,2600300,107.864967
"2017-01-19",113.66,114.244,112.626,110.730003,2828200,108.167793
"2017-01-20",113.578,113.732,112.636,110.790001,3134300,108.226402
"2017-01-23",113.466,113.936,112.585,110.339996,2296600,107.786804
"2017-01-24",113.302,114.336,112.954,111.610001,3240000,109.027428
"2017-01-25",114.52,115.175,111.357,110.959999,5054000,108.392464
"2017-01-26",113.425,114.131,112.124,110.360001,3996000,107.806351
"2017-01-27",112.759,113.527,112.206,109.699997,2830000,107.161621
"2017-01-30",111.899,112.196,110.814,109.169998,2909900,106.64389
"2017-01-31",111.623,112.411,110.957,109.669998,3945700,107.132309
"2017-02-01",112.227,112.513,110.456,108.18,4670100,105.676796
"2017-02-02",110.64,111.254,109.381,108.360001,4714500,105.852631
"2017-02-03",111.101,112.38,111.07,109.650002,3411200,107.112785
"2017-02-06",112.411,113.885,112.278,110.68,4229600,108.11895
"2017-02-07",114.018,114.377,113.599,111.25,2774400,108.675751
"2017-02-08",113.721,113.721,112.964,110.400002,2072300,107.845421
"2017-02-09",113.015,113.343,112.606,110.089996,2654000,107.542595
"2017-02-10",112.862,113.895,112.688,111.050003,2679200,108.480385
"2017-02-13",114.254,114.755,114.059,112.019997,2830800,109.427933
"2017-02-14",114.643,114.981,114.09,111.57,2770400,108.98835
"2017-02-15",113.089,114.056,113.018,111.910004,2625000,109.971039
"2017-02-16",114.117,114.311,113.781,112.07,2802100,110.12825
"2017-02-17",113.904,114.311,113.578,112.150002,2531800,110.206863
"2017-02-21",114.168,114.789,114.015,112.5,2136900,110.550804
"2017-02-22",114.331,114.697,113.69,112.660004,2205600,110.708038
"2017-02-23",114.687,114.87,113.944,112.089996,3471700,110.147911
"2017-02-24",113.792,114.677,113.72,112.459999,2917900,110.511497
"2017-02-27",114.575,114.962,114.005,112.809998,2731400,110.855431
"2017-02-28",114.962,115.186,114.321,112.550003,2942500,110.599945
"2017-03-01",115.644,116.458,115.46,113.68,5085500,111.710358
"2017-03-02",115.837,116.051,114.616,112.690002,2880800,110.737518
"2017-03-03",114.677,115.43,114.148,112.339996,3108300,110.393578
"2017-03-06",113.802,114.28,113.507,111.660004,3772200,109.725365
