"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",79.318,80.476,79.046,79.5,13785200,78.941193
"2017-01-04",80.002,80.828,79.922,80.150002,8033100,79.586624
"2017-01-05",80.909,82.107,80.788,81.089996,7805100,80.520012
"2017-01-06",81.876,83.074,81.513,82.209999,8898300,81.632141
"2017-01-09",82.862,83.034,82.228,81.75,7284100,81.175377
"2017-01-10",82.278,82.48,81.704,81.309998,6017500,80.738472
"2017-01-11",81.825,82.379,81.483,81.800003,7499200,81.225029
"2017-01-12",81.624,82.047,81.08,81.370003,6884000,80.798058
"2017-01-13",81.594,82.429,81.362,81.169998,7291200,80.599449
"2017-01-17",81.332,82.067,81.332,81.260002,6317500,80.688828
"2017-01-18",81.845,82.409,81.553,81.589996,8512300,81.016502
"2017-01-19",82.369,82.429,81.986,81.730003,6479400,81.155525
"2017-01-20",82.671,82.862,82.188,81.839996,9048500,81.26474
"2017-01-23",82.278,82.883,82.077,82.150002,7414200,81.572563
"2017-01-24",82.983,84.081,82.429,83.230003,8397500,82.644981
"2017-01-25",84.383,84.867,84.041,83.900002,9360900,83.310272
"2017-01-26",84.514,84.514,83.668,83.239998,8428200,82.6549
"2017-01-27",83.91,84.393,83.507,83.769997,5445900,83.181175
"2017-01-30",84.061,84.333,83.245,83.699997,8792800,83.111664
"2017-01-31",82.711,83.87,82.681,82.709999,7479400,82.128639
"2017-02-01",83.487,83.678,82.631,82.440002,7534400,81.860527
"2017-02-02",82.721,83.285,82.147,82.300003,11142300,81.721519
"2017-02-03",86.347,87.435,85.712,86.080002,28079600,85.474945
"2017-02-06",86.679,86.709,86.115,85.830002,9665300,85.226707
"2017-02-07",86.568,86.961,86.276,85.779999,8600300,85.177048
"2017-02-08",86.407,86.448,85.682,85.089996,7587700,84.491898
"2017-02-09",85.974,86.377,85.481,85.580002,6554700,84.978455
"2017-02-10",86.407,86.75,85.833,85.900002,10432000,85.296211
"2017-02-13",86.81,87.314,86.609,86.440002,6046300,85.832413
"2017-02-14",87.132,87.586,86.871,86.849998,5914800,86.239532
"2017-02-15",87.469,87.992,87.148,87.540001,8049700,87.090141
"2017-02-16",88.002,88.133,87.238,87.410004,8680600,86.960808
"2017-02-17",87.721,88.133,87.429,87.459999,5887200,87.010551
"2017-02-21",87.962,88.495,87.62,87.919998,9301300,87.468178
"2017-02-22",88.063,88.605,87.962,87.800003,8389900,87.348801
"2017-02-23",88.686,88.947,88.324,88.18,6040500,87.726845
"2017-02-24",87.811,88.887,87.751,88.43,5151300,87.975563
"2017-02-27",88.776,88.837,88.364,88,6131600,87.547775
"2017-02-28",88.615,88.837,88.213,87.940002,8521900,87.488091
"2017-03-01",89.198,89.6,88.877,88.989998,11131400,88.532684
"2017-03-02",89.46,89.59,88.555,88.529999,10544200,88.07505
"2017-03-03",88.766,89.369,88.635,88.790001,5700600,88.33371
"2017-03-06",88.987,89.731,88.726,88.940002,7347600,88.482948
"2017-03-07",89.45,89.761,89.309,89.059998,5688400,88.602325
"2017-03-08",89.631,89.761,89.329,88.959999,5866800,88.502838
"2017-03-09",89.48,89.962,89.168,89.110001,5953900,88.652069
"2017-03-10",89.962,90.324,89.56,89.730003,12246700,89.268883
"2017-03-13",90.264,90.776,90.073,90.110001,8944100,89.646927
"2017-03-14",90.395,90.495,89.701,89.550003,6009400,89.089813
"2017-03-15",90.214,90.565,89.872,89.919998,6350700,89.457901
"2017-03-16",90.776,90.797,89.932,90.040001,9174400,89.577293
"2017-03-17",90.716,91.098,90.636,90.239998,8613400,89.77626
"2017-03-20",90.756,92.525,89.43,89.18,9438000,88.72171
"2017-03-21",89.952,90.173,88.455,88.059998,11092100,87.60746
"2017-03-22",88.304,89.5,88.304,88.519997,7828600,88.065102
"2017-03-23",88.927,89.852,88.877,88.860001,7710700,88.403351
"2017-03-24",89.52,90.073,89.43,89.190002,7597600,88.731667
"2017-03-27",88.766,89.45,88.525,88.949997,5230000,88.492889
"2017-03-28",89.58,89.882,88.947,89.120003,7045500,88.662018
"2017-03-29",89.45,89.852,89.017,89.18,4738000,88.72171
"2017-03-30",89.54,89.56,89.058,89.010002,6227100,88.552582
"2017-03-31",89.44,89.812,89.329,88.870003,6429800,88.413307
"2017-04-03",89.6,89.922,88.857,89.360001,9125800,88.900787
"2017-04-04",89.47,89.791,89.118,88.779999,4859900,88.323769
"2017-04-05",89.59,90.666,89.409,89.029999,7251600,88.572479
"2017-04-06",89.46,89.721,89.239,89.089996,8473900,88.632172
"2017-04-07",89.43,89.701,88.977,88.739998,5439500,88.283966
"2017-04-10",89.078,89.711,88.977,88.860001,5999400,88.403351
"2017-04-11",89.058,89.309,88.585,88.849998,7058500,88.39341
"2017-04-12",89.158,89.671,89.017,88.68,5912500,88.224281
"2017-04-13",88.927,90.244,88.887,88.870003,7242700,88.413307
"2017-04-17",89.55,90.364,89.208,89.809998,6122800,89.348473
"2017-04-18",90.103,90.384,89.701,89.730003,6823500,89.268883
"2017-04-19",90.555,91.088,90.063,89.75,7301300,89.288788
"2017-04-20",90.606,91.973,90.364,91.150002,12178300,90.681587
"2017-04-21",93.249,93.279,91.49,91.150002,19442600,90.681587
"2017-04-24",92.626,92.978,91.48,91.849998,11705400,91.377983
"2017-04-25",92.465,92.827,92.053,92.110001,7769200,91.63665
"2017-04-26",92.495,92.958,92.224,91.82,11295200,91.348137
"2017-04-27",92.425,92.475,91.752,91.599998,5856800,91.129272
"2017-04-28",91.862,92.023,91.45,91.220001,6873300,90.751228
"2017-05-01",91.762,92.144,91.611,91.260002,9042100,90.791023
"2017-05-02",92.093,93.229,92.003,92.540001,11627700,92.064445
"2017-05-03",92.877,93.028,92.455,92.440002,4909000,91.964958
"2017-05-04",93.179,93.33,92.727,92.620003,5257000,92.144035
"2017-05-05",93.38,93.46,92.234,92.089996,8844500,91.616753
"2017-05-08",92.525,92.636,91.993,91.919998,5223600,91.447624
"2017-05-09",92.375,92.616,92.304,92,3969500,91.527214
"2017-05-10",92.174,92.887,92.154,92.25,6747600,91.775932
"2017-05-11",92.596,92.787,92.093,92.099998,7052200,91.626701
"2017-05-12",92.666,93.259,92.455,92.730003,5898800,92.253471
"2017-05-15",93.209,93.903,93.199,93.230003,7040100,92.750908
"2017-05-16",93.832,94.204,93.45,93.150002,5497400,92.67131
"2017-05-17",92.793,93.074,92.02,91.760002,8240200,91.450447
"2017-05-18",91.669,92.793,91.669,91.709999,8239800,91.400604
"2017-05-19",92.291,93.124,92.02,92.480003,9361300,92.168015
"2017-05-22",92.843,93.917,92.743,93.309998,9186200,92.995209
"2017-05-23",93.877,94.388,93.786,93.860001,7616100,93.543358
"2017-05-24",94.338,95.312,94.338,94.809998,6825300,94.49015
"2017-05-25",95.412,95.703,95.211,95.040001,7262400,94.719376
"2017-05-26",95.322,95.442,94.71,94.669998,4133900,94.350624
"2017-05-30",94.98,95.201,94.659,94.720001,6292700,94.400459
"2017-05-31",95.402,95.853,94.78,95.230003,9866000,94.908737
"2017-06-01",95.723,95.773,94.93,95.400002,8911900,95.078163
"2017-06-02",95.733,96.516,95.733,96.150002,8570200,95.825638
"2017-06-05",96.646,96.917,96.435,96.550003,14510500,96.224281
"2017-06-06",96.596,96.927,95.883,95.790001,7030300,95.46685
