"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",147.111,147.111,143.173,143.25,137600,141.876205
"2017-01-04",145.192,146.505,144.94,144.199997,78800,142.817093
"2017-01-05",145.445,147.262,143.577,142.899994,96200,141.529541
"2017-01-06",144.233,144.617,140.952,139.75,166000,138.409775
"2017-01-09",140.8,141.255,137.317,136.050003,164200,134.745255
"2017-01-10",138.024,140.346,137.266,137.399994,197100,136.082306
"2017-01-11",139.185,139.69,137.721,137.75,183000,136.428955
"2017-01-12",138.983,140.699,138.074,139.050003,276100,137.716476
"2017-01-13",140.952,141.961,139.74,140.399994,165400,139.053528
"2017-01-17",141.507,143.526,140.326,139.25,121800,137.914581
"2017-01-18",140.75,141.961,140.194,139.649994,187000,138.31073
"2017-01-19",141.406,141.911,140.144,139.850006,111400,138.508835
"2017-01-20",141.759,142.365,140.8,140.5,91100,139.152573
"2017-01-23",141.053,142.012,139.639,140.5,71300,139.152573
"2017-01-24",142.971,148.07,141.931,146.449997,156000,145.045517
"2017-01-25",148.878,149.988,148.474,148.100006,131000,146.679703
"2017-01-26",149.585,149.635,147.818,147.899994,115100,146.481598
"2017-01-27",149.231,149.484,146.909,145.75,82100,144.352234
"2017-01-30",145.697,146.707,144.082,145.050003,103400,143.658951
"2017-01-31",146.253,147.232,143.678,144,165600,142.619019
"2017-02-01",146.404,147.01,144.587,143.600006,120600,142.222855
"2017-02-02",145.192,145.394,142.668,142.399994,108800,141.034348
"2017-02-03",144.688,146.606,143.93,145.100006,120500,143.708466
"2017-02-06",146.455,146.455,143.476,144.350006,101900,142.965668
"2017-02-07",145.849,146.838,143.678,143.350006,81200,141.975266
"2017-02-08",144.637,144.637,141.457,141.800003,105900,140.440125
"2017-02-09",143.829,144.486,142.163,142.850006,93500,141.480042
"2017-02-10",145.041,146.606,144.031,144.699997,115300,143.312286
"2017-02-13",147.06,147.666,145.344,144.649994,49900,143.262772
"2017-02-14",145.495,145.495,143.718,143.600006,68700,142.222855
"2017-02-15",144.94,145.596,144.132,143.399994,90700,142.024765
"2017-02-16",144.738,144.89,143.526,143.300003,131600,141.925735
"2017-02-17",144.082,145.041,143.728,143.399994,99200,142.024765
"2017-02-21",144.738,145.798,143.829,143.800003,188600,142.420944
"2017-02-22",156.097,166.8,156.097,156,705900,154.503922
"2017-02-23",158.47,161.448,155.491,156.899994,325200,155.395294
