"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",88.032,88.057,86.72,84.656425,1076300,81.884346
"2017-01-04",87.706,90.264,87.447,87.000809,1236400,84.15197
"2017-01-05",89.269,90.055,88.057,86.903801,1004000,84.058136
"2017-01-06",89.578,90.071,89.261,86.750198,1317500,83.909561
"2017-01-09",89.52,89.754,88.458,85.739693,1244600,82.932144
"2017-01-10",88.467,88.734,87.589,84.882782,748800,82.103294
"2017-01-11",87.765,88.107,86.854,84.114792,657000,81.360458
"2017-01-12",86.929,87.664,86.486,84.535164,812700,81.767059
"2017-01-13",87.439,87.957,86.653,84.308815,678000,81.548126
"2017-01-17",87.221,88.166,87.054,85.214226,1072800,82.423889
"2017-01-18",88.116,89.11,87.698,85.852867,824600,83.041611
"2017-01-19",88.509,89.002,87.915,85.052544,900800,82.267502
"2017-01-20",88.015,88.433,87.598,85.521423,944100,82.721031
"2017-01-23",88.366,89.779,88.249,86.661278,591400,83.823555
"2017-01-24",89.829,90.464,89.361,87.057396,628200,84.206703
"2017-01-25",90.155,90.389,89.428,87.041229,696500,84.191063
"2017-01-26",88.781,89.237,88.69,86.742119,767100,84.591774
"2017-01-27",89.246,89.262,87.919,86.402588,617300,84.260658
"2017-01-30",88.599,89.229,88.118,86.394501,685600,84.252769
"2017-01-31",88.45,89.362,88.01,85.941795,814600,83.811295
"2017-02-01",88.243,88.723,86.062,83.99353,833900,81.911324
"2017-02-02",86.154,86.891,85.946,84.413902,838500,82.321274
"2017-02-03",87.356,87.704,86.676,84.76152,820500,82.660263
"2017-02-06",86.875,87.165,86.377,84.527084,732200,82.431641
"2017-02-07",86.8,87.729,86.8,84.696846,645400,82.597198
"2017-02-08",86.908,87.729,86.792,85.101051,395400,82.991386
"2017-02-09",87.297,87.571,86.991,85.198059,562400,83.085991
"2017-02-10",87.397,88.715,87.347,86.05497,653500,83.921661
"2017-02-13",88.574,88.823,87.637,86.05497,586300,83.921661
"2017-02-14",88.243,90.646,87.513,88.140663,1361700,85.955643
"2017-02-15",90.29,90.588,89.668,88.14875,881300,85.963531
"2017-02-16",90.249,91.276,89.925,88.908653,909400,86.704597
