"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",28.23,28.434,27.357,27.690001,905100,27.571842
"2017-01-04",27.718,28.361,27.628,28.09,1170000,27.970135
"2017-01-05",28.01,28.461,27.879,28.059999,643700,27.940262
"2017-01-06",28.16,28.612,27.919,28.440001,672400,28.318644
"2017-01-09",28.361,28.421,27.869,27.950001,461600,27.830734
"2017-01-10",28.1,28.923,28.04,28.73,753400,28.607403
"2017-01-11",28.702,29.215,28.502,28.790001,515400,28.667149
"2017-01-12",28.873,28.883,27.296,27.43,765200,27.31295
"2017-01-13",27.748,28.16,27.216,27.32,525600,27.203421
"2017-01-17",27.317,27.502,26.935,27.059999,595900,26.944529
"2017-01-18",27.317,28.17,27.317,27.440001,361800,27.322908
"2017-01-19",27.608,27.789,26.829,26.780001,397800,26.665726
"2017-01-20",26.885,27.949,26.855,27.83,407200,27.711245
"2017-01-23",27.959,28.01,27.588,27.5,248400,27.382652
"2017-01-24",27.789,28.321,27.387,28.049999,342700,27.930305
"2017-01-25",28.281,28.41,27.929,27.879999,214400,27.761032
"2017-01-26",28.14,28.391,27.859,27.98,252200,27.860603
"2017-01-27",28.06,28.572,27.949,28.43,381600,28.308683
"2017-01-30",28.281,28.381,27.748,27.92,491900,27.800859
"2017-01-31",27.919,28.18,27.598,27.950001,419600,27.830734
"2017-02-01",28.18,28.351,27.989,27.9,348600,27.780943
"2017-02-02",28.01,29.124,28.01,28.790001,1268300,28.667149
"2017-02-03",29.134,29.185,28.592,29.01,721800,28.886208
"2017-02-06",29.134,29.797,29.044,29.190001,564000,29.065439
"2017-02-07",29.285,29.566,28.873,28.940001,776400,28.816507
"2017-02-08",29.124,29.375,28.743,28.690001,512500,28.567575
"2017-02-09",28.813,29.416,28.461,28.389999,853900,28.268856
"2017-02-10",28.502,28.883,28.441,28.629999,566600,28.507828
"2017-02-13",29.727,29.973,28.492,29.08,2240500,28.955912
"2017-02-14",29.265,29.717,29.004,29.540001,1188900,29.413948
"2017-02-15",29.626,29.727,29.014,29.27,744800,29.145102
"2017-02-16",29.335,30.108,29.21,29.940001,379000,29.812241
"2017-02-17",30.018,31.223,29.988,31.08,599400,30.947376
"2017-02-21",31.193,31.394,30.781,30.959999,602300,30.827887
"2017-02-22",31.133,31.263,30.36,30.35,319500,30.220491
"2017-02-23",30.57,30.872,30.299,30.51,386500,30.379808
"2017-02-24",30.41,30.962,30.028,30.799999,393600,30.66857
"2017-02-27",30.892,31.123,30.457,30.99,491500,30.857759
"2017-02-28",30.922,31.042,30.44,30.309999,392900,30.18066
"2017-03-01",30.761,31.444,30.651,31.17,396200,31.036993
"2017-03-02",31.233,31.238,30.641,30.83,481900,30.698442
"2017-03-03",30.832,31.113,30.49,30.620001,352500,30.48934
"2017-03-06",30.5,30.681,29.918,30.15,457600,30.021345
"2017-03-07",30.279,30.45,29.847,29.77,424600,29.642965
"2017-03-08",29.998,30.249,29.807,29.809999,365600,29.682795
"2017-03-09",29.827,30.018,28.893,29.24,653400,29.115225
"2017-03-10",29.586,29.77,29.405,29.540001,371600,29.413948
"2017-03-13",29.667,29.968,29.566,29.83,265800,29.702711
"2017-03-14",29.747,30.038,29.586,29.51,341900,29.384075
"2017-03-15",29.737,30.38,29.606,30.139999,588700,30.011385
"2017-03-16",30.189,30.339,29.777,29.950001,450300,29.822199
"2017-03-17",29.918,30.41,29.877,29.84,1722600,29.712666
"2017-03-20",29.898,30.179,29.677,30,544600,29.871984
"2017-03-21",30.279,30.364,29.707,29.690001,537500,29.563309
"2017-03-22",29.787,29.978,29.536,29.84,485900,29.712666
"2017-03-23",29.918,30.36,29.636,29.940001,342400,29.812241
"2017-03-24",30.229,30.681,29.867,29.870001,703000,29.74254
"2017-03-27",29.727,30.169,29.395,29.9,320500,29.772411
"2017-03-28",29.837,30.209,29.667,29.93,361500,29.802282
"2017-03-29",29.958,30.269,29.807,29.99,289600,29.862026
"2017-03-30",30.068,30.671,30.068,30.48,261100,30.349936
"2017-03-31",30.54,30.882,30.41,30.6,346800,30.469423
"2017-04-03",30.681,30.942,29.899,30.24,478700,30.160242
"2017-04-04",30.46,30.46,29.969,30.059999,565800,29.980717
"2017-04-05",30.23,30.751,30.049,30.040001,325100,29.960772
"2017-04-06",30.28,30.821,30.009,30.709999,382900,30.629002
"2017-04-07",30.651,30.861,30.49,30.57,289900,30.489372
"2017-04-10",30.701,30.95,30.42,30.4,219100,30.319818
"2017-04-11",30.45,30.591,30.079,30.33,479600,30.250004
"2017-04-12",30.17,30.36,29.728,29.809999,536000,29.731377
"2017-04-13",29.879,30.039,28.956,28.91,639200,28.83375
"2017-04-17",29.027,29.668,28.776,29.540001,734200,29.46209
"2017-04-18",29.468,29.909,29.388,29.790001,316300,29.71143
"2017-04-19",29.969,30.551,29.879,30.35,414300,30.269953
"2017-04-20",30.631,31.383,30.46,31.09,562800,31.008001
"2017-04-21",31.052,31.353,30.829,31.110001,581800,31.027948
"2017-04-24",31.824,31.824,31.423,31.450001,450500,31.367052
"2017-04-25",31.724,32.095,31.608,31.959999,537700,31.875706
"2017-04-26",31.884,32.706,31.884,32.5,534500,32.41428
"2017-04-27",32.596,33.097,32.205,32.700001,488400,32.613754
"2017-04-28",32.706,32.877,32.024,32.02,855400,31.935549
"2017-05-01",32.095,32.365,31.684,31.610001,911900,31.52663
"2017-05-02",31.443,31.754,30.811,30.809999,921100,30.728739
"2017-05-03",30.962,31.182,30.23,30.51,611400,30.429531
"2017-05-04",30.691,30.831,30.28,30.74,419200,30.658924
"2017-05-05",30.881,31.082,30.39,30.41,703100,30.329794
"2017-05-08",30.581,30.871,30.45,30.5,599400,30.419556
"2017-05-09",30.831,31.061,30.46,30.5,551700,30.419556
"2017-05-10",30.671,31.152,30.392,31,769600,30.918238
"2017-05-11",31.122,31.303,30.49,30.870001,381100,30.788582
"2017-05-12",30.821,30.902,30.17,30.25,328900,30.170216
"2017-05-15",30.31,30.731,30.23,30.33,372800,30.250004
"2017-05-16",30.5,30.661,30.119,30.52,295700,30.439505
"2017-05-17",30.601,30.601,29.939,29.99,676400,29.910902
"2017-05-18",30.009,30.24,29.85,30.049999,332000,29.970741
"2017-05-19",30.21,30.601,30.114,30.35,439900,30.269953
"2017-05-22",32.415,32.415,31.212,31.809999,974000,31.726101
"2017-05-23",32.004,32.155,30.972,30.889999,532200,30.808527
"2017-05-24",31.162,31.764,31.032,31.639999,522500,31.556549
"2017-05-25",31.984,32.085,31.543,31.48,272900,31.396971
"2017-05-26",31.483,31.483,31.115,31.200001,235600,31.11771
"2017-05-30",31.182,31.353,31.062,31.09,265000,31.008001
"2017-05-31",31.202,31.328,30.962,31.040001,423200,30.958134
"2017-06-01",31.272,32.034,31.118,31.940001,328100,31.855759
"2017-06-02",32.014,32.516,31.954,32.27,379800,32.184887
"2017-06-05",32.295,33.087,32.215,32.77,474400,32.683571
"2017-06-06",32.606,32.977,32.348,32.419998,361100,32.334488
"2017-06-07",32.446,32.511,32.315,32.330002,259600,32.244732
"2017-06-08",32.385,32.606,32.205,32.43,254700,32.344467
"2017-06-09",32.666,32.689,31.152,31.360001,561800,31.27729
"2017-06-12",31.293,31.488,31.052,31.139999,488600,31.057869
"2017-06-13",31.463,31.664,31.172,31.559999,379200,31.476761
"2017-06-14",31.814,31.814,30.846,31,528700,30.918238
"2017-06-15",30.751,31.072,30.646,30.889999,538100,30.808527
"2017-06-16",30.891,31.413,30.806,31.299999,636200,31.217445
"2017-06-19",31.593,32.034,31.583,31.92,642000,31.835812
"2017-06-20",31.814,31.934,31.533,31.6,567900,31.516655
"2017-06-21",31.714,31.944,31.543,31.74,519400,31.656286
"2017-06-22",31.724,32.275,31.563,31.9,615100,31.815863
"2017-06-23",32.596,33.879,32.596,33.650002,3729800,33.561253
"2017-06-26",33.99,34.1,32.726,32.669998,583500,32.583832
"2017-06-27",32.716,32.721,32.355,32.490002,642100,32.404308
"2017-06-28",32.827,33.348,32.736,32.860001,338200,32.773331
"2017-06-29",32.887,33.007,32.155,32.470001,570700,32.384361
"2017-06-30",32.566,32.832,32.446,32.5,453700,32.41428
"2017-07-03",32.706,32.927,32.636,32.650002,221900,32.563889
"2017-07-05",32.696,32.902,32.426,32.639999,298800,32.553913
"2017-07-06",32.426,32.546,31.433,31.35,886800,31.267315
"2017-07-07",31.573,31.864,31.453,31.74,478400,31.656286
"2017-07-10",32.395,32.395,31.934,32.09,429300,32.00536
"2017-07-11",32.285,32.486,32.014,32.32,256600,32.234753
"2017-07-12",32.446,33.438,32.446,33.27,630800,33.182251
"2017-07-13",33.418,33.503,33.188,33.25,273800,33.162304
"2017-07-14",33.288,33.909,33.147,33.689999,296600,33.601139
"2017-07-17",33.849,34.1,33.589,33.990002,506000,33.900352
"2017-07-18",34.05,34.17,33.649,34,452100,33.910324
"2017-07-19",34.09,35.153,34.09,34.98,465000,34.887741
"2017-07-20",35.333,35.654,34.802,35.349998,569500,35.25676
"2017-07-21",35.474,35.744,35.028,35.610001,462100,35.516079
"2017-07-24",35.704,35.935,35.339,35.740002,600500,35.645737
"2017-07-25",36.055,36.556,35.754,36.23,898400,36.134441
"2017-07-26",36.406,36.406,35.353,35.34,308000,35.246792
"2017-07-27",35.464,35.875,34.723,35.080002,246500,34.98748
"2017-07-28",35.223,35.484,35.103,35.369999,171400,35.276711
"2017-07-31",35.454,35.644,35.193,35.259998,324600,35.167
"2017-08-01",37.298,37.499,35.754,36.490002,863000,36.393757
"2017-08-02",36.947,37.048,35.985,36.27,587000,36.174339
"2017-08-03",36.366,36.366,35.525,35.82,337400,35.774841
"2017-08-04",35.915,36.025,35.505,35.709999,221200,35.664978
"2017-08-07",35.995,36.466,35.885,36.189999,365600,36.144375
"2017-08-08",36.266,36.346,35.995,36.09,413300,36.044502
"2017-08-09",35.835,35.985,35.455,35.59,364700,35.545132
"2017-08-10",35.535,35.845,34.929,34.919998,284200,34.875973
"2017-08-11",34.594,35.545,34.423,35.23,348800,35.185585
"2017-08-14",35.645,35.875,35.154,35.299999,520500,35.255497
"2017-08-15",35.455,35.51,34.864,35.009998,449500,34.965862
"2017-08-16",35.124,35.49,35.024,35.18,316100,35.135651
"2017-08-17",35.134,35.385,34.493,34.650002,481200,34.606319
"2017-08-18",34.564,35.555,34.54,35.16,261200,35.115673
"2017-08-21",35.174,35.259,34.634,34.900002,395600,34.856003
"2017-08-22",35.034,35.505,34.994,35.400002,349700,35.355373
"2017-08-23",35.114,35.865,35.064,35.689999,238900,35.645004
"2017-08-24",35.865,36.035,35.405,35.849998,226100,35.804802
"2017-08-25",35.995,36.005,35.405,35.52,158600,35.47522
"2017-08-28",35.675,35.885,35.465,35.5,307800,35.455246
"2017-08-29",35.305,35.905,35.094,35.650002,350100,35.605057
"2017-08-30",35.795,36.106,35.575,36,282000,35.954617
"2017-08-31",36.236,37.277,36.085,36.93,468400,36.883442
"2017-09-01",36.846,37.557,36.816,37.450001,308300,37.402786
"2017-09-05",37.367,37.537,36.646,37,266900,36.953354
"2017-09-06",37.147,37.467,36.957,37.16,372600,37.113152
"2017-09-07",37.247,37.417,36.987,37.200001,256000,37.153103
"2017-09-08",37.187,37.402,36.937,37.200001,274100,37.153103
"2017-09-11",37.497,37.928,37.057,37.400002,365400,37.352852
"2017-09-12",37.557,37.948,37.447,37.689999,234800,37.642483
"2017-09-13",37.547,38.048,37.427,37.900002,387600,37.852222
"2017-09-14",37.838,38.278,37.768,37.82,245100,37.77232
"2017-09-15",38.068,38.288,37.828,37.98,732300,37.932117
"2017-09-18",38.058,38.433,38.028,38.290001,472500,38.24173
"2017-09-19",38.378,38.378,37.718,37.700001,432100,37.652473
"2017-09-20",37.768,38.004,37.557,37.84,581300,37.792294
"2017-09-21",37.968,38.028,37.337,37.450001,234000,37.402786
"2017-09-22",37.417,37.918,37.237,37.84,310900,37.792294
"2017-09-25",37.818,38.058,37.738,37.950001,334200,37.902157
"2017-09-26",38.038,38.629,37.487,37.450001,672100,37.402786
"2017-09-27",37.607,38.118,37.317,38.040001,486000,37.992043
"2017-09-28",37.868,38.589,37.758,38.509998,343300,38.461449
"2017-09-29",38.689,39.239,38.659,38.82,695400,38.771061
"2017-10-02",38.929,39.49,38.799,39.16,658400,39.11063
"2017-10-03",39.4,39.72,39.099,39.580002,411800,39.530102
"2017-10-04",39.58,39.76,38.519,38.5,855000,38.451462
"2017-10-05",38.589,38.929,38.128,38.23,735000,38.181805
"2017-10-06",38.268,38.669,38.048,38.619999,820800,38.571312
"2017-10-09",38.709,38.939,38.278,38.470001,323400,38.421501
"2017-10-10",38.689,39.209,38.549,38.900002,523100,38.85096
"2017-10-11",38.929,39.58,38.829,39.09,310400,39.040718
"2017-10-12",39.069,39.56,38.979,39.450001,431900,39.400265
"2017-10-13",39.65,40.261,39.57,40.200001,437400,40.149323
"2017-10-16",40.171,40.511,39.48,39.439999,534100,39.390278
"2017-10-17",39.54,39.775,39.471,39.470001,227200,39.420242
"2017-10-18",39.62,39.86,39.56,39.610001,281600,39.560066
"2017-10-19",39.41,39.486,38.919,39.139999,292400,39.090656
"2017-10-20",39.44,39.76,39.35,39.689999,184700,39.639961
"2017-10-23",39.71,39.907,39.46,39.68,232000,39.629974
"2017-10-24",39.79,40.321,39.6,40.02,276000,39.969547
"2017-10-25",39.97,40.221,39.48,39.91,386300,39.859684
"2017-10-26",40.211,41.151,39.95,40.959999,372100,40.90836
"2017-10-27",41.152,41.362,40.741,41.259998,351800,41.207981
"2017-10-30",41.352,41.372,40.841,41.240002,279300,41.188011
"2017-10-31",41.362,42.143,40.902,42.080002,411700,42.026951
"2017-11-01",42.283,42.554,40.942,41.169998,540400,41.118095
"2017-11-02",41.152,41.192,40.601,40.709999,452300,40.658676
"2017-11-03",40.922,41.612,40.801,41.549999,206900,41.497616
"2017-11-06",41.562,42.343,41.502,42.130001,338000,42.076889
"2017-11-07",42.103,42.218,41.442,42.099998,424000,42.046925
"2017-11-08",41.913,42.794,41.913,42.5,562600,42.446419
"2017-11-09",42.103,42.654,39.37,39.66,874900,39.610001
"2017-11-10",40.31,40.59,38.97,39.07,627600,39.07
