"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",55.488,56.61,54.856,54.040001,1017200,52.990005
"2017-01-04",55.366,56.528,55.305,55.220001,568200,54.147079
"2017-01-05",56.345,56.345,54.764,54.27,471400,53.215534
"2017-01-06",55.825,55.947,55.264,54.389999,399400,53.333206
"2017-01-09",54.907,54.907,53.979,53.080002,795800,52.04866
"2017-01-10",54.173,55.029,53.683,53.68,551200,52.637001
"2017-01-11",54.703,55.366,54.417,54.139999,473100,53.088062
"2017-01-12",54.988,55.121,53.754,53.130001,941800,52.097691
"2017-01-13",54.805,55.947,54.662,53.93,505200,52.882145
"2017-01-17",54.366,54.713,53.051,52.16,614200,51.14653
"2017-01-18",53.571,53.571,52.939,52.240002,985200,51.224983
"2017-01-19",53.795,53.795,52,51.84,1301100,50.832748
"2017-01-20",52.786,53.652,52.745,52.34,550700,51.323036
"2017-01-23",53.234,53.438,52.531,51.82,373700,50.813141
"2017-01-24",53.204,54.285,52.969,53.029999,488900,51.999626
"2017-01-25",54.744,55.855,54.662,54.540001,1006800,53.480293
"2017-01-26",55.753,56.131,55.356,54.849998,654900,53.784267
"2017-01-27",55.784,55.784,54.876,54.110001,376300,53.058643
"2017-01-30",54.631,54.631,53.173,52.779999,603500,51.754486
"2017-01-31",53.703,53.938,53.224,52.52,649300,51.499538
"2017-02-01",54.428,55.172,52.939,52.240002,979000,51.224983
"2017-02-02",52.857,53.245,52.408,51.77,1340000,50.764114
"2017-02-03",53.469,54.825,53.367,53.68,558000,52.637001
"2017-02-06",54.111,54.479,53.347,52.470001,540200,51.450512
"2017-02-07",53.785,53.856,52.643,52.029999,570400,51.019058
"2017-02-08",52.684,52.684,51.858,51.509998,637700,50.509167
"2017-02-09",52.837,53.846,52.663,52.630001,424400,51.607399
"2017-02-10",53.377,53.722,52.951,52.619999,823600,51.843861
"2017-02-13",53.733,54.727,53.641,53.709999,646800,52.917782
"2017-02-14",54.514,55.945,54.25,54.970001,1005000,54.159203
"2017-02-15",56.331,56.554,55.793,55.509998,541400,54.691235
"2017-02-16",56.229,56.473,55.864,55.630001,414300,54.809464
"2017-02-17",55.996,56.777,55.61,55.880001,597200,55.055775
"2017-02-21",56.899,57.234,56.311,56.029999,415000,55.20356
"2017-02-22",56.686,57.143,56.3,56.07,415900,55.242973
"2017-02-23",56.899,56.94,56.016,55.860001,413100,55.036076
"2017-02-24",55.834,56.382,55.691,55.189999,488300,54.375954
"2017-02-27",55.996,56.26,55.884,55.389999,612400,54.573002
"2017-02-28",55.823,56.311,55.235,54.93,538800,54.119789
"2017-03-01",57.163,58.361,56.564,57.330002,917100,56.48439
"2017-03-02",57.671,57.671,56.158,55.330002,828200,54.513893
"2017-03-03",56.443,57.112,56.179,56.110001,476800,55.282383
"2017-03-06",56.422,57.021,56.138,55.84,379500,55.016369
"2017-03-07",56.625,56.818,55.965,55.220001,579100,54.405514
"2017-03-08",56.94,57.376,55.468,54.709999,614500,53.903034
"2017-03-09",55.864,56.057,55.042,54.299999,784100,53.499081
"2017-03-10",55.691,55.834,53.804,53.84,1058000,53.045868
"2017-03-13",54.646,55.438,54.402,54.290001,473200,53.489227
"2017-03-14",54.626,55.346,54.22,54.41,476500,53.60746
"2017-03-15",55.529,55.905,53.956,53.68,721500,52.888229
"2017-03-16",54.951,55.712,54.616,54.360001,541300,53.558193
"2017-03-17",55.387,55.509,54.108,54.029999,1490700,53.233067
"2017-03-20",54.748,54.748,53.925,53.200001,455800,52.41531
"2017-03-21",54.575,54.575,50.921,50.41,1217000,49.666458
"2017-03-22",50.688,51.672,49.723,50,1379000,49.262508
"2017-03-23",50.677,51.916,50.393,50.380001,1047700,49.636902
"2017-03-24",51.388,51.682,50.424,49.77,1127200,49.035896
"2017-03-27",49.267,49.693,48.302,48.849998,1348400,48.129471
"2017-03-28",49.419,50.15,48.982,49.09,1291100,48.365925
"2017-03-29",49.663,49.764,48.8,48.93,989400,48.208294
"2017-03-30",49.784,51.642,49.723,50.630001,1090300,49.883217
"2017-03-31",51.236,51.439,50.728,50.040001,739300,49.301914
"2017-04-03",50.952,51.144,49.794,49.599998,1053000,48.868404
"2017-04-04",50.079,50.799,49.784,49.700001,640800,48.96693
"2017-04-05",51.073,51.307,49.135,48.639999,778900,47.922569
"2017-04-06",49.368,50.373,48.922,49.349998,652200,48.622093
"2017-04-07",49.378,49.967,48.982,48.610001,922800,47.893009
"2017-04-10",49.378,49.845,48.637,48.400002,425500,47.686108
"2017-04-11",48.851,49.49,48.445,48.75,680600,48.030945
"2017-04-12",49.419,49.561,48.516,48.060001,406100,47.351124
"2017-04-13",48.374,48.911,47.643,46.990002,763700,46.296906
"2017-04-17",47.846,48.891,47.551,48.130001,681700,47.420094
"2017-04-18",48.333,49.023,47.896,47.860001,637300,47.154072
"2017-04-19",49.135,49.744,48.79,48.299999,642600,47.587578
"2017-04-20",49.419,50.414,49.216,49.580002,1168500,48.848705
"2017-04-21",50.759,51.652,50.474,50.259998,1233700,49.518669
"2017-04-24",52.535,53.925,51.966,51.259998,997100,50.503922
"2017-04-25",52.667,53.448,52.22,51.98,1068600,51.213303
"2017-04-26",52.687,54.281,52.687,52.970001,808000,52.188702
"2017-04-27",53.814,53.844,52.596,52.02,830300,51.252708
"2017-04-28",52.778,52.961,51.51,50.810001,699300,50.060562
"2017-05-01",52.017,52.545,51.063,51.490002,797600,50.730534
"2017-05-02",52.149,52.332,51.104,50.880001,627900,50.129528
"2017-05-03",51.327,52.362,51.124,51.43,607600,50.67141
"2017-05-04",52.219,53.158,52.077,52.529999,1238500,52.018162
"2017-05-05",53.198,53.198,51.966,52.169998,637200,51.661671
"2017-05-08",52.683,52.966,51.805,52.439999,924700,51.929039
"2017-05-09",53.017,53.279,52.118,51.880001,1029900,51.374496
"2017-05-10",52.249,52.542,51.643,51.139999,929500,50.641705
"2017-05-11",51.421,51.562,50.128,50.23,654100,49.740574
"2017-05-12",49.704,50.32,49.391,49.709999,619900,49.225639
"2017-05-15",50.351,50.825,50.229,50.080002,427500,49.592037
"2017-05-16",50.704,50.785,49.866,50.099998,484000,49.611839
"2017-05-17",50.593,50.593,48.159,48.09,881700,47.621426
"2017-05-18",48.462,49.593,48.412,48.529999,492600,48.057137
"2017-05-19",49.038,49.815,48.725,48.82,647600,48.344311
"2017-05-22",49.523,49.785,48.967,49.18,501100,48.700806
"2017-05-23",49.856,50.785,49.422,50.099998,471700,49.611839
"2017-05-24",50.593,50.946,49.977,49.990002,400200,49.502911
"2017-05-25",50.583,50.997,50.219,49.950001,351000,49.463303
"2017-05-26",50.169,50.341,49.644,49.52,471500,49.037491
"2017-05-30",49.815,49.836,48.896,48.970001,432400,48.492851
"2017-05-31",49.573,49.573,48.381,48.720001,632800,48.245285
"2017-06-01",49.573,50.3,48.775,49.57,920600,49.087006
"2017-06-02",49.381,50.876,49.149,49.419998,507700,48.938465
"2017-06-05",49.997,50.643,49.785,49.650002,709100,49.166225
"2017-06-06",49.543,49.926,49.139,49.130001,456100,48.651295
"2017-06-07",49.896,50.472,49.613,49.75,558200,49.265251
"2017-06-08",50.26,52.885,50.017,51.790001,779900,51.285374
"2017-06-09",52.764,54.683,52.643,53.740002,751300,53.216373
"2017-06-12",54.44,55.501,54.39,54.299999,1000500,53.770916
"2017-06-13",55.339,55.43,54.107,54.259998,921400,53.731304
"2017-06-14",53.804,54.38,52.916,53.66,604600,53.137154
"2017-06-15",53.744,54.764,53.491,53.279999,746700,52.760853
"2017-06-16",53.501,53.633,52.936,52.880001,1216600,52.364754
"2017-06-19",53.855,54.259,52.936,52.68,778400,52.166702
"2017-06-20",53.077,53.077,51.997,51.830002,843100,51.324986
"2017-06-21",52.421,53.239,51.492,51.07,652600,50.572388
"2017-06-22",51.492,51.573,50.532,50.5,711500,50.007942
"2017-06-23",51.33,51.653,50.512,50.130001,9318900,49.641552
"2017-06-26",50.926,51.603,50.472,50.630001,1071500,50.136677
"2017-06-27",51.623,51.663,50.997,50.540001,975800,50.047554
"2017-06-28",51.845,52.572,51.714,51.310001,1397300,50.810055
"2017-06-29",53.41,53.703,51.987,52.369999,1072500,51.859722
"2017-06-30",53.128,53.128,51.976,52.220001,806400,51.711185
"2017-07-03",53.32,54.895,53.178,53.830002,469600,53.305496
"2017-07-05",54.531,54.733,53.713,54.009998,960100,53.483742
"2017-07-06",54.541,55.582,54.178,54.060001,1366100,53.53326
