"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",38.505,38.752,37.893,35.630001,484600,33.191612
"2017-01-04",38.333,39.128,38.333,36.43,658100,33.936867
"2017-01-05",38.816,39.289,38.484,36.57,618300,34.067284
"2017-01-06",39.031,39.385,39.031,36.580002,520800,34.076599
"2017-01-09",39.278,39.3,38.419,35.950001,568500,33.489712
"2017-01-10",38.484,38.516,38.044,35.52,532700,33.089142
"2017-01-11",38.011,38.376,38.011,35.450001,675600,33.023933
"2017-01-12",38.054,38.655,37.99,36.009998,775400,33.545605
"2017-01-13",38.494,38.795,38.387,35.939999,430200,33.480396
"2017-01-17",38.698,38.999,38.537,36.299999,600700,33.815762
"2017-01-18",38.913,39.031,38.655,36.349998,915300,33.862339
"2017-01-19",38.645,38.827,38.473,35.950001,685400,33.489712
"2017-01-20",38.527,39.149,38.473,36.43,591300,33.936867
"2017-01-23",39.128,39.418,38.935,36.700001,534500,34.188385
"2017-01-24",39.31,39.525,39.085,36.59,630000,34.085911
"2017-01-25",39.3,39.461,39.02,36.369999,833000,33.88097
"2017-01-26",39.063,39.364,38.645,36.02,408400,33.554924
"2017-01-27",38.688,38.859,37.883,35.369999,420500,32.949406
"2017-01-30",37.936,38.205,37.657,35.279999,487200,32.865562
"2017-01-31",37.958,38.516,37.958,35.630001,463400,33.191612
"2017-02-01",38.119,38.473,37.432,34.919998,388800,32.530197
"2017-02-02",37.603,38.097,37.41,35.419998,652000,32.995983
"2017-02-03",38.323,38.516,37.915,35.720001,546100,33.275455
"2017-02-06",38.333,38.58,38.205,35.82,642000,33.368607
"2017-02-07",38.494,38.645,37.732,35.240002,719400,32.828308
"2017-02-08",37.947,38.419,37.915,35.759998,391900,33.31271
"2017-02-09",38.409,38.666,38.248,35.959999,406500,33.499027
"2017-02-10",38.462,39.106,38.333,36.360001,283600,33.871655
"2017-02-13",39.138,39.224,38.774,36.299999,507400,33.815762
"2017-02-14",38.774,38.935,38.462,35.98,412000,33.517658
"2017-02-15",38.28,38.387,37.861,35.669998,635700,33.22887
"2017-02-16",38.28,38.752,38.28,35.970001,584000,33.508347
"2017-02-17",38.634,38.741,38.011,35.77,443500,33.322029
"2017-02-21",38.301,38.935,38.269,36.200001,595400,33.722607
"2017-02-22",39.407,39.482,38.816,36.490002,889200,33.99276
"2017-02-23",39.203,39.203,38.698,36.389999,721600,33.899601
"2017-02-24",38.859,39.16,38.505,36.220001,887200,33.741234
"2017-02-27",38.956,39.171,38.688,36.279999,583400,33.797127
"2017-02-28",38.849,38.849,38.044,35.470001,930000,33.042564
"2017-03-01",37.829,38.205,37.518,35.029999,791400,32.632675
"2017-03-02",37.603,37.603,36.895,34.759998,1519800,32.381149
"2017-03-03",37.292,37.593,36.541,34.73,1569500,32.353207
"2017-03-06",36.433,36.486,35.881,33.84,728800,31.877493
"2017-03-07",35.785,35.891,35.318,33.299999,892700,31.368807
"2017-03-08",34.819,35.063,34.151,32.220001,897100,30.351444
"2017-03-09",34.182,34.363,33.45,31.549999,1261400,29.720297
"2017-03-10",33.864,34.044,33.046,31.370001,1564400,29.550737
"2017-03-13",33.418,33.779,33.322,31.74,1338000,29.899277
"2017-03-14",33.63,34.151,33.439,32.130001,1212800,30.266663
"2017-03-15",34.172,35.074,34.14,32.889999,1252000,30.982582
"2017-03-16",34.883,35.117,34.745,32.860001,1250800,30.954325
"2017-03-17",34.904,35.265,34.639,33.209999,1751800,31.284029
"2017-03-20",35.106,35.584,35.106,33.16,1222400,31.236927
"2017-03-21",35.191,35.541,35.085,33.43,1254800,31.491266
"2017-03-22",35.552,35.552,34.904,33.169998,1441600,31.246344
"2017-03-23",35.244,36.157,35.17,33.650002,1362900,31.698511
"2017-03-24",35.722,36.029,35.626,33.75,1023500,31.792711
"2017-03-27",35.796,36.008,34.692,32.740002,1290500,30.841286
"2017-03-28",34.671,34.957,34.384,32.869999,992600,30.963745
"2017-03-29",34.83,35.18,34.628,33.07,965000,31.152145
"2017-03-30",35.01,35.318,34.596,33.220001,792800,31.293447
"2017-03-31",35.233,35.52,35.233,33.389999,806300,31.453588
"2017-04-03",35.435,35.828,35.424,33.619999,994300,31.670248
"2017-04-04",35.7,35.902,35.52,33.630001,876000,31.67967
"2017-04-05",35.722,35.764,35.488,33.490002,1083100,31.547792
"2017-04-06",35.552,35.722,35.329,33.580002,813100,31.632574
"2017-04-07",35.669,35.796,35.52,33.5,1069900,31.557211
"2017-04-10",35.541,36.072,35.467,33.889999,469400,31.924593
"2017-04-11",35.976,36.401,35.849,34.25,1047500,32.263714
"2017-04-12",36.263,36.613,36.199,34.360001,876900,32.367336
"2017-04-13",36.454,36.55,36.284,34.349998,600400,32.357914
"2017-04-17",36.571,37.038,36.539,34.880001,909700,32.857182
"2017-04-18",36.985,37.473,36.868,35.259998,1114300,33.215141
"2017-04-19",37.325,37.813,37.325,35.27,970000,33.224564
"2017-04-20",37.484,37.611,37.197,35.150002,703000,33.111519
"2017-04-21",37.367,37.632,37.049,35.029999,700600,32.998482
"2017-04-24",37.261,37.452,36.369,34.389999,1023600,32.395596
"2017-04-25",36.454,36.645,35.722,33.860001,1754300,31.896334
"2017-04-26",35.913,36.093,35.393,33.369999,1183700,31.434748
