"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",31.37,31.702,31.246,30.360001,2650200,29.256657
"2017-01-04",31.64,32.045,31.536,30.629999,3678500,29.516838
"2017-01-05",31.64,32.159,31.609,30.950001,3548000,29.825212
"2017-01-06",32.055,32.221,31.827,30.85,2679300,29.728846
"2017-01-09",32.273,32.688,32.034,30.969999,4003900,29.844486
"2017-01-10",32.128,32.262,31.744,30.73,3687200,29.613205
"2017-01-11",31.899,32.211,31.681,30.959999,2322900,29.834848
"2017-01-12",31.941,31.951,31.557,30.57,3958700,29.459023
"2017-01-13",31.671,31.982,31.661,30.639999,3611000,29.526476
"2017-01-17",31.806,32.003,31.609,30.6,2115400,29.487932
"2017-01-18",31.733,31.941,31.588,30.5,2613500,29.391565
"2017-01-19",31.723,31.879,31.183,30.209999,4006500,29.112106
"2017-01-20",31.412,31.598,31.007,30.23,6518900,29.131376
"2017-01-23",31.38,31.754,31.308,30.43,3615900,29.324108
"2017-01-24",31.733,32.314,31.702,31.129999,5071900,29.998671
"2017-01-25",32.522,33.528,32.522,32.189999,6386900,31.020145
"2017-01-26",33.29,33.487,32.906,31.799999,9356800,30.64432
"2017-01-27",32.999,33.051,32.252,31.24,4277900,30.104671
"2017-01-30",32.304,32.429,32.024,31.16,3849400,30.02758
"2017-01-31",32.377,32.698,32.231,31.33,4425300,30.191401
"2017-02-01",32.512,32.678,31.91,31.110001,3624600,29.979399
"2017-02-02",32.148,32.688,31.951,31.440001,5669400,30.297403
"2017-02-03",32.242,33.445,32.107,32.110001,5458900,30.943056
"2017-02-06",33.041,33.259,32.2,31.42,5825100,30.278131
"2017-02-07",32.75,33.383,32.48,32.049999,5699400,30.885235
"2017-02-08",33.352,33.944,33.311,32.41,5467700,31.232151
"2017-02-09",33.643,34.421,33.622,33.169998,7199100,31.964533
"2017-02-10",34.338,34.577,34.099,33.16,4083900,31.954897
"2017-02-13",34.483,35.282,34.4,33.790001,7372400,32.562004
"2017-02-14",34.784,34.836,34.213,33.290001,4166200,32.080177
"2017-02-15",34.556,34.971,34.224,33.66,4667900,32.436722
"2017-02-16",34.981,35.054,34.608,33.52,3402200,32.301811
"2017-02-17",34.732,34.888,34.597,33.52,2754700,32.301811
"2017-02-21",34.774,35.386,34.701,33.98,3641100,32.745094
"2017-02-22",35.23,35.282,34.784,33.759998,2360300,32.533089
"2017-02-23",35.158,35.22,34.826,33.66,3555100,32.436722
"2017-02-24",34.794,35.002,34.514,33.470001,4561500,32.253635
"2017-02-27",34.898,35.386,34.722,33.939999,3649200,32.706547
"2017-02-28",34.888,35.344,34.846,33.720001,3792500,32.494541
"2017-03-01",34.608,35.153,34.434,34.07,4320500,33.136459
"2017-03-02",35.03,35.338,34.783,34.189999,4477500,33.25317
"2017-03-03",35.02,35.164,34.649,34.139999,3239200,33.204544
"2017-03-06",34.896,34.978,34.413,33.720001,3228800,32.796047
"2017-03-07",34.547,34.639,34.29,33.470001,2418100,32.552898
"2017-03-08",34.382,34.783,34.331,33.599998,2979400,32.679337
"2017-03-09",34.454,34.855,34.094,33.220001,3916700,32.309753
"2017-03-10",34.156,34.619,34.156,33.279999,2767200,32.368107
"2017-03-13",34.269,34.485,34.094,33.34,2119100,32.426464
"2017-03-14",34.187,34.279,33.878,33.310001,2210600,32.397289
"2017-03-15",34.444,34.958,34.084,33.880001,4321500,32.951668
"2017-03-16",34.773,34.958,34.629,33.740002,3073200,32.815506
"2017-03-17",34.814,34.876,34.115,33.200001,5014500,32.290298
"2017-03-20",34.197,34.464,33.796,33.380001,3719000,32.465366
"2017-03-21",34.505,34.567,33.95,33.080002,4433100,32.173588
"2017-03-22",34.012,34.32,33.662,33.16,3507600,32.251392
"2017-03-23",34.084,34.649,33.93,33.470001,3467000,32.552898
"2017-03-24",34.372,34.536,33.847,33.130001,3401500,32.222218
"2017-03-27",33.878,34.505,33.755,33.509998,4018300,32.591801
"2017-03-28",34.269,34.742,34.218,33.630001,2450000,32.708515
"2017-03-29",34.495,34.567,34.238,33.529999,1932500,32.611259
"2017-03-30",34.413,34.876,34.31,33.889999,2309700,32.961391
"2017-03-31",34.701,35.194,34.536,33.98,3408400,33.048923
"2017-04-03",34.958,35.163,34.331,33.709999,3730400,32.786327
"2017-04-04",34.557,34.937,34.444,33.959999,2527200,33.029476
"2017-04-05",35.009,35.369,34.865,33.970001,3024600,33.0392
"2017-04-06",34.906,35.493,34.691,34.41,3155800,33.467144
"2017-04-07",35.39,35.935,35.287,34.860001,4725900,33.904812
"2017-04-10",35.852,36.171,35.678,34.73,3854000,33.778374
"2017-04-11",35.739,35.739,35.081,34.639999,5591800,33.690842
"2017-04-12",35.369,35.708,35.277,34.580002,3235300,33.632492
"2017-04-13",35.595,35.77,35.379,34.43,2780700,33.486595
"2017-04-17",35.4,35.965,35.4,34.959999,2882900,34.002071
"2017-04-18",35.76,35.996,35.647,34.759998,2657600,33.807556
"2017-04-19",35.863,36.037,35.081,34.490002,5359600,33.544952
"2017-04-20",35.544,35.842,35.503,34.779999,4268800,33.827003
"2017-04-21",35.729,35.75,35.39,34.560001,4338800,33.613033
"2017-04-24",35.986,35.986,35.441,34.889999,5779400,33.933994
"2017-04-25",35.842,35.842,34.814,34,7561600,33.068378
"2017-04-26",34.896,35.554,34.896,34.259998,8544700,33.321251
"2017-04-27",35.225,35.904,35.225,34.669998,4671100,33.72002
"2017-04-28",36.459,36.5,34.701,33.869999,6613800,32.94194
"2017-05-01",34.701,34.824,34.29,33.580002,4346800,32.659889
"2017-05-02",34.516,34.691,34.341,33.700001,7617000,32.7766
"2017-05-03",34.68,34.804,34.094,33.259998,4535500,32.348652
"2017-05-04",34.197,34.197,33.755,33.099998,3556200,32.193039
"2017-05-05",34.033,34.516,33.93,33.549999,2219600,32.630707
"2017-05-08",34.526,34.619,34.197,33.34,2593700,32.426464
"2017-05-09",34.331,34.382,34.053,33.209999,2288500,32.300026
"2017-05-10",34.135,34.403,34.074,33.209999,2273600,32.300026
"2017-05-11",34.002,34.063,33.632,32.970001,2280100,32.066601
"2017-05-12",33.889,33.899,33.693,32.869999,1743000,31.969341
"2017-05-15",33.847,34.238,33.817,33.099998,1646600,32.193039
"2017-05-16",34.166,34.166,33.714,33.119999,1786800,32.21249
"2017-05-17",33.796,34.135,33.662,32.759998,2637200,31.86235
"2017-05-18",33.703,33.703,33.374,32.700001,2639100,31.803999
"2017-05-19",33.683,34.259,33.488,33.02,2925700,32.115231
"2017-05-22",33.95,34.156,33.827,33.130001,2019100,32.222218
"2017-05-23",34.176,34.218,33.95,33.07,1977400,32.163857
"2017-05-24",34.084,34.218,33.961,33.18,3617500,32.270847
"2017-05-25",34.146,34.351,33.991,33.169998,2147900,32.26112
"2017-05-26",34.084,34.125,33.847,33.009998,1962900,32.105503
"2017-05-30",33.786,34.351,33.786,33.139999,4450100,32.231941
"2017-05-31",34.063,34.084,33.868,32.959999,4857500,32.056873
"2017-06-01",34.002,34.464,33.755,33.509998,3381400,32.591801
"2017-06-02",34.526,34.68,34.29,33.509998,2980500,32.591801
"2017-06-05",34.505,34.505,34.094,33.380001,2814300,32.465366
"2017-06-06",34.228,34.475,34.074,33.41,2236300,32.494541
"2017-06-07",33.819,33.9,33.503,33.02,2355200,32.416008
"2017-06-08",33.635,33.635,32.881,32.59,4339100,31.993876
"2017-06-09",33.207,33.859,33.177,33.23,4544800,32.622169
"2017-06-12",33.849,34.481,33.757,33.599998,3615000,32.985397
"2017-06-13",34.226,34.572,34.124,33.810001,2802200,33.191559
"2017-06-14",34.491,34.613,34.226,33.77,1926400,33.15229
"2017-06-15",34.226,34.623,34.206,33.599998,2719700,32.985397
"2017-06-16",34.369,34.521,34.175,33.66,3771800,33.0443
"2017-06-19",34.43,34.766,34.379,34.040001,1985700,33.417351
"2017-06-20",34.634,34.725,34.42,33.959999,1958900,33.33881
"2017-06-21",34.634,34.684,34.257,33.759998,2718800,33.142467
"2017-06-22",34.409,34.705,34.145,33.939999,1886200,33.319176
"2017-06-23",34.634,34.939,34.542,34.139999,5325900,33.515518
"2017-06-26",34.878,34.878,34.246,33.630001,3298400,33.014851
"2017-06-27",34.308,34.369,33.442,32.849998,3806500,32.249115
"2017-06-28",33.635,33.89,33.381,33.200001,1652300,32.592716
"2017-06-29",33.859,34.033,33.645,33.07,3038600,32.465092
"2017-06-30",33.819,34.257,33.666,33.5,3210500,32.887226
"2017-07-03",34.257,34.542,34.195,33.689999,1514000,33.073753
"2017-07-05",34.114,34.145,33.595,33.209999,2581300,32.602531
"2017-07-06",33.666,33.717,32.627,32.060001,12248800,31.47357
"2017-07-07",32.627,32.881,32.505,32.009998,3123700,31.42448
"2017-07-10",32.423,32.932,32.393,32.220001,3885800,31.630642
"2017-07-11",32.851,33.177,32.81,32.509998,4173700,31.915333
"2017-07-12",33.218,33.645,33.218,32.93,3744000,32.327652
"2017-07-13",33.605,33.666,33.187,32.720001,2681100,32.121498
"2017-07-14",33.33,33.849,33.269,33.150002,2290400,32.543633
"2017-07-17",33.829,34.073,33.645,33.400002,1776900,32.789059
"2017-07-18",33.941,34.063,33.635,33.080002,2017500,32.474911
"2017-07-19",33.808,34.481,33.808,33.82,2274100,33.201374
"2017-07-20",34.511,34.98,34.471,34,3669400,33.378078
"2017-07-21",34.572,35.102,34.542,34.43,2871700,33.800217
"2017-07-24",35.072,35.092,34.695,34.130001,2797600,33.505707
"2017-07-25",34.898,34.898,34.501,34.119999,2503600,33.495884
"2017-07-26",34.776,34.868,34.46,33.919998,2672700,33.299541
