"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",137.909,140.115,136.936,138.789993,1196800,138.408936
"2017-01-04",138.861,139.734,136.936,138.5,589300,138.11972
"2017-01-05",138.881,141.97,138.671,140.110001,1202400,139.725311
"2017-01-06",140.746,141.519,139.262,140.009995,640700,139.625565
"2017-01-09",138.811,140.917,138.039,139.360001,855200,138.977371
"2017-01-10",140.395,142.21,139.633,141.339996,963800,140.95192
"2017-01-11",142.391,144.547,140.857,142.470001,1247300,142.078827
"2017-01-12",144.557,144.697,138.34,138.839996,1134100,138.458801
"2017-01-13",138.931,140.426,137.628,139.649994,839300,139.266571
"2017-01-17",140.867,141.839,138.009,138.940002,787000,138.558517
"2017-01-18",138.209,140.085,137.618,138.339996,675700,137.960175
"2017-01-19",138.591,139.974,137.929,138.539993,548400,138.159622
"2017-01-20",140.556,141.348,137.788,137.979996,771000,137.601166
"2017-01-23",137.608,139.102,136.796,137.179993,703800,136.80336
"2017-01-24",138.941,139.673,137.538,138.300003,584500,137.920288
"2017-01-25",138.47,140.365,137.598,139.919998,915100,139.535828
"2017-01-26",141.358,143.273,140.706,141.160004,1140400,140.77243
"2017-01-27",141.188,141.669,138.48,139.449997,672100,139.067123
"2017-01-30",138.691,138.691,133.868,134.979996,991500,134.60939
"2017-01-31",135.552,135.763,133.998,135.210007,830000,134.83876
"2017-02-01",136.505,136.595,132.404,133.5,1278400,133.133469
"2017-02-02",134.249,134.469,131.872,132.619995,1043400,132.25589
"2017-02-03",133.266,135.432,131.982,134.869995,1135400,134.499695
"2017-02-06",136.194,136.595,131.3,131.199997,1131200,130.839783
"2017-02-07",130.017,130.218,126.457,127.379997,2061300,127.030258
"2017-02-08",126.527,128.052,122.847,127.190002,2355100,126.84079
"2017-02-09",128.182,130.548,128.182,129.639999,1249200,129.284058
"2017-02-10",131.431,133.396,131.08,131.679993,1273800,131.318451
"2017-02-13",131.852,133.816,131.06,132.729996,1182600,132.44603
"2017-02-14",133.385,136.602,131.882,136.25,1383400,135.958511
"2017-02-15",136.161,136.442,133.616,134.360001,1998000,134.07254
"2017-02-16",133.786,135.33,131.05,133.059998,2632600,132.77533
"2017-02-17",133.285,134.377,131.592,132.020004,1061300,131.737564
"2017-02-21",134.067,134.097,130.78,130.699997,1460300,130.42038
"2017-02-22",129.687,130.85,128.425,128.300003,1816200,128.025528
"2017-02-23",130.99,130.99,125.969,127.580002,893900,127.30706
"2017-02-24",126.611,127.914,125.759,126.029999,894800,125.760376
"2017-02-27",127.342,127.803,125.869,125.980003,1015600,125.710487
"2017-02-28",125.639,126.671,124.897,125.720001,872700,125.451035
"2017-03-01",127.573,129.257,126.972,128.449997,925300,128.175186
"2017-03-02",127.322,127.984,125.058,124.970001,804200,124.702652
"2017-03-03",125.649,127.212,125.258,125.610001,604500,125.341278
"2017-03-06",125.539,126.771,125.037,125.339996,848000,125.071846
"2017-03-07",125.919,126.03,124.276,124.25,904100,123.984184
"2017-03-08",124.206,124.587,119.425,119.459999,1291800,119.20443
"2017-03-09",119.055,121.37,118.353,120.910004,1108100,120.651329
"2017-03-10",122.231,122.231,118.844,119.230003,1192700,118.97493
"2017-03-13",119.165,120.979,119.105,120.589996,751400,120.332008
"2017-03-14",119.205,121.63,117.441,120.879997,1981800,120.621391
"2017-03-15",122.372,123.825,121.109,123,1435700,122.736862
"2017-03-16",123.264,123.554,120.979,121.050003,919700,120.791031
"2017-03-17",121.941,122.713,120.618,120.919998,1012100,120.661308
"2017-03-20",120.117,120.949,118.934,120.129997,847500,119.872993
"2017-03-21",120.558,121.249,118.574,118.470001,844400,118.216545
"2017-03-22",118.293,119.315,117.491,118.050003,755100,117.797447
"2017-03-23",118.413,119.415,117.251,117.120003,725900,116.869438
"2017-03-24",117.792,118.263,116.569,116.650002,712400,116.400444
"2017-03-27",115.257,118.012,114.966,117.260002,799200,117.00914
"2017-03-28",117.722,120.177,117.301,119.470001,844000,119.214409
"2017-03-29",119.325,122.272,119.145,121.559998,767500,121.299934
"2017-03-30",123.043,123.745,121.189,121.080002,1024700,120.820969
"2017-03-31",120.528,121.831,118.774,119.489998,1081100,119.23436
"2017-04-03",119.526,119.957,116.84,118.120003,1050000,117.867302
"2017-04-04",118.564,120.257,117.381,119.959999,931700,119.703362
"2017-04-05",121.259,121.62,117.471,117.660004,1263700,117.408287
"2017-04-06",117.812,118.854,117.03,118.139999,1369400,117.887253
"2017-04-07",118.624,119.055,117.592,118.220001,854900,117.967087
"2017-04-10",119.025,120.297,118.504,119.379997,868800,119.124603
"2017-04-11",119.436,121.089,118.524,120.739998,1123700,120.481689
"2017-04-12",120.929,124.186,120.347,121.910004,1534100,121.6492
"2017-04-13",121.841,122.602,118.844,119.059998,1153000,118.805283
"2017-04-17",119.215,120.147,118.694,119.800003,655500,119.543709
"2017-04-18",119.035,120.398,117.902,117.910004,1019500,117.657745
"2017-04-19",118.163,118.965,116.058,116.25,923100,116.001297
"2017-04-20",116.9,119.115,116.9,116.93,957900,116.679848
"2017-04-21",116.77,120.418,116.77,118.629997,1608400,118.376198
"2017-04-24",120.027,120.728,118.343,119.339996,916900,119.084679
"2017-04-25",119.606,121.771,119.005,120.849998,810400,120.591454
"2017-04-26",120.137,122.362,119.576,119.440002,839400,119.184486
"2017-04-27",118.724,118.784,115.317,116.639999,1021400,116.390465
"2017-04-28",117.992,117.992,116.048,116.68,663900,116.430382
"2017-05-01",117.101,117.652,116.569,116.330002,7e+05,116.081131
"2017-05-02",116.71,117.762,114.966,115.360001,788100,115.113205
"2017-05-03",115.417,119.375,115.166,118.239998,1445300,117.987038
"2017-05-04",117.05,117.05,114.385,115.830002,1452100,115.582199
"2017-05-05",116.76,120.788,116.339,120.300003,1367000,120.042633
"2017-05-08",120.147,122.602,119.576,121.910004,987300,121.6492
"2017-05-09",122.472,122.612,118.934,119.010002,1438200,118.755402
"2017-05-10",123.925,124.025,120.197,120.07,2205000,119.813133
"2017-05-11",120.828,121.459,118.134,118.279999,1144200,118.105644
"2017-05-12",118.455,118.795,116.572,117.290001,1144300,117.117111
"2017-05-15",120.177,120.187,117.133,117.190002,1425200,117.01725
"2017-05-16",117.714,118.274,116.752,117.160004,991900,116.987305
"2017-05-17",117.333,117.363,115.42,116.150002,1151200,115.97879
"2017-05-18",115.971,117.553,115.09,115.839996,1046700,115.669235
"2017-05-19",116.362,118.304,115.981,117.589996,1378300,117.416656
"2017-05-22",118.675,118.945,116.051,115.949997,1102200,115.779076
"2017-05-23",116.081,116.392,114.899,114.989998,921600,114.820488
"2017-05-24",115.44,115.44,113.177,113.559998,1295600,113.392601
"2017-05-25",113.547,115.61,110.613,110.980003,989200,110.816406
"2017-05-26",111.074,111.805,110.232,110.949997,712700,110.786446
"2017-05-30",109.902,110.162,107.539,107.68,1221400,107.521271
"2017-05-31",106.807,108.139,106.197,107.559998,1146300,107.401443
"2017-06-01",107.849,108.65,106.878,107.25,757700,107.091904
"2017-06-02",106.878,107.398,104.494,104.580002,885100,104.425842
"2017-06-05",103.643,104.454,102.401,102.709999,1456800,102.558594
"2017-06-06",102.541,104.134,102.301,103.940002,1775300,103.786781
"2017-06-07",102.942,103.953,98.916,99.830002,1998300,99.682846
"2017-06-08",99.977,100.458,98.355,98.610001,1503000,98.464645
"2017-06-09",98.886,101.059,98.345,99.889999,1785300,99.74276
"2017-06-12",100.869,102.391,99.517,100.18,1398400,100.032326
"2017-06-13",100.278,101.67,99.787,101.139999,1229300,100.990913
"2017-06-14",100.508,100.508,97.213,97.510002,1942400,97.366264
"2017-06-15",97.374,97.654,93.468,93.879997,1504500,93.741608
"2017-06-16",94.64,94.64,92.807,93.82,1955200,93.681702
"2017-06-19",94.039,94.419,92.717,93.449997,1211800,93.312241
"2017-06-20",92.436,94.589,91.475,94.010002,1847400,93.871422
"2017-06-21",93.187,94.469,91.415,92.32,1985600,92.183907
"2017-06-22",92.426,93.448,91.355,91.330002,706600,91.195374
"2017-06-23",91.395,93.288,91.395,93,2357300,92.862907
"2017-06-26",93.237,94.93,92.246,93.099998,1357500,92.962761
"2017-06-27",93.628,94.279,92.647,92.599998,824800,92.463493
"2017-06-28",92.737,94.319,92.426,93.32,873100,93.182434
"2017-06-29",93.728,95.711,93.698,94.25,1119900,94.111061
"2017-06-30",94.89,95.331,92.997,94.010002,1214800,93.871422
"2017-07-03",94.73,97.474,94.509,96.839996,663800,96.69725
"2017-07-05",96.042,96.272,94.099,94.25,1284100,94.111061
"2017-07-06",94.79,95.861,92.066,92.080002,1599800,91.944267
"2017-07-07",91.665,91.936,89.622,91.599998,979300,91.464973
"2017-07-10",91.405,92.817,91.204,92.220001,1002000,92.084061
"2017-07-11",92.426,94.069,91.465,93.449997,940600,93.312241
"2017-07-12",94.82,95.451,91.655,92.139999,1261900,92.004181
"2017-07-13",92.136,93.328,91.905,92.980003,938700,92.842949
"2017-07-14",93.408,94.549,93.137,93.82,903200,93.681702
"2017-07-17",93.518,94.96,93.518,94.129997,828800,93.991241
"2017-07-18",94.98,95.12,93.318,93.889999,1025500,93.751595
