"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",36.25,37.28,36.1,37.220001,1689600,37.220001
"2017-01-04",37.17,37.46,36.77,37.09,1120400,37.09
"2017-01-05",36.88,37.08,36.06,36.419998,2069500,36.419998
"2017-01-06",36.61,36.81,35.88,36.700001,1423900,36.700001
"2017-01-09",36.92,37.18,36.46,36.950001,1689000,36.950001
"2017-01-10",37.1,37.19,36.53,36.650002,1421300,36.650002
"2017-01-11",36.71,36.71,35.67,36.080002,1762400,36.080002
"2017-01-12",36.23,37,35.78,36.93,1537400,36.93
"2017-01-13",36.46,37.73,36.18,37.57,1784500,37.57
"2017-01-17",37.45,37.569,36.19,36.509998,2156800,36.509998
"2017-01-18",36.61,36.82,36.31,36.549999,954500,36.549999
"2017-01-19",36.73,36.95,36.57,36.599998,702500,36.599998
"2017-01-20",36.76,37.24,36.74,36.77,1030800,36.77
"2017-01-23",36.9,37.34,36.78,37.049999,1477400,37.049999
"2017-01-24",37.04,37.44,37.01,37.049999,944500,37.049999
"2017-01-25",37.2,37.41,36.59,36.630001,1085800,36.630001
"2017-01-26",36.66,36.84,36.11,36.66,753200,36.66
"2017-01-27",36.65,36.97,36.265,36.360001,804700,36.360001
"2017-01-30",36.13,36.275,35.51,35.865002,1083100,35.865002
"2017-01-31",35.86,35.98,35.02,35.380001,999600,35.380001
"2017-02-01",35.39,35.85,34.735,35.200001,1532600,35.200001
"2017-02-02",35.16,35.61,34.82,35.349998,930900,35.349998
"2017-02-03",35.62,36.08,35.36,35.93,1441800,35.93
"2017-02-06",36.08,36.99,36.02,36.619999,2543000,36.619999
"2017-02-07",36.74,38.05,36.74,36.869999,2918000,36.869999
"2017-02-08",34.37,35.01,33.47,34.52,6849800,34.52
"2017-02-09",34.6,34.88,32.9,34.009998,3002000,34.009998
"2017-02-10",34.05,34.57,33.73,34.419998,1709400,34.419998
"2017-02-13",34.55,35.31,34.52,35.189999,1872600,35.189999
"2017-02-14",36.39,37.02,35.76,36.299999,3316600,36.299999
"2017-02-15",36.3,36.48,35.92,36.009998,1226900,36.009998
"2017-02-16",36.19,36.32,34.99,35.189999,1382700,35.189999
"2017-02-17",35.02,35.49,34.984,35.389999,661000,35.389999
"2017-02-21",35.47,35.643,34.75,35.310001,1069900,35.310001
"2017-02-22",35.15,36.37,35.15,35.970001,1569300,35.970001
"2017-02-23",35.95,36.17,34.95,35.34,1164600,35.34
"2017-02-24",35.06,35.48,34.8,35.169998,1242400,35.169998
"2017-02-27",35.09,35.36,34.69,34.950001,1716800,34.950001
"2017-02-28",34.77,34.93,33.84,33.939999,1393300,33.939999
"2017-03-01",34.12,35.45,34.05,35.389999,1804400,35.389999
"2017-03-02",35.17,35.25,34.58,34.630001,768900,34.630001
"2017-03-03",34.47,34.86,34.16,34.849998,719500,34.849998
"2017-03-06",34.74,34.9,34.4,34.799999,584200,34.799999
"2017-03-07",34.64,35.26,34.55,35.16,864800,35.16
"2017-03-08",35.13,35.31,34.88,34.970001,447100,34.970001
"2017-03-09",34.82,35.44,34.75,35.220001,924100,35.220001
"2017-03-10",35.57,35.63,35.08,35.299999,601600,35.299999
"2017-03-13",35.58,36.16,35.42,36.130001,756100,36.130001
"2017-03-14",36.05,36.06,35.45,35.919998,659100,35.919998
"2017-03-15",36.04,36.815,35.63,36.75,760100,36.75
"2017-03-16",36.77,36.97,36.45,36.689999,739000,36.689999
"2017-03-17",36.65,36.65,36.245,36.360001,617100,36.360001
"2017-03-20",36.35,36.51,36.08,36.240002,603400,36.240002
"2017-03-21",36.31,36.48,35.16,35.169998,1528900,35.169998
"2017-03-22",35.11,35.64,35.03,35.290001,1100600,35.290001
"2017-03-23",35.19,35.19,33.43,33.529999,3454500,33.529999
"2017-03-24",33.66,34.02,33.25,33.709999,1134900,33.709999
"2017-03-27",33.05,34,32.91,33.849998,797800,33.849998
"2017-03-28",33.81,33.92,32.56,32.939999,1593300,32.939999
"2017-03-29",32.86,33.71,32.86,33.540001,821700,33.540001
"2017-03-30",33.45,33.525,32.87,33.279999,1027000,33.279999
"2017-03-31",33.06,33.74,33.02,33.669998,905100,33.669998
"2017-04-03",33.59,34.14,33.53,33.75,848300,33.75
"2017-04-04",33.75,33.95,33.502,33.93,753900,33.93
"2017-04-05",33.9,34.14,33.3,33.470001,1289800,33.470001
"2017-04-06",33.52,33.97,33.32,33.91,977100,33.91
"2017-04-07",34,34.25,33.77,34.119999,772600,34.119999
"2017-04-10",34.09,34.68,33.95,34.52,969200,34.52
"2017-04-11",34.41,34.66,34.29,34.509998,577500,34.509998
"2017-04-12",34.57,35,34.4,34.470001,998900,34.470001
"2017-04-13",34.45,34.9,34.29,34.619999,668100,34.619999
"2017-04-17",34.59,35.13,34.52,35.119999,625100,35.119999
"2017-04-18",35.07,35.7,34.87,35.650002,862900,35.650002
"2017-04-19",35.89,36.17,35.75,36.139999,516800,36.139999
"2017-04-20",36,36.41,35.89,36.330002,856400,36.330002
"2017-04-21",36.4,36.64,36.25,36.610001,646500,36.610001
"2017-04-24",36.73,37.07,36.51,36.869999,898600,36.869999
"2017-04-25",37.08,37.675,36.87,37.59,1080500,37.59
"2017-04-26",37.68,38.66,37.65,38.619999,1896100,38.619999
"2017-04-27",38.6,40.29,38.6,39.549999,2648600,39.549999
"2017-04-28",39.64,39.77,38.94,39,1277500,39
"2017-05-01",39.4,40.1,39.06,39.919998,1810800,39.919998
"2017-05-02",39.97,40.09,38.98,39.75,1242700,39.75
"2017-05-03",39.52,39.58,38.93,39.349998,1115400,39.349998
"2017-05-04",39.32,40.79,39.09,40.23,3480200,40.23
"2017-05-05",41.66,44,41.28,43.970001,4885700,43.970001
"2017-05-08",43.95,43.969,43.13,43.560001,1349200,43.560001
"2017-05-09",43.54,43.54,42.2,42.639999,1913000,42.639999
"2017-05-10",42.88,43.188,42.55,43.099998,1287300,43.099998
"2017-05-11",42.86,43.44,42.63,43.23,1031500,43.23
"2017-05-12",43.08,43.45,42.78,42.869999,1077600,42.869999
"2017-05-15",42.92,43.805,42.89,43.290001,992900,43.290001
"2017-05-16",43.24,44.49,42.96,44.389999,1577100,44.389999
"2017-05-17",43.52,43.79,41.3,41.369999,2417400,41.369999
"2017-05-18",41.37,41.93,41,41.529999,1676000,41.529999
"2017-05-19",41.92,42.46,40.98,41.040001,1610800,41.040001
"2017-05-22",41.07,41.73,41.07,41.27,1364600,41.27
"2017-05-23",41.32,42.66,41.13,42.630001,2097800,42.630001
"2017-05-24",42.57,43.8,42.42,43.540001,2097800,43.540001
"2017-05-25",43.92,43.92,43.13,43.23,1123700,43.23
"2017-05-26",43.38,43.5,42.93,43.34,1141400,43.34
"2017-05-30",43.41,43.64,43.08,43.490002,973100,43.490002
"2017-05-31",43.52,43.78,42.86,43.52,1400500,43.52
"2017-06-01",43.75,44.75,43.21,44.700001,1342600,44.700001
"2017-06-02",44.39,45.31,44.36,45.060001,714000,45.060001
"2017-06-05",44.97,45.15,44.66,44.73,574200,44.73
"2017-06-06",44.66,45.85,44.41,45.209999,1127500,45.209999
"2017-06-07",45.24,45.83,44.8,45.540001,1180700,45.540001
"2017-06-08",45.25,45.71,44.52,45.5,1178700,45.5
"2017-06-09",45.49,45.79,43.36,44.439999,3935700,44.439999
"2017-06-12",43.68,44.63,43.1,44.439999,1391900,44.439999
"2017-06-13",44.53,45.53,44.53,45.240002,1799500,45.240002
"2017-06-14",45.68,46.059,45.075,45.759998,1656500,45.759998
"2017-06-15",45.05,45.74,44.74,45.57,1017200,45.57
"2017-06-16",45.76,45.95,45.17,45.650002,870500,45.650002
"2017-06-19",45.75,46.86,45.725,46.759998,1307500,46.759998
"2017-06-20",46.94,47.61,46.5,47.549999,1611900,47.549999
"2017-06-21",47.74,49.08,47.64,48.48,2475300,48.48
"2017-06-22",48.71,49.3,47.88,49.259998,1374700,49.259998
"2017-06-23",49.26,51.12,49,51.040001,2002300,51.040001
"2017-06-26",50.95,51.23,49.83,50.32,2036300,50.32
"2017-06-27",49.85,50.39,48.09,48.18,1995800,48.18
"2017-06-28",48.67,48.93,47.86,48.720001,1037800,48.720001
"2017-06-29",48.61,48.79,47.23,48.02,982900,48.02
"2017-06-30",48.28,49.14,47.945,49.009998,1105500,49.009998
"2017-07-03",49.36,49.36,48.395,48.860001,801500,48.860001
"2017-07-05",48.94,49.3,48.17,48.720001,952100,48.720001
"2017-07-06",48.23,48.37,47.17,47.290001,1176600,47.290001
"2017-07-07",47.2,47.78,46.39,46.5,1734900,46.5
"2017-07-10",46.56,46.94,46.12,46.150002,1916600,46.150002
"2017-07-11",46.16,46.475,45.25,46.150002,2091300,46.150002
"2017-07-12",46.32,46.55,43.61,44.32,4897300,44.32
"2017-07-13",44.22,45.31,43.39,44.919998,3111600,44.919998
"2017-07-14",45.83,47.5,45.67,46.52,3193200,46.52
"2017-07-17",46.6,47.36,46.58,47.099998,2638200,47.099998
"2017-07-18",46.92,47.01,46.04,46.52,1337000,46.52
"2017-07-19",46.55,46.73,45.47,45.630001,1487600,45.630001
"2017-07-20",45.96,45.98,44.43,44.560001,1452600,44.560001
"2017-07-21",44.55,44.73,44.17,44.43,982300,44.43
"2017-07-24",44.59,44.86,44.2,44.73,860500,44.73
"2017-07-25",44.76,45.79,44.3,45.560001,914800,45.560001
"2017-07-26",45.76,45.76,45.07,45.439999,1001100,45.439999
"2017-07-27",45.62,46.01,44.201,44.919998,851700,44.919998
"2017-07-28",44.68,45.51,44.35,45.220001,544400,45.220001
"2017-07-31",45.39,45.43,44.36,45.16,972100,45.16
"2017-08-01",45.6,45.83,44.58,45.470001,899800,45.470001
"2017-08-02",45.76,45.76,44.58,45.459999,776400,45.459999
"2017-08-03",45.62,45.95,45.19,45.419998,451000,45.419998
"2017-08-04",45.52,45.86,45.04,45.240002,885500,45.240002
"2017-08-07",45.51,47.8,45.51,47.5,1934300,47.5
"2017-08-08",47.33,48.73,46.74,47.93,3426700,47.93
"2017-08-09",45.03,45.25,42.99,43.59,5372500,43.59
"2017-08-10",43.53,43.55,40.06,40.5,3977300,40.5
"2017-08-11",40.48,42.25,40.423,40.970001,1688800,40.970001
"2017-08-14",41.94,42,41.32,41.580002,1095400,41.580002
"2017-08-15",41.65,42.12,40.77,40.849998,1721900,40.849998
"2017-08-16",41.04,41.22,40.3,40.509998,1408100,40.509998
"2017-08-17",40.23,40.415,38.81,38.990002,1474100,38.990002
"2017-08-18",39.07,39.21,38.24,38.639999,1061500,38.639999
"2017-08-21",38.69,38.89,38.17,38.619999,1938700,38.619999
"2017-08-22",38.63,38.74,38.13,38.200001,1083200,38.200001
"2017-08-23",37.84,38.46,37.84,38.32,1054600,38.32
"2017-08-24",38.73,38.847,38,38.48,1151100,38.48
"2017-08-25",38.75,39.01,37.88,37.919998,1067800,37.919998
"2017-08-28",38.02,38.36,37.69,38.209999,563800,38.209999
"2017-08-29",37.82,39.6,37.76,39.439999,1276700,39.439999
"2017-08-30",39.73,39.73,39,39.400002,668800,39.400002
"2017-08-31",39.56,39.92,39.2,39.619999,710700,39.619999
"2017-09-01",39.82,39.95,39.41,39.669998,888700,39.669998
"2017-09-05",39.66,39.78,38.6,39.040001,453800,39.040001
"2017-09-06",39.21,39.29,38.48,38.799999,552800,38.799999
"2017-09-07",38.79,39.22,38.45,38.84,542700,38.84
"2017-09-08",38.72,38.79,37.68,37.799999,828100,37.799999
"2017-09-11",38.24,39.17,38,39.110001,780200,39.110001
"2017-09-12",39.41,40.945,38.8,40.610001,1627700,40.610001
"2017-09-13",40.21,40.457,38.13,39.049999,3942800,39.049999
"2017-09-14",38.75,40.09,38.52,40,1340000,40
"2017-09-15",39.8,40.64,39.58,40.34,1413400,40.34
"2017-09-18",40.56,40.981,40.3,40.77,910100,40.77
"2017-09-19",40.96,40.96,39.83,40.02,3011200,40.02
"2017-09-20",39.79,40.45,39.73,40.279999,607200,40.279999
"2017-09-21",40.09,40.34,39.63,39.919998,858100,39.919998
"2017-09-22",39.44,40.17,39.1,39.099998,728500,39.099998
"2017-09-25",38.77,39.17,38.25,39.110001,2538800,39.110001
"2017-09-26",39.6,39.83,38.76,39.02,1186400,39.02
"2017-09-27",39.33,39.91,39.08,39.18,797200,39.18
"2017-09-28",39.16,40.04,38.92,39.619999,1255700,39.619999
"2017-09-29",39.67,40.89,39.67,40.209999,2211800,40.209999
"2017-10-02",40.21,40.77,39.9,40.599998,876800,40.599998
"2017-10-03",40.8,41.09,40.43,40.950001,1202200,40.950001
"2017-10-04",41.03,42.06,40.97,41.91,1237000,41.91
"2017-10-05",41.75,42.05,41.04,41.689999,1082200,41.689999
"2017-10-06",41.42,42.41,41.3,42.119999,1125000,42.119999
"2017-10-09",42.31,42.98,42.08,42.130001,927200,42.130001
"2017-10-10",42.28,42.47,41.73,41.869999,563600,41.869999
"2017-10-11",42.06,42.19,41.37,41.41,810000,41.41
"2017-10-12",41.4,42.065,41.23,41.709999,775000,41.709999
"2017-10-13",41.88,42.07,41.44,41.549999,827700,41.549999
"2017-10-16",41.5,41.71,41.08,41.139999,687500,41.139999
"2017-10-17",41.12,41.66,41,41.619999,947500,41.619999
"2017-10-18",41.82,42,40.98,41.02,492000,41.02
"2017-10-19",40.96,41.23,40.51,41.189999,443900,41.189999
"2017-10-20",41.2,41.51,41.09,41.25,519200,41.25
"2017-10-23",41.2,41.49,40.68,40.93,561000,40.93
"2017-10-24",41,41.4,40.77,41.099998,457600,41.099998
"2017-10-25",40.98,41.21,40.23,40.599998,591100,40.599998
"2017-10-26",40.79,41.61,40.28,41.43,674100,41.43
"2017-10-27",41.44,41.8,40.74,41.139999,992500,41.139999
"2017-10-30",41.12,41.41,40.75,40.880001,827800,40.880001
"2017-10-31",41,41.375,40.46,41.279999,1354800,41.279999
"2017-11-01",41.46,41.46,40.1,40.299999,967300,40.299999
"2017-11-02",40.49,40.62,39.34,39.509998,1257700,39.509998
"2017-11-03",39.65,40.53,39.16,40.48,1082400,40.48
"2017-11-06",40.45,42.45,40.19,40.82,1185300,40.82
"2017-11-07",40.81,41.16,39.5,39.970001,1917400,39.970001
"2017-11-08",41.37,41.49,38.92,41.040001,3212800,41.040001
"2017-11-09",40.75,41.88,39.79,40.380001,1520800,40.380001
"2017-11-10",40.01,40.23,38.76,39.540001,1413300,39.540001
"2017-11-13",39.22,39.61,38.95,39.119999,873600,39.119999
"2017-11-14",38.79,39.64,38.79,39.07,593900,39.07
"2017-11-15",38.78,39.97,38.63,39.869999,1630800,39.869999
"2017-11-16",39.74,41.11,39.65,40.869999,969200,40.869999
"2017-11-17",41.05,41.26,40.835,40.889999,512100,40.889999
"2017-11-20",41.05,41.61,40.74,40.939999,942800,40.939999
"2017-11-21",41,41.422,40.74,41.360001,1153500,41.360001
"2017-11-22",41.19,41.75,40.63,41.700001,626900,41.700001
"2017-11-24",41.7,42.15,41.52,42.029999,234700,42.029999
"2017-11-27",41.82,42.86,41.55,42.59,637300,42.59
"2017-11-28",42.71,42.71,42.07,42.360001,778000,42.360001
"2017-11-29",42.3,42.44,40.63,40.869999,854100,40.869999
"2017-11-30",41.25,41.58,40.493,41.040001,906300,41.040001
"2017-12-01",40.93,41.01,39.78,40.810001,680700,40.810001
"2017-12-04",41.22,41.51,39.86,39.990002,662000,39.990002
"2017-12-05",39.91,40.42,39.84,40.330002,537300,40.330002
"2017-12-06",40.23,41.32,40.09,40.810001,623000,40.810001
"2017-12-07",40.75,41.73,40.75,41.130001,809700,41.130001
"2017-12-08",41.4,41.72,40.13,40.18,651200,40.18
"2017-12-11",40.27,41.22,40.27,40.849998,675100,40.849998
"2017-12-12",40.84,41.04,40.34,40.52,432700,40.52
"2017-12-13",40.64,41.88,40.54,41.77,739900,41.77
"2017-12-14",41.93,41.99,40.7,40.720001,531800,40.720001
"2017-12-15",40.71,41.7,40.7,41.220001,702500,41.220001
"2017-12-18",41.74,41.87,41.13,41.790001,500900,41.790001
"2017-12-19",41.78,43.43,41.5,43.209999,788500,43.209999
"2017-12-20",43.3,43.36,42.37,43.07,621600,43.07
"2017-12-21",43.08,43.09,42.17,42.369999,760100,42.369999
"2017-12-22",42.46,42.72,42.2,42.34,428900,42.34
"2017-12-26",42.21,42.88,41.831,42,419500,42
"2017-12-27",42.11,42.273,41.4,41.59,390500,41.59
"2017-12-28",41.84,41.9,41.16,41.419998,464700,41.419998
"2017-12-29",41.52,41.799,40.83,40.919998,791400,40.919998
"2018-01-02",41.31,42.5,40.89,42.48,698100,42.48
"2018-01-03",42.47,43.35,42.36,42.970001,535900,42.970001
"2018-01-04",43.05,43.31,41.52,42.130001,884700,42.130001
"2018-01-05",42.22,42.75,42.065,42.610001,521200,42.610001
"2018-01-08",42.55,43.276,42.488,42.759998,724800,42.759998
"2018-01-09",42.78,42.87,41.99,42.169998,429200,42.169998
"2018-01-10",42.15,42.51,41.5,42.5,854000,42.5
