"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",33.03,33.55,32.78,33.540001,4103700,33.540001
"2017-01-04",33.48,34.42,32.15,32.450001,5589600,32.450001
"2017-01-05",31.49,31.5,29.3,30.379999,13952200,30.379999
"2017-01-06",30.46,31.05,30.46,30.75,4559500,30.75
"2017-01-09",30.95,31.38,30.61,30.969999,2763400,30.969999
"2017-01-10",31,31.55,30.81,31.459999,2207800,31.459999
"2017-01-11",31.54,31.6,31,31.059999,1837200,31.059999
"2017-01-12",30.91,31.31,30.77,31.299999,3270300,31.299999
"2017-01-13",31.57,32.21,31.57,31.940001,2613900,31.940001
"2017-01-17",31.98,32.07,31.69,32.049999,1674000,32.049999
"2017-01-18",32.04,32.05,31.68,32,3113900,32
"2017-01-19",32.13,32.17,31.78,31.85,1023900,31.85
"2017-01-20",32.05,32.26,31.78,31.92,1659700,31.92
"2017-01-23",31.82,31.91,31.39,31.5,2261800,31.5
"2017-01-24",31.55,31.69,31.39,31.559999,1738800,31.559999
"2017-01-25",31.7,31.9,31.44,31.83,2043100,31.83
"2017-01-26",31.61,31.79,31.14,31.780001,2418700,31.780001
"2017-01-27",31.8,32.235,31.76,32.18,2431700,32.18
"2017-01-30",32.09,32.19,31.57,31.940001,1454300,31.940001
"2017-01-31",31.84,32.06,31.69,31.959999,3155000,31.959999
"2017-02-01",32.01,32.12,31.24,31.370001,2901000,31.370001
"2017-02-02",31.4,31.67,31.31,31.58,1219700,31.58
"2017-02-03",31.7,31.81,31.38,31.58,1685300,31.58
"2017-02-06",31.4,31.563,30.69,30.780001,2701600,30.780001
"2017-02-07",30.81,30.99,30.52,30.639999,1993300,30.639999
"2017-02-08",30.6,30.9,30.59,30.77,2110400,30.77
"2017-02-09",30.73,30.99,30.35,30.790001,5114400,30.790001
"2017-02-10",30,31.729,29.9,31.35,5766100,31.35
"2017-02-13",31.57,31.83,31.08,31.09,2962800,31.09
"2017-02-14",31.12,31.2,30.66,30.75,2236600,30.75
"2017-02-15",30.69,31.61,30.69,31.42,3294700,31.42
"2017-02-16",31.08,31.22,30.8,30.99,3974700,30.99
"2017-02-17",30.8,31.03,30.64,30.83,1778300,30.83
"2017-02-21",30.78,31.1,30.67,31.030001,1370300,31.030001
"2017-02-22",31.09,31.64,31.08,31.559999,5154200,31.559999
"2017-02-23",31.62,31.88,31.08,31.16,3433600,31.16
"2017-02-24",31.07,31.25,31,31.08,1564100,31.08
"2017-02-27",31.04,31.53,30.851,31.5,1862900,31.5
"2017-02-28",31.53,31.75,31.32,31.52,3614800,31.52
"2017-03-01",31.89,32.9,31.4,32.560001,5033100,32.560001
"2017-03-02",32.52,32.73,32.12,32.209999,3265200,32.209999
"2017-03-03",32.16,32.52,32.02,32.189999,2926900,32.189999
"2017-03-06",32,32.045,31.375,31.799999,2509800,31.799999
"2017-03-07",31.84,31.94,31.32,31.41,1843300,31.41
"2017-03-08",31.44,31.78,31.32,31.75,2018700,31.75
"2017-03-09",31.76,32.31,31.7,32.139999,2160800,32.139999
"2017-03-10",32.26,32.59,32.24,32.439999,2357900,32.439999
"2017-03-13",32.25,32.33,31.94,32.110001,1258400,32.110001
"2017-03-14",32.1,32.22,31.57,32.060001,1550200,32.060001
"2017-03-15",32.25,32.68,32.03,32.259998,3413200,32.259998
"2017-03-16",32.41,32.705,32.38,32.599998,2153600,32.599998
"2017-03-17",32.6,33.44,32.58,33.290001,4357200,33.290001
