"","Alpha_Three_Factor","Sector"
"A",-0.00551531069149256,"xlv"
"AA",-0.00501418097740952,"xli"
"AAL",-0.00646339389716487,"xli"
"AAP",-0.00947669195511166,"xly"
"AAPL",-0.00572635751821726,"xlk"
"ABBV",-0.00564427485743004,"xlv"
"ABC",-0.00691950989780427,"xlv"
"ABMD",-0.00501566666621156,"xlv"
"ABT",-0.00631410790812782,"xlv"
"ACAD",-0.00668749124628529,"xlv"
"ACC",-0.00823914340694712,"xly"
"ACGL",-0.0071895273496831,"xlf"
"ACHC",-0.0067417200286211,"xlv"
"ACM",-0.00674188510559452,"xly"
"ACN",-0.00676295949095359,"xlk"
"ADBE",-0.00516369515410378,"xlk"
"ADI",-0.00665461769742304,"xlk"
"ADM",-0.00827313345357846,"xlp"
"ADNT",-0.00581274901645984,"xlp"
"ADP",-0.00740181020578045,"xlk"
"ADS",-0.00684360191432842,"xlk"
"ADSK",-0.00443311542910781,"xlk"
"AEE",-0.00702712047679088,"xlu"
"AEP",-0.00699903186689412,"xlu"
"AES",-0.00830855878408968,"xlu"
"AET",-0.00591240826169289,"xlv"
"AFG",-0.00656166504223578,"xlf"
"AFL",-0.00670368686856545,"xlf"
"AGCO",-0.00678426770015973,"xlp"
"AGIO",-0.00568688015713204,"xlv"
"AGN",-0.00836701606662695,"xlv"
"AGNC",-0.00692822307259766,"xly"
"AGO",-0.00779936292323978,"xlf"
"AGR",-0.00623524492729795,"xlu"
"AHL",-0.0083403444675639,"xlf"
"AIG",-0.00809809642596317,"xlf"
"AIV",-0.00796421990838207,"xlre"
"AIZ",-0.00707868393869807,"xlf"
"AJG",-0.00649826023575292,"xlf"
"AKAM",-0.00855505145719621,"xlk"
"AKRX",-0.00553872765869479,"xlv"
"AL",-0.00655921359950437,"xlk"
"ALB",-0.00533391728873769,"xlb"
"ALGN",-0.00315690685569813,"xlv"
"ALK",-0.00745159585618342,"xli"
"ALKS",-0.00748149181113488,"xlv"
"ALL",-0.00625299795474363,"xlf"
"ALLE",-0.00664287977469772,"xli"
"ALLY",-0.00547335076641538,"xlf"
"ALNY",-0.000993649322735348,"xlv"
"ALSN",-0.00613211888148276,"xlp"
"ALXN",-0.00869678290070475,"xlv"
"AMAT",-0.00469612519911056,"xlk"
"AMCX",-0.00853030201393543,"xly"
"AMD",-0.00716835133467313,"xlk"
"AME",-0.00591941876899349,"xli"
"AMG",-0.00600632201393297,"xlf"
"AMGN",-0.0069510027829468,"xlv"
"AMH",-0.00750284648946324,"xly"
"AMP",-0.00550485430112386,"xlf"
"AMT",-0.00649862087955706,"xlre"
"AMTD",-0.00697142126378536,"xlf"
"AMZN",-0.00583065054768718,"xly"
"AN",-0.00672188508585753,"xly"
"ANAT",-0.00755528916546125,"xlf"
"ANDV",-0.00686910070202424,"xle"
"ANET",-0.00346859556169499,"xlk"
"ANSS",-0.00536910060664484,"xlk"
"ANTM",-0.00563921006223059,"xlv"
"AON",-0.00678739282920402,"xlf"
"AOS",-0.00608793885348077,"xli"
"APA",-0.00953205463328108,"xle"
"APC",-0.00913774040130469,"xle"
"APD",-0.00683245072154734,"xlb"
"APH",-0.0062879952755491,"xlk"
"APLE",-0.00732651518981802,"xly"
"AR",-0.00770965233287833,"xle"
"ARE",-0.00722355156461129,"xlre"
"ARMK",-0.00680489429389299,"xly"
"ARNC",-0.00591039453889591,"xli"
"ARRS",-0.00730008628754181,"xlk"
"ARW",-0.00673492386131652,"xlp"
"ASB",-0.00702659860712743,"xlf"
"ASH",-0.00582318851053892,"xly"
"ATH",-0.00764676269894474,"xlf"
"ATHN",-0.00545515693805879,"xly"
"ATO",-0.0069683941424117,"xlu"
"ATR",-0.00663376575291044,"xlp"
"ATVI",-0.00441658379873146,"xlk"
"AVB",-0.00775572936496468,"xlre"
"AVGO",-0.00500065042550298,"xlk"
"AVT",-0.00748638296041704,"xlp"
"AVY",-0.00511820200559016,"xlb"
"AWI",-0.00588004310374027,"xlp"
"AWK",-0.00722373102135138,"xlu"
"AXP",-0.00629513622794763,"xlf"
"AXS",-0.00813009512774667,"xlf"
"AXTA",-0.00599225384577006,"xli"
"AYI",-0.00807245425598349,"xli"
"AZO",-0.00871875024288416,"xly"
"BA",-0.00551936307221885,"xli"
"BAC",-0.00624374638475195,"xlf"
"BAH",-0.00688276576690858,"xly"
"BAX",-0.00623680532527298,"xlv"
"BBBY",-0.010203056686248,"xly"
"BBT",-0.00721778135727315,"xlf"
"BBY",-0.00673716399181737,"xly"
"BC",-0.00670291653207499,"xle"
"BCR",-0.00607126020394136,"xlv"
"BDN",-0.00744558316520706,"xly"
"BDX",-0.00655356188508629,"xlv"
"BEN",-0.00727231756941001,"xlf"
"BERY",-0.00675752291131604,"xlp"
"BF-A",-0.00634915398328146,"xlp"
"BF-B",-0.0063295335672656,"xlp"
"BFAM",-0.00670017573251509,"xly"
"BG",-0.00841890717746279,"xlp"
"BGCP",-0.00547200043964787,"xlf"
"BHF",-0.020696513769597,"xlf"
"BHGE",-0.00904361429431405,"xle"
"BIIB",-0.00753264343811339,"xlv"
"BIO",-0.00601171128578801,"xlp"
"BIVV",-0.00761751293016155,"xlv"
"BK",-0.00697894775023852,"xlf"
"BKD",-0.00771437849714241,"xlv"
"BKI",1.32905552357614,"xlk"
"BKU",-0.00717688836002372,"xlf"
"BLK",-0.00608467319171178,"xlf"
"BLL",-0.0073332760126651,"xlb"
"BMRN",-0.00739784233878271,"xlv"
"BMS",-0.00705857112300573,"xly"
"BMY",-0.00762327032857363,"xlv"
"BOH",-0.00743326797254129,"xlf"
"BOKF",-0.00702590132025774,"xlf"
"BPOP",-0.00836791455234208,"xlf"
"BR",-0.00597390629439216,"xly"
"BRCD",-0.00779148349553907,"xlk"
"BRK-B",-0.00711964236138425,"xly"
"BRKR",-0.00505780184637122,"xlp"
"BRO",-0.0069855803500541,"xlf"
"BRX",-0.0084698347040594,"xly"
"BSX",-0.00669505183712896,"xlv"
"BUFF",-0.00605789332291296,"xlp"
"BURL",-0.00627725083012493,"xly"
"BWA",-0.0059442575007473,"xly"
"BWXT",-0.0057072366317727,"xle"
"BXP",-0.00781294866598554,"xlre"
"C",-0.00638366300490752,"xlf"
"CA",-0.00718993756760056,"xlk"
"CAA",-0.00537936322010641,"xlp"
"CABO",-0.00723215348428047,"xly"
"CACC",-0.00555202822087474,"xlf"
"CAG",-0.00799516383969513,"xlp"
"CAH",-0.00859150684379865,"xlv"
"CASY",-0.00790879271876941,"xly"
"CAT",-0.00602278601846752,"xli"
"CAVM",-0.00587086954427,"xlk"
"CB",-0.0071351989800552,"xlf"
"CBG",-0.00625471882400543,"xlre"
"CBOE",-0.00527558132261814,"xlf"
"CBS",-0.00848382465218467,"xly"
"CBSH",-0.00748935486237837,"xlf"
"CBT",-0.00655280731111832,"xli"
"CC",-0.0024024760302728,"xli"
"CCI",-0.00619255700306308,"xlre"
"CCK",-0.00705428236626217,"xly"
"CCL",-0.00642618059366062,"xly"
"CDEV",-0.00733487232259391,"xle"
"CDK",-0.0069293604054204,"xly"
"CDNS",-0.00488206108950744,"xlk"
"CDW",-0.0065722898184098,"xly"
"CE",-0.00587884744191351,"xli"
"CELG",-0.00848229382516331,"xlv"
"CERN",-0.00663529789841573,"xlv"
"CF",-0.00615497100418937,"xlb"
"CFG",-0.00652528541755723,"xlf"
"CFR",-0.0066823716440752,"xlf"
"CFX",-0.00670457675684078,"xlp"
"CGNX",-0.00397167890098969,"xlp"
"CHD",-0.007575910935016,"xli"
"CHH",-0.00618760626850649,"xly"
"CHK",-0.00904530636099997,"xle"
"CHRW",-0.00631420193036718,"xli"
"CHTR",-0.00753939519552272,"xly"
"CI",-0.00565812695313848,"xlv"
"CIM",-0.00706224501842763,"xly"
"CINF",-0.00777478099499624,"xlf"
"CIT",-0.00641103709669335,"xlf"
"CL",-0.00745024609942331,"xlp"
"CLGX",-0.00673307298159362,"xlk"
"CLH",-0.00783347436211119,"xli"
"CLNS",-0.00821349055283241,"xly"
"CLR",-0.007821850065924,"xle"
"CLX",-0.00728280561881058,"xly"
"CMA",-0.00631324454956483,"xlf"
"CMCSA",-0.00753473049101015,"xly"
"CME",-0.00630924546290772,"xlf"
"CMG",-0.00853300246064086,"xly"
"CMI",-0.00670702183336609,"xle"
"CMS",-0.00711951233667234,"xlu"
"CNA",-0.00618249062241449,"xlf"
"CNC",-0.00522246018050037,"xlv"
"CNDT",-0.00753033102210866,"xly"
"CNK",-0.00852124499526878,"xly"
"CNP",-0.00691991731459781,"xlu"
"CNX",-0.00682957872006196,"xle"
"COF",-0.00695622077293015,"xlf"
"COG",-0.00545924109404949,"xle"
"COH",-0.00697111026917251,"xly"
"COHR",-0.00330731493443989,"xlp"
"COL",-0.00632173639303361,"xli"
"COMM",-0.00733729591134154,"xlk"
"CONE",-0.00583714797633425,"xly"
"COO",-0.00586415223861481,"xlv"
"COP",-0.00733837568274045,"xle"
"COR",-0.00570669400648582,"xly"
"COST",-0.00719210714933459,"xly"
"COTY",-0.00793369158672515,"xlp"
"CPA",-0.00631406575680915,"xli"
"CPB",-0.00803166866199773,"xlp"
"CPN",-0.00643511737228815,"xlu"
"CPRT",-0.0059376649416124,"xly"
"CPT",-0.00752092659982061,"xly"
"CR",-0.00644939657736684,"xlp"
"CRI",-0.00683624183367765,"xlp"
"CRL",-0.00599256758066186,"xlv"
"CRM",-0.00571752247373001,"xlk"
"CSCO",-0.00692265833530459,"xlk"
"CSGP",-0.00559356469167383,"xly"
"CSL",-0.00726995899910755,"xli"
"CSRA",-0.00772807111143507,"xlk"
"CSX",-0.004674079917275,"xli"
"CTAS",-0.00605097774055827,"xli"
"CTL",-0.00950719305526368,"xlk"
"CTSH",-0.00652803306944727,"xlk"
"CTXS",-0.0061976180778732,"xlk"
"CUBE",-0.00766274273032883,"xly"
"CVS",-0.00837604088215906,"xlv"
"CVX",-0.00770511263773724,"xle"
"CXO",-0.00767220005630059,"xle"
"CXP",-0.00736024734685845,"xly"
"CXW",-0.0078460767559903,"xly"
"CY",-0.00540758222303351,"xlk"
"D",-0.00765269145655903,"xlu"
"DAL",-0.00647662517409636,"xli"
"DATA",-0.00483286558061678,"xlk"
"DCI",-0.00666511988717003,"xlp"
"DCT",-0.00655863945450631,"xly"
"DDR",-0.00990418487647687,"xly"
"DE",-0.00613502627379927,"xli"
"DEI",-0.00721193323888028,"xly"
"DFS",-0.00736247480119921,"xlf"
"DG",-0.00690185863896578,"xly"
"DGX",-0.0072930390833395,"xlv"
"DHI",-0.00467034498303785,"xly"
"DHR",-0.00681808477649762,"xlv"
"DIS",-0.00814575071541443,"xly"
"DISCA",-0.00950777581476216,"xly"
"DISCK",-0.00963201587594117,"xly"
"DISH",-0.00849628922654066,"xly"
"DKS",-0.0100089310465379,"xly"
"DLB",-0.00667733420241454,"xly"
"DLPH",-0.00488582073125121,"xly"
"DLR",-0.00657704240006657,"xlre"
"DLTR",-0.00641569276688757,"xly"
"DNB",-0.0073401377959436,"xlf"
"DNKN",-0.00746204958966807,"xly"
"DOV",-0.0061105153146298,"xlk"
"DOX",-0.00707000621475389,"xlk"
"DPS",-0.00757024996689707,"xlp"
"DPZ",-0.0073362271472303,"xlp"
"DRE",-0.00684713173993215,"xlre"
"DRI",-0.00713295329180942,"xly"
"DST",-0.00687478625199001,"xlk"
"DTE",-0.00736157916554812,"xlu"
"DUK",-0.00741980051362064,"xlu"
"DVA",-0.00770720066581826,"xlv"
"DVMT",-0.00593470153014277,"xlk"
"DVN",-0.00845953532532612,"xle"
"DWDP",-0.00634556796125459,"xlb"
"DXC",-0.00410860251441771,"xlk"
"DXCM",-0.00624689928302346,"xlv"
"EA",-0.00623951997420345,"xlk"
"EBAY",-0.00741559516889316,"xlk"
"ECL",-0.00737001921200765,"xlb"
"ED",-0.00716030637515539,"xlu"
"EEFT",-0.00661783998737307,"xlf"
"EFX",-0.00762540692400405,"xlf"
"EGN",-0.00737980398936746,"xle"
"EIX",-0.00747429141158479,"xlu"
"EL",-0.00570460092253931,"xlp"
"ELS",-0.00684448558065732,"xly"
"EMN",-0.00615626191265709,"xlb"
"EMR",-0.00686769404534953,"xle"
"ENDP",-0.0106471087209046,"xlv"
"ENR",-0.00719336917636316,"xly"
"EOG",-0.00804216328404409,"xle"
"EPR",-0.00793394212498312,"xlp"
"EQC",-0.00771537973885047,"xly"
"EQIX",-0.00622153259716577,"xly"
"EQR",-0.00765579764522376,"xlre"
"EQT",-0.00712456649499226,"xlre"
"ERIE",-0.00720776563702319,"xle"
"ES",-0.00730516211119491,"xlf"
"ESRT",-0.0078030899329329,"xlu"
"ESRX",-0.00738607264301766,"xly"
"ESS",-0.00779986539261737,"xlv"
"ETFC",-0.00632254626140675,"xlre"
"ETN",-0.00679107212189429,"xlf"
"ETR",-0.00717271800074609,"xlk"
"EV",-0.00660447135288283,"xlu"
"EVHC",-0.0093497436060381,"xlf"
"EW",-0.00737157476390726,"xlv"
"EWBC",-0.00594362261616638,"xlv"
"EXC",-0.00712704537700921,"xlf"
"EXEL",-0.00484743607686778,"xlu"
"EXP",-0.00647121303976437,"xlv"
"EXPD",-0.00687443995478081,"xlp"
"EXPE",-0.0068570954092494,"xli"
"EXR",-0.00746660950636269,"xly"
