,date,Alpha
0,15/8/31,-0.00362090685189
1,15/9/1,-0.00456649891134
2,15/9/2,-0.00434838309242
3,15/9/3,-0.00368775742385
4,15/9/4,-0.0042602512526
5,15/9/8,-0.00377505109102
6,15/9/9,-0.00353984615753
7,15/9/10,-0.00314644190446
8,15/9/11,-0.00355919511676
9,15/9/14,-0.00365442679005
10,15/9/15,-0.00365562324424
11,15/9/16,-0.00370402969036
12,15/9/17,-0.00381324618376
13,15/9/18,-0.00394150955958
14,15/9/21,-0.0045180921323
15,15/9/22,-0.00519831251245
16,15/9/23,-0.00523052717463
17,15/9/24,-0.00524884520416
18,15/9/25,-0.00535330802216
19,15/9/28,-0.00555095715476
20,15/9/29,-0.0062976216444
21,15/9/30,-0.00612700996313
22,15/10/1,-0.00646981638423
23,15/10/2,-0.00619964651464
24,15/10/5,-0.0060307559736
25,15/10/6,-0.00599482273403
26,15/10/7,-0.00657380802775
27,15/10/8,-0.00659467873967
28,15/10/9,-0.00632843914083
29,15/10/12,-0.00576386578181
30,15/10/13,-0.00578552179941
31,15/10/14,-0.0059676678102
32,15/10/15,-0.00603716283555
33,15/10/16,-0.00577736107994
34,15/10/19,-0.00577998770152
35,15/10/20,-0.00557695678108
36,15/10/21,-0.00610662783904
37,15/10/22,-0.00597724456616
38,15/10/23,-0.00716283620388
39,15/10/26,-0.00720239226569
40,15/10/27,-0.00785582958732
41,15/10/28,-0.00918892096694
42,15/10/29,-0.00905538620134
43,15/10/30,-0.00919336048307
44,15/11/2,-0.0106870887024
45,15/11/3,-0.0103403868594
46,15/11/4,-0.0105517776585
47,15/11/5,-0.0106762853528
48,15/11/6,-0.0107735253941
49,15/11/9,-0.0105133208562
50,15/11/10,-0.010498412739
51,15/11/11,-0.0105898524623
52,15/11/12,-0.010452643846
53,15/11/13,-0.0104940638934
54,15/11/16,-0.0104243847644
55,15/11/17,-0.0104244661574
56,15/11/18,-0.0104759551425
57,15/11/19,-0.0104783355721
58,15/11/20,-0.0104625582172
59,15/11/23,-0.010466665248
60,15/11/24,-0.0104197896525
61,15/11/25,-0.0104138048449
62,15/11/27,-0.0102379584857
63,15/11/30,-0.0101832990692
64,15/12/1,-0.0105111491427
65,15/12/2,-0.0104514656332
66,15/12/3,-0.010135375793
67,15/12/4,-0.0101710190777
68,15/12/7,-0.0101508164643
69,15/12/8,-0.00996424316172
70,15/12/9,-0.0100072358006
71,15/12/10,-0.00996775583299
72,15/12/11,-0.00994873933735
73,15/12/14,-0.0098800026623
74,15/12/15,-0.0100819772347
75,15/12/16,-0.00978529501462
76,15/12/17,-0.0096681095533
77,15/12/18,-0.00958917060733
78,15/12/21,-0.00958717478144
79,15/12/22,-0.00958970686036
80,15/12/23,-0.00931267208409
81,15/12/24,-0.00916469055908
82,15/12/28,-0.00914771603955
83,15/12/29,-0.00937628122284
84,15/12/30,-0.0093388616698
85,15/12/31,-0.00949867247242
86,16/1/4,-0.00942583644938
87,16/1/5,-0.00944961797042
88,16/1/6,-0.0094567823585
89,16/1/7,-0.00947777317655
90,16/1/8,-0.00950062914841
91,16/1/11,-0.00945917880768
92,16/1/12,-0.00958359912235
93,16/1/13,-0.00969823207226
94,16/1/14,-0.00995250929708
95,16/1/15,-0.0102242406333
96,16/1/19,-0.0106216446994
97,16/1/20,-0.0104273289666
98,16/1/21,-0.0106750140825
99,16/1/22,-0.0107388628233
100,16/1/25,-0.0107509125787
101,16/1/26,-0.010856273264
102,16/1/27,-0.0112389763643
103,16/1/28,-0.010818982929
104,16/1/29,-0.0109948234873
105,16/2/1,-0.0113765750267
106,16/2/2,-0.0110673185481
107,16/2/3,-0.0113455958635
108,16/2/4,-0.010962766974
109,16/2/5,-0.0109715670604
110,16/2/8,-0.011570034018
111,16/2/9,-0.0119476924731
112,16/2/10,-0.0121021830239
113,16/2/11,-0.0119192035642
114,16/2/12,-0.011400820556
115,16/2/16,-0.0112802231231
116,16/2/17,-0.0112180705511
117,16/2/18,-0.011288569995
118,16/2/19,-0.0113864151205
119,16/2/22,-0.0112631948328
120,16/2/23,-0.0112159931127
121,16/2/24,-0.0113415142499
122,16/2/25,-0.0112731614772
123,16/2/26,-0.0112738651936
124,16/2/29,-0.0116424683741
125,16/3/1,-0.0116767490753
126,16/3/2,-0.0117349287838
127,16/3/3,-0.011811473893
128,16/3/4,-0.0115638274626
129,16/3/7,-0.0116400848926
130,16/3/8,-0.0119832641428
131,16/3/9,-0.0121058749769
132,16/3/10,-0.0121407267712
133,16/3/11,-0.0122556408789
134,16/3/14,-0.0121799957671
135,16/3/15,-0.0118580207805
136,16/3/16,-0.0121249317531
137,16/3/17,-0.0121278965778
138,16/3/18,-0.0124972693958
139,16/3/21,-0.0125485410348
140,16/3/22,-0.0128881907883
141,16/3/23,-0.0127186720826
142,16/3/24,-0.0124357540215
143,16/3/28,-0.0124181746907
144,16/3/29,-0.0124327982296
145,16/3/30,-0.012019754951
146,16/3/31,-0.0126770053459
147,16/4/1,-0.0121044136918
148,16/4/4,-0.0122625042488
149,16/4/5,-0.0125554448779
150,16/4/6,-0.0124657699435
151,16/4/7,-0.0127334773217
152,16/4/8,-0.0127835085043
153,16/4/11,-0.0128708382712
154,16/4/12,-0.012527145867
155,16/4/13,-0.0121836475337
156,16/4/14,-0.0129311139631
157,16/4/15,-0.0128956008935
158,16/4/18,-0.0127865273932
159,16/4/19,-0.0127716046345
160,16/4/20,-0.0119877570668
161,16/4/21,-0.0118350899195
162,16/4/22,-0.0122102103
163,16/4/25,-0.0119699985593
164,16/4/26,-0.0120059073328
165,16/4/27,-0.0113892559436
166,16/4/28,-0.0110298120392
167,16/4/29,-0.0105592625474
168,16/5/2,-0.0102375521712
169,16/5/3,-0.0101278391378
170,16/5/4,-0.0102305046406
171,16/5/5,-0.00918070970049
172,16/5/6,-0.00929156705597
173,16/5/9,-0.00917166367734
174,16/5/10,-0.00913964421476
175,16/5/11,-0.00906086784715
176,16/5/12,-0.00929225428144
177,16/5/13,-0.00929853811277
178,16/5/16,-0.00912421647434
179,16/5/17,-0.00922359456794
180,16/5/18,-0.00941107918998
181,16/5/19,-0.00931123318162
182,16/5/20,-0.00913142514901
183,16/5/23,-0.0090916091353
184,16/5/24,-0.00906492940081
185,16/5/25,-0.00910740782443
186,16/5/26,-0.00903160398947
187,16/5/27,-0.00912597577006
188,16/5/31,-0.0091185700733
189,16/6/1,-0.00926048969133
190,16/6/2,-0.00929481644497
191,16/6/3,-0.00921053962848
192,16/6/6,-0.00920925275065
193,16/6/7,-0.00992905394655
194,16/6/8,-0.00982120117751
195,16/6/9,-0.00981824057784
196,16/6/10,-0.00995121115624
197,16/6/13,-0.0100556422811
198,16/6/14,-0.0100698133574
199,16/6/15,-0.010004072244
200,16/6/16,-0.00999902195623
201,16/6/17,-0.00968278677513
202,16/6/20,-0.00999909688397
203,16/6/21,-0.00997370741587
204,16/6/22,-0.00999087601403
205,16/6/23,-0.010002309868
206,16/6/24,-0.00994724291392
207,16/6/27,-0.0100396348155
208,16/6/28,-0.0100515699367
209,16/6/29,-0.0100895780967
210,16/6/30,-0.0100688573034
211,16/7/1,-0.0101552872001
212,16/7/5,-0.0101437537637
213,16/7/6,-0.0095703857942
214,16/7/7,-0.00956997949559
215,16/7/8,-0.00957049654361
216,16/7/11,-0.00964195751396
217,16/7/12,-0.00980662048838
218,16/7/13,-0.0094033475537
219,16/7/14,-0.00928821316221
220,16/7/15,-0.00924516834257
221,16/7/18,-0.00870077807832
222,16/7/19,-0.00792385489221
223,16/7/20,-0.00836004644593
224,16/7/21,-0.00854205707524
225,16/7/22,-0.00812706633963
226,16/7/25,-0.00801685184067
227,16/7/26,-0.00821288358476
228,16/7/27,-0.00800047479216
229,16/7/28,-0.00774082725696
230,16/7/29,-0.0078913716887
231,16/8/1,-0.00742868376355
232,16/8/2,-0.00745021198056
233,16/8/3,-0.00786942624232
234,16/8/4,-0.00791692819086
235,16/8/5,-0.008196803174
236,16/8/8,-0.00811453808719
237,16/8/9,-0.0064916946522
238,16/8/10,-0.00712475740139
239,16/8/11,-0.00701857693833
