,date,Alpha
0,15/8/31,-0.0306991606811
1,15/9/1,-0.0306265252644
2,15/9/2,-0.0306293911703
3,15/9/3,-0.0310868497299
4,15/9/4,-0.0295149630517
5,15/9/8,-0.0297848046011
6,15/9/9,-0.0299589010071
7,15/9/10,-0.0264727570861
8,15/9/11,-0.0261883423966
9,15/9/14,-0.0174274937099
10,15/9/15,-0.0174169893398
11,15/9/16,-0.0177295952593
12,15/9/17,-0.0175412473391
13,15/9/18,-0.016222919914
14,15/9/21,-0.0169744879413
15,15/9/22,-0.0192443206
16,15/9/23,-0.0191227074412
17,15/9/24,-0.0191792393289
18,15/9/25,-0.0192612940258
19,15/9/28,-0.0197043705931
20,15/9/29,-0.0192537995329
21,15/9/30,-0.0195254919902
22,15/10/1,-0.0198469514496
23,15/10/2,-0.0197096813841
24,15/10/5,-0.0195316713103
25,15/10/6,-0.0217265472739
26,15/10/7,-0.0222736407946
27,15/10/8,-0.0222676563
28,15/10/9,-0.0227206020095
29,15/10/12,-0.0218087665855
30,15/10/13,-0.0219189944322
31,15/10/14,-0.0217799593051
32,15/10/15,-0.0220555275835
33,15/10/16,-0.0216234181843
34,15/10/19,-0.0212379162973
35,15/10/20,-0.0211224818516
36,15/10/21,-0.0218435296039
37,15/10/22,-0.0221374823961
38,15/10/23,-0.0220883357452
39,15/10/26,-0.0223433126573
40,15/10/27,-0.0217372875419
41,15/10/28,-0.0227611657268
42,15/10/29,-0.0221115745264
43,15/10/30,-0.0222081848486
44,15/11/2,-0.0214480718972
45,15/11/3,-0.020798785486
46,15/11/4,-0.0205491127422
47,15/11/5,-0.0205047567706
48,15/11/6,-0.0208072396912
49,15/11/9,-0.0224857496962
50,15/11/10,-0.0224294455836
51,15/11/11,-0.0222802712244
52,15/11/12,-0.0223203749855
53,15/11/13,-0.0225962112876
54,15/11/16,-0.022313882434
55,15/11/17,-0.0224502011076
56,15/11/18,-0.022163016376
57,15/11/19,-0.0221811031464
58,15/11/20,-0.0221414140136
59,15/11/23,-0.0219662154181
60,15/11/24,-0.0220082967088
61,15/11/25,-0.0220160984359
62,15/11/27,-0.0218743552135
63,15/11/30,-0.0219966946203
64,15/12/1,-0.0221925102763
65,15/12/2,-0.0223408315208
66,15/12/3,-0.0223332292924
67,15/12/4,-0.0224737103214
68,15/12/7,-0.0224931980411
69,15/12/8,-0.0218688863629
70,15/12/9,-0.0216664735892
71,15/12/10,-0.0214808392255
72,15/12/11,-0.0214575831877
