,date,Alpha
0,15/8/31,-0.000654972905148
1,15/9/1,-0.000664266629134
2,15/9/2,-0.00090577816675
3,15/9/3,-0.000709668213119
4,15/9/4,-0.000656143152383
5,15/9/8,-0.000573802377746
6,15/9/9,-0.000626598159537
7,15/9/10,-0.000439728204868
8,15/9/11,-0.00057492873364
9,15/9/14,-0.000486410362592
10,15/9/15,-0.000482904618908
11,15/9/16,-0.000503498685336
12,15/9/17,-0.000605107399557
13,15/9/18,-0.000872747484735
14,15/9/21,-0.000649462192347
15,15/9/22,-0.000719952289489
16,15/9/23,-0.000678296568004
17,15/9/24,-0.000691226259404
18,15/9/25,-0.000830202377998
19,15/9/28,-0.00123377745884
20,15/9/29,-0.00151565170632
21,15/9/30,-0.00182286178626
22,15/10/1,-0.00187519543284
23,15/10/2,-0.00202001582297
24,15/10/5,-0.00169248598715
25,15/10/6,-0.00168707461117
26,15/10/7,-0.00166051735827
27,15/10/8,-0.00164395439281
28,15/10/9,-0.00184197214353
29,15/10/12,-0.00179227698267
30,15/10/13,-0.00161068698836
31,15/10/14,-0.00156382217806
32,15/10/15,-0.0016450719023
33,15/10/16,-0.00158620583709
34,15/10/19,-0.00152816642899
35,15/10/20,-0.0014214159459
36,15/10/21,-7.0203850207e-05
37,15/10/22,7.33487821133e-06
38,15/10/23,0.000245793756933
39,15/10/26,0.000662766741405
40,15/10/27,0.000516036193907
41,15/10/28,0.000198902378319
42,15/10/29,0.000160186382373
43,15/10/30,-3.35913419075e-05
44,15/11/2,-0.000298353225654
45,15/11/3,-0.000281012774869
46,15/11/4,-0.000511444533816
47,15/11/5,-0.000465307050158
48,15/11/6,-0.000567139901271
49,15/11/9,-0.000550804170153
50,15/11/10,-0.000601448424512
51,15/11/11,-0.000614544139131
52,15/11/12,-0.000841090435333
53,15/11/13,-0.00102415662888
54,15/11/16,-0.00108879525444
55,15/11/17,-0.0010686415858
56,15/11/18,-0.00102539276811
57,15/11/19,-0.00103195325734
58,15/11/20,-0.00108575232441
59,15/11/23,-0.00104629141611
60,15/11/24,-0.000985681256437
61,15/11/25,-0.00105294527551
62,15/11/27,-0.00121911374983
63,15/11/30,-0.00128973070698
64,15/12/1,-0.00122129649481
65,15/12/2,-0.00128148599263
66,15/12/3,-0.00125466224431
67,15/12/4,-0.00129583144523
68,15/12/7,-0.0012107792956
69,15/12/8,-0.00109597525484
70,15/12/9,-0.000945987491915
71,15/12/10,-0.000960221147801
72,15/12/11,-0.000963250180451
73,15/12/14,-0.000983129863
74,15/12/15,-0.000990204537659
75,15/12/16,-0.00102005320087
76,15/12/17,-0.000935470062865
77,15/12/18,-0.000986170112753
78,15/12/21,-0.000987994146395
79,15/12/22,-0.000986919169691
80,15/12/23,-0.00101200383666
81,15/12/24,-0.0010702160572
82,15/12/28,-0.00107912489366
83,15/12/29,-0.00117826715605
84,15/12/30,-0.00115883479386
85,15/12/31,-0.00116114388541
86,16/1/4,-0.00119653259871
87,16/1/5,-0.00127827912926
88,16/1/6,-0.00128909233726
89,16/1/7,-0.00130895805852
90,16/1/8,-0.00130094749227
91,16/1/11,-0.0012802948474
92,16/1/12,-0.00126004689295
93,16/1/13,-0.00128460612435
94,16/1/14,-0.00125654160412
95,16/1/15,-0.00135640931501
96,16/1/19,-0.00138192408655
97,16/1/20,-0.00130054782881
98,16/1/21,-0.00127543917634
99,16/1/22,-0.00119325994896
