,date,Alpha
0,15/8/31,-0.0148626951055
1,15/9/1,-0.0145700531403
2,15/9/2,-0.0146240035962
3,15/9/3,-0.014437131959
4,15/9/4,-0.0148500046058
5,15/9/8,-0.0146504148079
6,15/9/9,-0.0147757339377
7,15/9/10,-0.0146718543379
8,15/9/11,-0.0147848125692
9,15/9/14,-0.0144129154011
10,15/9/15,-0.0144168666721
11,15/9/16,-0.0139080946569
12,15/9/17,-0.0141645091704
13,15/9/18,-0.0141638680381
14,15/9/21,-0.0134850616387
15,15/9/22,-0.0139858063956
16,15/9/23,-0.0138245028354
17,15/9/24,-0.0138288957251
18,15/9/25,-0.0139129355675
19,15/9/28,-0.0141782423983
20,15/9/29,-0.0140724252081
21,15/9/30,-0.0136899349084
22,15/10/1,-0.0135363014236
23,15/10/2,-0.0134887140083
24,15/10/5,-0.0131808687909
25,15/10/6,-0.0134038822038
26,15/10/7,-0.0128010715874
27,15/10/8,-0.0125737051984
28,15/10/9,-0.0122488008893
29,15/10/12,-0.0117597029113
30,15/10/13,-0.0119059908815
31,15/10/14,-0.0120884714094
32,15/10/15,-0.0123398873928
33,15/10/16,-0.0122113335471
34,15/10/19,-0.0121047513895
35,15/10/20,-0.0121718097133
36,15/10/21,-0.0123530135182
37,15/10/22,-0.0124465000746
38,15/10/23,-0.0124431723995
39,15/10/26,-0.0126120575069
40,15/10/27,-0.0127433698857
41,15/10/28,-0.01353078585
42,15/10/29,-0.0137079445363
43,15/10/30,-0.0137299066165
44,15/11/2,-0.0136078803711
45,15/11/3,-0.0136049333058
46,15/11/4,-0.0136637934487
47,15/11/5,-0.0136372735561
48,15/11/6,-0.013735970361
49,15/11/9,-0.0137218470299
50,15/11/10,-0.0137361543451
51,15/11/11,-0.0137640524758
52,15/11/12,-0.0137143371289
53,15/11/13,-0.0133566777899
54,15/11/16,-0.0131257754327
55,15/11/17,-0.0130416027808
56,15/11/18,-0.013284161322
57,15/11/19,-0.0132821855907
58,15/11/20,-0.0132549154473
59,15/11/23,-0.0132068677882
60,15/11/24,-0.0132767051337
61,15/11/25,-0.0132865372539
62,15/11/27,-0.0132034608302
63,15/11/30,-0.0131637638777
64,15/12/1,-0.0131650133937
65,15/12/2,-0.0131862862174
66,15/12/3,-0.0130965924137
67,15/12/4,-0.0131728857898
68,15/12/7,-0.0133185562497
69,15/12/8,-0.0129881727712
70,15/12/9,-0.0128958560409
71,15/12/10,-0.0127677735224
72,15/12/11,-0.0127619649988
73,15/12/14,-0.012744972136
74,15/12/15,-0.0128445629452
75,15/12/16,-0.0123830746623
76,15/12/17,-0.0123896342513
77,15/12/18,-0.0123069442671
78,15/12/21,-0.0123058568703
79,15/12/22,-0.0123046335071
80,15/12/23,-0.0121192569971
81,15/12/24,-0.012250315218
82,15/12/28,-0.0122540906597
83,15/12/29,-0.0121532135704
84,15/12/30,-0.0121306560526
85,15/12/31,-0.0121389786231
86,16/1/4,-0.0120930531709
87,16/1/5,-0.0120991399638
88,16/1/6,-0.0120332472397
89,16/1/7,-0.0120719995463
90,16/1/8,-0.0120807462963
91,16/1/11,-0.0120653939365
92,16/1/12,-0.0121986001575
93,16/1/13,-0.0123103390568
94,16/1/14,-0.0122834664188
95,16/1/15,-0.0124050890646
96,16/1/19,-0.0124889376235
97,16/1/20,-0.0126349055568
98,16/1/21,-0.0129745423687
99,16/1/22,-0.012977955458
100,16/1/25,-0.0130176348611
101,16/1/26,-0.0128097719306
102,16/1/27,-0.0129690262278
103,16/1/28,-0.0125147612107
104,16/1/29,-0.012530954024
105,16/2/1,-0.0124470118378
106,16/2/2,-0.0122307452318
107,16/2/3,-0.0120026122193
108,16/2/4,-0.0119990107798
109,16/2/5,-0.0120606346031
110,16/2/8,-0.0116917474394
111,16/2/9,-0.0112998365976
112,16/2/10,-0.011128921158
113,16/2/11,-0.0108794476811
114,16/2/12,-0.0104146018805
115,16/2/16,-0.0102049712003
116,16/2/17,-0.0101252549408
117,16/2/18,-0.0100246599459
118,16/2/19,-0.0101050539688
119,16/2/22,-0.0100664698277
120,16/2/23,-0.0101583759037
121,16/2/24,-0.0101763356191
122,16/2/25,-0.0101528232034
123,16/2/26,-0.0102146639652
124,16/2/29,-0.010209296104
125,16/3/1,-0.010284368679
126,16/3/2,-0.0101699517125
127,16/3/3,-0.0102714360897
128,16/3/4,-0.0103628030259
129,16/3/7,-0.010353520562
130,16/3/8,-0.0101537181611
131,16/3/9,-0.00986914150087
132,16/3/10,-0.0101060971935
133,16/3/11,-0.00983797530259
134,16/3/14,-0.00980078934556
135,16/3/15,-0.00963784000385
136,16/3/16,-0.00980004934767
137,16/3/17,-0.00979332152144
138,16/3/18,-0.00983935331664
139,16/3/21,-0.00974748554767
140,16/3/22,-0.0096686808444
141,16/3/23,-0.0100467324043
142,16/3/24,-0.00973428926242
143,16/3/28,-0.00975057350228
144,16/3/29,-0.00976062741597
145,16/3/30,-0.00938517280042
146,16/3/31,-0.00892176655668
147,16/4/1,-0.0088264221514
148,16/4/4,-0.00928902535102
149,16/4/5,-0.00923894914339
150,16/4/6,-0.00918768478781
151,16/4/7,-0.00975693589515
152,16/4/8,-0.00960172615129
153,16/4/11,-0.00981344110373
154,16/4/12,-0.00944822969046
155,16/4/13,-0.0094351198127
156,16/4/14,-0.00978486369565
157,16/4/15,-0.0097097802026
158,16/4/18,-0.00940661980729
159,16/4/19,-0.00940457477717
160,16/4/20,-0.00897332781226
161,16/4/21,-0.00896569104567
162,16/4/22,-0.00900041743624
163,16/4/25,-0.00866893133405
164,16/4/26,-0.00865387554252
165,16/4/27,-0.00865692888723
166,16/4/28,-0.00872249360821
167,16/4/29,-0.00845000067726
168,16/5/2,-0.00802049358417
169,16/5/3,-0.00776621111858
170,16/5/4,-0.00767547023773
171,16/5/5,-0.00784081753482
172,16/5/6,-0.00786374064992
173,16/5/9,-0.00790933628175
174,16/5/10,-0.00797323978067
175,16/5/11,-0.00798486118594
176,16/5/12,-0.00799264495484
177,16/5/13,-0.00798157342528
178,16/5/16,-0.0080225412623
179,16/5/17,-0.00801383508542
180,16/5/18,-0.00828268545209
181,16/5/19,-0.00832480725279
182,16/5/20,-0.0082455559272
183,16/5/23,-0.00798376869499
184,16/5/24,-0.00794211454588
185,16/5/25,-0.00798493109814
186,16/5/26,-0.00786886710143
187,16/5/27,-0.00776512692272
188,16/5/31,-0.00778553244801
189,16/6/1,-0.00779138284987
190,16/6/2,-0.00781294090392
191,16/6/3,-0.00778533218014
192,16/6/6,-0.00778456595499
193,16/6/7,-0.00779296667886
194,16/6/8,-0.00766619874291
195,16/6/9,-0.00725724210248
196,16/6/10,-0.00749226919983
197,16/6/13,-0.00735544527278
198,16/6/14,-0.00739230449655
199,16/6/15,-0.00729688506608
200,16/6/16,-0.00730023342566
201,16/6/17,-0.00704237671232
202,16/6/20,-0.00756158365004
203,16/6/21,-0.00772285085449
204,16/6/22,-0.00776811639534
205,16/6/23,-0.00777345026056
206,16/6/24,-0.00776394777086
207,16/6/27,-0.0077951408891
208,16/6/28,-0.0078430417642
209,16/6/29,-0.0078878872901
210,16/6/30,-0.00796613114903
211,16/7/1,-0.00792580643297
212,16/7/5,-0.00797273940692
213,16/7/6,-0.00798973766625
214,16/7/7,-0.00799301186227
215,16/7/8,-0.00799894116806
216,16/7/11,-0.00790072761941
217,16/7/12,-0.00802509682833
218,16/7/13,-0.00778527549805
219,16/7/14,-0.00776605641244
220,16/7/15,-0.00753825633452
221,16/7/18,-0.00759588639976
222,16/7/19,-0.00707326169689
223,16/7/20,-0.00715742472927
224,16/7/21,-0.00698231265058
225,16/7/22,-0.00665417839138
226,16/7/25,-0.00676586281001
227,16/7/26,-0.00684693317249
228,16/7/27,-0.00672727129153
229,16/7/28,-0.0066713339211
230,16/7/29,-0.00683004758586
231,16/8/1,-0.00652330930015
232,16/8/2,-0.00670653425844
233,16/8/3,-0.00683336583157
234,16/8/4,-0.00691130187661
235,16/8/5,-0.00685823367379
236,16/8/8,-0.00678881115919
237,16/8/9,-0.00699134680815
238,16/8/10,-0.00735531556689
239,16/8/11,-0.00734764253204
240,16/8/12,-0.00722953994843
241,16/8/15,-0.00763084000506
242,16/8/16,-0.0075654779325
243,16/8/17,-0.00784343777871
244,16/8/18,-0.00781696831559
245,16/8/19,-0.00775746799824
246,16/8/22,-0.00773920974399
247,16/8/23,-0.00786842158907
248,16/8/24,-0.00784983855636
249,16/8/25,-0.00810416239246
250,16/8/26,-0.0081276705498
251,16/8/29,-0.00827298117205
252,16/8/30,-0.00790036944388
253,16/8/31,-0.0077319796763
254,16/9/1,-0.00756393577387
255,16/9/2,-0.00723067261444
256,16/9/6,-0.00728278031866
257,16/9/7,-0.00753573121339
258,16/9/8,-0.00766522572314
259,16/9/9,-0.00722997340316
260,16/9/12,-0.00716067873847
261,16/9/13,-0.00739864564665
262,16/9/14,-0.00753956202542
263,16/9/15,-0.00748413923968
264,16/9/16,-0.00747141889691
265,16/9/19,-0.00741645076685
266,16/9/20,-0.00748937012613
267,16/9/21,-0.00754672304127
268,16/9/22,-0.00730882907479
269,16/9/23,-0.00733727303922
270,16/9/26,-0.00734609894037
271,16/9/27,-0.00732254594412
272,16/9/28,-0.00727096043684
273,16/9/29,-0.00761988887958
274,16/9/30,-0.00781811774672
275,16/10/3,-0.0074157828101
276,16/10/4,-0.00735496834203
277,16/10/5,-0.00730445913682
278,16/10/6,-0.00654432005662
279,16/10/7,-0.00653934759242
280,16/10/10,-0.00643002163924
281,16/10/11,-0.0067547022408
282,16/10/12,-0.00706294996065
283,16/10/13,-0.0070468764982
284,16/10/14,-0.00713966482594
285,16/10/17,-0.00731980082659
286,16/10/18,-0.00725225720447
287,16/10/19,-0.00778038407131
288,16/10/20,-0.00810577838837
289,16/10/21,-0.00791154039212
290,16/10/24,-0.00754107002907
291,16/10/25,-0.00743806930607
292,16/10/26,-0.00738333339602
293,16/10/27,-0.00684134813198
294,16/10/28,-0.00662537438627
295,16/10/31,-0.00698263860763
296,16/11/1,-0.00724347362752
297,16/11/2,-0.0073095886296
298,16/11/3,-0.00731338248827
299,16/11/4,-0.00771602974587
300,16/11/7,-0.00767032460881
301,16/11/8,-0.00749210857256
302,16/11/9,-0.00736592146298
303,16/11/10,-0.00548859488834
304,16/11/11,-0.00323382674319
305,16/11/14,-0.00313534040264
306,16/11/15,-0.00364317782174
307,16/11/16,-0.0035449668122
308,16/11/17,-0.00374491863609
309,16/11/18,-0.00379388625409
310,16/11/21,-0.00395399592465
311,16/11/22,-0.00399184792437
312,16/11/23,-0.00407890400305
313,16/11/25,-0.00426225694418
314,16/11/28,-0.00425118670401
315,16/11/29,-0.00420794580739
316,16/11/30,-0.00414925013551
317,16/12/1,-0.00412967250285
318,16/12/2,-0.00385240809695
319,16/12/5,-0.00397167991254
320,16/12/6,-0.00397238868279
321,16/12/7,-0.00398699138074
322,16/12/8,-0.00426618322196
323,16/12/9,-0.00439459572332
324,16/12/12,-0.00442267310048
325,16/12/13,-0.00453967493474
326,16/12/14,-0.00472073644057
327,16/12/15,-0.00483090951107
328,16/12/16,-0.00482219303953
329,16/12/19,-0.00452109125155
330,16/12/20,-0.00451408031746
331,16/12/21,-0.0045252562445
332,16/12/22,-0.00453458665111
333,16/12/23,-0.00450623265767
334,16/12/27,-0.00464339321833
335,16/12/28,-0.00449032493493
336,16/12/29,-0.00446849949337
337,16/12/30,-0.00454075867215
338,17/1/3,-0.00455045929574
339,17/1/4,-0.00446911449913
340,17/1/5,-0.00427440454321
341,17/1/6,-0.00425829356631
342,17/1/9,-0.00448586016835
343,17/1/10,-0.00491791003124
344,17/1/11,-0.00490596827567
345,17/1/12,-0.00524178387394
346,17/1/13,-0.00494370115619
347,17/1/17,-0.00505440377037
348,17/1/18,-0.00495402315583
349,17/1/19,-0.00497133970678
350,17/1/20,-0.0049493309359
351,17/1/23,-0.00509470686489
352,17/1/24,-0.00493205131322
353,17/1/25,-0.00511831544914
354,17/1/26,-0.00500659739997
355,17/1/27,-0.00511812167816
356,17/1/30,-0.00536075215707
357,17/1/31,-0.0052152629017
358,17/2/1,-0.00541112486949
359,17/2/2,-0.00517794880651
360,17/2/3,-0.00520077668091
361,17/2/6,-0.00460361363413
362,17/2/7,-0.00466229430485
363,17/2/8,-0.00461615845625
364,17/2/9,-0.00464766420945
365,17/2/10,-0.00461286059355
366,17/2/13,-0.00461373224335
367,17/2/14,-0.00460322886142
368,17/2/15,-0.00458163725799
369,17/2/16,-0.0048604413031
370,17/2/17,-0.00482551421265
371,17/2/21,-0.00492648058318
372,17/2/22,-0.00493368143234
373,17/2/23,-0.00496476466259
374,17/2/24,-0.00485091577106
375,17/2/27,-0.00476744282684
376,17/2/28,-0.00469914257321
377,17/3/1,-0.00463582017071
378,17/3/2,-0.00463366624782
379,17/3/3,-0.00469589518189
380,17/3/6,-0.00466914177752
381,17/3/7,-0.00467236595272
382,17/3/8,-0.00468815796783
383,17/3/9,-0.00467736725357
384,17/3/10,-0.00470571401994
385,17/3/13,-0.00481716450412
386,17/3/14,-0.00490893052663
387,17/3/15,-0.0050072670724
388,17/3/16,-0.00477759726776
389,17/3/17,-0.00482790528729
390,17/3/20,-0.00415101768198
391,17/3/21,-0.00425221368272
392,17/3/22,-0.0042077470983
393,17/3/23,-0.00419655405522
394,17/3/24,-0.0040752168828
395,17/3/27,-0.00404266421364
396,17/3/28,-0.00395102109606
397,17/3/29,-0.00403569598303
398,17/3/30,-0.00395575381182
399,17/3/31,-0.00414893516527
400,17/4/3,-0.00383068919463
401,17/4/4,-0.00366970194775
402,17/4/5,-0.00364959521528
403,17/4/6,-0.0035417257364
404,17/4/7,-0.00362042522043
405,17/4/10,-0.00358189875978
406,17/4/11,-0.0035989922068
407,17/4/12,-0.00364178304071
408,17/4/13,-0.0036847974414
409,17/4/17,-0.00359868721606
410,17/4/18,-0.00358283751018
411,17/4/19,-0.0034707124141
412,17/4/20,-0.00328734154745
413,17/4/21,-0.0033503758364
414,17/4/24,-0.0033536859664
415,17/4/25,-0.00311914547695
416,17/4/26,-0.0031042289527
417,17/4/27,-0.0032774252229
418,17/4/28,-0.00288339651057
419,17/5/1,-0.00297820267112
420,17/5/2,-0.00324899625545
421,17/5/3,-0.00365602526755
422,17/5/4,-0.00307853681547
423,17/5/5,-0.00296613480564
424,17/5/8,-0.00303429957013
425,17/5/9,-0.00301609051837
426,17/5/10,-0.00238519226418
427,17/5/11,-0.00233144476234
428,17/5/12,-0.00234418965358
429,17/5/15,-0.00244075742558
430,17/5/16,-0.00296059311729
431,17/5/17,-0.00528193654838
432,17/5/18,-0.00529938186001
433,17/5/19,-0.00510763778062
434,17/5/22,-0.00525224727451
435,17/5/23,-0.00475392165563
436,17/5/24,-0.00464318415227
437,17/5/25,-0.00444757857944
438,17/5/26,-0.0043503262473
439,17/5/30,-0.00423449592023
440,17/5/31,-0.00422988109016
441,17/6/1,-0.00435134377917
442,17/6/2,-0.00439422650634
443,17/6/5,-0.00469971599529
444,17/6/6,-0.00473980262988
445,17/6/7,-0.0050462486602
446,17/6/8,-0.00487902369225
447,17/6/9,-0.00439577563134
448,17/6/12,-0.002421712821
449,17/6/13,-0.0019231676738
450,17/6/14,-0.00177564982494
451,17/6/15,-0.00186339535269
452,17/6/16,-0.00199042990781
453,17/6/19,-0.00183779117585
454,17/6/20,-0.00202477763068
455,17/6/21,-0.00217116913595
456,17/6/22,-0.00361358472314
457,17/6/23,-0.00370922887034
458,17/6/26,-0.00341272225482
459,17/6/27,-0.00315335776707
460,17/6/28,-0.00342896033465
461,17/6/29,-0.00332856551382
462,17/6/30,-0.00307880197806
463,17/7/3,-0.00313365185867
464,17/7/5,-0.00302317268839
465,17/7/6,-0.00301055627852
466,17/7/7,-0.00309373002633
467,17/7/10,-0.00286729819554
468,17/7/11,-0.00287706830966
469,17/7/12,-0.00281301814613
470,17/7/13,-0.00228156933258
471,17/7/14,-0.0022022361724
472,17/7/17,-0.00198672158076
473,17/7/18,-0.00212589748244
474,17/7/19,-0.00209982277579
475,17/7/20,-0.00215678417666
476,17/7/21,-0.00219671070337
477,17/7/24,-0.00216567588054
478,17/7/25,-0.0021929405026
479,17/7/26,-0.002348333895
480,17/7/27,-0.00160593586025
481,17/7/28,-0.00203468061037
482,17/7/31,-0.00180097132284
483,17/8/1,-0.00137108514312
484,17/8/2,-0.00146946458535
485,17/8/3,-0.00122243681205
486,17/8/4,-0.00127759099845
487,17/8/7,-0.00132156784407
488,17/8/8,-0.00204445802565
489,17/8/9,-0.00207115823117
490,17/8/10,-0.00206329772227
491,17/8/11,-0.00211681438782
