,date,Alpha
0,15/8/31,-0.000674371060978
1,15/9/1,-0.00176261871589
2,15/9/2,-0.00180499797356
3,15/9/3,-0.0014662401315
4,15/9/4,-0.000984113244319
5,15/9/8,-0.00135488887289
6,15/9/9,-0.0014954497061
7,15/9/10,-0.00116029302295
8,15/9/11,-0.00115930401736
9,15/9/14,-0.000827928368414
10,15/9/15,-0.000829216436847
11,15/9/16,-0.000812283641978
12,15/9/17,-0.000627799271461
13,15/9/18,-0.00083973939226
14,15/9/21,-0.00205143558609
15,15/9/22,-0.00200003953519
16,15/9/23,-0.00187762530645
17,15/9/24,-0.00163901935481
18,15/9/25,-0.00123529958106
19,15/9/28,-0.00163668931244
20,15/9/29,-0.00176447439011
21,15/9/30,-0.0019959385916
22,15/10/1,-0.00218816783817
23,15/10/2,-0.0025055812264
24,15/10/5,-0.0025509229267
25,15/10/6,-0.00292512791023
26,15/10/7,-0.00428951892186
27,15/10/8,-0.00408658192851
28,15/10/9,-0.00375412736786
29,15/10/12,-0.00331486034547
30,15/10/13,-0.00342298036107
31,15/10/14,-0.00327394795191
32,15/10/15,-0.00307657844393
33,15/10/16,-0.00304571848953
34,15/10/19,-0.0026767339947
35,15/10/20,-0.00261965659616
36,15/10/21,-0.00177886573181
37,15/10/22,-0.0015294720287
38,15/10/23,-0.00164246096814
39,15/10/26,-0.00169752963244
40,15/10/27,-0.00145834867372
41,15/10/28,-0.00134334821745
42,15/10/29,-0.0010557260162
43,15/10/30,-0.00139998592095
44,15/11/2,-0.00131056695787
45,15/11/3,-0.00117035811414
46,15/11/4,-0.0014106323975
47,15/11/5,-0.00149276522925
48,15/11/6,-0.00127873892398
49,15/11/9,-0.00133156628858
50,15/11/10,-0.00141913023751
51,15/11/11,-0.00134094577294
52,15/11/12,-0.00155483365362
53,15/11/13,-0.00137808464697
54,15/11/16,-0.000584338516356
55,15/11/17,-0.000632864688039
56,15/11/18,-0.00091825441869
57,15/11/19,-0.00094296880327
58,15/11/20,-0.00100073003251
59,15/11/23,-0.000968073567426
60,15/11/24,-0.000982064052598
61,15/11/25,-0.0010477409589
62,15/11/27,-0.000976626324606
63,15/11/30,-0.000962026565672
64,15/12/1,-0.000925515592363
65,15/12/2,-0.000761136140579
66,15/12/3,-0.000676471753157
67,15/12/4,-0.000556613679135
68,15/12/7,-0.000686307131053
69,15/12/8,-0.000596848155445
70,15/12/9,-0.00120759195634
71,15/12/10,-0.00125908850432
72,15/12/11,-0.00122393480442
73,15/12/14,-0.00126471631596
74,15/12/15,-0.00105208705813
75,15/12/16,-0.00116353278784
76,15/12/17,-0.00113603447215
77,15/12/18,-0.00117673935115
78,15/12/21,-0.00118965092627
79,15/12/22,-0.00118398757857
80,15/12/23,-0.0012591164742
81,15/12/24,-0.00125285521663
82,15/12/28,-0.00125188453137
83,15/12/29,-0.00128936667479
84,15/12/30,-0.00127598403557
85,15/12/31,-0.00148384003058
86,16/1/4,-0.00132580701089
87,16/1/5,-0.0015278639732
88,16/1/6,-0.00142049075833
89,16/1/7,-0.00136628420423
90,16/1/8,-0.00137045015452
91,16/1/11,-0.00136334156343
92,16/1/12,-0.00150904972041
93,16/1/13,-0.00186544608912
94,16/1/14,-0.00192336256452
95,16/1/15,-0.00191544536439
96,16/1/19,-0.00201823398711
97,16/1/20,-0.001831274313
98,16/1/21,-0.00183583592846
99,16/1/22,-0.00165576407185
100,16/1/25,-0.0016667842767
101,16/1/26,-0.00138520292048
102,16/1/27,-0.00152876125274
103,16/1/28,-0.000733091591246
104,16/1/29,-0.00113962065008
105,16/2/1,-0.00105102840541
106,16/2/2,-0.00101847548318
107,16/2/3,-0.00145186977362
108,16/2/4,-0.00200294062324
109,16/2/5,-0.0019666175759
110,16/2/8,-0.00216492277468
111,16/2/9,-0.00202017619901
112,16/2/10,-0.00238084254762
113,16/2/11,-0.00267232688174
114,16/2/12,-0.00171064349278
115,16/2/16,-0.00250625748339
116,16/2/17,-0.0020914096978
117,16/2/18,-0.0020342198054
118,16/2/19,-0.00217653637591
119,16/2/22,-0.00258044993468
120,16/2/23,-0.00260659252448
121,16/2/24,-0.00247277138782
122,16/2/25,-0.00240712347821
123,16/2/26,-0.00247526896521
124,16/2/29,-0.00261079242644
125,16/3/1,-0.00267805358002
126,16/3/2,-0.00276733800394
127,16/3/3,-0.00299400898794
128,16/3/4,-0.00267262241474
129,16/3/7,-0.00293142298154
130,16/3/8,-0.00302786587283
131,16/3/9,-0.00323024314621
132,16/3/10,-0.00328691418167
133,16/3/11,-0.00304838841611
134,16/3/14,-0.00301562472334
135,16/3/15,-0.00277522762238
136,16/3/16,-0.00279026139006
137,16/3/17,-0.00282431773729
138,16/3/18,-0.00221645355801
139,16/3/21,-0.00229316139505
140,16/3/22,-0.00223958718127
141,16/3/23,-0.00202941161569
142,16/3/24,-0.0021664416302
143,16/3/28,-0.00215723757317
144,16/3/29,-0.00224949694296
145,16/3/30,-0.00241372926181
146,16/3/31,-0.00224606876746
147,16/4/1,-0.0018718182789
148,16/4/4,-0.00181634093475
149,16/4/5,-0.0014069664241
150,16/4/6,-0.00116943819933
151,16/4/7,-0.00113567908211
152,16/4/8,-0.000924184408892
153,16/4/11,0.000380081640371
154,16/4/12,0.000490670857578
155,16/4/13,0.000237621842356
156,16/4/14,-0.000233296527723
157,16/4/15,-0.000249032844527
158,16/4/18,-0.000395138425241
159,16/4/19,-0.000452427112454
160,16/4/20,-0.000687962326503
161,16/4/21,-0.000970259696335
162,16/4/22,-0.000713238531307
163,16/4/25,-0.000765999511148
164,16/4/26,-0.000760897098718
165,16/4/27,-0.000221558762281
166,16/4/28,-3.28407839833e-05
167,16/4/29,-0.000196914839442
168,16/5/2,-0.000428363749753
169,16/5/3,-0.000490645764413
170,16/5/4,-0.000353611078806
171,16/5/5,-0.000244810142796
172,16/5/6,-0.000219259224429
173,16/5/9,0.000159138908743
174,16/5/10,0.000251035039664
175,16/5/11,0.000151833274105
176,16/5/12,0.000766431298852
177,16/5/13,0.000767622663371
178,16/5/16,0.000587378166556
179,16/5/17,0.000803936800005
180,16/5/18,0.000658230351599
181,16/5/19,-0.0002066417765
182,16/5/20,-0.000166566553523
183,16/5/23,9.47810549537e-05
184,16/5/24,3.22701165369e-05
185,16/5/25,9.8984002619e-05
186,16/5/26,-8.94782025642e-05
187,16/5/27,-3.3906429947e-05
188,16/5/31,7.13408007996e-05
189,16/6/1,6.13357306599e-05
190,16/6/2,6.32289754474e-05
191,16/6/3,6.80818016558e-06
192,16/6/6,2.41002494421e-05
193,16/6/7,-0.000238695035847
194,16/6/8,-0.00039099036375
195,16/6/9,-0.00017854295019
196,16/6/10,-7.81601680554e-05
197,16/6/13,0.000523650232562
198,16/6/14,0.000592999425116
199,16/6/15,0.000641016785401
200,16/6/16,0.000647552845986
201,16/6/17,0.000388252061058
202,16/6/20,0.000279144672404
203,16/6/21,0.000147781414501
204,16/6/22,0.000146862732371
205,16/6/23,0.000133911945178
206,16/6/24,6.49262896521e-05
207,16/6/27,2.10532063677e-05
208,16/6/28,0.000214597666173
209,16/6/29,0.000156762972275
210,16/6/30,0.000173280465608
211,16/7/1,0.000257011086642
212,16/7/5,0.000254576102012
213,16/7/6,0.000247843581481
214,16/7/7,0.0004848378273
215,16/7/8,0.000487635573266
216,16/7/11,0.000562877803602
217,16/7/12,0.000429228623411
218,16/7/13,0.000364952490299
219,16/7/14,0.000374322780333
220,16/7/15,0.000730230858076
221,16/7/18,0.000802254877377
222,16/7/19,0.000782001108076
223,16/7/20,0.000815081196816
224,16/7/21,0.000683228977433
225,16/7/22,0.000693414766659
226,16/7/25,0.000477883792696
227,16/7/26,0.00048172074485
228,16/7/27,0.000380014358662
229,16/7/28,0.000593092675134
230,16/7/29,-0.000347428193701
231,16/8/1,0.000165977626583
232,16/8/2,0.000136047337029
233,16/8/3,0.000335556777968
234,16/8/4,-9.9928345613e-05
235,16/8/5,-0.000136199741847
236,16/8/8,-0.000405977454896
237,16/8/9,-7.84217289356e-05
238,16/8/10,0.000937004982984
239,16/8/11,0.00126533721778
240,16/8/12,0.00201648562573
241,16/8/15,0.00107143320188
242,16/8/16,0.00207799185556
243,16/8/17,0.00113424676825
244,16/8/18,0.000334395111256
245,16/8/19,0.000632350712196
246,16/8/22,0.00130011883711
247,16/8/23,0.00123554482237
248,16/8/24,0.0011393412952
249,16/8/25,0.00114453820543
250,16/8/26,0.00193539247672
251,16/8/29,0.00203377203106
252,16/8/30,0.00159312280516
253,16/8/31,0.00169832839295
254,16/9/1,0.00212353240936
255,16/9/2,0.00246247037673
256,16/9/6,0.00275400951564
257,16/9/7,0.00313998281569
258,16/9/8,0.00307588036544
259,16/9/9,0.00274530054185
260,16/9/12,0.00255418357781
261,16/9/13,0.00269689120218
262,16/9/14,0.00231373339987
263,16/9/15,0.00184791552795
264,16/9/16,0.00190659077218
265,16/9/19,0.00116846063545
266,16/9/20,0.0011246250062
267,16/9/21,0.000939985746194
268,16/9/22,0.00125115056284
269,16/9/23,0.00120935727122
270,16/9/26,0.00121362655855
271,16/9/27,0.00113071363585
272,16/9/28,0.00132863035378
273,16/9/29,0.000887289945801
274,16/9/30,0.000438813944432
275,16/10/3,0.000406951527004
276,16/10/4,0.000460615766319
277,16/10/5,0.000299324974686
278,16/10/6,0.000647781016114
279,16/10/7,0.000669089394618
280,16/10/10,0.000685575144653
281,16/10/11,0.000576991670836
282,16/10/12,0.000834192187647
283,16/10/13,0.00113817333121
284,16/10/14,0.00113887269325
285,16/10/17,0.0014318383772
286,16/10/18,0.00162489142038
287,16/10/19,0.00213897583332
288,16/10/20,0.00232086168305
289,16/10/21,0.00190301689139
290,16/10/24,0.00133402289064
291,16/10/25,0.00113752105144
292,16/10/26,0.000303344863449
293,16/10/27,-0.000875054028394
294,16/10/28,-0.000607164727477
295,16/10/31,-0.000601960449678
296,16/11/1,-0.000373887694627
297,16/11/2,-0.000490332445027
298,16/11/3,-0.000486049281561
299,16/11/4,-0.000354600084054
300,16/11/7,-0.000355436877366
301,16/11/8,-0.000193515822205
302,16/11/9,-0.000457251590524
303,16/11/10,-0.00194451270101
304,16/11/11,-0.00370865701676
305,16/11/14,-0.0034505880511
306,16/11/15,-0.00338960060235
307,16/11/16,-0.00337880608207
308,16/11/17,-0.00364961960385
309,16/11/18,-0.00370007562338
310,16/11/21,-0.00392837624127
311,16/11/22,-0.00388910351291
312,16/11/23,-0.00377778768514
313,16/11/25,-0.00367796512898
314,16/11/28,-0.00372117134236
315,16/11/29,-0.0037067858595
316,16/11/30,-0.00416869637838
317,16/12/1,-0.00364923293545
318,16/12/2,-0.00462686225234
319,16/12/5,-0.00471900154204
320,16/12/6,-0.00469609743613
321,16/12/7,-0.00465989536218
322,16/12/8,-0.00483331886262
323,16/12/9,-0.0048814621317
324,16/12/12,-0.00488264082978
325,16/12/13,-0.00493131742817
326,16/12/14,-0.00489490152516
327,16/12/15,-0.00485953047595
328,16/12/16,-0.00497668020449
329,16/12/19,-0.00491735116378
330,16/12/20,-0.00493057101226
331,16/12/21,-0.00517006467283
332,16/12/22,-0.00516315230922
333,16/12/23,-0.0051865697785
334,16/12/27,-0.00518790555897
335,16/12/28,-0.00550558921501
336,16/12/29,-0.00548337189948
337,16/12/30,-0.00530765627459
338,17/1/3,-0.00542483057406
339,17/1/4,-0.00540098741443
340,17/1/5,-0.00616906593251
341,17/1/6,-0.0058564310609
342,17/1/9,-0.00579376420896
343,17/1/10,-0.00582343812159
344,17/1/11,-0.00576705766673
345,17/1/12,-0.00587374161604
346,17/1/13,-0.00548221391237
347,17/1/17,-0.00539026905879
348,17/1/18,-0.00541474448128
349,17/1/19,-0.00540118173671
350,17/1/20,-0.00536021187074
351,17/1/23,-0.00535523402722
352,17/1/24,-0.00549882183262
353,17/1/25,-0.00540504920065
354,17/1/26,-0.00535803397796
355,17/1/27,-0.00559370695409
356,17/1/30,-0.00552681298078
357,17/1/31,-0.00545187333037
358,17/2/1,-0.00546740996029
359,17/2/2,-0.00563452352688
