,date,Alpha
0,15/8/31,-0.0112278903686
1,15/9/1,-0.009734448953
2,15/9/2,-0.00990704828269
3,15/9/3,-0.0103480755669
4,15/9/4,-0.0106586913892
5,15/9/8,-0.0110776065075
6,15/9/9,-0.0117113806332
7,15/9/10,-0.0111723675738
8,15/9/11,-0.0118548421038
9,15/9/14,-0.0116725573835
10,15/9/15,-0.0116696542276
11,15/9/16,-0.0129005389151
12,15/9/17,-0.013628486134
13,15/9/18,-0.0126405306216
14,15/9/21,-0.0126651901894
15,15/9/22,-0.010031809823
16,15/9/23,-0.00963897372706
17,15/9/24,-0.00999846397016
18,15/9/25,-0.00972153603564
19,15/9/28,-0.00940333899759
20,15/9/29,-0.00873652082179
21,15/9/30,-0.00893576124167
22,15/10/1,-0.00844693260577
23,15/10/2,-0.00820308029995
24,15/10/5,-0.00854825790372
25,15/10/6,-0.00718257018911
26,15/10/7,-0.00593090809611
27,15/10/8,-0.00573556755799
28,15/10/9,-0.00459409050956
29,15/10/12,-0.00456003298385
30,15/10/13,-0.00420713541014
31,15/10/14,-0.00469256976258
32,15/10/15,-0.00558992058134
33,15/10/16,-0.00550328402009
34,15/10/19,-0.00535745347088
35,15/10/20,-0.00566795109546
36,15/10/21,-0.00555088999388
37,15/10/22,-0.00567771071128
38,15/10/23,-0.00552707932715
39,15/10/26,-0.00561187505788
40,15/10/27,-0.00547142883778
41,15/10/28,-0.00313736391082
42,15/10/29,-0.00328357927443
43,15/10/30,-0.00268745320683
44,15/11/2,-0.00219404496048
45,15/11/3,-0.00177921058846
46,15/11/4,-0.00151663349295
47,15/11/5,-0.00155639884689
48,15/11/6,-0.00188142877822
49,15/11/9,-0.00288221270821
50,15/11/10,-0.00279666925483
51,15/11/11,-0.00260663623808
52,15/11/12,-0.00253084369653
53,15/11/13,-0.00294246301357
54,15/11/16,-0.00288286137011
55,15/11/17,-0.00284462531397
56,15/11/18,-0.00279574553181
57,15/11/19,-0.00270274349474
58,15/11/20,-0.0027678296393
59,15/11/23,-0.00286895528131
60,15/11/24,-0.00291253252672
61,15/11/25,-0.00296908182181
62,15/11/27,-0.00280006024984
63,15/11/30,-0.00289732270694
64,15/12/1,-0.00308783823074
65,15/12/2,-0.00294356449056
66,15/12/3,-0.00315291325232
67,15/12/4,-0.0034152574283
68,15/12/7,-0.0029023973467
69,15/12/8,-0.00288468718552
70,15/12/9,-0.00165203890586
71,15/12/10,-0.0016019631212
72,15/12/11,-0.00147551979043
73,15/12/14,-0.00130599416885
74,15/12/15,-0.00139829241086
75,15/12/16,-0.00124772988077
76,15/12/17,-0.00212212527426
77,15/12/18,-0.00224961241694
78,15/12/21,-0.00222710602472
79,15/12/22,-0.00220755548232
80,15/12/23,-0.00183521212445
81,15/12/24,-0.00231307016325
82,15/12/28,-0.00235971723035
83,15/12/29,-0.00195179106955
84,15/12/30,-0.00185245295069
85,15/12/31,-0.00186960386481
86,16/1/4,-0.0019025817455
87,16/1/5,-0.001937843014
88,16/1/6,-0.00105194446639
89,16/1/7,-0.000908313119265
90,16/1/8,-0.000897800307944
91,16/1/11,-0.000905294446054
92,16/1/12,-0.0010613011893
93,16/1/13,-0.00116827086072
94,16/1/14,-0.00082417254973
95,16/1/15,-0.000836677728887
96,16/1/19,-0.000645189113411
97,16/1/20,0.000365747927095
98,16/1/21,0.000696161731562
99,16/1/22,0.000586516595252
100,16/1/25,0.000620461347522
101,16/1/26,6.03876231205e-05
102,16/1/27,-0.000164912294638
103,16/1/28,0.000129345948436
104,16/1/29,8.72817785598e-05
105,16/2/1,7.26592737982e-06
106,16/2/2,-0.000107348980971
107,16/2/3,0.00041844271933
108,16/2/4,0.000254891445278
109,16/2/5,0.000185660837111
110,16/2/8,0.000491408987069
111,16/2/9,0.000638416450011
112,16/2/10,0.000157797592278
113,16/2/11,0.000127910180219
114,16/2/12,-0.000159168926396
115,16/2/16,0.000465483855018
116,16/2/17,0.000413669796385
117,16/2/18,0.000597810114437
118,16/2/19,9.57512665873e-05
119,16/2/22,0.000414613817059
120,16/2/23,0.000239091068537
121,16/2/24,0.000386649657835
122,16/2/25,-5.09388686e-05
123,16/2/26,-5.41861358859e-05
124,16/2/29,-1.04754586488e-05
125,16/3/1,-0.000296499829408
126,16/3/2,-0.000248485222269
127,16/3/3,-0.000544484702632
128,16/3/4,-0.000598359643814
129,16/3/7,-0.000478068660526
130,16/3/8,-0.000325746380671
131,16/3/9,-0.000101954923623
132,16/3/10,-0.000119087755163
133,16/3/11,0.000323826063444
134,16/3/14,0.000297641327434
135,16/3/15,8.88306985441e-05
136,16/3/16,-6.46688561733e-05
137,16/3/17,-7.5317500697e-05
138,16/3/18,0.00017887974412
139,16/3/21,0.000475811256335
140,16/3/22,0.000749725407477
