,date,Alpha
0,15/8/31,-0.00558521804047
1,15/9/1,-0.00544530128208
2,15/9/2,-0.00536791224245
3,15/9/3,-0.00511389052386
4,15/9/4,-0.00526681163199
5,15/9/8,-0.00517386894437
6,15/9/9,-0.00513200771424
7,15/9/10,-0.00512468560632
8,15/9/11,-0.00546616304861
9,15/9/14,-0.00605689209802
10,15/9/15,-0.00605901755773
11,15/9/16,-0.00591617226065
12,15/9/17,-0.00593036325315
13,15/9/18,-0.00523843786152
14,15/9/21,-0.00535221092935
15,15/9/22,-0.00571068461279
16,15/9/23,-0.00561756923399
17,15/9/24,-0.00570506722358
18,15/9/25,-0.00612620848223
19,15/9/28,-0.0064218042945
20,15/9/29,-0.00631385577612
21,15/9/30,-0.00620906556414
22,15/10/1,-0.00603518943386
23,15/10/2,-0.00587271111679
24,15/10/5,-0.00598285831973
25,15/10/6,-0.00606339325192
26,15/10/7,-0.00618525629494
27,15/10/8,-0.00633971671243
28,15/10/9,-0.00638893488662
29,15/10/12,-0.00651350257351
30,15/10/13,-0.00655883810371
31,15/10/14,-0.00647182304427
32,15/10/15,-0.00634713924213
33,15/10/16,-0.0064531507391
34,15/10/19,-0.00653962206024
35,15/10/20,-0.0064878075646
36,15/10/21,-0.00680230169516
37,15/10/22,-0.00680098644214
38,15/10/23,-0.00692432550957
39,15/10/26,-0.00719068090069
40,15/10/27,-0.0072562903327
41,15/10/28,-0.00819901634141
42,15/10/29,-0.00802142196144
43,15/10/30,-0.00760033456454
44,15/11/2,-0.0074545540077
45,15/11/3,-0.00716086029901
46,15/11/4,-0.0071635216395
47,15/11/5,-0.00718084951152
48,15/11/6,-0.00693284690681
49,15/11/9,-0.00685173002956
50,15/11/10,-0.0068440517939
51,15/11/11,-0.00681085659173
52,15/11/12,-0.00676301330009
53,15/11/13,-0.006554633369
54,15/11/16,-0.0064745959092
55,15/11/17,-0.00647702897491
56,15/11/18,-0.00650112735446
57,15/11/19,-0.00648227704684
58,15/11/20,-0.00642610399687
59,15/11/23,-0.00640501088154
60,15/11/24,-0.00637948806208
61,15/11/25,-0.00644851622097
62,15/11/27,-0.00641120231149
63,15/11/30,-0.00642551364876
64,15/12/1,-0.00636361690006
65,15/12/2,-0.00626775959057
66,15/12/3,-0.00604093215689
67,15/12/4,-0.0059983083228
68,15/12/7,-0.00610347198544
69,15/12/8,-0.00624678419491
70,15/12/9,-0.00611730465528
71,15/12/10,-0.0061564473259
72,15/12/11,-0.00611938131896
73,15/12/14,-0.00612059438184
74,15/12/15,-0.00615421805296
75,15/12/16,-0.00622303047242
76,15/12/17,-0.00616954141522
77,15/12/18,-0.00629960864584
78,15/12/21,-0.00627971618453
79,15/12/22,-0.00627665862579
80,15/12/23,-0.00616330130651
81,15/12/24,-0.00610662368276
82,15/12/28,-0.00611158490823
83,15/12/29,-0.00615092345232
84,15/12/30,-0.00611148185474
85,15/12/31,-0.00623423501481
86,16/1/4,-0.00622628429265
87,16/1/5,-0.00622624919214
88,16/1/6,-0.00623046739585
89,16/1/7,-0.00622032855546
90,16/1/8,-0.00621336477691
91,16/1/11,-0.0062070179846
92,16/1/12,-0.00648144608471
93,16/1/13,-0.00646744415933
94,16/1/14,-0.00636122186922
95,16/1/15,-0.00651503906978
96,16/1/19,-0.00664223818606
97,16/1/20,-0.00682180671519
98,16/1/21,-0.00662898427227
99,16/1/22,-0.00662726530524
100,16/1/25,-0.00668634154331
101,16/1/26,-0.0070194231377
102,16/1/27,-0.00664540365136
103,16/1/28,-0.00636528558598
104,16/1/29,-0.00705908511264
105,16/2/1,-0.00699918686368
106,16/2/2,-0.00653784235033
107,16/2/3,-0.00624299197654
108,16/2/4,-0.00623897981667
109,16/2/5,-0.0063215338476
110,16/2/8,-0.00559031432732
111,16/2/9,-0.00544319288598
112,16/2/10,-0.00543732963952
113,16/2/11,-0.00561463957049
114,16/2/12,-0.00536830498677
115,16/2/16,-0.00525366898782
116,16/2/17,-0.00522161267244
117,16/2/18,-0.00515920587258
118,16/2/19,-0.00525931986342
119,16/2/22,-0.0052253731206
120,16/2/23,-0.00518693489205
121,16/2/24,-0.00508981564166
122,16/2/25,-0.00519697077171
123,16/2/26,-0.00513144450088
124,16/2/29,-0.00497571231093
125,16/3/1,-0.00483644266261
126,16/3/2,-0.00471766464911
127,16/3/3,-0.0046612833868
128,16/3/4,-0.00462211035134
129,16/3/7,-0.00466010433873
130,16/3/8,-0.00457284442653
131,16/3/9,-0.0043657877777
132,16/3/10,-0.00433623740081
133,16/3/11,-0.00446078911885
134,16/3/14,-0.00445021594299
135,16/3/15,-0.00421208619115
136,16/3/16,-0.00408615630866
137,16/3/17,-0.0040865857861
138,16/3/18,-0.0044280496103
139,16/3/21,-0.00443433573784
140,16/3/22,-0.00472374944841
141,16/3/23,-0.00479633262055
142,16/3/24,-0.00479192121746
143,16/3/28,-0.00478178950037
144,16/3/29,-0.0047659150548
145,16/3/30,-0.0046884380598
146,16/3/31,-0.00429928873518
147,16/4/1,-0.00426163541184
148,16/4/4,-0.00423251329316
149,16/4/5,-0.00468137827812
150,16/4/6,-0.00457353065259
151,16/4/7,-0.00488408052179
152,16/4/8,-0.00488162212853
153,16/4/11,-0.00478806722113
154,16/4/12,-0.0048835169216
155,16/4/13,-0.00485599621161
156,16/4/14,-0.0046447136302
157,16/4/15,-0.00458571325682
158,16/4/18,-0.00475617992029
159,16/4/19,-0.00474628395527
160,16/4/20,-0.00424104917307
161,16/4/21,-0.00393232194838
162,16/4/22,-0.00393575962407
163,16/4/25,-0.00356391663085
164,16/4/26,-0.003549374111
165,16/4/27,-0.00342846147723
