,date,Alpha
0,15/8/31,0.00146647887447
1,15/9/1,0.000951377815409
2,15/9/2,0.00124026677513
3,15/9/3,0.00124814290673
4,15/9/4,0.00121737360376
5,15/9/8,0.00137485187675
6,15/9/9,0.00140751244226
7,15/9/10,0.00112161440745
8,15/9/11,0.000901786423519
9,15/9/14,0.00124632679254
10,15/9/15,0.00124339717289
11,15/9/16,0.00114620867614
12,15/9/17,0.00105305212267
13,15/9/18,0.00188755256352
14,15/9/21,0.00193826951626
15,15/9/22,0.00220457104559
16,15/9/23,0.00219704539702
17,15/9/24,0.00220248109047
18,15/9/25,0.00204809536926
19,15/9/28,0.00212518859906
20,15/9/29,0.00160629356344
21,15/9/30,0.0015572090263
22,15/10/1,0.00134862630049
23,15/10/2,0.0011971842981
24,15/10/5,0.00144772807323
25,15/10/6,0.00173784462266
26,15/10/7,0.00282957717247
27,15/10/8,0.00277498303493
28,15/10/9,0.00253552441347
29,15/10/12,0.00299430286234
30,15/10/13,0.00300557464983
31,15/10/14,0.00299444662965
32,15/10/15,0.00281791343308
33,15/10/16,0.00279885117107
34,15/10/19,0.00294402319755
35,15/10/20,0.00284084039008
36,15/10/21,0.00235786420398
37,15/10/22,0.00231328254409
38,15/10/23,0.003605245087
39,15/10/26,0.00390985714318
40,15/10/27,0.00405638619025
41,15/10/28,0.0063372691678
42,15/10/29,0.00614960175815
43,15/10/30,0.00602430356569
44,15/11/2,0.00618893761075
45,15/11/3,0.00611718406029
46,15/11/4,0.00567296206566
47,15/11/5,0.00556077076351
48,15/11/6,0.00560863302836
49,15/11/9,0.00579545131284
50,15/11/10,0.00581861247911
51,15/11/11,0.00581611925662
52,15/11/12,0.00582354918547
53,15/11/13,0.00585335448485
54,15/11/16,0.00591365670038
55,15/11/17,0.00583029068869
56,15/11/18,0.0058447162733
57,15/11/19,0.00586294158086
58,15/11/20,0.00588854708669
59,15/11/23,0.00588773416971
60,15/11/24,0.00589569226187
61,15/11/25,0.00573459478374
62,15/11/27,0.00559668751841
63,15/11/30,0.0055999463873
64,15/12/1,0.00562262971753
65,15/12/2,0.00546167558105
66,15/12/3,0.00529936051128
67,15/12/4,0.00533156578469
68,15/12/7,0.00519736609165
69,15/12/8,0.00483794908588
70,15/12/9,0.005072692081
71,15/12/10,0.00493856296526
72,15/12/11,0.00487873721294
73,15/12/14,0.00490641470741
74,15/12/15,0.0051416962029
75,15/12/16,0.00530057547749
76,15/12/17,0.00537363437057
77,15/12/18,0.00536168961933
78,15/12/21,0.00530355375471
79,15/12/22,0.00530266312204
80,15/12/23,0.00507756045666
81,15/12/24,0.00509106419086
82,15/12/28,0.00508396692386
83,15/12/29,0.00517049371562
84,15/12/30,0.00518006820637
85,15/12/31,0.00520686702648
86,16/1/4,0.00522099236984
87,16/1/5,0.00530704533025
88,16/1/6,0.00543238913937
89,16/1/7,0.00542619865833
90,16/1/8,0.0054206508611
