,date,Alpha
0,15/8/31,0.00463166918389
1,15/9/1,0.00450362967454
2,15/9/2,0.00467227856194
3,15/9/3,0.00450627213355
4,15/9/4,0.00480484381936
5,15/9/8,0.00465628052489
6,15/9/9,0.00460316901571
7,15/9/10,0.00461475501654
8,15/9/11,0.00458030636082
9,15/9/14,0.00442650437408
10,15/9/15,0.00442560593522
11,15/9/16,0.0045611437613
12,15/9/17,0.00443201363945
13,15/9/18,0.0045534528268
14,15/9/21,0.00458389811508
15,15/9/22,0.00470767778922
16,15/9/23,0.0047050159651
17,15/9/24,0.00463877479158
18,15/9/25,0.00449144235015
19,15/9/28,0.00462461150714
20,15/9/29,0.00461594913533
21,15/9/30,0.00456322152572
22,15/10/1,0.00449792573787
23,15/10/2,0.00453489124075
24,15/10/5,0.00481285514772
25,15/10/6,0.0050590174921
26,15/10/7,0.00433042768134
27,15/10/8,0.00423412360521
28,15/10/9,0.00409728553967
29,15/10/12,0.00435535630833
30,15/10/13,0.00413540800665
31,15/10/14,0.003967545798
32,15/10/15,0.00402507744426
33,15/10/16,0.00402228676942
34,15/10/19,0.00385802709551
35,15/10/20,0.00379151072534
36,15/10/21,0.00387291274802
37,15/10/22,0.00388065182197
38,15/10/23,0.00392796976579
39,15/10/26,0.00397568839069
40,15/10/27,0.0038381186284
41,15/10/28,0.00366628324127
42,15/10/29,0.00391231592735
43,15/10/30,0.00391045272862
44,15/11/2,0.00398015802954
45,15/11/3,0.00400991959406
46,15/11/4,0.00399997941377
47,15/11/5,0.00397546960086
48,15/11/6,0.00393800417028
49,15/11/9,0.00393330641189
50,15/11/10,0.00393763617059
51,15/11/11,0.00401751263053
52,15/11/12,0.00404983535117
53,15/11/13,0.004105146819
54,15/11/16,0.00414630376318
55,15/11/17,0.00412034735139
56,15/11/18,0.00400410290434
57,15/11/19,0.00401145688549
58,15/11/20,0.00402886385913
59,15/11/23,0.00398396657626
60,15/11/24,0.00398397222412
61,15/11/25,0.00393224655582
62,15/11/27,0.00397067875457
63,15/11/30,0.00394030887634
64,15/12/1,0.00397423681004
65,15/12/2,0.00389571772777
66,15/12/3,0.00377376270559
67,15/12/4,0.00374549130984
68,15/12/7,0.00379258255833
69,15/12/8,0.0035731933636
70,15/12/9,0.00344710337812
71,15/12/10,0.00324607239807
72,15/12/11,0.00329666254827
73,15/12/14,0.00328518142202
74,15/12/15,0.00329924943428
75,15/12/16,0.00325008043511
76,15/12/17,0.00334926377752
77,15/12/18,0.0033737312463
78,15/12/21,0.00332751922058
79,15/12/22,0.00333030323661
80,15/12/23,0.00332500316011
81,15/12/24,0.00318423259349
82,15/12/28,0.00318884288514
83,15/12/29,0.00299535353917
84,15/12/30,0.00302935006773
85,15/12/31,0.00307409249716
86,16/1/4,0.0031404316732
87,16/1/5,0.00308051142969
88,16/1/6,0.00317649078608
89,16/1/7,0.00316837934778
90,16/1/8,0.00314986330242
91,16/1/11,0.00316538260673
92,16/1/12,0.00329498479304
93,16/1/13,0.00329162537932
94,16/1/14,0.00342529268083
95,16/1/15,0.00343892485705
96,16/1/19,0.00342027980991
97,16/1/20,0.00334244516979
98,16/1/21,0.0035282411451
99,16/1/22,0.00351586149751
100,16/1/25,0.00349289901379
101,16/1/26,0.00346272117921
102,16/1/27,0.0035106637208
103,16/1/28,0.00351133544433
104,16/1/29,0.00353103475389
105,16/2/1,0.00354280222295
106,16/2/2,0.00350467352544
107,16/2/3,0.00361510226521
108,16/2/4,0.00358852640051
109,16/2/5,0.00357508240747
110,16/2/8,0.00365708204377
111,16/2/9,0.00296744194678
112,16/2/10,0.00314993881152
113,16/2/11,0.00306266688848
114,16/2/12,0.0031155271262
115,16/2/16,0.00369212498984
116,16/2/17,0.00374269916007
117,16/2/18,0.00376851971178
118,16/2/19,0.00360498205478
119,16/2/22,0.00366622353558
120,16/2/23,0.00364668025841
121,16/2/24,0.00349178548616
122,16/2/25,0.00341234865012
123,16/2/26,0.00340506270179
124,16/2/29,0.00322259046695
125,16/3/1,0.00294989962316
126,16/3/2,0.00297689313553
127,16/3/3,0.00295505572595
128,16/3/4,0.00293438893064
