,date,Alpha
0,15/8/31,-0.0100430731861
1,15/9/1,-0.00979525263758
2,15/9/2,-0.00947912344428
3,15/9/3,-0.00900653537739
4,15/9/4,-0.00885917519777
5,15/9/8,-0.00914011543417
6,15/9/9,-0.00914998030679
7,15/9/10,-0.00904083164399
8,15/9/11,-0.00960102504238
9,15/9/14,-0.00995679995749
10,15/9/15,-0.00995523652727
11,15/9/16,-0.00979117568271
12,15/9/17,-0.00970413877927
13,15/9/18,-0.00888779471933
14,15/9/21,-0.00812349195383
15,15/9/22,-0.00721205871631
16,15/9/23,-0.00730166036804
17,15/9/24,-0.00744541877794
18,15/9/25,-0.00809054447002
19,15/9/28,-0.00894479800139
20,15/9/29,-0.0105727289688
21,15/9/30,-0.0103491692147
22,15/10/1,-0.0104215790943
23,15/10/2,-0.0104746045748
24,15/10/5,-0.0106391184166
25,15/10/6,-0.0118237138646
26,15/10/7,-0.0125734338195
27,15/10/8,-0.0126329104599
28,15/10/9,-0.0121971305084
29,15/10/12,-0.0130898722278
30,15/10/13,-0.013186137961
31,15/10/14,-0.0129531660564
32,15/10/15,-0.012444824492
33,15/10/16,-0.0123694343991
34,15/10/19,-0.0123909670277
35,15/10/20,-0.0129767836226
36,15/10/21,-0.0126919565148
37,15/10/22,-0.01247123091
38,15/10/23,-0.01297284292
39,15/10/26,-0.0129382843274
40,15/10/27,-0.0130433485534
41,15/10/28,-0.0140619273029
42,15/10/29,-0.0135594829472
43,15/10/30,-0.0135008538047
44,15/11/2,-0.0133166866961
45,15/11/3,-0.0134948217068
46,15/11/4,-0.013415920046
47,15/11/5,-0.0133462259451
48,15/11/6,-0.013086214556
49,15/11/9,-0.0130374046471
50,15/11/10,-0.0130628881638
51,15/11/11,-0.0131204903763
52,15/11/12,-0.0129386844304
53,15/11/13,-0.0126964232084
54,15/11/16,-0.012531125557
55,15/11/17,-0.0124145426627
56,15/11/18,-0.0125083443143
57,15/11/19,-0.0125001621303
58,15/11/20,-0.0121724199505
59,15/11/23,-0.0124836204341
60,15/11/24,-0.012402797339
61,15/11/25,-0.0124133227995
62,15/11/27,-0.0123302166157
63,15/11/30,-0.0125653279781
64,15/12/1,-0.0125559561597
65,15/12/2,-0.0122270190144
66,15/12/3,-0.0122988301223
67,15/12/4,-0.0123888561324
68,15/12/7,-0.0125717673279
69,15/12/8,-0.012415713953
70,15/12/9,-0.0120722728061
71,15/12/10,-0.0119216464839
72,15/12/11,-0.0118653813684
73,15/12/14,-0.0119522022251
74,15/12/15,-0.0118861669403
75,15/12/16,-0.011309841185
76,15/12/17,-0.0117678767378
77,15/12/18,-0.0119578792366
78,15/12/21,-0.0122909680051
79,15/12/22,-0.0122933223742
80,15/12/23,-0.0123095146599
81,15/12/24,-0.0122571665872
82,15/12/28,-0.0121832219653
83,15/12/29,-0.0122353224606
84,15/12/30,-0.01226248055
85,15/12/31,-0.0124381888434
86,16/1/4,-0.0123791842041
87,16/1/5,-0.012327456609
88,16/1/6,-0.0130638151537
89,16/1/7,-0.0130794180574
90,16/1/8,-0.0130987511139
91,16/1/11,-0.0130937309881
92,16/1/12,-0.0131387335424
93,16/1/13,-0.0136219565277
94,16/1/14,-0.0134483851519
95,16/1/15,-0.0133587856748
96,16/1/19,-0.0135399747353
97,16/1/20,-0.0137896357812
98,16/1/21,-0.013843124709
99,16/1/22,-0.0135522025038
100,16/1/25,-0.013555739702
101,16/1/26,-0.0131624589503
102,16/1/27,-0.0139548014611
103,16/1/28,-0.0117928852221
104,16/1/29,-0.0126354369295
105,16/2/1,-0.0123133674074
106,16/2/2,-0.0125319137373
107,16/2/3,-0.0124992781289
108,16/2/4,-0.0125331255704
109,16/2/5,-0.0125159839353
110,16/2/8,-0.0126796766276
111,16/2/9,-0.014029880256
112,16/2/10,-0.0141364165426
113,16/2/11,-0.0138480572964
114,16/2/12,-0.0131649475802
115,16/2/16,-0.0134582429977
116,16/2/17,-0.0133721094075
117,16/2/18,-0.0134370116079
118,16/2/19,-0.0133205757034
119,16/2/22,-0.013209723769
120,16/2/23,-0.013187032883
121,16/2/24,-0.0129464435512
122,16/2/25,-0.0130949747106
123,16/2/26,-0.0132410738222
124,16/2/29,-0.0131839964112
125,16/3/1,-0.0133600361218
126,16/3/2,-0.0132477897694
127,16/3/3,-0.0129194426335
128,16/3/4,-0.0130743226105
129,16/3/7,-0.0133613891888
130,16/3/8,-0.0138394899368
131,16/3/9,-0.0137268853242
132,16/3/10,-0.0135647947693
133,16/3/11,-0.0136408090385
134,16/3/14,-0.013590614467
135,16/3/15,-0.0132338242559
136,16/3/16,-0.0131270334587
137,16/3/17,-0.0131091803972
138,16/3/18,-0.0136397598447
139,16/3/21,-0.0137464422587
140,16/3/22,-0.0140924459091
141,16/3/23,-0.0146894864341
142,16/3/24,-0.0154786986272
143,16/3/28,-0.0154790802296
144,16/3/29,-0.0154581492986
145,16/3/30,-0.0148830856072
146,16/3/31,-0.0143258900706
147,16/4/1,-0.0126430498706
148,16/4/4,-0.0126351460049
149,16/4/5,-0.0125005797206
150,16/4/6,-0.0124940848519
151,16/4/7,-0.0120925993987
152,16/4/8,-0.0117916537137
153,16/4/11,-0.0112199738118
154,16/4/12,-0.011450758823
155,16/4/13,-0.0119415649467
156,16/4/14,-0.0112243979242
157,16/4/15,-0.011252688785
158,16/4/18,-0.0114175772095
159,16/4/19,-0.0114366424005
160,16/4/20,-0.0111252126869
161,16/4/21,-0.0109641891451
162,16/4/22,-0.0105784191699
163,16/4/25,-0.01013895511
164,16/4/26,-0.010335994729
165,16/4/27,-0.00872094640583
166,16/4/28,-0.00879212361555
167,16/4/29,-0.00864828978156
168,16/5/2,-0.00767954318564
169,16/5/3,-0.00746988642861
170,16/5/4,-0.00757323216986
171,16/5/5,-0.0077658809684
172,16/5/6,-0.00777462219123
173,16/5/9,-0.00790058881292
174,16/5/10,-0.00799655801366
175,16/5/11,-0.00845526803575
176,16/5/12,-0.00867715072033
177,16/5/13,-0.00866972652217
178,16/5/16,-0.00873606756025
179,16/5/17,-0.00886524909548
180,16/5/18,-0.00901278457667
181,16/5/19,-0.00889571745736
182,16/5/20,-0.00889942469429
183,16/5/23,-0.00885517463714
184,16/5/24,-0.00890263213517
185,16/5/25,-0.00927875839753
186,16/5/26,-0.00876162281419
187,16/5/27,-0.00891375751907
188,16/5/31,-0.00892068681343
189,16/6/1,-0.00901411606955
190,16/6/2,-0.00886754794336
191,16/6/3,-0.0089969664949
192,16/6/6,-0.0089968266993
193,16/6/7,-0.00873589747919
194,16/6/8,-0.00857463282811
195,16/6/9,-0.00840672559325
196,16/6/10,-0.00865526007358
197,16/6/13,-0.00896706632793
198,16/6/14,-0.00909495213915
199,16/6/15,-0.0089761849513
200,16/6/16,-0.00897809404879
201,16/6/17,-0.00893542215439
202,16/6/20,-0.00910915280009
203,16/6/21,-0.00865264417648
204,16/6/22,-0.00860274219483
205,16/6/23,-0.00857019290011
206,16/6/24,-0.00865136196954
207,16/6/27,-0.00906610130917
208,16/6/28,-0.00900245479198
209,16/6/29,-0.0089132851133
210,16/6/30,-0.00888561465054
211,16/7/1,-0.00897697506106
212,16/7/5,-0.00891390102326
213,16/7/6,-0.00812677754919
214,16/7/7,-0.00838325091404
215,16/7/8,-0.00833764860538
216,16/7/11,-0.00826047789866
217,16/7/12,-0.00818599634039
218,16/7/13,-0.00797707491393
219,16/7/14,-0.00787725800701
220,16/7/15,-0.00738911149292
221,16/7/18,-0.00768863709558
222,16/7/19,-0.0077397646598
223,16/7/20,-0.00772543147872
224,16/7/21,-0.00726862193409
225,16/7/22,-0.00730158146267
226,16/7/25,-0.00762439666936
227,16/7/26,-0.00729771152909
228,16/7/27,-0.00891406172901
229,16/7/28,-0.00799015273123
230,16/7/29,-0.0111221547942
231,16/8/1,-0.0100606211466
232,16/8/2,-0.00965369492098
233,16/8/3,-0.00921159502049
234,16/8/4,-0.00829774608081
235,16/8/5,-0.00811546557536
236,16/8/8,-0.00837333642455
237,16/8/9,-0.00764289310673
238,16/8/10,-0.00639335075197
239,16/8/11,-0.00606639800109
240,16/8/12,-0.00629204767625
241,16/8/15,-0.0069665007485
242,16/8/16,-0.00661839568738
243,16/8/17,-0.00686619642394
244,16/8/18,-0.0063211695292
245,16/8/19,-0.00588717216814
246,16/8/22,-0.00617759550293
247,16/8/23,-0.00611349370787
248,16/8/24,-0.00614452134181
249,16/8/25,-0.00633626373059
250,16/8/26,-0.0065593363614
251,16/8/29,-0.0065770761397
252,16/8/30,-0.00650130337449
253,16/8/31,-0.00614040055342
254,16/9/1,-0.00634602705193
255,16/9/2,-0.00639381925764
256,16/9/6,-0.00598771620871
257,16/9/7,-0.00464038635044
258,16/9/8,-0.00457915897419
259,16/9/9,-0.00441389297789
260,16/9/12,-0.00418255357914
261,16/9/13,-0.00419567027642
262,16/9/14,-0.00450877872046
263,16/9/15,-0.00403743609875
264,16/9/16,-0.00416806739401
265,16/9/19,-0.00326866637949
266,16/9/20,-0.00306606279734
267,16/9/21,-0.00303944196185
268,16/9/22,-0.00244355810826
269,16/9/23,-0.00206897918612
270,16/9/26,-0.00209561568425
271,16/9/27,-0.00202024376234
272,16/9/28,-0.00302806228728
273,16/9/29,-0.00314838575542
274,16/9/30,-0.00352318623644
275,16/10/3,-0.00365885983051
276,16/10/4,-0.00340162289899
277,16/10/5,-0.00351608368813
278,16/10/6,-0.00370126863134
279,16/10/7,-0.0035366605282
280,16/10/10,-0.00321734942761
281,16/10/11,-0.00267194959432
282,16/10/12,-0.00253181327804
283,16/10/13,-0.00259220551898
284,16/10/14,-0.0025731583051
285,16/10/17,-0.00264885442206
286,16/10/18,-0.00256842747061
287,16/10/19,-0.0028243338962
