,date,Alpha
0,15/8/31,0.00011884080922
1,15/9/1,0.00195631492876
2,15/9/2,0.00187147741121
3,15/9/3,0.000962877707174
4,15/9/4,0.00109030132173
5,15/9/8,0.00189632756273
6,15/9/9,0.00158357584217
7,15/9/10,0.00068822879185
8,15/9/11,0.00155788273769
9,15/9/14,-0.00144298881212
10,15/9/15,-0.00145101033544
11,15/9/16,-0.00165490258343
12,15/9/17,-0.00153151486037
13,15/9/18,-0.00112200314135
14,15/9/21,-0.000484386386998
15,15/9/22,0.00089262471973
16,15/9/23,0.000815585070516
17,15/9/24,0.000961359537478
18,15/9/25,0.000272360901862
19,15/9/28,-0.000195563854825
20,15/9/29,-0.000884202838556
21,15/9/30,-0.000710248214009
22,15/10/1,-0.000702457752763
23,15/10/2,-0.001470013882
24,15/10/5,-0.00152950769238
25,15/10/6,-0.00363387709024
26,15/10/7,-0.0060163164685
27,15/10/8,-0.00544234217571
28,15/10/9,-0.00450956425818
29,15/10/12,-0.00536026876582
30,15/10/13,-0.00554092281509
31,15/10/14,-0.00568234646987
32,15/10/15,-0.00544323559424
33,15/10/16,-0.00553706670903
34,15/10/19,-0.00565184432859
35,15/10/20,-0.0059504870218
36,15/10/21,-0.00446664506179
37,15/10/22,-0.0043917135364
38,15/10/23,-0.00441877101619
39,15/10/26,-0.00431617174765
40,15/10/27,-0.00489577734758
41,15/10/28,-0.00391384433306
42,15/10/29,-0.00367409010897
43,15/10/30,-0.00333047703608
44,15/11/2,-0.00424901046643
45,15/11/3,-0.00443894324541
46,15/11/4,-0.00369025159312
47,15/11/5,-0.00376450696477
48,15/11/6,-0.00390992827377
49,15/11/9,-0.00395924304298
50,15/11/10,-0.00402799472578
51,15/11/11,-0.00422645533915
52,15/11/12,-0.00427377550684
53,15/11/13,-0.00422592472917
54,15/11/16,-0.00409935593942
55,15/11/17,-0.00418020361422
56,15/11/18,-0.00370671356646
57,15/11/19,-0.00374475776298
58,15/11/20,-0.00377139637391
59,15/11/23,-0.00322607868492
60,15/11/24,-0.00322043982566
61,15/11/25,-0.00362788934441
62,15/11/27,-0.00357761760334
63,15/11/30,-0.00361547887163
64,15/12/1,-0.00328567931246
65,15/12/2,-0.00356097120074
66,15/12/3,-0.00398867192473
67,15/12/4,-0.0040581836127
68,15/12/7,-0.00413545047465
69,15/12/8,-0.00405649395789
70,15/12/9,-0.00361784070662
71,15/12/10,-0.00351200280979
72,15/12/11,-0.0034937487625
73,15/12/14,-0.00369329698976
74,15/12/15,-0.00376231760746
75,15/12/16,-0.00398954792168
76,15/12/17,-0.00458701407389
77,15/12/18,-0.00470848303587
78,15/12/21,-0.00464431357047
79,15/12/22,-0.00465629622052
80,15/12/23,-0.00495226690637
81,15/12/24,-0.00492393627514
82,15/12/28,-0.00497878128287
83,15/12/29,-0.00492914618928
84,15/12/30,-0.00499145436343
85,15/12/31,-0.00495841385265
86,16/1/4,-0.00485303423989
87,16/1/5,-0.00479813919608
88,16/1/6,-0.00472974870545
89,16/1/7,-0.00435922782288
90,16/1/8,-0.00439219671343
91,16/1/11,-0.00444292458536
