,date,Alpha
0,15/8/31,-0.000471055014307
1,15/9/1,-0.00054955182757
2,15/9/2,-0.000828354214674
3,15/9/3,-0.000324539387575
4,15/9/4,-0.00021488586117
5,15/9/8,-0.000469268750669
6,15/9/9,-0.000648899504371
7,15/9/10,-0.000506584727794
8,15/9/11,-0.000819961772013
9,15/9/14,-0.00122898093331
10,15/9/15,-0.00122729311649
11,15/9/16,-0.00119422430126
12,15/9/17,-0.00112597014742
13,15/9/18,-0.00124017163973
14,15/9/21,-0.000762185265092
15,15/9/22,-0.00112557448959
16,15/9/23,-0.000635583737193
17,15/9/24,-0.000447616324793
18,15/9/25,-0.000568902330128
19,15/9/28,-0.000333798274592
20,15/9/29,-3.40960157043e-05
21,15/9/30,-1.94546774831e-05
22,15/10/1,-0.000257798496813
23,15/10/2,-0.000591444018706
24,15/10/5,-0.000403753267441
25,15/10/6,-0.000505601237627
26,15/10/7,-0.000333515931084
27,15/10/8,-0.000415593091456
28,15/10/9,0.00011501948236
29,15/10/12,7.86766003896e-05
30,15/10/13,0.000373255599267
31,15/10/14,0.000217685510513
32,15/10/15,0.000510892654688
33,15/10/16,0.000487618224156
34,15/10/19,0.000864214217218
35,15/10/20,0.000977285019266
36,15/10/21,0.00189514877216
37,15/10/22,0.00180563279751
38,15/10/23,0.00188171524157
39,15/10/26,0.00199995628316
40,15/10/27,0.00223436438799
41,15/10/28,0.00334641304815
42,15/10/29,0.0030729755831
43,15/10/30,0.00314545656071
44,15/11/2,0.00358075403619
45,15/11/3,0.00378467932991
46,15/11/4,0.0039706414481
47,15/11/5,0.00394765383475
48,15/11/6,0.00392423269855
49,15/11/9,0.00384522878087
50,15/11/10,0.003731340577
51,15/11/11,0.00377956241653
52,15/11/12,0.00385592620576
53,15/11/13,0.00372533668122
54,15/11/16,0.00392750089035
55,15/11/17,0.0038862040624
56,15/11/18,0.00388445278822
57,15/11/19,0.00388486888086
58,15/11/20,0.00375655651446
59,15/11/23,0.00362482985165
60,15/11/24,0.00374194877098
61,15/11/25,0.003708486246
62,15/11/27,0.00373895559883
63,15/11/30,0.00372122610146
64,15/12/1,0.00348005252145
65,15/12/2,0.00349759698631
66,15/12/3,0.00384588896494
67,15/12/4,0.00389256351662
68,15/12/7,0.00424791505526
69,15/12/8,0.00454104665187
70,15/12/9,0.00527838173958
71,15/12/10,0.00544094860223
72,15/12/11,0.00552938641316
73,15/12/14,0.00525851352206
74,15/12/15,0.00539876688477
75,15/12/16,0.00586344755556
76,15/12/17,0.00610583752947
77,15/12/18,0.00624940079525
78,15/12/21,0.0061937669446
79,15/12/22,0.00619828132621
80,15/12/23,0.00642458876087
81,15/12/24,0.0064174381663
82,15/12/28,0.00641926510839
83,15/12/29,0.00642067848921
84,15/12/30,0.00640063123204
85,15/12/31,0.00649968514095
86,16/1/4,0.00657298924494
87,16/1/5,0.00665757341647
88,16/1/6,0.00669775478986
89,16/1/7,0.00677240115604
90,16/1/8,0.00678092386833
91,16/1/11,0.00675002336415
92,16/1/12,0.00673569883014
93,16/1/13,0.00648897834467
94,16/1/14,0.00613654689879
95,16/1/15,0.00606495580486
96,16/1/19,0.00588255998231
97,16/1/20,0.00593806607174
98,16/1/21,0.00600853886147
99,16/1/22,0.0060026570733
100,16/1/25,0.00605439793759
101,16/1/26,0.00573310229937
102,16/1/27,0.00544408093318
103,16/1/28,0.00523057139509
104,16/1/29,0.00542241109078
105,16/2/1,0.00534554053771
106,16/2/2,0.00535592007271
107,16/2/3,0.00544824960476
108,16/2/4,0.00551895848145
109,16/2/5,0.00569026624438
110,16/2/8,0.00587692882674
111,16/2/9,0.00656311068579
112,16/2/10,0.0061508999144
113,16/2/11,0.00616081692182
114,16/2/12,0.00652394370673
115,16/2/16,0.00658956398182
116,16/2/17,0.00656152395316
117,16/2/18,0.0067295281637
118,16/2/19,0.0067502991597
119,16/2/22,0.00683779779315
120,16/2/23,0.00682895428527
121,16/2/24,0.00692684834547
122,16/2/25,0.00694940916471
123,16/2/26,0.00698127736995
124,16/2/29,0.00679341842296
125,16/3/1,0.0067919584918
126,16/3/2,0.00664632459846
127,16/3/3,0.00633039867499
128,16/3/4,0.0069058477606
129,16/3/7,0.00705770943157
130,16/3/8,0.00703160314485
131,16/3/9,0.00716641980972
132,16/3/10,0.0072361907669
133,16/3/11,0.00753850484683
134,16/3/14,0.00754016641052
135,16/3/15,0.00738117168587
136,16/3/16,0.00764445721914
137,16/3/17,0.00764224703164
138,16/3/18,0.00769778739932
139,16/3/21,0.00768142673007
140,16/3/22,0.00802415038794
141,16/3/23,0.00794660054543
142,16/3/24,0.0082213611088
143,16/3/28,0.00825051292358
144,16/3/29,0.00812009136707
145,16/3/30,0.00817459510812
146,16/3/31,0.00825357955972
147,16/4/1,0.00830859442822
148,16/4/4,0.00844686338728
149,16/4/5,0.00881610728639
150,16/4/6,0.00875871023619
151,16/4/7,0.00901168636137
152,16/4/8,0.00915963472768
153,16/4/11,0.00969206220684
154,16/4/12,0.00937915462472
155,16/4/13,0.00923157020334
156,16/4/14,0.0096944246783
157,16/4/15,0.00963680802631
158,16/4/18,0.00992581548126
159,16/4/19,0.00992096954087
160,16/4/20,0.00983954113352
