,date,Alpha
0,15/8/31,-0.00069534032801
1,15/9/1,-0.00135707649806
2,15/9/2,-0.00172500177473
3,15/9/3,-0.00141082330735
4,15/9/4,-0.00148042151653
5,15/9/8,-0.00118981674733
6,15/9/9,-0.00107173388047
7,15/9/10,-0.000776626121212
8,15/9/11,-0.000810864114634
9,15/9/14,-0.00199425639574
10,15/9/15,-0.00199377132193
11,15/9/16,-0.00211195701873
12,15/9/17,-0.00181224934397
13,15/9/18,-0.00216485420082
14,15/9/21,-0.0024293159706
15,15/9/22,-0.00275921301305
16,15/9/23,-0.00265531484258
17,15/9/24,-0.00277855708396
18,15/9/25,-0.00255484431894
19,15/9/28,-0.00250328550955
20,15/9/29,-0.00245263813221
21,15/9/30,-0.00229298270005
22,15/10/1,-0.00214447554413
23,15/10/2,-0.00225290401666
24,15/10/5,-0.00247251119642
25,15/10/6,-0.00184013315865
26,15/10/7,-0.00183700402106
27,15/10/8,-0.0017605731449
28,15/10/9,-0.00162255457218
29,15/10/12,-0.00173063846795
30,15/10/13,-0.00173241244811
31,15/10/14,-0.00182026988637
32,15/10/15,-0.00164417050048
33,15/10/16,-0.00164209333996
34,15/10/19,-0.0018261496858
35,15/10/20,-0.00203872107625
36,15/10/21,-0.00202159795922
37,15/10/22,-0.00197071857507
38,15/10/23,-0.00188789157115
39,15/10/26,-0.00185378393217
40,15/10/27,-0.00182361767011
41,15/10/28,-0.00203740441825
42,15/10/29,-0.00151050457676
43,15/10/30,-0.00138165983373
44,15/11/2,-0.00135198565186
45,15/11/3,-0.00128771320522
46,15/11/4,-0.00124433371746
47,15/11/5,-0.0011637366774
48,15/11/6,-0.000834350261935
49,15/11/9,-0.00123831821334
50,15/11/10,-0.00119025827732
51,15/11/11,-0.00106829931471
52,15/11/12,-0.00101867774173
53,15/11/13,-0.000973543460587
54,15/11/16,-0.000881950679365
55,15/11/17,-0.000836656181285
56,15/11/18,-0.000949566767981
57,15/11/19,-0.000956914812335
58,15/11/20,-0.000971992346806
59,15/11/23,-0.00105868349463
60,15/11/24,-0.0010695996144
61,15/11/25,-0.00106316293498
62,15/11/27,-0.00107472932458
63,15/11/30,-0.00109512355977
64,15/12/1,-0.00119067357705
65,15/12/2,-0.00117291287299
66,15/12/3,-0.000912027366774
67,15/12/4,-0.00107471076399
68,15/12/7,-0.000971512930541
69,15/12/8,-0.000961985303585
70,15/12/9,-0.00113816325807
71,15/12/10,-0.00111769777457
72,15/12/11,-0.00107388761343
73,15/12/14,-0.00111041255821
74,15/12/15,-0.00110786285478
75,15/12/16,-0.000979932343194
76,15/12/17,-0.00105702314364
77,15/12/18,-0.00105786623155
78,15/12/21,-0.0010990885882
79,15/12/22,-0.00108467399656
80,15/12/23,-0.00115831135682
81,15/12/24,-0.00113445085501
82,15/12/28,-0.00114688933881
83,15/12/29,-0.00120446844206
84,15/12/30,-0.00120845610208
85,15/12/31,-0.00129369746505
86,16/1/4,-0.00126831909482
87,16/1/5,-0.00134450430037
88,16/1/6,-0.00124908072885
89,16/1/7,-0.00120229589312
90,16/1/8,-0.00119269567759
91,16/1/11,-0.00112750959822
92,16/1/12,-0.00118607808724
93,16/1/13,-0.00113644043301
94,16/1/14,-0.00103259189475
95,16/1/15,-0.00095335370561
96,16/1/19,-0.000824446438568
97,16/1/20,-0.000827788775396
98,16/1/21,-0.000604447299131
99,16/1/22,-0.000629297385819
100,16/1/25,-0.000642910655261
101,16/1/26,-0.00111083739034
102,16/1/27,-0.000740033050861
103,16/1/28,-0.000942433774964
104,16/1/29,-0.00117195048403
105,16/2/1,-0.00089573780257
106,16/2/2,-0.000819991067143
107,16/2/3,-0.000532388629152
108,16/2/4,-0.000511192133368
109,16/2/5,-0.000568853576485
110,16/2/8,-0.000709751502812
111,16/2/9,-0.00170926357163
112,16/2/10,-0.00163077759523
113,16/2/11,-0.00126693568233
114,16/2/12,-0.00136171512681
115,16/2/16,-0.00173148149839
116,16/2/17,-0.00180239177806
117,16/2/18,-0.00157998826851
118,16/2/19,-0.00144234635324
119,16/2/22,-0.00144180133109
120,16/2/23,-0.00143005122918
121,16/2/24,-0.00154442839377
122,16/2/25,-0.00156325844261
123,16/2/26,-0.00162912573956
124,16/2/29,-0.00185423457094
125,16/3/1,-0.00192712725352
126,16/3/2,-0.0018833111241
127,16/3/3,-0.00174830054678
128,16/3/4,-0.00129342396071
129,16/3/7,-0.00125673955929
130,16/3/8,-0.00154546501851
131,16/3/9,-0.00136767953949
132,16/3/10,-0.00138868915736
133,16/3/11,-0.00166411479541
134,16/3/14,-0.00165079283806
135,16/3/15,-0.00167055724308
136,16/3/16,-0.00129104985279
137,16/3/17,-0.00128371468304
138,16/3/18,-0.0012161996857
139,16/3/21,-0.00125157758517
140,16/3/22,-0.000958529254516
141,16/3/23,-0.000740503558258
142,16/3/24,-0.00068928290054
143,16/3/28,-0.000682501337231
144,16/3/29,-0.000585369313009
145,16/3/30,-0.000818785214342
146,16/3/31,-0.000828131933131
147,16/4/1,-0.000991849937666
148,16/4/4,-0.00101242521394
149,16/4/5,-0.00113297776257
150,16/4/6,-0.00107782130603
151,16/4/7,-0.00100585920702
152,16/4/8,-0.00111986874594
153,16/4/11,-0.00118593953635
154,16/4/12,-0.001101304058
155,16/4/13,-0.00130939799325
156,16/4/14,-0.00145164201737
157,16/4/15,-0.0014483613339
158,16/4/18,-0.00151951916275
159,16/4/19,-0.00150573944624
