,date,Alpha
0,15/8/31,-0.00402733336712
1,15/9/1,-0.00347927687469
2,15/9/2,-0.00315985780421
3,15/9/3,-0.0027895495605
4,15/9/4,-0.00239259501006
5,15/9/8,-0.00237876306604
6,15/9/9,-0.00224374481902
7,15/9/10,-0.00220856907586
8,15/9/11,-0.0023962829333
9,15/9/14,-0.001531222281
10,15/9/15,-0.00153984815325
11,15/9/16,-0.00196668252411
12,15/9/17,-0.00173471270717
13,15/9/18,-0.00126302314138
14,15/9/21,0.00036726166693
15,15/9/22,-0.000817692401623
16,15/9/23,-0.000485546255604
17,15/9/24,-0.000473544290609
18,15/9/25,0.000167076607937
19,15/9/28,-2.77758224087e-05
20,15/9/29,-0.000140378629205
21,15/9/30,-0.000549792680474
22,15/10/1,-0.000728558932074
23,15/10/2,-0.000683263746585
24,15/10/5,-0.000674742921147
25,15/10/6,-0.000592045153295
26,15/10/7,-0.000568579564111
27,15/10/8,-0.000590912116859
28,15/10/9,-0.000588405793288
29,15/10/12,-0.000565532761225
30,15/10/13,-0.00044018017631
31,15/10/14,-0.00044108376015
32,15/10/15,-0.000438927891655
33,15/10/16,-0.000433111847084
34,15/10/19,-0.000523399859578
35,15/10/20,-0.000497856493191
36,15/10/21,-0.000629940171925
37,15/10/22,-0.000236254136211
38,15/10/23,-0.000266591029757
39,15/10/26,-0.000355399267989
40,15/10/27,-0.000314005839551
41,15/10/28,-0.000285909392342
42,15/10/29,-0.000110506288826
43,15/10/30,-0.000108037091578
44,15/11/2,-0.000424797743207
45,15/11/3,-0.000397587455743
46,15/11/4,-0.000176709516971
47,15/11/5,-0.000199592776096
48,15/11/6,-0.000480199483253
49,15/11/9,-0.000453769333815
50,15/11/10,-0.000499500041759
51,15/11/11,-0.000615141833884
52,15/11/12,-0.000611154102656
53,15/11/13,-0.000881660245718
54,15/11/16,-0.000813145422088
55,15/11/17,-0.000870962246017
56,15/11/18,-0.000722209345825
57,15/11/19,-0.00070208432461
58,15/11/20,-0.000625888632908
59,15/11/23,-0.00078278227119
60,15/11/24,-0.000796783808054
61,15/11/25,-0.00111490574819
62,15/11/27,-0.00104665521494
63,15/11/30,-0.00108654741251
64,15/12/1,-0.000420049194549
65,15/12/2,-0.000639457774539
66,15/12/3,-0.000748409342654
67,15/12/4,-0.00070100200722
68,15/12/7,-0.000665396852893
69,15/12/8,-0.000556812596857
70,15/12/9,-0.000786623217624
71,15/12/10,-0.000811352220881
72,15/12/11,-0.000728553647355
73,15/12/14,-0.000637391693575
74,15/12/15,-0.000744641284923
75,15/12/16,-0.000581945563564
76,15/12/17,-3.76279585964e-05
77,15/12/18,0.000242988848065
78,15/12/21,0.000294760041953
79,15/12/22,0.000293529336493
80,15/12/23,0.000149217844883
81,15/12/24,8.01722752272e-05
