,date,Alpha
0,15/8/31,-0.0101918804801
1,15/9/1,-0.0105754451126
2,15/9/2,-0.0100225823155
3,15/9/3,-0.00953511508323
4,15/9/4,-0.00901726525813
5,15/9/8,-0.00935258492752
6,15/9/9,-0.00931103918042
7,15/9/10,-0.00966358484833
8,15/9/11,-0.00983843603414
9,15/9/14,-0.00919839006477
10,15/9/15,-0.00920044230499
11,15/9/16,-0.00933294095934
12,15/9/17,-0.00903080043732
13,15/9/18,-0.00890981571261
14,15/9/21,-0.00872870824212
15,15/9/22,-0.0086779574029
16,15/9/23,-0.00868518426071
17,15/9/24,-0.00870318153885
18,15/9/25,-0.00855250580473
19,15/9/28,-0.00741251202138
20,15/9/29,-0.00725233158447
21,15/9/30,-0.00734253499861
22,15/10/1,-0.00732723772938
23,15/10/2,-0.0068749265339
24,15/10/5,-0.00639167244256
25,15/10/6,-0.00644417449975
26,15/10/7,-0.00644846980696
27,15/10/8,-0.00656809774575
28,15/10/9,-0.00696680511177
29,15/10/12,-0.00633297625429
30,15/10/13,-0.00644343412121
31,15/10/14,-0.0062928439654
32,15/10/15,-0.0063433046082
33,15/10/16,-0.00645027125739
34,15/10/19,-0.00646861499705
35,15/10/20,-0.00648597717865
36,15/10/21,-0.00575221531112
37,15/10/22,-0.00588619849098
38,15/10/23,-0.0058315315531
39,15/10/26,-0.00577795841561
40,15/10/27,-0.00541324335383
41,15/10/28,-0.005416362498
42,15/10/29,-0.00493487404809
43,15/10/30,-0.00489962738638
44,15/11/2,-0.00414992161956
45,15/11/3,-0.00421550721744
46,15/11/4,-0.00435123927049
47,15/11/5,-0.00458737991813
48,15/11/6,-0.00475206079435
49,15/11/9,-0.00498236383527
50,15/11/10,-0.00499002840461
51,15/11/11,-0.00500849657565
52,15/11/12,-0.00504608379124
53,15/11/13,-0.00520131422658
54,15/11/16,-0.00536308372411
55,15/11/17,-0.00584078275419
56,15/11/18,-0.00574557468076
57,15/11/19,-0.00576349884335
58,15/11/20,-0.00589715898882
59,15/11/23,-0.00600471884878
60,15/11/24,-0.00576902667898
61,15/11/25,-0.00598438189865
62,15/11/27,-0.00626384190786
63,15/11/30,-0.0062022491858
64,15/12/1,-0.00633102546103
65,15/12/2,-0.00638480300355
66,15/12/3,-0.00665058220404
67,15/12/4,-0.00678819514212
68,15/12/7,-0.0071070419721
69,15/12/8,-0.00714808133204
70,15/12/9,-0.00722203461175
71,15/12/10,-0.0076228527928
72,15/12/11,-0.00758291422903
73,15/12/14,-0.00775216162543
74,15/12/15,-0.00797189364255
75,15/12/16,-0.00735829540301
76,15/12/17,-0.00684951431676
77,15/12/18,-0.00684690015591
78,15/12/21,-0.00675871992846
79,15/12/22,-0.00676015919974
80,15/12/23,-0.00677584890256
81,15/12/24,-0.00704678797829
82,15/12/28,-0.00703246266553
83,15/12/29,-0.00708068457162
84,15/12/30,-0.00706986008721
85,15/12/31,-0.00708650414919
86,16/1/4,-0.00707250840491
87,16/1/5,-0.00728736073561
88,16/1/6,-0.00723722871056
89,16/1/7,-0.00711163078347
90,16/1/8,-0.00711795905111
91,16/1/11,-0.00719568780401
92,16/1/12,-0.00702204188521
93,16/1/13,-0.00709917125985
94,16/1/14,-0.00711926899586
95,16/1/15,-0.00711861973885
96,16/1/19,-0.00737374399549
97,16/1/20,-0.007504944781
98,16/1/21,-0.00745849838958
99,16/1/22,-0.00739355502447
100,16/1/25,-0.00736483535744
101,16/1/26,-0.00783245855633
102,16/1/27,-0.00745387372543
103,16/1/28,-0.00745118746512
104,16/1/29,-0.00733807298785
105,16/2/1,-0.00834996557652
106,16/2/2,-0.00805695237402
107,16/2/3,-0.00788513662333
108,16/2/4,-0.00806941906362
109,16/2/5,-0.00811809744162
110,16/2/8,-0.00865929407738
111,16/2/9,-0.00832312834832
112,16/2/10,-0.00867030027122
113,16/2/11,-0.00884813062018
114,16/2/12,-0.00859867676949
115,16/2/16,-0.00846828815878
116,16/2/17,-0.00839811805966
117,16/2/18,-0.00822641605554
118,16/2/19,-0.00822981775794
119,16/2/22,-0.00841406613791
120,16/2/23,-0.00835567430654
121,16/2/24,-0.00790892016591
122,16/2/25,-0.00807180806532
123,16/2/26,-0.00801952021422
124,16/2/29,-0.00789732217297
125,16/3/1,-0.00783713780996
126,16/3/2,-0.00777988569354
127,16/3/3,-0.00768977132761
128,16/3/4,-0.00789064063514
129,16/3/7,-0.00805243677219
130,16/3/8,-0.00812186563694
131,16/3/9,-0.00813023598496
132,16/3/10,-0.00788520442626
133,16/3/11,-0.00789624185939
134,16/3/14,-0.0078940175534
135,16/3/15,-0.00781512467915
136,16/3/16,-0.00789018857403
137,16/3/17,-0.00788853343372
138,16/3/18,-0.00811594099643
139,16/3/21,-0.00817606021132
140,16/3/22,-0.00782538404305
141,16/3/23,-0.00781949483514
142,16/3/24,-0.00804134979646
143,16/3/28,-0.00801623631876
144,16/3/29,-0.0079518191161
145,16/3/30,-0.00830879754185
146,16/3/31,-0.00873284170766
147,16/4/1,-0.00833549147298
148,16/4/4,-0.00804946267124
149,16/4/5,-0.00787875485499
150,16/4/6,-0.00791903489864
151,16/4/7,-0.00824127467103
152,16/4/8,-0.00836811928439
153,16/4/11,-0.0082765158457
154,16/4/12,-0.00844041615699
155,16/4/13,-0.0084737063505
156,16/4/14,-0.00858126524177
157,16/4/15,-0.00843507117171
158,16/4/18,-0.00878086641285
159,16/4/19,-0.00872645471102
160,16/4/20,-0.0085980110029
161,16/4/21,-0.00859773893053
162,16/4/22,-0.00861184725991
163,16/4/25,-0.00890369038388
164,16/4/26,-0.0088490627602
165,16/4/27,-0.00887565191661
166,16/4/28,-0.0093711795932
167,16/4/29,-0.00969471622134
168,16/5/2,-0.0095265141188
169,16/5/3,-0.0101317305849
170,16/5/4,-0.0099708454915
171,16/5/5,-0.0105605925735
172,16/5/6,-0.0105566072257
173,16/5/9,-0.0104380979909
174,16/5/10,-0.0101289426023
175,16/5/11,-0.0102252861484
176,16/5/12,-0.00773138046532
177,16/5/13,-0.00775839826155
178,16/5/16,-0.00782288504444
179,16/5/17,-0.0078498308285
180,16/5/18,-0.00789674513935
181,16/5/19,-0.00781702951277
182,16/5/20,-0.00749531744526
183,16/5/23,-0.00753752556174
184,16/5/24,-0.00758463219043
185,16/5/25,-0.0075252641286
186,16/5/26,-0.00750950135526
187,16/5/27,-0.00765757791759
188,16/5/31,-0.00743106035965
189,16/6/1,-0.00724667453314
190,16/6/2,-0.00730012554197
191,16/6/3,-0.00711711946473
192,16/6/6,-0.00711066653271
193,16/6/7,-0.00687979775241
194,16/6/8,-0.00666000839234
195,16/6/9,-0.0061827158714
196,16/6/10,-0.00610200527506
197,16/6/13,-0.00597353021551
198,16/6/14,-0.00556245498845
199,16/6/15,-0.00566336843475
200,16/6/16,-0.00566588021068
201,16/6/17,-0.00530441107598
202,16/6/20,-0.00586124155813
203,16/6/21,-0.00618120328298
204,16/6/22,-0.00618524212434
205,16/6/23,-0.00618494077788
206,16/6/24,-0.0061250143506
207,16/6/27,-0.0058353166103
208,16/6/28,-0.00538492809389
209,16/6/29,-0.00539106897856
210,16/6/30,-0.00537334805621
211,16/7/1,-0.0052030263246
212,16/7/5,-0.00518999854064
213,16/7/6,-0.00503899272015
214,16/7/7,-0.00477656166393
215,16/7/8,-0.00481093099945
216,16/7/11,-0.00466083596095
217,16/7/12,-0.00456053081111
218,16/7/13,-0.0044557939374
219,16/7/14,-0.00469958989462
220,16/7/15,-0.00445465139874
221,16/7/18,-0.00418439222712
222,16/7/19,-0.00415377588647
223,16/7/20,-0.00437289178667
224,16/7/21,-0.00411557560034
225,16/7/22,-0.00408906134086
226,16/7/25,-0.00412271202759
227,16/7/26,-0.00396637787725
228,16/7/27,-0.0035795965815
229,16/7/28,-0.003736664255
230,16/7/29,-0.00344026578861
231,16/8/1,-0.00355208955328
232,16/8/2,-0.00339659908474
233,16/8/3,-0.00361785112583
234,16/8/4,-0.00311027650376
235,16/8/5,-0.00288041162238
236,16/8/8,-0.00244340731321
237,16/8/9,-0.000591305916334
238,16/8/10,-0.00150007669339
239,16/8/11,-0.00118453373045
240,16/8/12,-0.00100731647289
241,16/8/15,-0.00109360618688
242,16/8/16,-0.000698018278978
243,16/8/17,-0.0013801786956
244,16/8/18,-0.00169475654381
245,16/8/19,-0.00132889272459
246,16/8/22,-0.00101192450751
247,16/8/23,-0.000780960275316
248,16/8/24,-0.000870252571833
249,16/8/25,-0.000582013543009
250,16/8/26,-0.000725072501813
251,16/8/29,-0.000673496822705
252,16/8/30,-0.000731777182161
253,16/8/31,-0.000737723410301
254,16/9/1,-0.00086218934182
255,16/9/2,-0.000441367304441
256,16/9/6,-0.000195223080623
257,16/9/7,0.000202149993996
258,16/9/8,8.74204223794e-05
259,16/9/9,-0.000142430015885
260,16/9/12,-0.000236142530097
261,16/9/13,-0.000184564621784
262,16/9/14,-0.000149968093434
263,16/9/15,-0.000315966917712
264,16/9/16,-0.000621026858235
265,16/9/19,2.75660394365e-05
266,16/9/20,-8.32013227582e-05
267,16/9/21,-0.000206188428857
268,16/9/22,-0.000268454205955
269,16/9/23,-9.69379150247e-05
270,16/9/26,-0.000115174633348
271,16/9/27,-0.000116169606158
272,16/9/28,-0.000170530965713
273,16/9/29,-0.000466819969148
274,16/9/30,-0.000554632723707
275,16/10/3,-0.000761172738148
276,16/10/4,-0.000762890937828
277,16/10/5,-0.000706282384795
278,16/10/6,-0.00109531000369
279,16/10/7,-0.00128383257681
280,16/10/10,-0.00135413398049
281,16/10/11,-0.000896450194069
282,16/10/12,-0.000761026376117
283,16/10/13,-0.00102328339724
284,16/10/14,-0.000863716450322
285,16/10/17,-0.000441259229464
286,16/10/18,-0.000576881883202
287,16/10/19,-0.000299622046987
288,16/10/20,-0.000734269231038
289,16/10/21,-0.000555947823348
290,16/10/24,-0.000452972104218
291,16/10/25,-0.000509785347567
292,16/10/26,-0.000186502813311
293,16/10/27,0.000568216436062
294,16/10/28,0.000687963195794
295,16/10/31,0.0005759106478
296,16/11/1,0.000677833409164
297,16/11/2,0.00058766025446
298,16/11/3,0.000825805339258
299,16/11/4,0.00149253773746
300,16/11/7,0.00140226887298
301,16/11/8,0.00210129196655
302,16/11/9,0.00214001593448
303,16/11/10,-0.00380125305648
304,16/11/11,-0.00554725904154
305,16/11/14,-0.00533616638076
306,16/11/15,-0.0055580625074
307,16/11/16,-0.0054092982995
308,16/11/17,-0.00555907631038
309,16/11/18,-0.00570479279913
310,16/11/21,-0.00592584694406
311,16/11/22,-0.0058544977448
312,16/11/23,-0.00570028320063
313,16/11/25,-0.00548579996473
314,16/11/28,-0.00539323347119
315,16/11/29,-0.00537159482508
316,16/11/30,-0.00532971238742
317,16/12/1,-0.006217930306
318,16/12/2,-0.00805993623302
319,16/12/5,-0.00806951116954
320,16/12/6,-0.00801242999491
321,16/12/7,-0.00803513318777
322,16/12/8,-0.00814129065109
323,16/12/9,-0.00814537921318
324,16/12/12,-0.00816990326958
325,16/12/13,-0.0082830356303
326,16/12/14,-0.00816425840361
327,16/12/15,-0.00820613910657
328,16/12/16,-0.00817618507053
329,16/12/19,-0.00790706204578
330,16/12/20,-0.00788682453906
331,16/12/21,-0.00789977257366
332,16/12/22,-0.00787801544037
333,16/12/23,-0.00786894993935
334,16/12/27,-0.00810437389443
335,16/12/28,-0.00827011485133
336,16/12/29,-0.00827826731498
337,16/12/30,-0.00825384046201
338,17/1/3,-0.00838396853775
339,17/1/4,-0.00843479569183
340,17/1/5,-0.00870579520391
341,17/1/6,-0.00791981573551
342,17/1/9,-0.00786832657369
343,17/1/10,-0.0075592495423
344,17/1/11,-0.00753164518329
345,17/1/12,-0.00762317265018
346,17/1/13,-0.00742832600583
347,17/1/17,-0.00748970192931
348,17/1/18,-0.00743876742457
349,17/1/19,-0.00742192198645
350,17/1/20,-0.00742632306588
351,17/1/23,-0.00768534247823
352,17/1/24,-0.00768330912582
353,17/1/25,-0.00755465069768
354,17/1/26,-0.00745585148429
355,17/1/27,-0.00744183635321
356,17/1/30,-0.00777067173034
357,17/1/31,-0.00800972034233
358,17/2/1,-0.00782127803809
359,17/2/2,-0.00785046225614
360,17/2/3,-0.00776619622109
361,17/2/6,-0.00847419338506
362,17/2/7,-0.00859353587954
363,17/2/8,-0.00899407359946
364,17/2/9,-0.00869281919828
365,17/2/10,-0.00888948842676
366,17/2/13,-0.00892001253894
367,17/2/14,-0.00897530671861
368,17/2/15,-0.00907589350124
369,17/2/16,-0.00941703146722
370,17/2/17,-0.00928255737749
371,17/2/21,-0.00911701462859
372,17/2/22,-0.00922004399631
373,17/2/23,-0.00916752222303
374,17/2/24,-0.00931493425261
375,17/2/27,-0.00893347677627
376,17/2/28,-0.00903405706832
377,17/3/1,-0.00899576704942
378,17/3/2,-0.00890376693289
379,17/3/3,-0.00865492521572
380,17/3/6,-0.00869467305637
381,17/3/7,-0.0086888481394
382,17/3/8,-0.00868882650816
383,17/3/9,-0.00885419933483
384,17/3/10,-0.00886543207221
385,17/3/13,-0.00892338051392
386,17/3/14,-0.00894549724885
387,17/3/15,-0.00889214873267
388,17/3/16,-0.00892704449257
389,17/3/17,-0.00889606531609
390,17/3/20,-0.00899324819316
391,17/3/21,-0.00853767255712
392,17/3/22,-0.00858329181214
393,17/3/23,-0.00853791649255
394,17/3/24,-0.00852847500151
395,17/3/27,-0.00857780711114
396,17/3/28,-0.00853482691028
397,17/3/29,-0.00836378867499
398,17/3/30,-0.00838189871458
399,17/3/31,-0.00800483575648
400,17/4/3,-0.0079590695501
401,17/4/4,-0.00804198665307
402,17/4/5,-0.0080565620349
403,17/4/6,-0.0079756243261
404,17/4/7,-0.00800216863787
405,17/4/10,-0.00799996783073
406,17/4/11,-0.0079350431684
407,17/4/12,-0.00784996378821
408,17/4/13,-0.0078298431179
409,17/4/17,-0.00763282631324
410,17/4/18,-0.00755347150233
411,17/4/19,-0.00770715598947
412,17/4/20,-0.00795577412602
413,17/4/21,-0.0079523954463
414,17/4/24,-0.00792143788046
