,date,Alpha
0,15/8/31,-0.000434988279542
1,15/9/1,-0.000122277520682
2,15/9/2,-0.000882546266989
3,15/9/3,-0.000903213245426
4,15/9/4,-0.00090972168745
5,15/9/8,-0.00101737335991
6,15/9/9,-0.000925957422191
7,15/9/10,-0.000992858494228
8,15/9/11,-0.00118734872926
9,15/9/14,-0.000873783327311
10,15/9/15,-0.000873634008728
11,15/9/16,-0.000964259373772
12,15/9/17,-0.00098775305802
13,15/9/18,-0.000865936938278
14,15/9/21,-0.000480036294858
15,15/9/22,-7.69362551805e-05
16,15/9/23,8.29204418531e-05
17,15/9/24,4.70095670071e-05
18,15/9/25,8.67067219186e-05
19,15/9/28,-0.000130722261529
20,15/9/29,-0.000225713161694
21,15/9/30,-0.000351898203037
22,15/10/1,-0.000485898056826
23,15/10/2,-0.000837388195391
24,15/10/5,-0.000899262830315
25,15/10/6,-0.00127996316331
26,15/10/7,-0.000936299133725
27,15/10/8,-0.00106717113454
28,15/10/9,-0.000884317508125
29,15/10/12,-0.000891339686194
30,15/10/13,-0.000909239508946
31,15/10/14,-0.000849953108976
32,15/10/15,-0.000816883790731
33,15/10/16,-0.000908383923374
34,15/10/19,-0.000914264631974
35,15/10/20,-0.00080874577588
36,15/10/21,-0.000315529344834
37,15/10/22,-2.81458678452e-05
38,15/10/23,9.38992328879e-05
39,15/10/26,0.000145034635383
40,15/10/27,-9.72083144389e-05
41,15/10/28,7.66371942783e-05
42,15/10/29,-7.2873689255e-05
43,15/10/30,-3.36252161791e-05
44,15/11/2,3.87147253849e-05
45,15/11/3,-3.56445705617e-05
46,15/11/4,1.45225615526e-05
47,15/11/5,-2.63468167249e-05
48,15/11/6,-0.000236035319869
49,15/11/9,-0.000384806915042
50,15/11/10,-0.000384110436454
51,15/11/11,-0.000374259917715
52,15/11/12,-0.000479468619968
53,15/11/13,-0.00100553811886
54,15/11/16,-0.00103342584533
55,15/11/17,-0.00109905290556
56,15/11/18,-0.000956342703537
57,15/11/19,-0.000960825119861
58,15/11/20,-0.000889816025388
59,15/11/23,-0.000847553163042
60,15/11/24,-0.000797726782148
61,15/11/25,-0.000855830373537
62,15/11/27,-0.000877928797762
63,15/11/30,-0.000885669761243
64,15/12/1,-0.000911298717632
65,15/12/2,-0.000911666755647
66,15/12/3,-0.000924126142301
67,15/12/4,-0.000951396161488
68,15/12/7,-0.000780431417071
69,15/12/8,-0.000741259271576
70,15/12/9,-0.000527170116328
71,15/12/10,-0.000578598456203
72,15/12/11,-0.000628062369177
73,15/12/14,-0.00059808901235
74,15/12/15,-0.000496698112385
75,15/12/16,3.38979096274e-05
76,15/12/17,0.000158164274262
77,15/12/18,0.000279493942333
78,15/12/21,0.000251195340477
79,15/12/22,0.000254259205333
80,15/12/23,0.000239725305851
81,15/12/24,0.000234005246378
82,15/12/28,0.0002211383092
83,15/12/29,0.000304128809556
84,15/12/30,0.000322742039859
85,15/12/31,0.000240013151467
86,16/1/4,0.000275586675394
87,16/1/5,0.000141311793458
88,16/1/6,3.87645685116e-05
89,16/1/7,2.2408515104e-05
90,16/1/8,2.29591066891e-05
91,16/1/11,2.99078234521e-05
92,16/1/12,1.39746362802e-05
93,16/1/13,8.83469718885e-05
94,16/1/14,-2.95933695142e-05
95,16/1/15,1.53092335164e-05
96,16/1/19,8.68670238237e-05
97,16/1/20,-0.000122146242413
98,16/1/21,-9.51110308924e-05
99,16/1/22,-0.000104122229402
100,16/1/25,-0.000115947399799
101,16/1/26,-6.36078421427e-05
102,16/1/27,0.000211747024807
103,16/1/28,0.000121917448594
104,16/1/29,5.72844646649e-05
105,16/2/1,1.17365764788e-05
106,16/2/2,7.60451218409e-05
107,16/2/3,0.000265368072076
108,16/2/4,0.000157057595469
109,16/2/5,9.84460557117e-05
110,16/2/8,-0.000478255965844
111,16/2/9,-0.000802970852563
112,16/2/10,-0.000818043312414
113,16/2/11,-0.000950793850344
114,16/2/12,-0.000769616111811
115,16/2/16,-0.000769474311107
116,16/2/17,-0.000695189047446
117,16/2/18,-0.000760378595848
118,16/2/19,-0.000760243120283
119,16/2/22,-0.000900748451295
120,16/2/23,-0.000885714395161
121,16/2/24,-0.00083532585103
122,16/2/25,-0.000811521973455
123,16/2/26,-0.000788240156421
124,16/2/29,-0.000603775731427
125,16/3/1,-0.000543149865091
126,16/3/2,-0.000574553686782
127,16/3/3,-0.000425895431875
128,16/3/4,-0.00036726112257
129,16/3/7,-0.000238251297719
130,16/3/8,-0.000349555085881
131,16/3/9,-0.000304002485923
132,16/3/10,-0.000213559177205
133,16/3/11,-0.000364294737421
134,16/3/14,-0.000402579136265
135,16/3/15,-0.000362216326054
136,16/3/16,-0.000499570408216
137,16/3/17,-0.000501592900991
138,16/3/18,-0.000512627125252
139,16/3/21,-0.000477512210908
140,16/3/22,-0.000390437464404
141,16/3/23,-0.000459319233704
142,16/3/24,-0.000514959035912
143,16/3/28,-0.00052247856431
144,16/3/29,-0.000498229090969
145,16/3/30,-0.000398582733393
146,16/3/31,-0.000198635000425
147,16/4/1,-0.000180269759666
148,16/4/4,-1.22353965906e-05
149,16/4/5,6.10247036327e-05
150,16/4/6,0.000127376052206
151,16/4/7,-0.000123340620367
152,16/4/8,0.00011626005444
153,16/4/11,7.9971694174e-05
154,16/4/12,-7.08266360888e-05
155,16/4/13,-0.000227442602093
156,16/4/14,-0.000154551490734
157,16/4/15,-0.000159662977929
158,16/4/18,-0.000307977303048
159,16/4/19,0.00132422586197
160,16/4/20,0.00130584118123
161,16/4/21,0.00116458850263
162,16/4/22,0.00113841412702
163,16/4/25,0.000889383740113
164,16/4/26,0.000828280727385
165,16/4/27,0.000831436572575
166,16/4/28,0.000942571715729
167,16/4/29,0.00129336600718
168,16/5/2,0.00125948201783
169,16/5/3,0.000948766994986
170,16/5/4,0.000805128483155
171,16/5/5,0.000807073929217
172,16/5/6,0.000790546086955
173,16/5/9,0.0008094681596
174,16/5/10,0.00147832548426
175,16/5/11,0.00163231223504
176,16/5/12,0.00168173708773
177,16/5/13,0.00169915799636
178,16/5/16,0.00165095475516
179,16/5/17,0.0017716427747
180,16/5/18,0.00229320276414
181,16/5/19,0.00212570620503
182,16/5/20,0.00203698273976
183,16/5/23,0.00198369703745
184,16/5/24,0.00200743285055
185,16/5/25,0.00190217822342
186,16/5/26,0.00191813011975
187,16/5/27,0.00178095536168
188,16/5/31,0.00181416038425
189,16/6/1,0.00195374602608
190,16/6/2,0.00195124233253
191,16/6/3,0.00168891344755
192,16/6/6,0.00168581992106
193,16/6/7,0.00171325654303
194,16/6/8,0.00173855631121
195,16/6/9,0.00163236404415
196,16/6/10,0.00180590059173
197,16/6/13,0.00192576233838
198,16/6/14,0.00191190850552
199,16/6/15,0.00182126275973
200,16/6/16,0.00182541852254
201,16/6/17,0.00166866597573
202,16/6/20,0.000942895791433
203,16/6/21,0.000937583898846
204,16/6/22,0.000821000532743
205,16/6/23,0.000822389257662
206,16/6/24,0.000760858173487
207,16/6/27,0.000402887395813
208,16/6/28,0.000387080103155
209,16/6/29,0.000341019146962
210,16/6/30,0.000318604120056
211,16/7/1,0.000453675023347
212,16/7/5,0.00042504936659
213,16/7/6,0.000373205985834
214,16/7/7,0.000507939740843
215,16/7/8,0.000462341029309
216,16/7/11,0.000457073930657
217,16/7/12,0.000361259391503
218,16/7/13,0.00050159860365
219,16/7/14,0.000473740254109
220,16/7/15,0.000621850039082
221,16/7/18,0.000660659542465
222,16/7/19,0.000501619946419
223,16/7/20,0.000500550103702
224,16/7/21,0.000708983187792
225,16/7/22,0.000630232817219
226,16/7/25,0.000688992225227
227,16/7/26,0.000729186926741
