,date,Alpha
0,15/8/31,0.000130307937191
1,15/9/1,0.000195098812348
2,15/9/2,-0.000695560565753
3,15/9/3,-0.000629222598919
4,15/9/4,-0.000746341265056
5,15/9/8,-0.000818244366194
6,15/9/9,-0.000713361011884
7,15/9/10,-0.00094001870618
8,15/9/11,-0.00132997396255
9,15/9/14,-0.00101958495651
10,15/9/15,-0.00102154690539
11,15/9/16,-0.00107655685452
12,15/9/17,-0.00119933248015
13,15/9/18,-0.000939313900312
14,15/9/21,-0.000692767114474
15,15/9/22,-0.000153558525919
16,15/9/23,4.20068322956e-05
17,15/9/24,5.45713069845e-06
18,15/9/25,0.000174506818443
19,15/9/28,5.01184396584e-05
20,15/9/29,-6.17264451336e-05
21,15/9/30,-0.000164026885437
22,15/10/1,-0.000421194834782
23,15/10/2,-0.000689528947269
24,15/10/5,-0.00097637198989
25,15/10/6,-0.00131839211639
26,15/10/7,-0.000680225616199
27,15/10/8,-0.000862364849237
28,15/10/9,-0.000627159243334
29,15/10/12,-0.000631207640927
30,15/10/13,-0.000707950073144
31,15/10/14,-0.000623824942482
32,15/10/15,-0.000617084470932
33,15/10/16,-0.000729004840605
34,15/10/19,-0.000656210388012
35,15/10/20,-0.00067352538826
36,15/10/21,-0.000322642898662
37,15/10/22,-7.97299378766e-05
38,15/10/23,-2.53617178986e-06
39,15/10/26,6.69130167377e-05
40,15/10/27,-0.000131866076677
41,15/10/28,4.27316885603e-05
42,15/10/29,0.000196084083655
43,15/10/30,0.000290402732934
44,15/11/2,0.000410923493247
45,15/11/3,0.000292553090641
46,15/11/4,0.000427270347295
47,15/11/5,0.000409765867719
48,15/11/6,0.000297557403119
49,15/11/9,0.000164977451593
50,15/11/10,0.000160643043519
51,15/11/11,0.000179649154074
52,15/11/12,8.25859823881e-05
53,15/11/13,-0.000419941982095
54,15/11/16,-0.000428445314445
55,15/11/17,-0.000540248580141
56,15/11/18,-0.000462402018995
57,15/11/19,-0.000472753160963
58,15/11/20,-0.000397146677182
59,15/11/23,-0.000347435344132
60,15/11/24,-0.000310967722914
61,15/11/25,-0.000396725086657
62,15/11/27,-0.000414198623847
63,15/11/30,-0.000431751559382
64,15/12/1,-0.000406513768494
65,15/12/2,-0.000360942106155
66,15/12/3,-0.000355789377212
67,15/12/4,-0.000372590687775
68,15/12/7,-0.000244069033642
69,15/12/8,-0.000185019702227
70,15/12/9,9.02778453741e-05
71,15/12/10,1.74003325265e-05
72,15/12/11,-2.35778251924e-05
73,15/12/14,4.07788190217e-05
74,15/12/15,0.000125846465047
75,15/12/16,0.000548909327301
76,15/12/17,0.000642272946866
77,15/12/18,0.000771570474025
78,15/12/21,0.000783900491855
79,15/12/22,0.000789530827271
80,15/12/23,0.000863673303151
81,15/12/24,0.000965209283436
82,15/12/28,0.000960934645564
83,15/12/29,0.00116993990114
84,15/12/30,0.00114895503789
85,15/12/31,0.00107739977419
86,16/1/4,0.00113877698238
87,16/1/5,0.000975063317223
88,16/1/6,0.000846934861939
89,16/1/7,0.000840225900096
90,16/1/8,0.000846624972772
91,16/1/11,0.000843640603226
92,16/1/12,0.000818849792644
93,16/1/13,0.00100787487022
94,16/1/14,0.000869073637991
95,16/1/15,0.000937105005804
96,16/1/19,0.000948505206367
97,16/1/20,0.000776305117576
98,16/1/21,0.000839057280405
99,16/1/22,0.000778965707808
100,16/1/25,0.000795841945286
101,16/1/26,0.000979794506018
102,16/1/27,0.00147826927018
103,16/1/28,0.00127286205008
104,16/1/29,0.00129133569881
105,16/2/1,0.00118229936882
106,16/2/2,0.00127679646532
107,16/2/3,0.00150736470352
108,16/2/4,0.00136762035767
109,16/2/5,0.0013618529171
110,16/2/8,0.000909660952411
111,16/2/9,0.000824152076464
112,16/2/10,0.000845986075761
113,16/2/11,0.000666188315461
114,16/2/12,0.000914099171415
115,16/2/16,0.000955091166542
116,16/2/17,0.0010446891051
117,16/2/18,0.00105459546218
118,16/2/19,0.000996678862355
119,16/2/22,0.00088285396417
120,16/2/23,0.000908832524269
121,16/2/24,0.0010039766067
122,16/2/25,0.000998324639882
123,16/2/26,0.000984998568332
124,16/2/29,0.00126930050321
125,16/3/1,0.00120888895946
126,16/3/2,0.00115917630654
127,16/3/3,0.00122337913859
128,16/3/4,0.00135768821511
129,16/3/7,0.00151356754631
