,date,Alpha
0,15/8/31,0.00450958978602
1,15/9/1,0.0049044396531
2,15/9/2,0.00486987785443
3,15/9/3,0.00495645778049
4,15/9/4,0.00490845757749
5,15/9/8,0.00513855150472
6,15/9/9,0.00509179527409
7,15/9/10,0.00494805636916
8,15/9/11,0.00485701309636
9,15/9/14,0.00458876128905
10,15/9/15,0.00458744795496
11,15/9/16,0.00467779986279
12,15/9/17,0.00457665109359
13,15/9/18,0.00477234165818
14,15/9/21,0.00492030267517
15,15/9/22,0.00495958062592
16,15/9/23,0.00503796221875
17,15/9/24,0.00503691580003
18,15/9/25,0.00489371141717
19,15/9/28,0.00535388727104
20,15/9/29,0.00501279676562
21,15/9/30,0.00486176796465
22,15/10/1,0.00511991232208
23,15/10/2,0.00459343897087
24,15/10/5,0.0048221613335
25,15/10/6,0.00459901572672
26,15/10/7,0.00438569491008
27,15/10/8,0.00439367721105
28,15/10/9,0.00392205640668
29,15/10/12,0.00411944680609
30,15/10/13,0.0040466768322
31,15/10/14,0.00410068218125
32,15/10/15,0.00396315594938
33,15/10/16,0.00406761077137
34,15/10/19,0.00408388342044
35,15/10/20,0.00395901922127
36,15/10/21,0.00378580684824
37,15/10/22,0.00413412746277
38,15/10/23,0.00416763763279
39,15/10/26,0.00407019452491
40,15/10/27,0.00378293767124
41,15/10/28,0.00370147534071
42,15/10/29,0.00387033486238
43,15/10/30,0.00389602523397
44,15/11/2,0.00391737236042
45,15/11/3,0.00386123942629
46,15/11/4,0.00385103249113
47,15/11/5,0.00379311101256
48,15/11/6,0.00383430107219
49,15/11/9,0.00427973434201
50,15/11/10,0.00425246514902
51,15/11/11,0.0042781554535
52,15/11/12,0.00424204531631
53,15/11/13,0.00428089873124
54,15/11/16,0.00427312256473
55,15/11/17,0.00417560538598
56,15/11/18,0.00422175363965
57,15/11/19,0.00421961551716
58,15/11/20,0.00421957204234
59,15/11/23,0.00435785370306
60,15/11/24,0.0044131541651
61,15/11/25,0.0043617843286
62,15/11/27,0.00432189634253
63,15/11/30,0.00428864583979
64,15/12/1,0.00439263733111
65,15/12/2,0.00449160243627
66,15/12/3,0.00448507728791
67,15/12/4,0.00441275300236
68,15/12/7,0.00426232870164
69,15/12/8,0.00446201762862
70,15/12/9,0.00452255685485
71,15/12/10,0.00445900980432
72,15/12/11,0.00444575888924
73,15/12/14,0.00444958797215
74,15/12/15,0.00446667268074
75,15/12/16,0.00476451517826
76,15/12/17,0.00464795546952
77,15/12/18,0.00463623682826
78,15/12/21,0.00473368347683
79,15/12/22,0.00472646562941
80,15/12/23,0.00467482498557
81,15/12/24,0.00466652636946
82,15/12/28,0.00466014295001
83,15/12/29,0.00463245202949
84,15/12/30,0.00463301693814
85,15/12/31,0.00469088807351
86,16/1/4,0.00469463681359
87,16/1/5,0.00469704363065
88,16/1/6,0.00472510588181
89,16/1/7,0.00471159183252
90,16/1/8,0.00471101498171
91,16/1/11,0.0046777616174
92,16/1/12,0.00473431748344
93,16/1/13,0.00483411440125
94,16/1/14,0.00467145161273
95,16/1/15,0.00472771470578
96,16/1/19,0.00457407102657
97,16/1/20,0.00464264622386
98,16/1/21,0.00472190552729
99,16/1/22,0.00474255595551
100,16/1/25,0.0046739750068
101,16/1/26,0.00491281044789
102,16/1/27,0.00483897008462
103,16/1/28,0.00491250076094
104,16/1/29,0.00512289163282
105,16/2/1,0.00513600241787
106,16/2/2,0.00526854148565
107,16/2/3,0.00540558672108
108,16/2/4,0.00541999829301
109,16/2/5,0.00558633168351
110,16/2/8,0.00604075625356
111,16/2/9,0.0055876311097
112,16/2/10,0.0056155376102
113,16/2/11,0.00576367934825
114,16/2/12,0.00638205544325
115,16/2/16,0.00647819899434
116,16/2/17,0.00647924906721
117,16/2/18,0.00654780449429
118,16/2/19,0.00651372863
119,16/2/22,0.00653700773299
120,16/2/23,0.00657509629542
121,16/2/24,0.00656217013343
122,16/2/25,0.00666299790617
123,16/2/26,0.00673513392666
124,16/2/29,0.0069660525677
125,16/3/1,0.0068714507022
126,16/3/2,0.00694560603004
127,16/3/3,0.00675273441912
128,16/3/4,0.00646555403215
129,16/3/7,0.00657045823769
130,16/3/8,0.00622312972266
131,16/3/9,0.00631363052191
132,16/3/10,0.00617222674654
133,16/3/11,0.00621064430841
134,16/3/14,0.00612179539775
135,16/3/15,0.00601684307048
136,16/3/16,0.00592237196884
137,16/3/17,0.00593949527572
138,16/3/18,0.00600198840614
139,16/3/21,0.0059810921117
140,16/3/22,0.006104918539
141,16/3/23,0.00621420338846
142,16/3/24,0.00608277566033
143,16/3/28,0.00608172148634
144,16/3/29,0.0061138000589
145,16/3/30,0.00618754744538
146,16/3/31,0.00592022702716
147,16/4/1,0.00602263988889
148,16/4/4,0.00591393728131
149,16/4/5,0.00577654924852
150,16/4/6,0.00580095717986
151,16/4/7,0.00583835588418
152,16/4/8,0.00606191568598
153,16/4/11,0.00613033166126
154,16/4/12,0.00641837491417
155,16/4/13,0.00673215258949
156,16/4/14,0.00685328982469
157,16/4/15,0.0068960011246
158,16/4/18,0.00679074276983
159,16/4/19,0.00680578601245
160,16/4/20,0.00714294481798
161,16/4/21,0.0073979564168
162,16/4/22,0.00751493026316
163,16/4/25,0.00777822255091
164,16/4/26,0.00767433828195
165,16/4/27,0.00761085571688
166,16/4/28,0.00762119835986
167,16/4/29,0.0079416341602
168,16/5/2,0.00824454690144
169,16/5/3,0.00813954132272
170,16/5/4,0.00811232221909
171,16/5/5,0.00809287812105
172,16/5/6,0.00810410316211
173,16/5/9,0.008042751767
174,16/5/10,0.0079965690777
175,16/5/11,0.00800437950865
176,16/5/12,0.00753105809232
177,16/5/13,0.00753941097801
178,16/5/16,0.00750568337082
179,16/5/17,0.00760764960852
180,16/5/18,0.0076857732537
181,16/5/19,0.00817787088099
182,16/5/20,0.00844896579422
183,16/5/23,0.00847897702803
184,16/5/24,0.00838875896829
185,16/5/25,0.00840801948264
186,16/5/26,0.00844611165012
187,16/5/27,0.00850483707276
188,16/5/31,0.00855422086457
189,16/6/1,0.00859166586635
190,16/6/2,0.00864088106682
191,16/6/3,0.00860151129236
192,16/6/6,0.00863883673769
193,16/6/7,0.00874518011416
194,16/6/8,0.00876636550496
195,16/6/9,0.00886732656894
196,16/6/10,0.008801377485
197,16/6/13,0.00903945201656
198,16/6/14,0.00905331921722
199,16/6/15,0.0091790849374
200,16/6/16,0.00918115210621
201,16/6/17,0.00909306849662
202,16/6/20,0.00871155304272
203,16/6/21,0.00891285213667
204,16/6/22,0.0089168547845
205,16/6/23,0.00891004219062
206,16/6/24,0.00901603852197
207,16/6/27,0.00916217781246
208,16/6/28,0.00883940621056
209,16/6/29,0.00885868095074
210,16/6/30,0.0089300903153
211,16/7/1,0.0089254555071
212,16/7/5,0.00894122450005
213,16/7/6,0.00892851267597
214,16/7/7,0.00889054681048
215,16/7/8,0.00883079733769
216,16/7/11,0.00882773709976
217,16/7/12,0.00883570575284
218,16/7/13,0.00915013734099
219,16/7/14,0.00914406254462
220,16/7/15,0.00921059850638
221,16/7/18,0.0093633669304
222,16/7/19,0.00927535986434
