,date,Alpha
0,15/8/31,-0.00658316648968
1,15/9/1,-0.00734953624501
2,15/9/2,-0.0067193747569
3,15/9/3,-0.00664568479057
4,15/9/4,-0.00623081450638
5,15/9/8,-0.00644957489023
6,15/9/9,-0.00642963794389
7,15/9/10,-0.00615686418613
8,15/9/11,-0.00625265613787
9,15/9/14,-0.00639988266589
10,15/9/15,-0.00639402270076
11,15/9/16,-0.00644712853241
12,15/9/17,-0.00638363970281
13,15/9/18,-0.00638060599769
14,15/9/21,-0.00628178119444
15,15/9/22,-0.00607203600277
16,15/9/23,-0.00598713421237
17,15/9/24,-0.00600451530657
18,15/9/25,-0.00626073469626
19,15/9/28,-0.0063966301763
20,15/9/29,-0.00699173437248
21,15/9/30,-0.00690267171232
22,15/10/1,-0.00707792150041
23,15/10/2,-0.0068712619836
24,15/10/5,-0.0067657614308
25,15/10/6,-0.0081191657736
26,15/10/7,-0.00901517110308
27,15/10/8,-0.00913351791032
28,15/10/9,-0.00940027404013
29,15/10/12,-0.009194701994
30,15/10/13,-0.00924092085508
31,15/10/14,-0.00923591186234
32,15/10/15,-0.00894566197316
33,15/10/16,-0.00886592349481
34,15/10/19,-0.00882089295791
35,15/10/20,-0.00899324961224
36,15/10/21,-0.00955232788958
37,15/10/22,-0.00950234371735
38,15/10/23,-0.00979163640283
39,15/10/26,-0.00956962109792
40,15/10/27,-0.0097824146517
41,15/10/28,-0.0102809589182
42,15/10/29,-0.00958585398563
43,15/10/30,-0.0101197386726
44,15/11/2,-0.010267426143
45,15/11/3,-0.0103172397136
46,15/11/4,-0.0102440610718
47,15/11/5,-0.0101912919995
48,15/11/6,-0.0100345542929
49,15/11/9,-0.00996941006954
50,15/11/10,-0.00996709008648
51,15/11/11,-0.00970131923485
52,15/11/12,-0.00960514131261
53,15/11/13,-0.00956411432856
54,15/11/16,-0.00944544462795
55,15/11/17,-0.0095104613906
56,15/11/18,-0.00966448273183
57,15/11/19,-0.00969487043893
58,15/11/20,-0.00962654157018
59,15/11/23,-0.0095749395483
60,15/11/24,-0.00954568880496
61,15/11/25,-0.00952757984572
62,15/11/27,-0.00941716286993
63,15/11/30,-0.00943512733094
64,15/12/1,-0.00910680211259
65,15/12/2,-0.00908062245368
66,15/12/3,-0.00897271531147
67,15/12/4,-0.00916534998474
68,15/12/7,-0.0090052031273
69,15/12/8,-0.00872752869731
70,15/12/9,-0.00863637594082
71,15/12/10,-0.00883805693891
72,15/12/11,-0.0088350387884
73,15/12/14,-0.00896381730368
74,15/12/15,-0.00883072133929
75,15/12/16,-0.00841068474794
76,15/12/17,-0.00845603998446
77,15/12/18,-0.00843494122001
78,15/12/21,-0.00850670702251
79,15/12/22,-0.00849839830565
80,15/12/23,-0.00856527407384
81,15/12/24,-0.00868545847064
82,15/12/28,-0.00867665847692
83,15/12/29,-0.00893988604017
84,15/12/30,-0.00891754428864
85,15/12/31,-0.00891419378883
86,16/1/4,-0.00894060417701
87,16/1/5,-0.00890232891224
88,16/1/6,-0.00894588593855
89,16/1/7,-0.00893632284894
90,16/1/8,-0.00892600827787
91,16/1/11,-0.00889628994017
92,16/1/12,-0.00891802586362
93,16/1/13,-0.00898985329243
94,16/1/14,-0.00883058279214
95,16/1/15,-0.00865913457546
96,16/1/19,-0.00892390762386
97,16/1/20,-0.00897812844549
98,16/1/21,-0.00901343844802
99,16/1/22,-0.00901471249013
100,16/1/25,-0.00904822564327
101,16/1/26,-0.00963977528522
102,16/1/27,-0.0091076756866
103,16/1/28,-0.00879134366981
104,16/1/29,-0.0104247492983
105,16/2/1,-0.0105076023688
106,16/2/2,-0.0108685042652
107,16/2/3,-0.0107249315975
108,16/2/4,-0.0106570889167
109,16/2/5,-0.0106576311165
110,16/2/8,-0.010908062681
111,16/2/9,-0.0103553796243
112,16/2/10,-0.0102889742752
113,16/2/11,-0.0103768226381
114,16/2/12,-0.00995719551099
115,16/2/16,-0.0098762910093
116,16/2/17,-0.00995209935114
117,16/2/18,-0.0100653127492
118,16/2/19,-0.010111707397
119,16/2/22,-0.0100619684902
120,16/2/23,-0.0101077321271
121,16/2/24,-0.0100867528401
122,16/2/25,-0.00997931824965
123,16/2/26,-0.0100377044487
124,16/2/29,-0.0100696351937
125,16/3/1,-0.0103148353609
126,16/3/2,-0.0103118380817
127,16/3/3,-0.0101823082895
128,16/3/4,-0.0100483198268
129,16/3/7,-0.010475998957
130,16/3/8,-0.0106311776396
131,16/3/9,-0.0110083440385
132,16/3/10,-0.0109894880671
133,16/3/11,-0.0108951076245
134,16/3/14,-0.0108618361612
135,16/3/15,-0.0107835889619
136,16/3/16,-0.0107114555908
137,16/3/17,-0.0107134347967
138,16/3/18,-0.0110364060441
139,16/3/21,-0.0111150004129
140,16/3/22,-0.0112401095641
141,16/3/23,-0.0114505221162
142,16/3/24,-0.0117045869651
143,16/3/28,-0.0117129565333
144,16/3/29,-0.0117030536516
145,16/3/30,-0.0111533727207
146,16/3/31,-0.0115904862125
147,16/4/1,-0.0110471479566
148,16/4/4,-0.0111491889675
149,16/4/5,-0.011185839058
150,16/4/6,-0.0111425648021
151,16/4/7,-0.0115293789113
152,16/4/8,-0.0110217066057
153,16/4/11,-0.0104910346762
154,16/4/12,-0.0104300996438
155,16/4/13,-0.0101561685367
156,16/4/14,-0.0102784140543
157,16/4/15,-0.0102080133441
158,16/4/18,-0.010282915643
159,16/4/19,-0.0103268643207
160,16/4/20,-0.00996561713908
161,16/4/21,-0.00967080503486
162,16/4/22,-0.00954804287911
163,16/4/25,-0.00916568543061
164,16/4/26,-0.00922072335504
165,16/4/27,-0.00912127513189
166,16/4/28,-0.00907504608895
167,16/4/29,-0.00891934709144
168,16/5/2,-0.00838640466495
169,16/5/3,-0.00866931029478
170,16/5/4,-0.00895692209622
171,16/5/5,-0.00891439618877
172,16/5/6,-0.00892152316048
173,16/5/9,-0.00894174491588
174,16/5/10,-0.00864287716735
175,16/5/11,-0.00875662177342
176,16/5/12,-0.00865152832538
177,16/5/13,-0.00865421466911
178,16/5/16,-0.00886433437444
179,16/5/17,-0.00891847694463
180,16/5/18,-0.00892735381536
181,16/5/19,-0.00911599998263
182,16/5/20,-0.00911977216784
183,16/5/23,-0.00901880610592
184,16/5/24,-0.00897378553493
185,16/5/25,-0.00900179781263
186,16/5/26,-0.00897486779507
187,16/5/27,-0.00903884206143
188,16/5/31,-0.00906845586649
189,16/6/1,-0.00910946141877
190,16/6/2,-0.00911042255978
191,16/6/3,-0.00938977728154
192,16/6/6,-0.0093590160232
193,16/6/7,-0.00941302360079
194,16/6/8,-0.00920821152158
195,16/6/9,-0.0093528201099
196,16/6/10,-0.00976805020553
197,16/6/13,-0.00985372344714
198,16/6/14,-0.00968727415808
199,16/6/15,-0.00943947618146
200,16/6/16,-0.00944099084846
201,16/6/17,-0.00984106883291
202,16/6/20,-0.00988142675717
203,16/6/21,-0.00999946618439
204,16/6/22,-0.0100221445983
205,16/6/23,-0.0100222372559
206,16/6/24,-0.00965621893358
207,16/6/27,-0.00933366445106
208,16/6/28,-0.00896564664253
209,16/6/29,-0.00896109982475
210,16/6/30,-0.00885775876099
211,16/7/1,-0.0088894093366
212,16/7/5,-0.00887854635293
213,16/7/6,-0.00846535943884
214,16/7/7,-0.00850846406801
215,16/7/8,-0.00854438716857
216,16/7/11,-0.0086773886765
217,16/7/12,-0.00881637409834
218,16/7/13,-0.00876598773353
219,16/7/14,-0.00867098198435
220,16/7/15,-0.00848907570187
221,16/7/18,-0.00869481728196
222,16/7/19,-0.00909846884694
223,16/7/20,-0.00921532722703
224,16/7/21,-0.00920866265688
225,16/7/22,-0.00910154923763
226,16/7/25,-0.00925018425135
227,16/7/26,-0.0091415044579
228,16/7/27,-0.00841809157664
229,16/7/28,-0.008804293132
230,16/7/29,-0.00971585354079
231,16/8/1,-0.00770705442998
232,16/8/2,-0.0078714812114
233,16/8/3,-0.00690885247604
234,16/8/4,-0.00691513157269
235,16/8/5,-0.00686458435646
236,16/8/8,-0.00685188029509
237,16/8/9,-0.00610140950769
238,16/8/10,-0.00651624406532
239,16/8/11,-0.00647650861785
240,16/8/12,-0.0065782283815
241,16/8/15,-0.00670849190019
242,16/8/16,-0.00631862242275
243,16/8/17,-0.00608640208356
244,16/8/18,-0.00640545767961
245,16/8/19,-0.00639377619819
246,16/8/22,-0.00641668817715
247,16/8/23,-0.00650494348307
248,16/8/24,-0.006435801519
249,16/8/25,-0.00647274066525
250,16/8/26,-0.00634504092477
251,16/8/29,-0.00639134587294
252,16/8/30,-0.00643619560087
253,16/8/31,-0.0065127038098
254,16/9/1,-0.00670581888598
255,16/9/2,-0.00658386868799
256,16/9/6,-0.00629767832075
257,16/9/7,-0.00625672740955
258,16/9/8,-0.0060707879034
259,16/9/9,-0.0059758244476
260,16/9/12,-0.00596024232302
261,16/9/13,-0.00575215798232
262,16/9/14,-0.00575371605819
263,16/9/15,-0.00533975911996
264,16/9/16,-0.00528604254738
265,16/9/19,-0.00481491399922
266,16/9/20,-0.00469007147848
267,16/9/21,-0.00484865918304
268,16/9/22,-0.00469031778928
269,16/9/23,-0.00482813988698
270,16/9/26,-0.00484938220551
271,16/9/27,-0.00485841194302
272,16/9/28,-0.00568744452927
273,16/9/29,-0.00576568761082
274,16/9/30,-0.00575386739374
275,16/10/3,-0.00594586429796
276,16/10/4,-0.00550916315385
277,16/10/5,-0.00539796535625
278,16/10/6,-0.00500531110261
279,16/10/7,-0.0050391656361
280,16/10/10,-0.00504760898176
281,16/10/11,-0.00502313094624
282,16/10/12,-0.00525899126457
283,16/10/13,-0.00529432895469
284,16/10/14,-0.00505073042651
285,16/10/17,-0.00498071583867
286,16/10/18,-0.00485429492653
287,16/10/19,-0.00477567286066
288,16/10/20,-0.00537673312938
289,16/10/21,-0.00521407227799
290,16/10/24,-0.00507819335774
291,16/10/25,-0.0049058907423
292,16/10/26,-0.00490580081783
293,16/10/27,-0.00548728080616
294,16/10/28,-0.00492182339035
295,16/10/31,-0.00490772297489
296,16/11/1,-0.00489143128581
297,16/11/2,-0.00452791790242
298,16/11/3,-0.00447352175587
299,16/11/4,-0.00242417826049
300,16/11/7,-0.002522533933
301,16/11/8,-0.002331351936
302,16/11/9,-0.00230692170254
303,16/11/10,-0.00494232749758
304,16/11/11,-0.00377976882238
305,16/11/14,-0.00368911282402
306,16/11/15,-0.00386668108971
307,16/11/16,-0.00378089287114
308,16/11/17,-0.0035485811562
309,16/11/18,-0.00371428459755
310,16/11/21,-0.00379692476347
311,16/11/22,-0.00385692804406
312,16/11/23,-0.0040651218663
313,16/11/25,-0.00397004028068
314,16/11/28,-0.00382616524001
315,16/11/29,-0.00372652976363
316,16/11/30,-0.00374453219518
317,16/12/1,-0.00424717593968
318,16/12/2,-0.00462305668884
319,16/12/5,-0.00472993348582
320,16/12/6,-0.00469956018826
321,16/12/7,-0.00468695708688
322,16/12/8,-0.0047706379574
323,16/12/9,-0.00464406977785
324,16/12/12,-0.0046894922307
325,16/12/13,-0.00475382131649
326,16/12/14,-0.00508357755197
327,16/12/15,-0.00517527795172
328,16/12/16,-0.00505139979009
329,16/12/19,-0.0050850522521
330,16/12/20,-0.0050703334367
331,16/12/21,-0.00500187095366
332,16/12/22,-0.00499854414126
333,16/12/23,-0.00507418360764
334,16/12/27,-0.00527321090809
335,16/12/28,-0.00562437365594
336,16/12/29,-0.00564206933436
337,16/12/30,-0.00566852306547
338,17/1/3,-0.00566669555399
339,17/1/4,-0.00559149801532
340,17/1/5,-0.00610018073355
341,17/1/6,-0.00572105578495
342,17/1/9,-0.00542156259917
343,17/1/10,-0.00540557880603
344,17/1/11,-0.00524324585118
345,17/1/12,-0.0052444140833
346,17/1/13,-0.00480129575409
347,17/1/17,-0.00493135369973
348,17/1/18,-0.00480587572025
349,17/1/19,-0.00482006590001
350,17/1/20,-0.00479873881579
351,17/1/23,-0.00480916462753
352,17/1/24,-0.00480328061651
353,17/1/25,-0.00484345026772
354,17/1/26,-0.00474425466746
355,17/1/27,-0.00486238032999
356,17/1/30,-0.00483507784417
357,17/1/31,-0.00444312365355
358,17/2/1,-0.00459053160357
359,17/2/2,-0.0043181955629
360,17/2/3,-0.00393327655323
361,17/2/6,-0.00394894833648
362,17/2/7,-0.00403027944578
363,17/2/8,-0.00401892924298
364,17/2/9,-0.00372894946849
365,17/2/10,-0.00374498373964
366,17/2/13,-0.0037462590606
367,17/2/14,-0.00375556311871
368,17/2/15,-0.00397296504046
369,17/2/16,-0.00405237270895
370,17/2/17,-0.00399199842744
371,17/2/21,-0.00405574021059
372,17/2/22,-0.0041042295825
373,17/2/23,-0.0040956458328
374,17/2/24,-0.00405852810422
375,17/2/27,-0.00422157453751
376,17/2/28,-0.00408956220304
377,17/3/1,-0.00416071355393
378,17/3/2,-0.00403060946638
379,17/3/3,-0.00396592044618
380,17/3/6,-0.00393267200614
381,17/3/7,-0.00394141107815
382,17/3/8,-0.00394724120707
383,17/3/9,-0.00443860882467
384,17/3/10,-0.00455613708394
385,17/3/13,-0.0044921663865
386,17/3/14,-0.0045049830728
387,17/3/15,-0.00434323546489
388,17/3/16,-0.00439939480682
389,17/3/17,-0.00438852948994
390,17/3/20,-0.00453000744335
391,17/3/21,-0.00441870165537
392,17/3/22,-0.00441437044354
393,17/3/23,-0.00442004691959
394,17/3/24,-0.00425744963577
395,17/3/27,-0.00426262170362
396,17/3/28,-0.00440549094631
397,17/3/29,-0.00454384369059
398,17/3/30,-0.00459323564073
399,17/3/31,-0.00430157828034
400,17/4/3,-0.00425401086668
401,17/4/4,-0.00417373088067
402,17/4/5,-0.00432770440612
403,17/4/6,-0.0043377355739
404,17/4/7,-0.00445454898124
405,17/4/10,-0.00465052686954
406,17/4/11,-0.00461486394821
407,17/4/12,-0.00468543651352
408,17/4/13,-0.00462524182723
409,17/4/17,-0.00412169265877
410,17/4/18,-0.00415918724485
411,17/4/19,-0.00430819659263
412,17/4/20,-0.00449683222255
413,17/4/21,-0.00452321305184
414,17/4/24,-0.00452601355572
415,17/4/25,-0.00428582003157
416,17/4/26,-0.00426170910184
417,17/4/27,-0.00434610776097
418,17/4/28,-0.00417040076274
419,17/5/1,-0.00420406510434
420,17/5/2,-0.0035812197159
421,17/5/3,-0.00328648773001
422,17/5/4,-0.00333371697368
423,17/5/5,-0.00330080748818
424,17/5/8,-0.00322901886843
425,17/5/9,-0.00312071155546
426,17/5/10,-0.00517369765811
427,17/5/11,-0.00486177281326
428,17/5/12,-0.00500434968566
429,17/5/15,-0.00464111504632
430,17/5/16,-0.00404445823995
431,17/5/17,-0.00503464454853
432,17/5/18,-0.00505515857574
433,17/5/19,-0.00486364042822
434,17/5/22,-0.00485028473033
435,17/5/23,-0.00486004604047
436,17/5/24,-0.0047785174027
437,17/5/25,-0.00468020547452
438,17/5/26,-0.00478273565911
439,17/5/30,-0.00470894186779
440,17/5/31,-0.00476631592573
441,17/6/1,-0.00479556081484
442,17/6/2,-0.00486526785994
443,17/6/5,-0.00501200895605
444,17/6/6,-0.00472428025304
445,17/6/7,-0.00464319889818
446,17/6/8,-0.00450975609866
447,17/6/9,-0.00456833661856
448,17/6/12,-0.00460866968679
449,17/6/13,-0.00470022541007
450,17/6/14,-0.00467517256468
451,17/6/15,-0.00465027755067
452,17/6/16,-0.00479422454696
453,17/6/19,-0.00456516203747
454,17/6/20,-0.00476376429775
455,17/6/21,-0.00479140759069
456,17/6/22,-0.00492857021944
457,17/6/23,-0.00503764593007
458,17/6/26,-0.00472424948894
459,17/6/27,-0.00472779941689
460,17/6/28,-0.0048842732285
461,17/6/29,-0.00486130325546
462,17/6/30,-0.00451582752959
463,17/7/3,-0.00449043473556
464,17/7/5,-0.00493821855012
465,17/7/6,-0.00510761996994
466,17/7/7,-0.00515382579422
467,17/7/10,-0.00526714196268
468,17/7/11,-0.00535771217074
469,17/7/12,-0.00518581518555
470,17/7/13,-0.00516139415223
471,17/7/14,-0.0054018698108
472,17/7/17,-0.00552573731925
473,17/7/18,-0.00585462044111
474,17/7/19,-0.00589334938195
475,17/7/20,-0.00591585180315
476,17/7/21,-0.00591140404448
477,17/7/24,-0.00585471769442
478,17/7/25,-0.00580336618356
479,17/7/26,-0.00584321467351
480,17/7/27,-0.00577276856325
481,17/7/28,-0.00611832212159
482,17/7/31,-0.00622514394701
483,17/8/1,-0.00600444449076
484,17/8/2,-0.00606364662132
485,17/8/3,-0.00601370793427
486,17/8/4,-0.00564939004143
487,17/8/7,-0.00603206215413
488,17/8/8,-0.00586873132845
489,17/8/9,-0.00584515978564
490,17/8/10,-0.00586343125182
491,17/8/11,-0.0060272800135
492,17/8/14,-0.00634758672323
493,17/8/15,-0.00632363318405
494,17/8/16,-0.00635756564498
495,17/8/17,-0.0060477737316
496,17/8/18,-0.00601003006774
497,17/8/21,-0.00611314964313
498,17/8/22,-0.00601292195111
499,17/8/23,-0.00593506693265
500,17/8/24,-0.00606659341207
501,17/8/25,-0.00610445011027
502,17/8/28,-0.00570130117588
503,17/8/29,-0.00545302518014
