,date,Alpha
0,15/8/31,-0.00332663712138
1,15/9/1,-0.00354916617472
2,15/9/2,-0.00340095690241
3,15/9/3,-0.00330446553109
4,15/9/4,-0.00311568046425
5,15/9/8,-0.0030469864719
6,15/9/9,-0.00306726437815
7,15/9/10,-0.00333150663444
8,15/9/11,-0.00361487430025
9,15/9/14,-0.00413704081511
10,15/9/15,-0.00413590828737
11,15/9/16,-0.00355542647569
12,15/9/17,-0.00364996743621
13,15/9/18,-0.00357256866607
14,15/9/21,-0.00333322842197
15,15/9/22,-0.00317673620329
16,15/9/23,-0.00315267685506
17,15/9/24,-0.00319722647872
18,15/9/25,-0.00339631476183
19,15/9/28,-0.0041158574402
20,15/9/29,-0.00449550541365
21,15/9/30,-0.00433975892257
22,15/10/1,-0.00420590867166
23,15/10/2,-0.00425090921866
24,15/10/5,-0.00434180387997
25,15/10/6,-0.00480960166374
26,15/10/7,-0.00547695774661
27,15/10/8,-0.00551778236324
28,15/10/9,-0.00571275116567
29,15/10/12,-0.0056182665708
30,15/10/13,-0.00566291266642
31,15/10/14,-0.00544343992844
32,15/10/15,-0.00514569042122
33,15/10/16,-0.00517715850519
34,15/10/19,-0.00518132160719
35,15/10/20,-0.00534276823265
36,15/10/21,-0.00517983536704
37,15/10/22,-0.00449732499149
38,15/10/23,-0.00521136524873
39,15/10/26,-0.00531095495024
40,15/10/27,-0.00553830553366
41,15/10/28,-0.00673502685381
42,15/10/29,-0.00552623244829
43,15/10/30,-0.00553481978319
44,15/11/2,-0.0054386370628
45,15/11/3,-0.00551161785067
46,15/11/4,-0.00544291285635
47,15/11/5,-0.00537155830252
48,15/11/6,-0.00515595733474
49,15/11/9,-0.00524145656429
50,15/11/10,-0.00524261671973
51,15/11/11,-0.00536556047607
52,15/11/12,-0.00514137149229
53,15/11/13,-0.00505620889153
54,15/11/16,-0.0050388393309
55,15/11/17,-0.00496959710995
56,15/11/18,-0.00502376430643
57,15/11/19,-0.00501593409678
58,15/11/20,-0.00486630260902
59,15/11/23,-0.00496801751608
60,15/11/24,-0.00496931651828
61,15/11/25,-0.00497019270125
62,15/11/27,-0.00493510908428
63,15/11/30,-0.00523673682953
64,15/12/1,-0.00511524960564
65,15/12/2,-0.00502242495259
66,15/12/3,-0.00504560381048
67,15/12/4,-0.00514848522614
68,15/12/7,-0.00522258034431
69,15/12/8,-0.00516445137005
70,15/12/9,-0.00524319320009
71,15/12/10,-0.00516984274589
72,15/12/11,-0.00519038781667
73,15/12/14,-0.00524704906429
74,15/12/15,-0.00538828002278
75,15/12/16,-0.00524541105838
76,15/12/17,-0.00511039378728
77,15/12/18,-0.00527059896772
78,15/12/21,-0.00524643713324
79,15/12/22,-0.00519679103939
80,15/12/23,-0.00523070969915
81,15/12/24,-0.00497354675261
82,15/12/28,-0.00484257992796
83,15/12/29,-0.00480069441773
84,15/12/30,-0.00480182974778
85,15/12/31,-0.00498009267669
86,16/1/4,-0.0049328392861
87,16/1/5,-0.00485253033671
88,16/1/6,-0.00476856182633
89,16/1/7,-0.00484883431252
90,16/1/8,-0.00485791357965
91,16/1/11,-0.00484027511203
92,16/1/12,-0.00498636594497
93,16/1/13,-0.00499715794069
94,16/1/14,-0.00511648374094
95,16/1/15,-0.00512399753563
96,16/1/19,-0.00523247261343
97,16/1/20,-0.00529647002427
98,16/1/21,-0.00551821054078
99,16/1/22,-0.00555209607666
100,16/1/25,-0.00556995794089
101,16/1/26,-0.00533476411446
102,16/1/27,-0.00521411930938
103,16/1/28,-0.00534054676524
104,16/1/29,-0.00547723883696
105,16/2/1,-0.00541827546811
106,16/2/2,-0.00589152150458
107,16/2/3,-0.00614051945025
108,16/2/4,-0.00613750792334
109,16/2/5,-0.00606312185585
110,16/2/8,-0.00594467739181
111,16/2/9,-0.00694774782529
112,16/2/10,-0.00708722086194
113,16/2/11,-0.00726214781118
114,16/2/12,-0.00674564492908
115,16/2/16,-0.00659427172328
116,16/2/17,-0.00673236127408
117,16/2/18,-0.00667031760289
118,16/2/19,-0.00656613553988
119,16/2/22,-0.00641903069704
120,16/2/23,-0.00631484239954
121,16/2/24,-0.00642518859767
122,16/2/25,-0.00640159483142
123,16/2/26,-0.00642752654521
124,16/2/29,-0.00625108364941
125,16/3/1,-0.00627617196083
126,16/3/2,-0.00633088276959
127,16/3/3,-0.00616074723419
128,16/3/4,-0.00637435121524
129,16/3/7,-0.00639706252726
130,16/3/8,-0.00638941196442
131,16/3/9,-0.00640151285667
132,16/3/10,-0.00632486735822
133,16/3/11,-0.00632680622152
134,16/3/14,-0.00637405883097
135,16/3/15,-0.00626177319807
136,16/3/16,-0.00623096554728
137,16/3/17,-0.00622270978726
138,16/3/18,-0.00632754880099
139,16/3/21,-0.00631315633955
140,16/3/22,-0.00632455220768
141,16/3/23,-0.00628296628202
142,16/3/24,-0.00650190031363
143,16/3/28,-0.00651903096761
144,16/3/29,-0.00652500561125
145,16/3/30,-0.00642342723284
146,16/3/31,-0.00606726627521
147,16/4/1,-0.00568261513189
148,16/4/4,-0.00589556294361
149,16/4/5,-0.00591959171136
150,16/4/6,-0.0057784521291
151,16/4/7,-0.0054182746893
152,16/4/8,-0.00500748705616
153,16/4/11,-0.00465371983097
154,16/4/12,-0.00494583053785
155,16/4/13,-0.00456776177535
156,16/4/14,-0.00470309864
157,16/4/15,-0.00472046681474
158,16/4/18,-0.0051579050285
159,16/4/19,-0.00518509876961
160,16/4/20,-0.00443255986862
161,16/4/21,-0.00440242950556
162,16/4/22,-0.00418745210262
163,16/4/25,-0.00409877396562
164,16/4/26,-0.00443123328122
165,16/4/27,-0.00370761039749
166,16/4/28,-0.00367337453515
167,16/4/29,-0.00346115945401
168,16/5/2,-0.0027462282586
169,16/5/3,-0.00282133236167
170,16/5/4,-0.00281524734207
171,16/5/5,-0.0029117655784
172,16/5/6,-0.00290611704237
173,16/5/9,-0.00293454535307
174,16/5/10,-0.00292280539225
175,16/5/11,-0.0030552909405
176,16/5/12,-0.0031217407708
177,16/5/13,-0.0030968517004
178,16/5/16,-0.00307447700638
179,16/5/17,-0.00339133066678
180,16/5/18,-0.00333713487132
181,16/5/19,-0.00338804586435
182,16/5/20,-0.00330609803535
183,16/5/23,-0.00327151711197
184,16/5/24,-0.00329076286942
185,16/5/25,-0.00342176598695
186,16/5/26,-0.0031263259705
187,16/5/27,-0.0030608907685
