,date,Alpha
0,15/8/31,0.000253272428764
1,15/9/1,-0.000199732192602
2,15/9/2,-0.00046714210017
3,15/9/3,-0.000472744200493
4,15/9/4,-0.000445300424894
5,15/9/8,-0.00012751404893
6,15/9/9,-0.000113968278979
7,15/9/10,5.86575585496e-05
8,15/9/11,0.000314001637251
9,15/9/14,0.000188641000436
10,15/9/15,0.000187446326767
11,15/9/16,0.000254058588718
12,15/9/17,0.000485729902642
13,15/9/18,8.61875291422e-06
14,15/9/21,0.000410586697479
15,15/9/22,-1.60764310839e-05
16,15/9/23,3.91519773821e-06
17,15/9/24,-7.50252630226e-05
18,15/9/25,-0.000271343832727
19,15/9/28,0.000284413414923
20,15/9/29,0.000130782875865
21,15/9/30,-8.27594622991e-06
22,15/10/1,-6.03729297667e-05
23,15/10/2,-0.000134963126182
24,15/10/5,-0.000298248805082
25,15/10/6,-0.000327043397816
26,15/10/7,-0.000625490168312
27,15/10/8,-0.000650849265368
28,15/10/9,-0.000400592507277
29,15/10/12,-0.000448322396703
30,15/10/13,-0.000455671852697
31,15/10/14,-0.00050220181279
32,15/10/15,-0.000325770435579
33,15/10/16,-0.00034547357066
34,15/10/19,-0.000415952024346
35,15/10/20,-0.000366377203555
36,15/10/21,-0.000860262600386
37,15/10/22,-0.00101295736407
38,15/10/23,-0.000803992155828
39,15/10/26,-0.00071489966968
40,15/10/27,-0.000621242199229
41,15/10/28,-0.000328660546251
42,15/10/29,-0.000459130759742
43,15/10/30,-0.000473558548561
44,15/11/2,-0.00040497285215
45,15/11/3,-0.000446771649641
46,15/11/4,-0.000701690281397
47,15/11/5,-0.000768676368183
48,15/11/6,-0.000592732513559
49,15/11/9,-0.000871072644366
50,15/11/10,-0.000883029490153
51,15/11/11,-0.000904571710893
52,15/11/12,-0.000932819451271
53,15/11/13,-0.000654486028304
54,15/11/16,-0.000564011292188
55,15/11/17,-0.000517877774751
56,15/11/18,-0.000241490197077
57,15/11/19,-0.000242213978082
58,15/11/20,-0.000257013669713
59,15/11/23,-0.000245037783891
60,15/11/24,-0.00042477777911
61,15/11/25,-0.000537473621814
62,15/11/27,-0.000700911434965
63,15/11/30,-0.000750790161516
64,15/12/1,-0.000854803049054
65,15/12/2,-0.000796835829042
66,15/12/3,-0.000767094765372
67,15/12/4,-0.000743810877002
68,15/12/7,-0.00079290494223
69,15/12/8,-0.000898781370039
70,15/12/9,-0.0010968388028
71,15/12/10,-0.00110738724468
72,15/12/11,-0.00110486868403
73,15/12/14,-0.00112257631313
74,15/12/15,-0.00118631196488
75,15/12/16,-0.00121335005715
76,15/12/17,-0.0011424985416
77,15/12/18,-0.00117448628142
78,15/12/21,-0.00116232193097
79,15/12/22,-0.00115945028367
80,15/12/23,-0.00102990848242
81,15/12/24,-0.000964430396249
82,15/12/28,-0.000981930162294
83,15/12/29,-0.000983764318087
84,15/12/30,-0.000995133443873
85,15/12/31,-0.00100294450617
86,16/1/4,-0.00105202522065
87,16/1/5,-0.00107558313875
88,16/1/6,-0.00113430724903
89,16/1/7,-0.00104157485005
90,16/1/8,-0.00103559730434
91,16/1/11,-0.00109033539399
92,16/1/12,-0.00115500657189
93,16/1/13,-0.00101644870439
94,16/1/14,-0.000931423235998
95,16/1/15,-0.000978126841372
96,16/1/19,-0.000895503082275
97,16/1/20,-0.00103145508328
98,16/1/21,-0.00105304161217
99,16/1/22,-0.00104081285964
100,16/1/25,-0.00108435907008
101,16/1/26,-0.000872890213871
102,16/1/27,-0.000796188187228
103,16/1/28,-0.000477442897944
104,16/1/29,-0.000229912430755
105,16/2/1,-0.00028645565081
106,16/2/2,-0.000232635027769
107,16/2/3,-0.000124979601974
108,16/2/4,-0.000180652025316
109,16/2/5,-0.0001813552679
110,16/2/8,0.000103470542894
111,16/2/9,-8.06173961338e-05
112,16/2/10,-6.16102614547e-05
113,16/2/11,0.000148241397312
114,16/2/12,-0.00111018254085
115,16/2/16,-0.00108916752135
116,16/2/17,-0.00104137475297
117,16/2/18,-0.00107654796078
118,16/2/19,-0.00114823243758
119,16/2/22,-0.0010902417454
120,16/2/23,-0.00122362854824
121,16/2/24,-0.00137130189193
122,16/2/25,-0.00142915968239
123,16/2/26,-0.00144395696698
124,16/2/29,-0.00156572530424
125,16/3/1,-0.00143642105009
126,16/3/2,-0.00139281468848
127,16/3/3,-0.00125131562203
128,16/3/4,-0.00122506352431
129,16/3/7,-0.00115018782028
130,16/3/8,-0.00110690051735
131,16/3/9,-0.00117289502508
132,16/3/10,-0.00117180480666
133,16/3/11,-0.00122710414599
134,16/3/14,-0.0012007815709
135,16/3/15,-0.00103471572989
136,16/3/16,-0.000962803393787
137,16/3/17,-0.000964807865565
138,16/3/18,-0.000837188036354
139,16/3/21,-0.000888614039882
140,16/3/22,-0.000556605510117
141,16/3/23,-0.000602821369061
142,16/3/24,-0.000627042693896
143,16/3/28,-0.000617323967961
144,16/3/29,-0.000597160131394
145,16/3/30,-0.000785176829406
146,16/3/31,-0.00117360960917
147,16/4/1,-0.000820403330314
148,16/4/4,-0.000970521480832
149,16/4/5,-0.00115592559217
150,16/4/6,-0.00109109670411
151,16/4/7,-0.00102293061115
152,16/4/8,-0.00103967111774
153,16/4/11,-0.000833599372326
154,16/4/12,-0.000862693851743
155,16/4/13,-0.00108351035743
156,16/4/14,-0.00118202561229
157,16/4/15,-0.00118377122342
158,16/4/18,-0.00119316746434
159,16/4/19,-0.00118723931213
160,16/4/20,-0.00125502315784
161,16/4/21,-0.00135418639474
162,16/4/22,-0.0011502962153
163,16/4/25,-0.000843850471679
164,16/4/26,-0.000814453043226
165,16/4/27,-0.0010458763884
166,16/4/28,-0.000984456873183
167,16/4/29,-0.00103294180066
168,16/5/2,-0.00120429708638
169,16/5/3,-0.00116154339046
170,16/5/4,-0.00106737839165
171,16/5/5,-0.00112029294553
172,16/5/6,-0.00109028052578
173,16/5/9,-0.000860535575276
174,16/5/10,-0.000872436421633
175,16/5/11,-0.000943523057988
176,16/5/12,-0.000714532088255
177,16/5/13,-0.000724448142118
178,16/5/16,-0.000715917878615
179,16/5/17,-0.00065821150411
180,16/5/18,-0.00104855284706
181,16/5/19,-0.00118972798433
182,16/5/20,-0.00122794108444
183,16/5/23,-0.00143003264743
184,16/5/24,-0.00145080755363
185,16/5/25,-0.00142395750653
186,16/5/26,-0.00149253892355
187,16/5/27,-0.00142075689573
188,16/5/31,-0.00129773867912
189,16/6/1,-0.00115139610836
190,16/6/2,-0.00111790888291
191,16/6/3,-0.000964491757252
192,16/6/6,-0.00098356480488
193,16/6/7,-0.00112129257558
194,16/6/8,-0.00110816172657
195,16/6/9,-0.000841886353893
196,16/6/10,-0.000890253007114
197,16/6/13,-0.000758210555724
198,16/6/14,-0.0007636610597
199,16/6/15,-0.000755526286213
200,16/6/16,-0.000759795724728
201,16/6/17,-0.000711546050689
202,16/6/20,-0.000799665737958
203,16/6/21,-0.000812391451195
