,date,Alpha
0,15/8/31,0.00235411127093
1,15/9/1,0.000615766624831
2,15/9/2,0.00130623060545
3,15/9/3,0.000880589708597
4,15/9/4,0.000516007212903
5,15/9/8,0.000574753427066
6,15/9/9,0.00055547876618
7,15/9/10,0.000725525005289
8,15/9/11,0.000257771109878
9,15/9/14,0.000325552862352
10,15/9/15,0.000326740816624
11,15/9/16,0.000422780747096
12,15/9/17,1.6993428294e-05
13,15/9/18,-0.000737083454237
14,15/9/21,0.000184313401225
15,15/9/22,0.000266184975572
16,15/9/23,-5.16382239543e-05
17,15/9/24,-0.000239430040232
18,15/9/25,-0.000785893158254
19,15/9/28,-0.00220029547862
20,15/9/29,-0.00281436172671
21,15/9/30,-0.00277710187468
22,15/10/1,-0.0027107046501
23,15/10/2,-0.00266009040761
24,15/10/5,-0.00278368878536
25,15/10/6,-0.00255578760446
26,15/10/7,-0.00226664450936
27,15/10/8,-0.00227565635994
28,15/10/9,-0.00278901926826
29,15/10/12,-0.00285549638512
30,15/10/13,-0.00295410942265
31,15/10/14,-0.00289647462444
32,15/10/15,-0.00288791029445
33,15/10/16,-0.00336775497425
34,15/10/19,-0.00350470792904
35,15/10/20,-0.00371856846044
36,15/10/21,-0.00319605161364
37,15/10/22,-0.00307836936506
38,15/10/23,-0.00489203576198
39,15/10/26,-0.00558060306139
40,15/10/27,-0.0057918729279
41,15/10/28,-0.00648089886604
42,15/10/29,-0.00565270270965
43,15/10/30,-0.00572259635104
44,15/11/2,-0.00667215537126
45,15/11/3,-0.00667103648381
46,15/11/4,-0.00669220723897
47,15/11/5,-0.00675094836331
48,15/11/6,-0.00654881468104
49,15/11/9,-0.00637529409785
50,15/11/10,-0.00641653456825
51,15/11/11,-0.00628145287324
52,15/11/12,-0.00607894763152
53,15/11/13,-0.0060155091408
54,15/11/16,-0.00592985477293
55,15/11/17,-0.00576267081802
56,15/11/18,-0.00618787333966
57,15/11/19,-0.00618401062272
58,15/11/20,-0.00592725833457
59,15/11/23,-0.00593184016068
60,15/11/24,-0.00603318296088
61,15/11/25,-0.00604454695018
62,15/11/27,-0.00588877273661
63,15/11/30,-0.00592716634657
64,15/12/1,-0.00604067297249
65,15/12/2,-0.00581561652638
66,15/12/3,-0.00559915606635
67,15/12/4,-0.00567449089034
68,15/12/7,-0.0056293020292
69,15/12/8,-0.00536393020478
70,15/12/9,-0.005548092246
71,15/12/10,-0.00564283533605
72,15/12/11,-0.00566994429295
73,15/12/14,-0.00561974226899
74,15/12/15,-0.00544560318894
75,15/12/16,-0.00508165824132
76,15/12/17,-0.004821269528
77,15/12/18,-0.0048799200658
78,15/12/21,-0.00487368035413
79,15/12/22,-0.0048792473238
80,15/12/23,-0.00504372871185
81,15/12/24,-0.00471443966858
82,15/12/28,-0.00457053405781
83,15/12/29,-0.00470215687842
84,15/12/30,-0.00482489528491
85,15/12/31,-0.0047639459036
86,16/1/4,-0.00473755977427
87,16/1/5,-0.00461315043251
88,16/1/6,-0.00467208599941
89,16/1/7,-0.00472857390529
