,date,Alpha
0,15/8/31,-0.0021385145329
1,15/9/1,-0.0023009393046
2,15/9/2,-0.00205571734145
3,15/9/3,-0.00165770343059
4,15/9/4,-0.00121174343385
5,15/9/8,-0.00120111094821
6,15/9/9,-0.00115222009079
7,15/9/10,-0.00132879150417
8,15/9/11,-0.000719807612893
9,15/9/14,-0.00148211249289
10,15/9/15,-0.00148320864152
11,15/9/16,-0.00160199740219
12,15/9/17,-0.00161944476402
13,15/9/18,-0.00196417552586
14,15/9/21,-0.00194486096917
15,15/9/22,-0.0018109892948
16,15/9/23,-0.00177773056059
17,15/9/24,-0.0017557646393
18,15/9/25,-0.00163904701701
19,15/9/28,-0.00169654066506
20,15/9/29,-0.00200378175468
21,15/9/30,-0.00191654401641
22,15/10/1,-0.00173540053007
23,15/10/2,-0.00192934760625
24,15/10/5,-0.00189956104029
25,15/10/6,-0.00159640689559
26,15/10/7,-0.00147590697113
27,15/10/8,-0.00127114979374
28,15/10/9,-0.0013645696746
29,15/10/12,-0.00136301172469
30,15/10/13,-0.00141729298805
31,15/10/14,-0.00147350874196
32,15/10/15,-0.00139473855689
33,15/10/16,-0.00137740718998
34,15/10/19,-0.0013653895094
35,15/10/20,-0.00137659357225
36,15/10/21,-0.00122689400868
37,15/10/22,-0.00119051772821
38,15/10/23,-0.00125003610782
39,15/10/26,-0.00139132422882
40,15/10/27,-0.00127787784747
41,15/10/28,-0.000988779700941
42,15/10/29,-0.000832286668321
43,15/10/30,-0.000943413131991
44,15/11/2,-0.000817427202548
45,15/11/3,-0.000843733784029
46,15/11/4,-0.000882302372423
47,15/11/5,-0.000927505695146
48,15/11/6,-0.000803066616595
49,15/11/9,-0.000690702649259
50,15/11/10,-0.000671694331007
51,15/11/11,-0.000674474084815
52,15/11/12,-0.000712214444371
53,15/11/13,-0.000501809242326
54,15/11/16,-0.000575440998917
55,15/11/17,-0.000588632934028
56,15/11/18,-0.000591628578753
57,15/11/19,-0.000606401218514
58,15/11/20,-0.000607205912386
59,15/11/23,-0.00062463216558
60,15/11/24,-0.000620810206824
61,15/11/25,-0.000743119647254
62,15/11/27,-0.000733290053362
63,15/11/30,-0.000754722943774
64,15/12/1,-0.000787527811805
65,15/12/2,-0.000919315100422
66,15/12/3,-0.000955761311949
67,15/12/4,-0.000923281487498
68,15/12/7,-0.000995973061968
69,15/12/8,-0.00093031689015
70,15/12/9,-0.00119109973316
71,15/12/10,-0.00122812228972
72,15/12/11,-0.00121018280228
73,15/12/14,-0.00117957518489
74,15/12/15,-0.00124935018709
75,15/12/16,-0.00104943551749
76,15/12/17,-0.00104532234227
77,15/12/18,-0.0010598118814
78,15/12/21,-0.00100443838848
79,15/12/22,-0.00100371815533
80,15/12/23,-0.00108272290988
81,15/12/24,-0.00112040488279
82,15/12/28,-0.00113525936449
83,15/12/29,-0.00114543707261
84,15/12/30,-0.00114710658072
85,15/12/31,-0.0010620516191
86,16/1/4,-0.00108412004632
87,16/1/5,-0.00117732650202
88,16/1/6,-0.00110334661662
89,16/1/7,-0.00118361626855
90,16/1/8,-0.00119226516099
91,16/1/11,-0.00117005826178
92,16/1/12,-0.00110633155089
93,16/1/13,-0.00112960891598
94,16/1/14,-0.00105493786528
95,16/1/15,-0.0010452167661
96,16/1/19,-0.00110738842169
97,16/1/20,-0.000876890042752
98,16/1/21,-0.000708464950305
99,16/1/22,-0.000715700355694
100,16/1/25,-0.000739736658622
101,16/1/26,-0.00093313707535
102,16/1/27,-0.00123119160769
103,16/1/28,-0.00161015946965
104,16/1/29,-0.0020965113618
105,16/2/1,-0.0017636297845
106,16/2/2,-0.00156787607991
107,16/2/3,-0.00163813931554
108,16/2/4,-0.00161625141108
109,16/2/5,-0.00165235301342
110,16/2/8,-0.00205267333095
111,16/2/9,-0.00227172576666
112,16/2/10,-0.00231019479045
113,16/2/11,-0.00230823155966
114,16/2/12,-0.00222062702213
115,16/2/16,-0.00203178758135
116,16/2/17,-0.00197198301243
117,16/2/18,-0.00187248020461
118,16/2/19,-0.00201711007938
119,16/2/22,-0.00207837586232
120,16/2/23,-0.00210246345367
121,16/2/24,-0.00212691479605
122,16/2/25,-0.00205706620173
123,16/2/26,-0.00197309063406
124,16/2/29,-0.00193093579104
125,16/3/1,-0.00178327024574
126,16/3/2,-0.00175044080756
127,16/3/3,-0.00187180183152
128,16/3/4,-0.00178881526407
129,16/3/7,-0.00180738467195
130,16/3/8,-0.00234333156871
131,16/3/9,-0.00243655994279
132,16/3/10,-0.00241896489705
133,16/3/11,-0.00252237903263
134,16/3/14,-0.00247257153515
135,16/3/15,-0.00258022148692
136,16/3/16,-0.00235925627156
137,16/3/17,-0.00235885902589
138,16/3/18,-0.00222086942524
139,16/3/21,-0.00221212423012
140,16/3/22,-0.00205030640463
141,16/3/23,-0.00185224220998
142,16/3/24,-0.00208012937506
143,16/3/28,-0.00209118437481
144,16/3/29,-0.00209109564485
145,16/3/30,-0.00209621284884
146,16/3/31,-0.00231259384862
147,16/4/1,-0.00245094591446
148,16/4/4,-0.00262069974559
149,16/4/5,-0.00266741651369
150,16/4/6,-0.0026801066395
151,16/4/7,-0.00260234468547
152,16/4/8,-0.00268293907589
153,16/4/11,-0.00289613262954
154,16/4/12,-0.00280727987224
155,16/4/13,-0.00290275051743
156,16/4/14,-0.0029126091961
157,16/4/15,-0.00287152259326
158,16/4/18,-0.00295889838281
159,16/4/19,-0.00296971487601
160,16/4/20,-0.0030663219041
161,16/4/21,-0.00298758644615
162,16/4/22,-0.00300543238684
163,16/4/25,-0.00315152126086
164,16/4/26,-0.00315504893152
165,16/4/27,-0.00307248853415
166,16/4/28,-0.00284559379401
167,16/4/29,-0.00286264514003
168,16/5/2,-0.00305974320455
169,16/5/3,-0.00309731396881
170,16/5/4,-0.00302626500249
171,16/5/5,-0.00315275242458
172,16/5/6,-0.00313121602857
173,16/5/9,-0.0031614026719
174,16/5/10,-0.00296648856297
175,16/5/11,-0.00305197706559
176,16/5/12,-0.00315162167488
177,16/5/13,-0.00314701498784
178,16/5/16,-0.00319281210721
179,16/5/17,-0.0031213652715
180,16/5/18,-0.00316918927135
181,16/5/19,-0.00314668654308
182,16/5/20,-0.00308112366233
183,16/5/23,-0.00311815936689
184,16/5/24,-0.00313692295525
185,16/5/25,-0.00312300058177
186,16/5/26,-0.00319513297918
187,16/5/27,-0.00317026829141
188,16/5/31,-0.00308546468684
189,16/6/1,-0.00304888735563
190,16/6/2,-0.00303062605643
191,16/6/3,-0.00303953363224
192,16/6/6,-0.00303073559696
193,16/6/7,-0.00298387978358
194,16/6/8,-0.003077777061
195,16/6/9,-0.00302083871634
196,16/6/10,-0.00297167710747
197,16/6/13,-0.00270455764481
198,16/6/14,-0.00277583214626
199,16/6/15,-0.00280431420225
200,16/6/16,-0.00280794336869
201,16/6/17,-0.00269816133322
202,16/6/20,-0.00292702947578
203,16/6/21,-0.00296993546357
204,16/6/22,-0.00290548413522
205,16/6/23,-0.00290241689386
206,16/6/24,-0.00289361858486
207,16/6/27,-0.00283208467107
208,16/6/28,-0.00276132156179
209,16/6/29,-0.00273293724692
210,16/6/30,-0.00268151729902
211,16/7/1,-0.00325549294825
212,16/7/5,-0.00329060480203
