,date,Alpha
0,15/8/31,-0.00509482863011
1,15/9/1,-0.00542776208348
2,15/9/2,-0.00569835799768
3,15/9/3,-0.00550024696773
4,15/9/4,-0.00505389460937
5,15/9/8,-0.00499899383641
6,15/9/9,-0.00491173258599
7,15/9/10,-0.005151021819
8,15/9/11,-0.0056052928424
9,15/9/14,-0.00567158834043
10,15/9/15,-0.00567054311405
11,15/9/16,-0.00508326713387
12,15/9/17,-0.00543733502269
13,15/9/18,-0.00528376313102
14,15/9/21,-0.00535956680912
15,15/9/22,-0.00556156641767
16,15/9/23,-0.00508833042393
17,15/9/24,-0.00526835899144
18,15/9/25,-0.00433187074181
19,15/9/28,-0.00305972240255
20,15/9/29,-0.00291768465498
21,15/9/30,-0.00272359193376
22,15/10/1,-0.0022108071754
23,15/10/2,-0.002324440979
24,15/10/5,-0.00212774735663
25,15/10/6,-0.0022535446993
26,15/10/7,-0.00329277974644
27,15/10/8,-0.00325687409468
28,15/10/9,-0.00354904760409
29,15/10/12,-0.00349024624225
30,15/10/13,-0.00366986955866
31,15/10/14,-0.00360755967207
32,15/10/15,-0.00358636885636
33,15/10/16,-0.00366004865541
34,15/10/19,-0.00397650388322
35,15/10/20,-0.00389615428058
36,15/10/21,-0.00469666832271
37,15/10/22,-0.00558139787228
38,15/10/23,-0.005527903685
39,15/10/26,-0.00589954603609
40,15/10/27,-0.00548613607538
41,15/10/28,-0.00558586268083
42,15/10/29,-0.00498166518938
43,15/10/30,-0.00465598687347
44,15/11/2,-0.00469120324798
45,15/11/3,-0.00469496372453
46,15/11/4,-0.00444220321572
47,15/11/5,-0.0043705865841
48,15/11/6,-0.00445179693806
49,15/11/9,-0.00404518098113
50,15/11/10,-0.00398411818606
51,15/11/11,-0.00393781040972
52,15/11/12,-0.00393349181125
53,15/11/13,-0.00381835578437
54,15/11/16,-0.00409237890805
55,15/11/17,-0.00423961750109
56,15/11/18,-0.00441563667766
57,15/11/19,-0.00443004837266
58,15/11/20,-0.00442739968954
59,15/11/23,-0.00451161137349
60,15/11/24,-0.00454484439872
61,15/11/25,-0.00464589857345
62,15/11/27,-0.00466404642113
63,15/11/30,-0.00471725910285
64,15/12/1,-0.00447950274107
65,15/12/2,-0.00444888352145
66,15/12/3,-0.00445739358786
67,15/12/4,-0.00448564093556
68,15/12/7,-0.00476036989018
69,15/12/8,-0.00448936708498
70,15/12/9,-0.00469985174909
71,15/12/10,-0.00492473189213
72,15/12/11,-0.00488092967243
73,15/12/14,-0.00485650134471
74,15/12/15,-0.00488059060493
75,15/12/16,-0.00491499742431
76,15/12/17,-0.00488795578915
77,15/12/18,-0.00480671130326
78,15/12/21,-0.00478012245997
79,15/12/22,-0.00478119459248
80,15/12/23,-0.00492054131505
81,15/12/24,-0.0050891096044
82,15/12/28,-0.00509315728829
83,15/12/29,-0.00505539022719
84,15/12/30,-0.0050266827889
85,15/12/31,-0.00498694446556
86,16/1/4,-0.00506559211757
87,16/1/5,-0.00509422644078
88,16/1/6,-0.00516208573614
89,16/1/7,-0.00518967822069
90,16/1/8,-0.00519431461627
91,16/1/11,-0.00506335882478
92,16/1/12,-0.00507725981811
93,16/1/13,-0.00482857797284
94,16/1/14,-0.00479420101656
95,16/1/15,-0.00487727978162
96,16/1/19,-0.00497293546334
97,16/1/20,-0.00507694901173
98,16/1/21,-0.00516710293795
99,16/1/22,-0.0052017681466
100,16/1/25,-0.00575940257989
101,16/1/26,-0.00550994394366
102,16/1/27,-0.0058432314843
103,16/1/28,-0.00555176940752
104,16/1/29,-0.00550725149884
105,16/2/1,-0.0054322786307
106,16/2/2,-0.00504944850012
107,16/2/3,-0.00515498714691
108,16/2/4,-0.00514922135931
109,16/2/5,-0.00545612030306
110,16/2/8,-0.00681903347703
111,16/2/9,-0.00716688139555
112,16/2/10,-0.00718077797874
113,16/2/11,-0.00739802893679
114,16/2/12,-0.00823246696154
115,16/2/16,-0.00825976916581
116,16/2/17,-0.00830501586404
117,16/2/18,-0.00868793395798
118,16/2/19,-0.0085676800146
119,16/2/22,-0.00869591016065
120,16/2/23,-0.00862554957834
121,16/2/24,-0.00857112778701
122,16/2/25,-0.00804810710501
123,16/2/26,-0.00807973643538
124,16/2/29,-0.00789617115528
125,16/3/1,-0.00818166079757
126,16/3/2,-0.00807570187402
127,16/3/3,-0.00833865597526
128,16/3/4,-0.00798158177401
129,16/3/7,-0.00805719658986
130,16/3/8,-0.00863117951349
131,16/3/9,-0.00870309829353
132,16/3/10,-0.00873145596292
133,16/3/11,-0.00880852999845
134,16/3/14,-0.0088161441431
135,16/3/15,-0.0085035988453
136,16/3/16,-0.00842702137178
137,16/3/17,-0.00842744806711
138,16/3/18,-0.00846799816234
139,16/3/21,-0.00835003566417
140,16/3/22,-0.00812846992033
141,16/3/23,-0.00803321070381
142,16/3/24,-0.00809213411801
143,16/3/28,-0.00814066297568
144,16/3/29,-0.00816247360038
145,16/3/30,-0.00903329386257
146,16/3/31,-0.0101399449215
147,16/4/1,-0.0104615181297
148,16/4/4,-0.0105160097025
149,16/4/5,-0.0106379999697
150,16/4/6,-0.0106141099716
151,16/4/7,-0.0113302591362
152,16/4/8,-0.0112694835666
153,16/4/11,-0.0111493523345
154,16/4/12,-0.0109467635881
155,16/4/13,-0.010999511712
156,16/4/14,-0.0110768378624
157,16/4/15,-0.0110030224569
158,16/4/18,-0.0112723648528
159,16/4/19,-0.0113144273261
160,16/4/20,-0.0106673333188
161,16/4/21,-0.00881643598287
162,16/4/22,-0.00885062343995
163,16/4/25,-0.00874081567164
164,16/4/26,-0.00826088749814
165,16/4/27,-0.00854462311567
166,16/4/28,-0.00806803819663
167,16/4/29,-0.00841537490116
168,16/5/2,-0.00863640910276
169,16/5/3,-0.00867686269947
170,16/5/4,-0.00858035981234
171,16/5/5,-0.00857204998817
172,16/5/6,-0.00855694566271
173,16/5/9,-0.00865524305665
174,16/5/10,-0.00822349433251
175,16/5/11,-0.00809016666309
176,16/5/12,-0.00811586539564
177,16/5/13,-0.00812822059546
178,16/5/16,-0.00846876253371
179,16/5/17,-0.00835058226561
180,16/5/18,-0.00811434443813
181,16/5/19,-0.00786937364217
182,16/5/20,-0.00787339108236
183,16/5/23,-0.00782837207854
184,16/5/24,-0.00787888287724
185,16/5/25,-0.00785802049207
186,16/5/26,-0.00785085921226
187,16/5/27,-0.00787866949482
188,16/5/31,-0.00773351539909
189,16/6/1,-0.00769394501524
190,16/6/2,-0.00762968195118
191,16/6/3,-0.00800092836285
192,16/6/6,-0.00800705252579
193,16/6/7,-0.00789275513301
194,16/6/8,-0.00801376027809
195,16/6/9,-0.00803025278446
196,16/6/10,-0.00803622298331
197,16/6/13,-0.00776288431935
198,16/6/14,-0.00762841084635
199,16/6/15,-0.00763913091531
200,16/6/16,-0.00763820715124
201,16/6/17,-0.00734499577441
202,16/6/20,-0.00727752150285
203,16/6/21,-0.00745261461862
204,16/6/22,-0.0074716283763
205,16/6/23,-0.00746709408375
206,16/6/24,-0.00748744853114
207,16/6/27,-0.00721811643909
208,16/6/28,-0.00728080460272
209,16/6/29,-0.00720399911693
210,16/6/30,-0.0071668506155
211,16/7/1,-0.00731383298842
212,16/7/5,-0.00729014136847
213,16/7/6,-0.00711337800009
214,16/7/7,-0.00734970002621
215,16/7/8,-0.0073492112926
216,16/7/11,-0.00749202539197
217,16/7/12,-0.00761799376307
218,16/7/13,-0.00890347957247
219,16/7/14,-0.00906052450588
220,16/7/15,-0.00948606743244
221,16/7/18,-0.0100651187822
222,16/7/19,-0.0101687736025
223,16/7/20,-0.010244905734
224,16/7/21,-0.00941091806981
225,16/7/22,-0.00921474298871
226,16/7/25,-0.00920202355654
227,16/7/26,-0.00914282032526
228,16/7/27,-0.00904969191894
229,16/7/28,-0.00865442255424
230,16/7/29,-0.0096489801452
231,16/8/1,-0.00991800160456
232,16/8/2,-0.0101401156589
233,16/8/3,-0.0107168094557
234,16/8/4,-0.0104579811194
235,16/8/5,-0.0104558071097
236,16/8/8,-0.00996055008742
237,16/8/9,-0.00818207290126
238,16/8/10,-0.00738711607528
239,16/8/11,-0.00730883854319
240,16/8/12,-0.00684918495207
241,16/8/15,-0.00578577201618
242,16/8/16,-0.00536477680747
243,16/8/17,-0.00554715623868
244,16/8/18,-0.00492132549696
245,16/8/19,-0.00476764452027
246,16/8/22,-0.0044870579898
247,16/8/23,-0.00425947076783
248,16/8/24,-0.00427454237563
249,16/8/25,-0.00428536784395
250,16/8/26,-0.00416735774976
251,16/8/29,-0.00429786108407
252,16/8/30,-0.00441497401103
253,16/8/31,-0.00398602125551
254,16/9/1,-0.00344040488124
255,16/9/2,-0.00405757420317
256,16/9/6,-0.00385481720246
257,16/9/7,-0.00336245472984
258,16/9/8,-0.00339134518709
259,16/9/9,-0.00368053602293
260,16/9/12,-0.00321679474437
261,16/9/13,-0.00274374508392
262,16/9/14,-0.0030238701729
263,16/9/15,-0.00320139083953
264,16/9/16,-0.00314025193401
265,16/9/19,-0.00294075696563
266,16/9/20,-0.00301099634838
267,16/9/21,-0.00340225011316
268,16/9/22,-0.00362219797319
269,16/9/23,-0.00365310533395
270,16/9/26,-0.00366903718857
271,16/9/27,-0.0036015757001
272,16/9/28,-0.0020334933252
273,16/9/29,-0.00180410662843
274,16/9/30,-0.0017649960057
275,16/10/3,-0.00214622053035
276,16/10/4,-0.0022829749953
277,16/10/5,-0.0023494436797
278,16/10/6,-0.00130938784409
279,16/10/7,-0.00122964999703
280,16/10/10,-0.001242270806
281,16/10/11,-0.0011961252148
282,16/10/12,-0.00135693617802
283,16/10/13,-0.00140813878882
284,16/10/14,-0.00187731191278
285,16/10/17,-0.00194572002873
286,16/10/18,-0.00167169817523
287,16/10/19,-0.00193258411626
288,16/10/20,-0.00761043795183
289,16/10/21,-0.00741029662585
290,16/10/24,-0.00696403642879
291,16/10/25,-0.00700241031662
292,16/10/26,-0.00682675001056
293,16/10/27,-0.00719789793953
294,16/10/28,-0.00685528239786
295,16/10/31,-0.00673077456331
296,16/11/1,-0.00667580519111
297,16/11/2,-0.00688311954651
298,16/11/3,-0.00677544309318
299,16/11/4,-0.00622860360879
300,16/11/7,-0.00620963671111
301,16/11/8,-0.00654309915901
302,16/11/9,-0.00661538581542
303,16/11/10,-0.00635860675511
304,16/11/11,-0.00590940482681
305,16/11/14,-0.00547562687354
306,16/11/15,-0.00716378534508
307,16/11/16,-0.00747586185913
308,16/11/17,-0.00823395951736
309,16/11/18,-0.00819681542243
310,16/11/21,-0.00800669259825
311,16/11/22,-0.00799172066879
312,16/11/23,-0.00776424336616
313,16/11/25,-0.0077819328675
314,16/11/28,-0.00765485907608
315,16/11/29,-0.00764873736277
316,16/11/30,-0.0076883139617
317,16/12/1,-0.00819913315799
318,16/12/2,-0.00739186771623
319,16/12/5,-0.00752393931202
320,16/12/6,-0.00753290030668
321,16/12/7,-0.00756327514719
322,16/12/8,-0.00767370466503
323,16/12/9,-0.00775370627566
324,16/12/12,-0.00774862328679
325,16/12/13,-0.00776620611991
326,16/12/14,-0.00782525463696
327,16/12/15,-0.00782978770634
328,16/12/16,-0.00797741071612
329,16/12/19,-0.00816215403072
330,16/12/20,-0.00816502910094
331,16/12/21,-0.00784482429871
332,16/12/22,-0.00787410472329
333,16/12/23,-0.00790563579862
334,16/12/27,-0.00858648487396
335,16/12/28,-0.00866283060941
336,16/12/29,-0.008668362063
337,16/12/30,-0.00860526149783
338,17/1/3,-0.00867525012271
339,17/1/4,-0.00879386849529
340,17/1/5,-0.00929318337389
341,17/1/6,-0.0087859837593
342,17/1/9,-0.00851400067039
343,17/1/10,-0.00582574639313
344,17/1/11,-0.00574272908261
345,17/1/12,-0.00455021639412
346,17/1/13,-0.00448551509562
347,17/1/17,-0.00466212660983
348,17/1/18,-0.0047936373174
349,17/1/19,-0.00474238231665
350,17/1/20,-0.0047229691538
351,17/1/23,-0.00564173372201
352,17/1/24,-0.0059393910998
353,17/1/25,-0.00567746194855
354,17/1/26,-0.00591812955735
355,17/1/27,-0.00619654048504
356,17/1/30,-0.00617259594465
357,17/1/31,-0.00640310138147
358,17/2/1,-0.0062635191958
359,17/2/2,-0.00576930286133
360,17/2/3,-0.00586441117413
361,17/2/6,-0.0059170298326
362,17/2/7,-0.00595142881147
363,17/2/8,-0.00595919123513
364,17/2/9,-0.0058710426593
365,17/2/10,-0.00591711349448
366,17/2/13,-0.00587645456538
367,17/2/14,-0.00585715305255
368,17/2/15,-0.00575995760902
369,17/2/16,-0.00583488066887
370,17/2/17,-0.00565716315102
371,17/2/21,-0.00602688152442
372,17/2/22,-0.00608628717412
373,17/2/23,-0.00598921327049
374,17/2/24,-0.00627452255693
375,17/2/27,-0.00610388073413
376,17/2/28,-0.00599688740697
377,17/3/1,-0.00609822596314
378,17/3/2,-0.00607429910957
379,17/3/3,-0.00628779517871
380,17/3/6,-0.00639278008112
381,17/3/7,-0.00637340421235
382,17/3/8,-0.00624750477389
383,17/3/9,-0.00652038786986
384,17/3/10,-0.00658961561549
385,17/3/13,-0.00665103457981
386,17/3/14,-0.00643700394064
387,17/3/15,-0.00656234227689
388,17/3/16,-0.00692780338044
389,17/3/17,-0.00690490285559
390,17/3/20,-0.00662390349684
391,17/3/21,-0.00657541042787
392,17/3/22,-0.00646873343
393,17/3/23,-0.0063856055707
394,17/3/24,-0.00619013136444
395,17/3/27,-0.00619441420744
396,17/3/28,-0.00620002942023
397,17/3/29,-0.00615764525392
398,17/3/30,-0.00616148420627
399,17/3/31,-0.00599705967049
400,17/4/3,-0.00647112896969
401,17/4/4,-0.00662491623182
402,17/4/5,-0.00667659255671
403,17/4/6,-0.00674750511388
404,17/4/7,-0.00676087209365
405,17/4/10,-0.00695268480053
406,17/4/11,-0.00713042932596
407,17/4/12,-0.00716197718067
408,17/4/13,-0.00720868834101
409,17/4/17,-0.00699394673855
410,17/4/18,-0.00712045777115
411,17/4/19,-0.00687488121706
412,17/4/20,-0.00683156940183
413,17/4/21,-0.00698498350732
414,17/4/24,-0.00667596331566
415,17/4/25,-0.0041613829486
416,17/4/26,-0.00411306811686
417,17/4/27,-0.00410543779745
418,17/4/28,-0.00394071468024
419,17/5/1,-0.00388521936699
420,17/5/2,-0.00380446556025
421,17/5/3,-0.00391343461653
422,17/5/4,-0.00404781018928
423,17/5/5,-0.00398933909373
424,17/5/8,-0.00404651738947
425,17/5/9,-0.00418963501678
426,17/5/10,-0.00471658342112
427,17/5/11,-0.00471826570994
