,date,Alpha
0,15/8/31,-0.00161073038692
1,15/9/1,-0.002219539881
2,15/9/2,-0.00192796112827
3,15/9/3,-0.00158854965306
4,15/9/4,-0.00151028383499
5,15/9/8,-0.00169087982144
6,15/9/9,-0.00172858123352
7,15/9/10,-0.00162400646247
8,15/9/11,-0.00183106788539
9,15/9/14,-0.00244663856691
10,15/9/15,-0.00244252935228
11,15/9/16,-0.00267050323685
12,15/9/17,-0.00259312250674
13,15/9/18,-0.00299288560559
14,15/9/21,-0.00342963944609
15,15/9/22,-0.00324036259453
16,15/9/23,-0.00335952764717
17,15/9/24,-0.00342315621425
18,15/9/25,-0.00387421101902
19,15/9/28,-0.00432912682903
20,15/9/29,-0.00481479179862
21,15/9/30,-0.00494300612163
22,15/10/1,-0.00471870202888
23,15/10/2,-0.00448594737356
24,15/10/5,-0.0044350315241
25,15/10/6,-0.00448262310706
26,15/10/7,-0.00506897331498
27,15/10/8,-0.00503452750326
28,15/10/9,-0.00476369937384
29,15/10/12,-0.00481443997256
30,15/10/13,-0.00492477105144
31,15/10/14,-0.00481476218137
32,15/10/15,-0.00476079530537
33,15/10/16,-0.00487015695508
34,15/10/19,-0.00484767010139
35,15/10/20,-0.00478438030499
36,15/10/21,-0.00380518584712
37,15/10/22,-0.00377560716781
38,15/10/23,-0.00471125703693
39,15/10/26,-0.00472647074698
40,15/10/27,-0.00367263445681
41,15/10/28,-0.00380158146118
42,15/10/29,-0.00400787683622
43,15/10/30,-0.00381615225437
44,15/11/2,-0.0036283839262
45,15/11/3,-0.00357667776937
46,15/11/4,-0.00350745229795
47,15/11/5,-0.003450675293
48,15/11/6,-0.00330680806991
49,15/11/9,-0.00334463865041
50,15/11/10,-0.00334461088806
51,15/11/11,-0.00330567181874
52,15/11/12,-0.00307002699132
53,15/11/13,-0.00289854894869
54,15/11/16,-0.00262835987758
55,15/11/17,-0.00270711487139
56,15/11/18,-0.00288437320665
57,15/11/19,-0.00288746820678
58,15/11/20,-0.00292527450276
59,15/11/23,-0.00285595402501
60,15/11/24,-0.00296170923451
61,15/11/25,-0.00312541956709
62,15/11/27,-0.00299108789818
63,15/11/30,-0.00297514510481
64,15/12/1,-0.00350449194049
65,15/12/2,-0.00349918124434
66,15/12/3,-0.00343561702109
67,15/12/4,-0.00348436873781
68,15/12/7,-0.00352284418251
69,15/12/8,-0.00345128643626
70,15/12/9,-0.00384432196181
71,15/12/10,-0.00379012875353
72,15/12/11,-0.00379090454225
73,15/12/14,-0.00383782549711
74,15/12/15,-0.00373969880243
75,15/12/16,-0.0036512202747
76,15/12/17,-0.00385598214477
77,15/12/18,-0.00392042991037
78,15/12/21,-0.00384015820888
79,15/12/22,-0.00384130254167
80,15/12/23,-0.0038891191481
81,15/12/24,-0.00383089495587
82,15/12/28,-0.00381485921862
83,15/12/29,-0.00377585463192
84,15/12/30,-0.00378834533311
85,15/12/31,-0.00384704304618
86,16/1/4,-0.00378935575238
87,16/1/5,-0.00370505790754
88,16/1/6,-0.00366723427828
89,16/1/7,-0.00357965390605
90,16/1/8,-0.00358215216663
91,16/1/11,-0.00362272257595
92,16/1/12,-0.00370331812768
93,16/1/13,-0.0037588684524
94,16/1/14,-0.00369995529144
95,16/1/15,-0.00360672143011
96,16/1/19,-0.00362541411523
97,16/1/20,-0.00378379048597
98,16/1/21,-0.00376568199045
99,16/1/22,-0.00377651860602
100,16/1/25,-0.00382762328798
101,16/1/26,-0.00396951716066
102,16/1/27,-0.0037749989565
103,16/1/28,-0.00349537947012
104,16/1/29,-0.00405832418855
105,16/2/1,-0.00400810888805
106,16/2/2,-0.00394846338523
107,16/2/3,-0.00352030279955
108,16/2/4,-0.00360968631976
109,16/2/5,-0.00397238091134
110,16/2/8,-0.00287873424863
111,16/2/9,-0.00279646181395
112,16/2/10,-0.00290201921142
113,16/2/11,-0.00295704657098
114,16/2/12,-0.00229602882136
115,16/2/16,-0.00300392429115
116,16/2/17,-0.00303032512741
117,16/2/18,-0.00282970564243
118,16/2/19,-0.00267826274909
119,16/2/22,-0.00279488006912
120,16/2/23,-0.0027268337367
121,16/2/24,-0.002786459373
122,16/2/25,-0.00261383527799
123,16/2/26,-0.00279792488208
124,16/2/29,-0.00267194783429
125,16/3/1,-0.00262592216214
126,16/3/2,-0.00275403143174
127,16/3/3,-0.00286686974804
128,16/3/4,-0.00233624452672
129,16/3/7,-0.00255232686354
130,16/3/8,-0.00310452222484
131,16/3/9,-0.00307908745777
132,16/3/10,-0.00310422982285
133,16/3/11,-0.00299099603275
134,16/3/14,-0.00293640740037
135,16/3/15,-0.00252313415975
136,16/3/16,-0.00242316828892
137,16/3/17,-0.00243143882073
138,16/3/18,-0.00278663746997
139,16/3/21,-0.00287986568243
140,16/3/22,-0.00280154948506
141,16/3/23,-0.00270437858062
142,16/3/24,-0.00308746726745
143,16/3/28,-0.00309345340053
144,16/3/29,-0.00302365373132
145,16/3/30,-0.00267447781841
146,16/3/31,-0.00255274464254
147,16/4/1,-0.00188418612657
148,16/4/4,-0.00175727002431
149,16/4/5,-0.00162918537384
150,16/4/6,-0.00154516858578
151,16/4/7,-0.0019232321774
152,16/4/8,-0.00200101246147
153,16/4/11,-0.00134430503559
154,16/4/12,-0.00107914038032
155,16/4/13,-0.000637249526485
156,16/4/14,-0.000441280449137
157,16/4/15,-0.000337250179863
158,16/4/18,-0.000589653940524
159,16/4/19,-0.00058470003524
160,16/4/20,-0.000837551188239
161,16/4/21,-0.000488714646324
162,16/4/22,-0.00078614080141
163,16/4/25,-0.00164592697822
164,16/4/26,-0.00166815630069
165,16/4/27,-0.00130382221862
166,16/4/28,-0.000968889106753
167,16/4/29,-0.00178253373436
168,16/5/2,-0.00158519808309
169,16/5/3,-0.00129981552589
170,16/5/4,-0.00148915299356
171,16/5/5,-0.00160548984114
172,16/5/6,-0.00163981986332
173,16/5/9,-0.00170714736913
174,16/5/10,-0.00176486711139
175,16/5/11,-0.00194935999673
176,16/5/12,-0.00203791082091
177,16/5/13,-0.00203585773646
178,16/5/16,-0.00209066150286
179,16/5/17,-0.00225204663141
180,16/5/18,-0.00248438997204
181,16/5/19,-0.00288995853653
182,16/5/20,-0.00284908823928
183,16/5/23,-0.002652377257
184,16/5/24,-0.00263433465571
185,16/5/25,-0.00263752511627
186,16/5/26,-0.00272174065036
187,16/5/27,-0.00252564168803
188,16/5/31,-0.00247268150145
189,16/6/1,-0.00256972443393
190,16/6/2,-0.00256968195545
191,16/6/3,-0.00215503521734
192,16/6/6,-0.00213018447098
193,16/6/7,-0.00206759029308
194,16/6/8,-0.00191190532429
195,16/6/9,-0.0018525473827
196,16/6/10,-0.00197259696481
