,date,Alpha
0,15/8/31,-0.00577376736394
1,15/9/1,-0.00542116106884
2,15/9/2,-0.00513169706167
3,15/9/3,-0.00538904604352
4,15/9/4,-0.00521787848233
5,15/9/8,-0.00456386476782
6,15/9/9,-0.0045673675221
7,15/9/10,-0.00458658411764
8,15/9/11,-0.00419651336465
9,15/9/14,-0.00395925070699
10,15/9/15,-0.00395981294318
11,15/9/16,-0.00360089043987
12,15/9/17,-0.00315232246663
13,15/9/18,-0.00253010253086
14,15/9/21,-0.0024565395034
15,15/9/22,-0.00203849069736
16,15/9/23,-0.00210674828215
17,15/9/24,-0.00215359387684
18,15/9/25,-0.00173143334423
19,15/9/28,-0.00173240786887
20,15/9/29,-0.0012327446045
21,15/9/30,-0.00135878722316
22,15/10/1,-0.00112542548199
23,15/10/2,-0.00125397784596
24,15/10/5,-0.00144544573152
25,15/10/6,-0.00123685855925
26,15/10/7,-0.00132011279141
27,15/10/8,-0.00135726209726
28,15/10/9,-0.00127566067469
29,15/10/12,-0.00137683187576
30,15/10/13,-0.00131141858622
31,15/10/14,-0.00127834027464
32,15/10/15,-0.00108703355979
33,15/10/16,-0.00107537065
34,15/10/19,-0.00119405705717
35,15/10/20,-0.0014313022607
36,15/10/21,-0.00153784920243
37,15/10/22,-0.0015542659017
38,15/10/23,-0.00143898829198
39,15/10/26,-0.00136302766188
40,15/10/27,-0.00134489097013
41,15/10/28,-0.00120796723878
42,15/10/29,-0.000727000722779
43,15/10/30,-0.000701390622123
44,15/11/2,-0.00048286917855
45,15/11/3,-0.000503156408474
46,15/11/4,-0.000935133042736
47,15/11/5,-0.000977815632443
48,15/11/6,-0.000909324406604
49,15/11/9,-0.00106078683295
50,15/11/10,-0.00104475917954
51,15/11/11,-0.00108819239737
52,15/11/12,-0.0011300871691
53,15/11/13,-0.00091838832218
54,15/11/16,-0.000911537724516
55,15/11/17,-0.000912501907677
56,15/11/18,-0.000840600448707
57,15/11/19,-0.000841698228457
58,15/11/20,-0.000870324521518
59,15/11/23,-0.000854797022579
60,15/11/24,-0.000901207972518
61,15/11/25,-0.000863081855022
62,15/11/27,-0.000862935380516
63,15/11/30,-0.00087470179262
64,15/12/1,-0.000873051232647
65,15/12/2,-0.000793878172064
66,15/12/3,-0.000879601251989
67,15/12/4,-0.000930271765548
68,15/12/7,-0.000814697484321
69,15/12/8,-0.000728577838578
70,15/12/9,-0.000824363525114
71,15/12/10,-0.000961903176189
72,15/12/11,-0.000962920409689
73,15/12/14,-0.000949163814096
74,15/12/15,-0.00104688393734
75,15/12/16,-0.00127067724305
76,15/12/17,-0.00136272975693
77,15/12/18,-0.00129582424489
78,15/12/21,-0.00124085189424
