,date,Alpha
0,15/8/31,0.000575109763233
1,15/9/1,-0.000179665107583
2,15/9/2,0.000297476510552
3,15/9/3,0.000272871899004
4,15/9/4,0.000220773414762
5,15/9/8,0.000408315502201
6,15/9/9,0.000424643465925
7,15/9/10,0.000358535991887
8,15/9/11,0.000828738675228
9,15/9/14,-0.00183304509458
10,15/9/15,-0.00183286437213
11,15/9/16,-0.00155269309262
12,15/9/17,-0.00144385567254
13,15/9/18,-0.00102734224298
14,15/9/21,-0.00113335292588
15,15/9/22,-9.99794834552e-05
16,15/9/23,-0.000144915688177
17,15/9/24,-0.000145876984903
18,15/9/25,-0.000499022648807
19,15/9/28,0.000913303789766
20,15/9/29,0.000451469104872
21,15/9/30,0.000258846262749
22,15/10/1,-0.000500847840154
23,15/10/2,-0.000311816596527
24,15/10/5,-0.000330820837275
25,15/10/6,-0.000638418083077
26,15/10/7,-0.0010181226327
27,15/10/8,-0.000872988725294
28,15/10/9,-0.000564902341192
29,15/10/12,-0.000895780531634
30,15/10/13,-0.000874035917744
31,15/10/14,-0.000797579307141
32,15/10/15,-0.000745921369771
33,15/10/16,-0.000851049450392
34,15/10/19,-0.000817451470511
35,15/10/20,-0.000833901185482
36,15/10/21,-0.000667117674719
37,15/10/22,-0.000746808925199
38,15/10/23,-0.00072992626688
39,15/10/26,-0.000930294680213
40,15/10/27,-0.00125869878621
41,15/10/28,-0.0010741066946
42,15/10/29,-0.000653435034935
43,15/10/30,-0.00077997981507
44,15/11/2,-0.000717366804922
45,15/11/3,-0.000657907343585
46,15/11/4,-0.000975210856737
47,15/11/5,-0.00103618408873
48,15/11/6,-0.0010024652645
49,15/11/9,-0.00107671447458
50,15/11/10,-0.00104676226844
51,15/11/11,-0.000952986815062
52,15/11/12,-0.00094533859617
53,15/11/13,-0.00086273470531
54,15/11/16,-0.000739284361711
55,15/11/17,-0.000869931867801
56,15/11/18,-0.000916524379453
57,15/11/19,-0.000933467254576
58,15/11/20,-0.000928839064031
59,15/11/23,-0.000989317760612
60,15/11/24,-0.00104664887575
61,15/11/25,-0.00112991614275
62,15/11/27,-0.00121671319207
63,15/11/30,-0.00120507077275
64,15/12/1,-0.00118246090985
65,15/12/2,-0.00131978440082
66,15/12/3,-0.00197198190605
67,15/12/4,-0.00193742752567
68,15/12/7,-0.00173227611519
69,15/12/8,-0.00245444398269
70,15/12/9,-0.00270321506085
71,15/12/10,-0.00276808113902
72,15/12/11,-0.00277104475247
73,15/12/14,-0.00280157661242
74,15/12/15,-0.00275487307195
75,15/12/16,-0.00244658792012
76,15/12/17,-0.00259687205439
77,15/12/18,-0.00235943492483
78,15/12/21,-0.0022479796949
79,15/12/22,-0.00225115204036
80,15/12/23,-0.00232313701444
81,15/12/24,-0.00192177059889
82,15/12/28,-0.00193225523513
83,15/12/29,-0.0019866511154
84,15/12/30,-0.00201941993129
85,15/12/31,-0.00194190423514
86,16/1/4,-0.00195598741974
87,16/1/5,-0.00211395444331
88,16/1/6,-0.0020307855904
89,16/1/7,-0.0020836729658
90,16/1/8,-0.00207796085606
91,16/1/11,-0.00205954598087
92,16/1/12,-0.00195759720282
93,16/1/13,-0.00158663675915
94,16/1/14,-0.00177809874676
95,16/1/15,-0.00196149999366
96,16/1/19,-0.00191847771019
97,16/1/20,-0.0024433286752
98,16/1/21,-0.00231331231834
99,16/1/22,-0.00229351238054
100,16/1/25,-0.00234174848189
101,16/1/26,-0.00230912676352
102,16/1/27,-0.00234336506858
103,16/1/28,-0.0028883138904
104,16/1/29,-0.0031372628723
105,16/2/1,-0.0028763051335
106,16/2/2,-0.00269798223223
107,16/2/3,-0.00247453986585
108,16/2/4,-0.00268418287196
109,16/2/5,-0.0026979218418
110,16/2/8,-0.00278139954917
111,16/2/9,-0.002795830518
112,16/2/10,-0.00272155469417
113,16/2/11,-0.00275532641255
114,16/2/12,-0.00273963363652
115,16/2/16,-0.00268353506127
116,16/2/17,-0.00273742397624
117,16/2/18,-0.00267194564341
118,16/2/19,-0.00261364301517
119,16/2/22,-0.00276783796814
120,16/2/23,-0.0028216368096
121,16/2/24,-0.00296834815715
122,16/2/25,-0.00313635470159
123,16/2/26,-0.00313226691651
124,16/2/29,-0.00335634233451
125,16/3/1,-0.00343864058174
126,16/3/2,-0.00333907439882
127,16/3/3,-0.00356170191246
128,16/3/4,-0.00380190078127
129,16/3/7,-0.00382120562326
130,16/3/8,-0.00385080949378
131,16/3/9,-0.00407898802228
