Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage
AA,Alcoa Inc.,-479,USD,42.44,41.74,0.04,-335.30,20328.76,-1.68
AAP,Advance Auto Parts Inc.,191,USD,103.295,103.89,0.27,-113.65,19729.345,-0.57
AES,The AES Corporation,1853,USD,10.72,10.79,0.00,-129.71,19864.16,-0.65
AIV,Apartment Investment & Management Company,453,USD,43.88,44.02,0.00,-63.42,19877.64,-0.32
ALGN,"Align Technology, Inc.",-79,USD,234.37,253.01,0.00,"1,472.56",18515.23,7.37
ALLY,Ally Financial Inc.,-735,USD,29.16,27.2,0.00,"-1,440.60",21432.6,-7.21
ALNY,"Alnylam Pharmaceuticals, Inc.",-147,USD,127.29,137.16,0.00,"1,450.89",18711.63,7.20
ANET,Arista Networks,-87,USD,218.25,228.67,0.00,906.54,18987.75,4.56
APA,Apache Corporation,449,USD,39.72,44.74,0.00,"-2,253.98",17834.28,-11.22
ATHN,"athenahealth, Inc.",-151,USD,131.47,131.95,0.00,72.48,19851.97,0.36
AVY,Avery Dennison Corporation,-177,USD,114.46,112.77,0.00,-299.13,20259.42,-1.50
BBBY,Bed Bath & Beyond Inc.,825,USD,23.3,24.14,0.12,-693.00,19222.5,-3.48
BGCP,BGC Partners Inc. ,-1226,USD,16.4,16.31,0.00,-110.34,20106.4,-0.55
BHF,Brighthouse Financial Inc.,342,USD,59.98,58.62,0.00,465.12,20513.16,2.32
BKI,Black Knight Inc.,-446,USD,45.1,44.85,0.00,-111.50,20114.6,-0.56
CBOE,Cboe Global Markets Inc. ,-161,USD,127.62,123.88,0.00,-602.14,20546.82,-3.02
CC,The Chemours Co,-394,USD,48.07,50.74,0.00,"1,051.98",18939.58,5.26
CGNX,Cognex Corporation,-290,USD,63.41,68.875,0.00,"1,584.85",18388.9,7.93
COHR,Coherent Inc. ,-70,USD,286.8,285.9,0.00,-63.00,20076,-0.31
CSX,CSX Corp,-357,USD,57.26,55.86,0.28,-499.80,20441.82,-2.51
CTL,CenturyLink Inc.,1368,USD,15.7,14.68,0.00,"1,395.36",21477.6,6.95
CVS,CVS Caremark Corporation,280,USD,72.46,71.5,-0.39,268.80,20288.8,1.34
DDR,DDR Corp.,2541,USD,7.88,7.87,0.00,25.41,20023.08,0.13
DHI,D. R. Horton Inc.,-396,USD,50,50.32,0.00,126.72,19800,0.64
DISCA,Discovery Communications Inc. ,959,USD,19.65,20.73,0.00,"-1,035.72",18844.35,-5.21
DISCK,Discovery Communications Inc. ,1015,USD,18.32,19.56,0.00,"-1,258.60",18594.8,-6.34
DKS,Dick's Sporting Goods Inc.,660,USD,30.3,30.12,0.24,118.80,19998,0.60
DLPH,Delphi Automotive PLC,1200,USD,50.68,50.62,0.00,72.00,60816,0.12
ENDP,Endo International plc ,2702,USD,7.88,7.4,0.00,"1,296.96",21291.76,6.49
EVHC,Envision Healthcare Corp,630,USD,33.4,31.64,0.00,"1,108.80",21042,5.56
EXEL,Exelixis Inc. ,-712,USD,26.84,28.1,0.00,897.12,19110.08,4.48
FL,Foot Locker Inc.,439,USD,44.95,45.95,0.38,-439.00,19733.05,-2.18
FMC,FMC Corporation,-214,USD,90.15,93.32,0.00,678.38,19292.1,3.40
FNF,Fidelity National Financial Inc.,-493,USD,40.23,40.48,0.00,123.25,19833.39,0.62
GDI,Gardner Denver Inc.,-617,USD,31.68,32.39,0.00,438.07,19546.56,2.19
GE,General Electric Company,1113,USD,17.9363,17.95,0.03,-15.25,19963.1019,-0.08
HAL,Halliburton Company,442,USD,45.175,45.05,-0.07,55.25,19967.35,0.28
HES,Hess Corporation,422,USD,45.41,47.64,0.00,-941.06,19163.02,-4.68
HLF,Herbalife Ltd.,-285,USD,70.01,69.97,0.00,-11.40,19952.85,-0.06
HUN,Huntsman Corporation,-631,USD,31.72,31.65,0.00,-44.17,20015.32,-0.22
IAC,IAC/InterActiveCorp,-161,USD,119.13,123.97,0.00,779.24,19179.93,3.90
ILMN,"Illumina, Inc.",-88,USD,212.64,225.33,0.00,"1,116.72",18712.32,5.63
INT,World Fuel Services Corporation,697,USD,27.5,28.67,0.00,-815.49,19167.5,-4.08
INVH,Invitation Homes Inc.,-854,USD,23.68,23.42,0.00,-222.04,20222.72,-1.11
IPGP,IPG Photonics Corporation,-89,USD,204.98,223.3,0.00,"1,630.48",18243.22,8.20
ISRG,Intuitive Surgical Inc. ,-50,USD,370.49,395.37,0.00,"1,244.00",18524.5,6.29
KIM,Kimco Realty Corporation,1048,USD,18.41,19.1,0.00,-723.12,19293.68,-3.61
LRCX,Lam Research Corporation,-106,USD,181.57,187.4,0.00,617.98,19246.42,3.11
MAC,Macerich Co.,305,USD,66.47,65.55,0.00,280.60,20273.35,1.40
MNK,Mallinckrodt Public Limited Company,898,USD,24.06,22.34,0.00,"1,544.56",21605.88,7.70
MTCH,Match Group Inc. ,-706,USD,28.37,28.33,0.00,-28.24,20029.22,-0.14
MU,Micron Technology Inc. ,-483,USD,42.7,41.48,0.84,-589.26,20624.1,-2.94
NBIX,Neurocrine Biosciences Inc. ,-272,USD,70.11,73.31,0.00,870.40,19069.92,4.37
NBL,Noble Energy Inc.,725,USD,26.85,27.45,0.00,-435.00,19466.25,-2.19
NBR,Nabors Industries Ltd.,3062,USD,6.01,6.61,0.00,"-1,837.20",18402.62,-9.08
NRG,NRG Energy Inc.,-713,USD,28.7,28.03,0.00,-477.71,20463.1,-2.39
NVDA,NVIDIA Corporation,-101,USD,192.04,196.74,1.20,474.70,19396.04,2.39
OC,Owens Corning,-228,USD,86.98,87.48,0.00,114.00,19831.44,0.57
OII,Oceaneering International Inc.,984,USD,19.26,20.27,0.00,-993.84,18951.84,-4.98
OLED,"Cambridge Display Technology, Inc.",-114,USD,169.5,175.25,0.00,655.50,19323,3.28
OLN,Olin Corporation,-575,USD,34.29,34.78,0.00,281.75,19716.75,1.41
ON,ON Semiconductor Corporation ,-1012,USD,19.36,19.71,0.00,354.20,19592.32,1.78
OPK,Opko Health Inc.,3838,USD,5.1,5.22,0.00,-460.56,19573.8,-2.30
PHM,PulteGroup Inc.,-591,USD,33.69,33.79,0.00,59.10,19910.79,0.30
QEP,QEP Resources Inc.,1915,USD,9.08,10.43,0.00,"-2,585.25",17388.2,-12.94
RIG,Transocean Ltd.,1826,USD,10.135,10.89,-0.02,"-1,378.63",18506.51,-6.93
RRC,Range Resources Corporation,1066,USD,16.35,18.59,0.00,"-2,387.84",17429.1,-12.05
RSPP,RSP Permian Inc.,533,USD,37.09,37.52,0.00,-229.19,19768.97,-1.15
S,Sprint Corporation,3338,USD,5.66,5.99,-0.02,"-1,101.54",18893.08,-5.51
SBH,Sally Beauty Holdings Inc.,1154,USD,16.37,17.22,0.00,-980.90,18890.98,-4.94
SCG,SCANA Corporation,455,USD,42.79,43.92,0.00,-514.15,19469.45,-2.57
SIG,Signet Jewelers Limited,394,USD,53.4499,50.56,0.43,"1,138.62",21059.2606,5.72
SIRI,Sirius XM Holdings Inc. ,3558,USD,5.69,5.63,0.00,213.48,20245.02,1.07
SIVB,SVB Financial Group,-88,USD,234.9,227.18,0.00,-679.36,20671.2,-3.40
SKT,Tanger Factory Outlet Centers Inc.,792,USD,25.53,25.28,0.00,198.00,20219.76,0.99
SPB,Spectrum Brand Holdings Inc.,173,USD,110.78,115.4,0.00,-799.26,19164.94,-4.00
SPLK,Splunk Inc.,-250,USD,80.17,79.77,0.00,-100.00,20042.5,-0.50
SQ,Square Inc.,-526,USD,38.08,38,0.00,-42.08,20030.08,-0.21
TCO,Taubman Centers Inc.,332,USD,62.59,60.17,0.00,803.44,20779.88,4.02
TEAM,Atlassian Corporation Plc ,-426,USD,45.46,46.66,0.00,511.20,19365.96,2.57
TGT,Target Corporation,320,USD,61.47,62.23,0.45,-243.20,19670.4,-1.22
THO,Thor Industries Inc.,-133,USD,149.885,150.26,0.49,49.88,19934.705,0.25
TRMB,Trimble Inc. ,-476,USD,40.8,41.99,0.00,566.44,19420.8,2.83
TSRO,Tesaro Inc.,231,USD,81.44,87.16,0.00,"-1,321.32",18812.64,-6.56
UA,Under Armour Inc.,1661,USD,12.4,12.05,0.02,581.35,20596.4,2.90
UAA,Under Armour Inc.,1486,USD,13.66,13.42,0.07,356.64,20298.76,1.79
UNIT,Kemper Corp,1196,USD,17.83,16.72,0.00,"1,327.56",21324.68,6.64
VST,Vistra Energy Corp,-1069,USD,18.07,18.65,0.00,620.02,19316.83,3.11
W,Wayfair,-284,USD,72.86,70.31,0.41,-724.20,20692.24,-3.63
WBA,Walgreens Boots Alliance Inc. ,283,USD,71.57,70.54,-0.44,291.49,20254.31,1.46
WDAY,Workday Inc. ,-199,USD,102.49,100.2,0.00,-455.71,20395.51,-2.29
