"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",38.27,38.509998,36.860001,37.310001,249000,37.310001
"2015-01-05",37.169998,38.139999,36.889999,37.07,375800,37.07
"2015-01-06",37.09,37.599998,35.959999,36.130001,415000,36.130001
"2015-01-07",36.419998,37.369999,35.75,37.279999,345500,37.279999
"2015-01-08",37.689999,39.049999,37.5,38.959999,457600,38.959999
"2015-01-09",38.970001,39.209999,38.130001,38.41,201900,38.41
"2015-01-12",38.509998,38.970001,38.02,38.560001,243000,38.560001
"2015-01-13",39.259998,40.439999,37.849998,38.810001,338800,38.810001
"2015-01-14",38.369999,38.700001,37.939999,38.25,234500,38.25
"2015-01-15",38.5,38.5,36.889999,37.110001,300100,37.110001
"2015-01-16",36.990002,37.959999,36.869999,37.919998,236400,37.919998
"2015-01-20",38.029999,38.450001,37.5,37.869999,239000,37.869999
"2015-01-21",37.689999,38.450001,37.450001,37.810001,245700,37.810001
"2015-01-22",38.16,39,37.48,38.939999,276200,38.939999
"2015-01-23",39.009998,39.950001,38.849998,39.48,364800,39.48
"2015-01-26",39.599998,40.209999,38.869999,39.57,407500,39.57
"2015-01-27",39.029999,39.860001,38.540001,38.630001,401100,38.630001
"2015-01-28",53.48,53.889999,49.189999,49.939999,3598900,49.939999
"2015-01-29",49.650002,53.599998,49.630001,52.25,1276600,52.25
"2015-01-30",51.830002,52.98,51.130001,51.740002,772500,51.740002
"2015-02-02",51.73,52.360001,50.900002,51.860001,628100,51.860001
"2015-02-03",52.34,52.93,51.18,52.889999,482300,52.889999
"2015-02-04",52.799999,55.009998,52.799999,54.150002,580400,54.150002
"2015-02-05",54.57,55.889999,54.200001,55.52,361800,55.52
"2015-02-06",55.740002,57.950001,55.400002,57.939999,668700,57.939999
"2015-02-09",57.830002,58.43,56.360001,56.810001,447600,56.810001
"2015-02-10",56.959999,57.720001,56.810001,57.689999,302700,57.689999
"2015-02-11",57.799999,59.389999,57.709999,58.900002,472800,58.900002
"2015-02-12",59.48,61.110001,58.060001,59.93,812100,59.93
"2015-02-13",60.310001,61.740002,59.799999,60.389999,556200,60.389999
"2015-02-17",60.98,61.5,60.209999,60.619999,517800,60.619999
"2015-02-18",60.709999,61.450001,59.5,60.57,657400,60.57
"2015-02-19",60.5,60.950001,60.25,60.52,373400,60.52
"2015-02-20",60.619999,60.650002,59.720001,60.349998,452000,60.349998
"2015-02-23",60.32,61.43,60.32,61.119999,471500,61.119999
"2015-02-24",61.02,61.200001,60.07,60.919998,295600,60.919998
"2015-02-25",61.07,61.23,59.66,60.169998,294800,60.169998
"2015-02-26",60.290001,61.939999,60.029999,61,701800,61
"2015-02-27",60.529999,61.529999,60.360001,60.790001,543000,60.790001
"2015-03-02",61.549999,62.650002,60.669998,62.189999,665000,62.189999
"2015-03-03",62.48,62.82,59.959999,60.150002,665600,60.150002
"2015-03-04",59.98,61.529999,59.689999,61.240002,305700,61.240002
"2015-03-05",61.549999,62,61.189999,61.380001,254100,61.380001
"2015-03-06",61.259998,61.860001,60.220001,60.349998,251400,60.349998
"2015-03-09",60.259998,60.91,59.880001,59.91,364700,59.91
"2015-03-10",59.57,59.639999,58.349998,59.09,329500,59.09
"2015-03-11",59.130001,59.450001,58.310001,58.700001,423500,58.700001
"2015-03-12",59.290001,61.630001,58.93,61.259998,519200,61.259998
"2015-03-13",61.290001,62.349998,60.18,60.860001,362800,60.860001
"2015-03-16",61.360001,62.279999,61,61.240002,332200,61.240002
"2015-03-17",61.23,61.630001,59.139999,60.119999,495100,60.119999
"2015-03-18",59.549999,60.830002,59.169998,60.439999,369000,60.439999
"2015-03-19",60.27,61.43,60.150002,61.099998,232400,61.099998
"2015-03-20",61.450001,61.57,59.91,60,588500,60
"2015-03-23",59.810001,61.48,59.540001,61.43,599200,61.43
"2015-03-24",66.660004,74.699997,66.599998,72.480003,3202600,72.480003
"2015-03-25",72.120003,73.480003,69.620003,70.519997,967600,70.519997
"2015-03-26",71,71.010002,68.669998,69.029999,523700,69.029999
"2015-03-27",68.779999,70.75,68.510002,70.309998,336700,70.309998
"2015-03-30",71,74.32,71,73.470001,548400,73.470001
"2015-03-31",73.309998,73.309998,70.68,71.580002,502000,71.580002
"2015-04-01",71.139999,71.269997,68.550003,69.919998,461000,69.919998
"2015-04-02",70.269997,70.889999,69.559998,70.720001,408500,70.720001
"2015-04-06",70.440002,71.540001,69.709999,70.870003,301700,70.870003
"2015-04-07",70.5,71.730003,69.339996,69.730003,388400,69.730003
"2015-04-08",70.080002,71.080002,69.330002,69.629997,580900,69.629997
"2015-04-09",69.699997,70.57,68.629997,69.800003,653000,69.800003
"2015-04-10",70.150002,70.360001,69.040001,69.349998,407000,69.349998
"2015-04-13",69.449997,69.940002,67.669998,67.989998,505700,67.989998
"2015-04-14",67.849998,68.419998,66.980003,67.489998,444800,67.489998
"2015-04-15",67.599998,67.989998,67.129997,67.449997,428900,67.449997
"2015-04-16",67.110001,68.519997,66.970001,68.300003,454800,68.300003
"2015-04-17",67.5,67.879997,66.239998,67.290001,359000,67.290001
"2015-04-20",67.669998,69.339996,67.43,69.330002,362600,69.330002
"2015-04-21",69.400002,69.910004,69.110001,69.709999,241600,69.709999
"2015-04-22",69.449997,69.690002,68.209999,69.309998,234600,69.309998
"2015-04-23",68.970001,69.769997,68.779999,69.57,287600,69.57
"2015-04-24",69.650002,69.720001,68.629997,68.830002,398300,68.830002
"2015-04-27",68.860001,69.449997,65.75,66,443600,66
"2015-04-28",66,67.699997,63.790001,66.93,591800,66.93
"2015-04-29",66.620003,66.779999,63.619999,65.489998,442800,65.489998
"2015-04-30",65,65.449997,63.040001,63.220001,422700,63.220001
"2015-05-01",63.25,64.599998,63.25,63.790001,484600,63.790001
"2015-05-04",64.150002,65.5,63.580002,65.139999,519200,65.139999
"2015-05-05",74.57,76.900002,71.580002,75.470001,2845000,75.470001
"2015-05-06",76.080002,76.419998,72,73.839996,1082300,73.839996
"2015-05-07",73.82,74,69.309998,69.720001,1525800,69.720001
"2015-05-08",69.029999,70,63.560001,67.370003,1860500,67.370003
"2015-05-11",67.089996,67.879997,66.519997,66.559998,487200,66.559998
"2015-05-12",66.040001,68.610001,65.129997,68.559998,705900,68.559998
"2015-05-13",68.589996,68.68,65.949997,66.25,542400,66.25
"2015-05-14",66.419998,68.510002,66.110001,68.309998,486600,68.309998
"2015-05-15",68.5,68.779999,66.449997,67.449997,357600,67.449997
"2015-05-18",67.029999,69.080002,67.029999,68.660004,416400,68.660004
"2015-05-19",68.449997,69.739998,67.970001,68.010002,332500,68.010002
"2015-05-20",67.75,68.080002,64.279999,66.849998,635000,66.849998
"2015-05-21",66.669998,67.239998,64.480003,65.07,601600,65.07
"2015-05-22",64.769997,65.199997,63.200001,63.450001,739900,63.450001
"2015-05-26",62.509998,63.07,59.5,60.740002,1615100,60.740002
"2015-05-27",61.07,62.150002,60.110001,61.849998,1072500,61.849998
"2015-05-28",61.32,61.939999,60.060001,60.57,677600,60.57
"2015-05-29",60.5,60.880001,59.599998,59.720001,758200,59.720001
"2015-06-01",61.029999,61.07,59.43,60.34,723600,60.34
"2015-06-02",59.59,59.959999,59.040001,59.66,525400,59.66
"2015-06-03",61.02,62.080002,59.73,62.049999,778100,62.049999
"2015-06-04",61.759998,64.220001,61.400002,63.310001,1446800,63.310001
"2015-06-05",62.91,63.98,62.09,63.82,688500,63.82
"2015-06-08",64.489998,64.489998,63.040001,63.099998,536000,63.099998
"2015-06-09",63.169998,63.669998,60.880001,61.509998,500300,61.509998
"2015-06-10",61.509998,63.189999,61.09,63,586300,63
"2015-06-11",63.060001,63.549999,62.48,63.439999,327300,63.439999
"2015-06-12",63.220001,63.700001,62.740002,63.650002,312100,63.650002
"2015-06-15",63.459999,65.120003,62.709999,65.019997,610800,65.019997
"2015-06-16",65,66.18,64.440002,65.709999,528200,65.709999
"2015-06-17",65.980003,66.440002,65.470001,65.650002,489000,65.650002
"2015-06-18",65.589996,67.459999,65.510002,67.160004,450900,67.160004
"2015-06-19",67.150002,68.5,67.010002,67.730003,688200,67.730003
"2015-06-22",68.339996,69.330002,67.449997,68.360001,385900,68.360001
"2015-06-23",68.230003,69.019997,67,67.400002,501700,67.400002
"2015-06-24",66.900002,67.379997,66.300003,66.650002,460100,66.650002
"2015-06-25",66.790001,66.989998,65.370003,66.050003,295200,66.050003
"2015-06-26",66.089996,66.910004,65.720001,66.75,488300,66.75
"2015-06-29",66.010002,67.110001,65.290001,65.330002,468400,65.330002
"2015-06-30",66,66.150002,64.769997,65.730003,522600,65.730003
"2015-07-01",66.419998,66.599998,65.25,66.160004,516000,66.160004
"2015-07-02",66.160004,66.190002,64.080002,65.209999,336400,65.209999
"2015-07-06",64.730003,65.949997,64.160004,65.699997,488500,65.699997
"2015-07-07",65.690002,65.839996,64.260002,65.68,615600,65.68
"2015-07-08",65.099998,65.489998,64.029999,64.389999,512300,64.389999
"2015-07-09",65.089996,66.650002,65,65.720001,743900,65.720001
"2015-07-10",66.720001,68.120003,66,68.040001,583700,68.040001
"2015-07-13",68.519997,68.989998,67.370003,67.910004,330300,67.910004
"2015-07-14",67.970001,69.580002,67.970001,69.019997,619200,69.019997
"2015-07-15",69,69.209999,67,67.550003,820300,67.550003
"2015-07-16",68,69.239998,67.82,68.839996,288100,68.839996
"2015-07-17",69.089996,72.900002,69.010002,72.330002,814300,72.330002
"2015-07-20",72.959999,72.989998,71.110001,72.120003,413300,72.120003
"2015-07-21",72,76.599998,71.699997,75.580002,1083600,75.580002
"2015-07-22",75.5,76.029999,72.25,75.18,709800,75.18
"2015-07-23",75.330002,75.800003,73,73.190002,529700,73.190002
"2015-07-24",73.599998,74.290001,72.910004,73.099998,581400,73.099998
"2015-07-27",72.720001,73.269997,71.089996,72.720001,525500,72.720001
"2015-07-28",73.18,74.199997,72.239998,74.120003,562100,74.120003
"2015-07-29",74.699997,76.050003,73.599998,75.620003,694100,75.620003
"2015-07-30",75.449997,78.690002,74.510002,77.260002,918400,77.260002
"2015-07-31",77.459999,79.370003,76.75,77.459999,922300,77.459999
"2015-08-03",77.949997,79.400002,76.230003,77.400002,926000,77.400002
"2015-08-04",85.730003,92.290001,84.279999,88.800003,2864100,88.800003
"2015-08-05",89.089996,93.290001,89.019997,92.889999,1440100,92.889999
"2015-08-06",92.5,97.720001,92.489998,94.32,1636700,94.32
"2015-08-07",93.150002,95.839996,93,95.68,1021000,95.68
"2015-08-10",97.690002,100.239998,95.019997,95.57,1374700,95.57
"2015-08-11",97.010002,101.239998,95.599998,100.949997,1371300,100.949997
"2015-08-12",100,102.150002,98.019997,100.650002,1218100,100.650002
"2015-08-13",100.5,110.68,99.800003,105.75,1889800,105.75
"2015-08-14",105.269997,105.739998,101.760002,103.919998,1033700,103.919998
"2015-08-17",103.910004,107.879997,103.290001,106.449997,723800,106.449997
"2015-08-18",107.480003,107.760002,104.279999,104.93,689600,104.93
"2015-08-19",103.879997,105.900002,102.019997,104.550003,805300,104.550003
"2015-08-20",103.980003,104.440002,101.629997,102.190002,702300,102.190002
"2015-08-21",99.739998,99.739998,93.150002,97.080002,1388700,97.080002
"2015-08-24",88.769997,94.57,86.160004,94.57,1405800,94.57
"2015-08-25",98.239998,98.489998,93.589996,93.879997,732300,93.879997
"2015-08-26",96.260002,97.5,94.029999,97.290001,613700,97.290001
"2015-08-27",99.019997,100,96.839996,98.199997,623700,98.199997
"2015-08-28",97.410004,98.709999,95.760002,98.230003,498500,98.230003
"2015-08-31",97.5,100,95.769997,95.900002,495800,95.900002
"2015-09-01",94.059998,96.169998,92.010002,92.779999,651500,92.779999
"2015-09-02",94.040001,95.709999,93.019997,95.610001,699300,95.610001
"2015-09-03",96.050003,97.980003,93.800003,94.160004,563900,94.160004
"2015-09-04",92.870003,94.57,92.550003,93.82,438500,93.82
"2015-09-08",95.610001,96.639999,94.150002,96.199997,522500,96.199997
"2015-09-09",97.139999,98.900002,93.870003,94.169998,472400,94.169998
"2015-09-10",93.68,96.25,93.68,95.370003,299900,95.370003
"2015-09-11",94.510002,96.379997,94.370003,95.57,345000,95.57
"2015-09-14",96.089996,98,95.300003,96.68,448000,96.68
"2015-09-15",96.68,101.199997,96.010002,100.290001,648100,100.290001
"2015-09-16",100.260002,100.260002,97,98.400002,543500,98.400002
"2015-09-17",98.580002,107.879997,98.400002,104.080002,864300,104.080002
"2015-09-18",102.559998,105.629997,101.559998,104.18,787100,104.18
"2015-09-21",105.440002,106.419998,101.32,103.019997,755400,103.019997
"2015-09-22",101.220001,103.480003,100.019997,102.720001,436300,102.720001
"2015-09-23",103.5,104.980003,102.019997,102.400002,580800,102.400002
"2015-09-24",101.610001,102.709999,95,97.489998,832000,97.489998
"2015-09-25",99.160004,99.260002,93.379997,95.110001,776400,95.110001
"2015-09-28",94.400002,94.980003,88.010002,93.160004,1624100,93.160004
"2015-09-29",92.980003,94.099998,87.779999,89.029999,801300,89.029999
"2015-09-30",90.300003,93.199997,89.839996,92.760002,762800,92.760002
"2015-10-01",92.75,92.75,88.239998,89.209999,613700,89.209999
"2015-10-02",88.330002,90.300003,85.330002,90.300003,702300,90.300003
"2015-10-05",91.540001,92.949997,90.290001,91.839996,533400,91.839996
"2015-10-06",91.800003,92.760002,82.150002,83.709999,938800,83.709999
"2015-10-07",84,85.650002,82.800003,84.959999,738600,84.959999
"2015-10-08",84.190002,84.760002,77.699997,82.510002,1143800,82.510002
"2015-10-09",82.209999,84.660004,80.459999,83.629997,587800,83.629997
"2015-10-12",83.209999,84.050003,82.199997,82.980003,513200,82.980003
"2015-10-13",82.5,84.870003,81.970001,82.730003,465800,82.730003
"2015-10-14",82.959999,86.93,81,85.589996,1025700,85.589996
"2015-10-15",85.830002,93,84.550003,92.830002,1449800,92.830002
"2015-10-16",93,94.959999,92.040001,93.110001,574800,93.110001
"2015-10-19",93.25,96.580002,93.139999,94.959999,566800,94.959999
"2015-10-20",95.089996,95.589996,93.739998,94.419998,520800,94.419998
"2015-10-21",95.059998,96.5,91.610001,93.540001,663000,93.540001
"2015-10-22",93.900002,93.900002,86.050003,87.760002,738800,87.760002
"2015-10-23",88.269997,93.639999,87.139999,92.760002,507200,92.760002
"2015-10-26",93.010002,94.540001,91.690002,92.919998,328200,92.919998
"2015-10-27",92.5,95.489998,92.5,94.129997,461400,94.129997
"2015-10-28",94.75,99.220001,92.580002,98.580002,776100,98.580002
"2015-10-29",84.959999,85.989998,68.25,70.400002,6292200,70.400002
"2015-10-30",72.989998,75.639999,72,73.660004,1884500,73.660004
"2015-11-02",73.760002,76.809998,72.209999,76.5,1018700,76.5
"2015-11-03",76.5,80.370003,75.050003,79.82,1193800,79.82
"2015-11-04",79.720001,80.959999,78.970001,80.279999,930600,80.279999
"2015-11-05",80.459999,82.199997,79.690002,81.610001,744000,81.610001
"2015-11-06",81.160004,82.800003,80.349998,81.089996,770600,81.089996
"2015-11-09",80.879997,80.980003,78.57,79.650002,466900,79.650002
"2015-11-10",79.68,82.25,79.059998,81.870003,578500,81.870003
"2015-11-11",82.510002,82.510002,79.660004,79.730003,367500,79.730003
"2015-11-12",79.110001,79.989998,77.400002,79.360001,412600,79.360001
"2015-11-13",79.160004,81.349998,78,80.120003,322300,80.120003
"2015-11-16",79.650002,80.720001,78.019997,78.769997,493200,78.769997
"2015-11-17",79.169998,80.389999,78.400002,79.010002,434100,79.010002
"2015-11-18",79.019997,79.150002,77.900002,78.790001,428400,78.790001
"2015-11-19",78.510002,78.739998,77.019997,78.190002,351500,78.190002
"2015-11-20",78.650002,81.75,78.269997,81.239998,511200,81.239998
"2015-11-23",80.959999,82.699997,80.120003,81.730003,306000,81.730003
"2015-11-24",81.050003,81.730003,80.190002,81.5,182400,81.5
"2015-11-25",81.339996,83.019997,81.089996,82.080002,263200,82.080002
"2015-11-27",82.379997,84.449997,82.379997,83.489998,170400,83.489998
"2015-11-30",83.279999,84.650002,81.449997,81.57,340000,81.57
"2015-12-01",81.75,84.239998,81.010002,83.839996,275300,83.839996
"2015-12-02",84.099998,85.800003,83.510002,84.720001,601300,84.720001
