"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",61.029999,61.360001,60,60.25,296700,55.235718
"2015-01-05",59.849998,60.200001,59.27,59.459999,357000,54.511459
"2015-01-06",59.610001,59.970001,59.009998,59.119999,359500,54.199753
"2015-01-07",59.599998,60.009998,59,59.509998,501200,54.557301
"2015-01-08",60.119999,60.75,60.02,60.59,271400,55.547417
"2015-01-09",60.669998,60.720001,59.959999,59.970001,283900,54.979023
"2015-01-12",60.080002,60.080002,59.299999,59.450001,319200,54.502296
"2015-01-13",59.810001,60.470001,59,59.34,289900,54.631184
"2015-01-14",58.75,59.57,58.150002,58.59,434500,53.940701
"2015-01-15",58.700001,59.43,58.48,58.68,497800,54.02356
"2015-01-16",58.560001,59.41,58.560001,59.330002,345000,54.621986
"2015-01-20",59.380001,59.689999,58.41,58.66,352700,54.005142
"2015-01-21",58.68,58.950001,58.130001,58.740002,203600,54.078793
"2015-01-22",59.16,60.119999,58.689999,60.119999,223900,55.349281
"2015-01-23",60.07,60.130001,59.470001,59.59,232300,54.861347
"2015-01-26",59.43,60.029999,59.040001,60.029999,230700,55.26643
"2015-01-27",59.43,59.889999,59.279999,59.580002,219700,54.852142
"2015-01-28",59.889999,59.959999,58.740002,58.75,306300,54.087997
"2015-01-29",58.830002,59.290001,58.310001,59.099998,313700,54.410233
"2015-01-30",58.639999,58.919998,57.970001,58.040001,272700,53.434345
"2015-02-02",57.509998,59.060001,57.5,58.900002,481300,54.226105
"2015-02-03",58.790001,60.84,58.779999,60.779999,586100,55.956921
"2015-02-04",60.810001,61.689999,60.599998,61.290001,452500,56.426449
"2015-02-05",61.650002,61.900002,61.18,61.790001,268300,56.886768
"2015-02-06",62,62.189999,61.639999,61.889999,383000,56.978832
"2015-02-09",61.66,61.98,61.549999,61.799999,337900,56.895969
"2015-02-10",62.369999,62.450001,61.650002,62.240002,348500,57.30106
"2015-02-11",62.389999,62.48,62,62.400002,259500,57.448364
"2015-02-12",62.619999,62.84,62.360001,62.810001,331600,57.825829
"2015-02-13",62.66,63.029999,62.490002,62.889999,242600,57.899487
"2015-02-17",62.98,63.470001,62.82,63.18,267000,58.166473
"2015-02-18",63.07,63.259998,62.77,63.130001,239200,58.12043
"2015-02-19",63.080002,63.27,62.73,63.119999,172900,58.111225
"2015-02-20",62.869999,63.540001,62.380001,63.509998,217500,58.47028
"2015-02-23",63.380001,63.380001,62.91,63.259998,196500,58.240116
"2015-02-24",63.16,63.610001,63.099998,63.32,285200,58.295361
"2015-02-25",63.330002,63.5,63,63.220001,215900,58.203293
"2015-02-26",63.110001,63.290001,62.91,63.110001,134600,58.102024
"2015-02-27",62.959999,63.349998,62.849998,63,154100,58.000755
"2015-03-02",63.07,63.799999,62.849998,63.720001,309700,58.663616
"2015-03-03",63.41,63.830002,62.880001,63.73,287500,58.672821
"2015-03-04",63.380001,63.419998,63.060001,63.32,235500,58.295361
"2015-03-05",63.360001,63.720001,63.209999,63.48,174500,58.442661
"2015-03-06",63.290001,63.959999,62.959999,63.099998,278100,58.092812
"2015-03-09",63.209999,63.490002,63.029999,63.27,252100,58.249325
"2015-03-10",62.720001,62.849998,62.240002,62.259998,206300,57.319469
"2015-03-11",62.220001,62.939999,62.07,62.939999,333500,57.945515
"2015-03-12",63.360001,64.010002,63.110001,63.98,257100,58.902985
"2015-03-13",63.900002,63.900002,63.099998,63.66,219800,58.608376
"2015-03-16",64.010002,64.699997,63.689999,64.540001,246500,59.418549
"2015-03-17",64.440002,64.660004,64.169998,64.550003,240600,59.427757
"2015-03-18",64.519997,65.25,64.139999,64.940002,275000,59.786808
"2015-03-19",64.830002,64.970001,64.260002,64.489998,162800,59.372509
"2015-03-20",64.709999,65.129997,64.279999,64.830002,601900,59.685532
"2015-03-23",64.830002,65.510002,64.830002,64.970001,360100,59.814434
"2015-03-24",64.980003,65.110001,64.550003,64.690002,250000,59.556648
"2015-03-25",64.68,65.120003,64.080002,64.080002,319500,58.995049
"2015-03-26",63.91,64.150002,63.560001,63.98,196600,58.902985
"2015-03-27",63.990002,64.040001,63.470001,63.720001,258200,58.663616
"2015-03-30",64.129997,64.75,63.98,64.489998,197700,59.372509
"2015-03-31",64.209999,64.279999,63.830002,64.150002,588300,59.059498
"2015-04-01",64.290001,64.290001,63.529999,64.139999,175600,59.050289
"2015-04-02",64.139999,64.559998,63.82,64.290001,270400,59.188393
"2015-04-06",64.290001,64.830002,64.059998,64.730003,325000,59.593483
"2015-04-07",64.779999,64.919998,64.260002,64.300003,261500,59.197598
"2015-04-08",64.290001,64.760002,64.279999,64.660004,242000,59.529026
