"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",74.610001,75.599998,74,75.5,1769500,70.753143
"2015-01-05",74.970001,75.059998,71.879997,72.059998,2378800,67.529404
"2015-01-06",72.629997,73.230003,70.629997,71.809998,3177200,67.295128
"2015-01-07",72.669998,73.879997,70.5,70.610001,3654600,66.170586
"2015-01-08",71.550003,74.410004,71.120003,74.269997,4010200,69.600471
"2015-01-09",74.110001,74.339996,72.220001,72.860001,2062700,68.279106
"2015-01-12",72.309998,72.309998,69.470001,70,2854600,65.598938
"2015-01-13",70.739998,70.879997,65.900002,66.669998,4757400,62.47831
"2015-01-14",66.260002,67.150002,64.160004,66.739998,5979400,62.543896
"2015-01-15",66.739998,68.540001,65.139999,67.970001,5968700,63.696564
"2015-01-16",68.620003,71.629997,68.290001,71.029999,5471900,66.564163
"2015-01-20",66.779999,73.190002,66.779999,72.150002,3842500,67.613754
"2015-01-21",72.419998,74.129997,72,74.080002,3262400,69.422417
"2015-01-22",74.419998,76.629997,73.860001,76.559998,3207900,71.746498
"2015-01-23",76.580002,80.300003,76.190002,79.620003,4752300,74.614105
"2015-01-26",79.82,81.059998,79,81,3219800,75.907349
"2015-01-27",80.839996,81.580002,79.879997,81.370003,3012300,76.254082
"2015-01-28",80.330002,83.120003,80.099998,81.849998,3900500,76.703903
"2015-01-29",82.419998,82.599998,78.839996,80.440002,4606500,75.382561
"2015-01-30",80.059998,83.07,79.660004,81.730003,3579500,76.591438
"2015-02-02",81.839996,82.669998,80.120003,82.510002,3914600,77.322395
"2015-02-03",84.139999,85.190002,82.809998,85.080002,4032900,79.730804
"2015-02-04",84.629997,85.699997,83.480003,85.209999,2462500,79.852654
"2015-02-05",86.470001,86.879997,84.699997,85.370003,2398500,80.002594
"2015-02-06",86.43,86.43,84.690002,85.360001,1999100,79.993217
"2015-02-09",85.440002,86.370003,84.580002,86.239998,1893500,80.817886
"2015-02-10",86.669998,89.18,86.110001,88.099998,4358200,82.560959
"2015-02-11",87.459999,88.339996,86.900002,87.290001,2830200,81.801872
"2015-02-12",83.730003,83.959999,79.769997,81.419998,9003400,76.300941
"2015-02-13",81.32,82.050003,79.900002,81.919998,5685400,76.769493
"2015-02-17",81.900002,83.809998,80.949997,83.260002,3124700,78.025246
"2015-02-18",83.300003,87.349998,82.889999,87.089996,5996200,81.614449
