Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,19.98,20.209999,19.889999,20.209999,19.173204,2407400
2017-01-04,20.200001,20.360001,20.049999,20.360001,19.31551,1997000
2017-01-05,20.16,20.34,20.01,20.120001,19.087822,1989400
2017-01-06,20.07,20.129999,19.940001,20.07,19.04038,1523200
2017-01-09,20.08,20.1,19.879999,20.07,19.04038,1470400
2017-01-10,20.1,20.367001,20.01,20.26,19.220638,1972600
2017-01-11,20.299999,20.34,20.110001,20.200001,19.163715,1526500
2017-01-12,20.200001,20.24,19.98,20.139999,19.106792,855400
2017-01-13,20.139999,20.24,20.059999,20.129999,19.097303,544200
2017-01-17,20.139999,20.275,20.030001,20.129999,19.097303,1284900
2017-01-18,20.120001,20.23,20.01,20.200001,19.163715,1061300
2017-01-19,20.200001,20.200001,20.0,20.049999,19.02141,742200
2017-01-20,20.049999,20.25,20.030001,20.209999,19.173204,1322400
2017-01-23,20.209999,20.360001,20.200001,20.32,19.277563,1394700
2017-01-24,20.309999,20.434999,20.209999,20.280001,19.239611,1246600
2017-01-25,20.219999,20.42,20.190001,20.41,19.362942,950800
2017-01-26,20.389999,20.68,20.35,20.639999,19.581142,1849200
2017-01-27,20.65,20.67,20.34,20.42,19.372433,963800
2017-01-30,20.33,20.360001,20.07,20.16,19.125769,1330200
2017-01-31,20.16,20.190001,19.959999,20.02,18.992952,1185300
2017-02-01,20.01,20.120001,19.610001,19.690001,18.773653,1292500
2017-02-02,19.719999,19.84,19.620001,19.790001,18.868999,1239500
2017-02-03,19.9,20.120001,19.860001,19.940001,19.012018,1197400
2017-02-06,19.93,20.093,19.83,19.85,18.926207,862100
2017-02-07,19.940001,20.16,19.83,19.950001,19.021557,942900
2017-02-08,19.950001,20.059999,19.82,20.01,19.078762,791200
2017-02-09,19.99,20.129999,19.91,20.129999,19.193176,850200
2017-02-10,20.129999,20.35,20.07,20.34,19.393404,1483600
2017-02-13,20.26,20.43,20.219999,20.41,19.460144,1013300
2017-02-14,20.280001,20.495001,20.17,20.469999,19.517349,1140200
2017-02-15,20.4,20.504999,20.200001,20.48,19.526888,1144200
2017-02-16,20.459999,20.625,20.360001,20.41,19.460144,1524900
2017-02-17,20.379999,20.41,20.23,20.24,19.298054,1542400
2017-02-21,20.24,20.530001,20.190001,20.459999,19.507816,1126100
2017-02-22,20.42,20.51,20.299999,20.379999,19.43154,743500
2017-02-23,20.4,20.49,20.15,20.16,19.221781,1302500
2017-02-24,20.1,20.23,20.049999,20.190001,19.250387,894200
2017-02-27,20.190001,20.299999,20.110001,20.219999,19.27899,1147600
2017-02-28,20.059999,20.145,19.451,19.639999,18.725981,6599800
2017-03-01,19.540001,19.790001,19.48,19.790001,18.965565,1508300
2017-03-02,19.690001,19.764999,19.57,19.65,18.831394,925800
2017-03-03,19.41,19.496,18.969999,19.059999,18.265978,1788600
2017-03-06,19.0,19.15,18.91,19.01,18.21806,1381200
2017-03-07,19.02,19.219999,18.98,19.139999,18.342644,1391200
2017-03-08,19.049999,19.15,18.780001,18.84,18.055141,1311900
2017-03-09,18.889999,18.964001,18.66,18.73,17.949722,1111300
2017-03-10,18.879999,18.93,18.530001,18.690001,17.91139,708700
2017-03-13,18.700001,18.85,18.639999,18.76,17.978474,874300
2017-03-14,18.76,18.83,18.66,18.77,17.988056,480700
2017-03-15,18.870001,19.125,18.83,19.049999,18.256392,959400
2017-03-16,19.049999,19.17,19.01,19.059999,18.265978,727900
2017-03-17,19.059999,19.120001,19.01,19.059999,18.265978,1255200
2017-03-20,19.120001,19.15,18.855,18.950001,18.160557,765900
2017-03-21,19.07,19.07,18.68,18.700001,17.920977,973000
2017-03-22,18.76,18.76,18.52,18.629999,17.853888,1133000
2017-03-23,18.620001,18.940001,18.620001,18.629999,17.853888,1083500
2017-03-24,18.639999,18.709999,18.540001,18.629999,17.853888,855000
2017-03-27,18.629999,18.707001,18.450001,18.549999,17.777224,1335700
2017-03-28,18.549999,18.65,18.469999,18.6,17.82514,956600
2017-03-29,18.6,18.780001,18.530001,18.780001,17.997639,971300
2017-03-30,18.809999,19.09,18.74,19.08,18.285143,972100
2017-03-31,18.98,19.110001,18.940001,19.1,18.400749,1212400
2017-04-03,19.08,19.09,18.91,19.01,18.314045,904200
2017-04-04,18.99,19.040001,18.860001,18.940001,18.246609,712000
2017-04-05,19.049999,19.09,18.85,18.870001,18.179173,1402500
2017-04-06,18.85,19.08,18.790001,19.07,18.371847,864500
2017-04-07,19.07,19.094999,18.889999,18.9,18.208071,980900
2017-04-10,18.879999,19.08,18.879999,19.059999,18.362215,836000
2017-04-11,19.059999,19.184,19.02,19.139999,18.439287,610600
2017-04-12,19.16,19.200001,19.02,19.07,18.371847,883500
2017-04-13,19.049999,19.094999,18.98,19.030001,18.333315,524500
2017-04-17,19.1,19.139999,19.02,19.129999,18.429653,749600
2017-04-18,19.120001,19.17,18.950001,19.02,18.323677,752900
2017-04-19,19.08,19.215,18.98,19.16,18.458555,806500
2017-04-20,19.209999,19.209999,19.01,19.18,18.477825,719100
2017-04-21,19.190001,19.200001,19.08,19.129999,18.429653,651000
2017-04-24,19.209999,19.209999,18.91,19.190001,18.487457,1001700
2017-04-25,19.23,19.389999,19.200001,19.32,18.612698,796700
2017-04-26,19.290001,19.48,19.23,19.360001,18.651234,786100
2017-04-27,19.43,19.5,19.280001,19.309999,18.603064,788500
2017-04-28,19.25,19.25,18.707001,18.73,18.138227,1376300
2017-05-01,18.799999,18.99,18.709999,18.9,18.302856,737600
2017-05-02,18.9,19.02,18.83,19.0,18.399698,821500
2017-05-03,19.01,19.030001,18.85,18.99,18.390015,968400
2017-05-04,18.99,19.0,18.799999,18.99,18.390015,961600
2017-05-05,19.01,19.280001,19.0,19.16,18.554644,973100
2017-05-08,19.15,19.15,18.700001,18.780001,18.186649,1026700
2017-05-09,18.83,18.870001,18.51,18.6,18.012335,956500
2017-05-10,18.59,18.690001,18.5,18.610001,18.02202,853000
2017-05-11,18.559999,18.620001,18.290001,18.620001,18.031704,1354000
2017-05-12,18.59,18.610001,18.41,18.459999,17.876757,684200
2017-05-15,18.5,18.74,18.48,18.629999,18.041386,882300
2017-05-16,18.629999,18.719999,18.5,18.52,17.934864,1115300
2017-05-17,18.469999,18.5,18.26,18.309999,17.731501,1572100
2017-05-18,18.41,18.77,18.33,18.690001,18.099493,1889000
2017-05-19,18.73,18.905001,18.65,18.780001,18.186649,669900
2017-05-22,18.809999,18.99,18.780001,18.82,18.225384,803600
2017-05-23,18.92,18.950001,18.785,18.809999,18.215698,787900
2017-05-24,18.889999,19.049999,18.84,19.049999,18.44812,1131700
2017-05-25,19.07,19.129999,18.75,18.799999,18.206017,813800
2017-05-26,18.799999,18.870001,18.74,18.84,18.244755,427000
2017-05-30,18.870001,18.91,18.750999,18.790001,18.196333,721500
2017-05-31,18.75,18.780001,18.584999,18.719999,18.22554,1263400
2017-06-01,18.77,18.93,18.66,18.860001,18.361843,794800
2017-06-02,18.860001,18.950001,18.799999,18.85,18.352108,590100
2017-06-05,18.85,18.93,18.76,18.809999,18.313164,764600
2017-06-06,18.809999,18.809999,18.559999,18.709999,18.215803,671100
2017-06-07,18.709999,18.75,18.625,18.690001,18.196333,821900
2017-06-08,18.690001,18.950001,18.629999,18.91,18.410522,718200
2017-06-09,18.959999,19.18,18.889999,19.040001,18.537088,1055200
2017-06-12,19.049999,19.209999,19.049999,19.120001,18.614975,930900
2017-06-13,19.139999,19.389999,19.0,19.389999,18.877844,1158900
2017-06-14,19.389999,19.459999,19.290001,19.4,18.887579,1015500
2017-06-15,19.299999,19.41,19.299999,19.34,18.829163,623000
2017-06-16,19.370001,19.370001,19.24,19.370001,18.858372,1280900
2017-06-19,19.360001,19.6,19.309999,19.59,19.072559,1086000
2017-06-20,19.540001,19.58,19.315001,19.469999,18.95573,816200
2017-06-21,19.48,19.530001,19.139999,19.24,18.731806,500000
2017-06-22,19.23,19.26,19.08,19.120001,18.614975,921000
2017-06-23,19.120001,19.219999,19.07,19.09,18.58577,2990900
2017-06-26,19.16,19.26,19.1,19.209999,18.702595,588100
2017-06-27,19.200001,19.25,19.01,19.02,18.517616,627900
2017-06-28,19.1,19.43,19.045,19.26,18.751276,1210000
2017-06-29,19.190001,19.190001,18.716,18.84,18.438105,858600
2017-06-30,18.879999,18.92,18.66,18.709999,18.310875,797200
2017-07-03,18.790001,19.07,18.74,19.030001,18.62405,437000
2017-07-05,18.969999,19.025999,18.690001,18.719999,18.320663,866800
2017-07-06,18.67,18.809999,18.469999,18.540001,18.144505,824000
2017-07-07,18.59,18.684999,18.511,18.59,18.193436,562900
2017-07-10,18.610001,18.645,18.32,18.32,17.929195,871600
2017-07-11,18.360001,18.43,18.290001,18.41,18.017277,669800
2017-07-12,18.51,18.712999,18.405001,18.42,18.027063,802400
2017-07-13,18.450001,18.530001,18.41,18.530001,18.134716,636100
2017-07-14,18.59,18.725,18.57,18.68,18.281515,1118500
2017-07-17,18.709999,19.059999,18.559999,18.870001,18.467463,1031500
2017-07-18,18.82,18.84,18.610001,18.610001,18.213011,888300
2017-07-19,18.639999,18.67,18.545,18.6,18.203224,769700
