"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",17.99,18.030001,17.68,17.9,48951100,17.21365
"2015-01-05",17.790001,17.809999,17.290001,17.379999,105605500,16.713585
"2015-01-06",17.42,17.440001,16.780001,16.860001,144912400,16.213526
"2015-01-07",17.139999,17.18,16.870001,16.940001,104603800,16.290461
"2015-01-08",17.16,17.34,17.1,17.290001,73388500,16.627039
"2015-01-09",17.379999,17.379999,16.950001,16.98,83538900,16.328924
"2015-01-12",17.02,17.030001,16.66,16.68,92762500,16.040428
"2015-01-13",16.82,16.889999,16.32,16.450001,100845400,15.819246
"2015-01-14",16,16.219999,15.77,16.040001,164779800,15.424968
"2015-01-15",15.59,15.76,15.15,15.2,193241300,14.617176
"2015-01-16",15.16,15.4,14.97,15.38,149802000,14.790275
"2015-01-20",15.59,15.63,15.2,15.26,115907600,14.674876
"2015-01-21",15.28,15.57,15.15,15.41,101054200,14.819122
"2015-01-22",15.55,16.190001,15.43,16.09,183042100,15.473051
"2015-01-23",16.040001,16.190001,15.73,15.73,102459300,15.126853
"2015-01-26",15.72,15.93,15.7,15.85,69969300,15.242251
"2015-01-27",15.55,15.79,15.48,15.63,86184200,15.030689
"2015-01-28",15.72,15.73,15.18,15.2,105359800,14.617176
"2015-01-29",15.31,15.49,15.2,15.43,76095800,14.838358
"2015-01-30",15.23,15.47,15.15,15.15,99844600,14.569091
"2015-02-02",15.27,15.49,15.12,15.46,101586700,14.867206
"2015-02-03",15.62,15.93,15.61,15.89,104920300,15.280721
"2015-02-04",15.79,16,15.75,15.79,83848100,15.184553
"2015-02-05",15.98,16.09,15.9,15.97,92264700,15.357653
"2015-02-06",16.299999,16.75,16.219999,16.49,154352900,15.857716
"2015-02-09",16.35,16.5,16.25,16.35,95532900,15.723083
"2015-02-10",16.559999,16.620001,16.35,16.42,100322800,15.790398
"2015-02-11",16.33,16.450001,16.209999,16.360001,99924400,15.732697
"2015-02-12",16.41,16.73,16.370001,16.67,116394100,16.030811
"2015-02-13",16.73,16.790001,16.540001,16.610001,93632700,15.973111
"2015-02-17",16.52,16.68,16.370001,16.629999,93350600,15.992346
"2015-02-18",16.549999,16.559999,16.24,16.299999,80047600,15.674998
"2015-02-19",16.209999,16.379999,16.08,16.209999,83604300,15.588448
"2015-02-20",16.139999,16.43,16.01,16.379999,89763600,15.751932
"2015-02-23",16.32,16.32,16.1,16.200001,87623700,15.578835
"2015-02-24",16.27,16.549999,16.25,16.379999,73976900,15.751932
"2015-02-25",16.370001,16.5,16.32,16.49,57201000,15.857716
"2015-02-26",16.42,16.440001,15.9,16.040001,161100700,15.424968
"2015-02-27",15.78,15.88,15.62,15.81,130448200,15.203788
"2015-03-02",15.79,16.030001,15.72,16.01,71402400,15.396117
"2015-03-03",16.030001,16.15,15.96,16.040001,65689800,15.424968
"2015-03-04",15.96,15.98,15.76,15.84,77865500,15.280269
"2015-03-05",15.92,16.030001,15.75,16,69510000,15.434614
"2015-03-06",16,16.620001,16,16.219999,163207200,15.646836
"2015-03-09",16.309999,16.33,16.120001,16.17,72912700,15.598606
"2015-03-10",16.040001,16.129999,15.79,15.79,84841500,15.232034
"2015-03-11",15.92,16.16,15.87,16.110001,85910100,15.540729
"2015-03-12",16.049999,16.209999,15.9,16.09,126376300,15.521433
"2015-03-13",16.08,16.15,15.94,16.09,88581900,15.521433
