"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",40.75,40.779999,40.080002,40.459999,3891100,38.406971
"2015-01-05",40.220001,40.369999,39.279999,39.419998,4241900,37.419743
"2015-01-06",39.450001,39.470001,37.869999,38.279999,7633100,36.337589
"2015-01-07",38.689999,39.099998,38.439999,39.07,7113900,37.087505
"2015-01-08",39.450001,39.639999,39.400002,39.610001,4795300,37.600105
"2015-01-09",39.48,39.700001,38.939999,39.029999,3295700,37.049541
"2015-01-12",39.029999,39.099998,38.369999,38.470001,2584400,36.517956
"2015-01-13",38.700001,39.02,38.099998,38.400002,4868000,36.451504
"2015-01-14",37.73,37.919998,36.91,37.43,6390700,35.530727
"2015-01-15",37.57,37.630001,37.09,37.25,5076500,35.359859
"2015-01-16",37.139999,37.5,36.900002,37.459999,6479900,35.559196
"2015-01-20",37.68,37.900002,37.130001,37.240002,4903800,35.350368
"2015-01-21",37.389999,37.68,37.150002,37.549999,5584300,35.644634
"2015-01-22",37.790001,38.740002,37.509998,38.720001,6640300,36.755268
"2015-01-23",37.919998,37.93,36.849998,36.900002,7001100,35.027622
"2015-01-26",36.639999,37.490002,36.43,37.419998,8192400,35.521229
"2015-01-27",36.84,37.209999,36.619999,36.740002,5487300,34.875748
"2015-01-28",36.900002,37.02,35.630001,35.66,10502900,33.850536
"2015-01-29",35.759998,36.540001,35.75,36.439999,7654100,34.590958
"2015-01-30",35.939999,36.459999,35.849998,36,10535000,34.333458
"2015-02-02",36.119999,36.759998,36.029999,36.669998,8255800,34.972443
"2015-02-03",36.93,37.450001,36.900002,37.400002,8944700,35.668648
"2015-02-04",37.16,37.759998,37.080002,37.169998,5828000,35.449295
"2015-02-05",37.259998,38.07,37.259998,37.73,4753400,35.983372
"2015-02-06",38.330002,38.990002,38.23,38.470001,6758200,36.689117
"2015-02-09",38.16,38.759998,38.130001,38.48,6367800,36.698654
"2015-02-10",38.799999,39.139999,38.619999,39.080002,6726200,37.270878
"2015-02-11",39.040001,39.310001,38.810001,39.130001,3853400,37.318569
"2015-02-12",39.23,39.560001,39.200001,39.41,7692400,37.585606
"2015-02-13",39.400002,39.59,39.130001,39.200001,5453200,37.385323
"2015-02-17",38.990002,39.470001,38.950001,39.459999,4684300,37.633282
"2015-02-18",39.389999,39.490002,38.849998,38.990002,4897000,37.185047
"2015-02-19",38.880001,39.240002,38.740002,39.119999,3484900,37.309021
"2015-02-20",39,39.470001,38.66,39.439999,4245500,37.614208
"2015-02-23",39.209999,39.290001,38.93,39.169998,3584600,37.356709
"2015-02-24",39.09,39.98,39.049999,39.779999,6434400,37.938469
"2015-02-25",39.779999,40.029999,39.450001,39.860001,9407600,38.014771
"2015-02-26",39.790001,39.91,39.240002,39.439999,5559100,37.614208
"2015-02-27",39.259998,39.41,39.07,39.139999,5030100,37.328098
"2015-03-02",39.139999,39.66,39.099998,39.650002,5177300,37.814491
"2015-03-03",39.59,39.849998,39.459999,39.650002,6037500,37.814491
"2015-03-04",39.540001,39.630001,39.220001,39.439999,4402800,37.614208
