"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",28.186769,28.241245,27.867704,27.875486,3989400,25.658504
"2015-01-05",27.789883,28.023346,27.564203,27.571985,4202500,25.379141
"2015-01-06",27.680933,27.743191,27.167315,27.29961,4069300,25.128428
"2015-01-07",27.43969,27.976654,27.431906,27.945526,2431200,25.72298
"2015-01-08",28.093386,28.56031,28.054474,28.552528,3232700,26.281702
"2015-01-09",28.552528,28.59144,28.10895,28.202335,2213500,25.959362
"2015-01-12",27.945526,28.171206,27.712063,27.766537,2042800,25.558226
"2015-01-13",27.914396,28.155642,27.657587,27.875486,2388200,25.658504
"2015-01-14",27.688717,27.758755,27.424124,27.634241,2490400,25.436449
"2015-01-15",27.704281,28.5214,27.673151,28.280155,6039100,26.030994
"2015-01-16",28.233463,28.451363,28.03891,28.194553,3021100,25.952192
"2015-01-20",28.233463,28.334631,27.937744,28.225681,2417900,25.98085
"2015-01-21",28.178988,28.357977,27.992218,28.202335,2594600,25.959362
"2015-01-22",28.303501,28.933851,28.186769,28.926069,2878700,26.625534
"2015-01-23",28.77821,28.824903,28.575876,28.607004,1927900,26.331846
"2015-01-26",28.575876,28.762646,28.435797,28.747082,2496300,26.460783
"2015-01-27",28.459145,28.614786,28.350195,28.529182,1959300,26.260214
"2015-01-28",28.451363,28.677042,28.319067,28.428015,4099000,26.398418
"2015-01-29",28.342413,28.451363,28.085604,28.381323,3033600,26.355061
"2015-01-30",28.163424,28.256809,27.525291,27.571985,3135100,25.603506
"2015-02-02",27.564203,27.844358,27.214008,27.821012,2617800,25.834751
"2015-02-03",27.898832,28.124514,27.750973,28,2011500,26.000963
"2015-02-04",28,28.412451,27.96109,28.217899,2381200,26.203306
"2015-02-05",28.217899,28.381323,28.03891,28.365759,1774300,26.340609
"2015-02-06",28.326849,28.568094,28.10895,28.357977,1518600,26.333382
"2015-02-09",28.202335,28.404669,28.085604,28.140078,1449900,26.131041
"2015-02-10",28.210117,28.389105,28.023346,28.350195,2042400,26.326155
"2015-02-11",28.389105,28.544746,27.914396,28.14786,1980900,26.138262
"2015-02-12",28.023346,28.342413,27.984436,28.342413,1741600,26.31893
"2015-02-13",27.517509,27.548637,26.894941,27.105059,6902800,25.169916
"2015-02-17",26.941635,26.941635,26.178988,26.272373,7358700,24.396677
"2015-02-18",26.186769,26.373541,26.031128,26.124514,6939900,24.259377
"2015-02-19",26.202335,26.933851,26.163424,26.824903,4992500,24.909761
"2015-02-20",26.801556,26.918287,26.5214,26.863813,2769300,24.945892
"2015-02-23",26.894941,26.980545,26.754864,26.871595,1859700,24.953115
"2015-02-24",26.770428,27.073931,26.684824,27.011673,2820400,25.083199
"2015-02-25",27.035019,27.128405,26.879377,27.035019,2088100,25.104874
"2015-02-26",27.073931,27.151751,26.957199,26.980545,1611000,25.054289
"2015-02-27",26.996109,27.291828,26.972763,27.22179,2841400,25.278309
"2015-03-02",27.22179,27.338522,27.035019,27.315176,1633600,25.365028
"2015-03-03",27.252918,27.307392,26.980545,27.206226,2072000,25.263859
"2015-03-04",27.105059,27.688717,26.70039,26.863813,4227800,24.945892
"2015-03-05",26.964981,27.175097,26.7393,27.128405,1927700,25.191591
"2015-03-06",26.941635,26.941635,26.513618,26.661478,2578200,24.758003
"2015-03-09",26.715954,26.809338,26.583658,26.723736,1167200,24.815815
"2015-03-10",26.66926,26.723736,26.389105,26.389105,1740600,24.505077
"2015-03-11",26.350195,26.381323,26.031128,26.132296,1785700,24.2666
"2015-03-12",26.210117,26.622568,26.186769,26.59144,1649500,24.692968
"2015-03-13",26.505836,26.544746,26.186769,26.412451,1768600,24.526754
"2015-03-16",26.513618,26.801556,26.466927,26.793774,1741700,24.880852
"2015-03-17",26.692608,26.926069,26.59144,26.840467,1699500,24.924215
"2015-03-18",26.770428,26.996109,26.350195,26.887159,2894700,24.967569
"2015-03-19",26.856031,26.918287,26.692608,26.7393,1497100,24.830269
"2015-03-20",26.863813,27.40856,26.824903,27.206226,3134800,25.263859
"2015-03-23",27.175097,27.494164,27.143969,27.276264,1482200,25.328896
"2015-03-24",27.33074,27.377432,26.933851,26.949417,1504700,25.025385
"2015-03-25",27.175097,27.447472,27.058365,27.190662,4437500,25.249409
"2015-03-26",27.649805,27.665369,26.396887,27.042801,5306500,25.112101
"2015-03-27",27.120623,28.692608,27.050583,28.607004,6587100,26.564627
"2015-03-30",28.59144,28.77821,28.256809,28.715954,4046900,26.6658
"2015-03-31",28.677042,28.887159,28.412451,28.428015,3964800,26.398418
"2015-04-01",28.412451,28.7393,27.968872,28.684824,4478200,26.636892
"2015-04-02",28.785992,29.509727,28.63035,29.431906,5023400,27.330639
"2015-04-06",29.276264,29.89105,29.206226,29.603113,4106300,27.489622
"2015-04-07",29.618677,29.774319,29.470818,29.540855,3581500,27.431808
"2015-04-08",29.416342,29.634241,29.361868,29.509727,2233200,27.402905
"2015-04-09",29.509727,29.626459,29.252918,29.486382,3692000,27.381224
"2015-04-10",29.525291,29.634241,29.400778,29.455254,2040900,27.352318
"2015-04-13",29.361868,29.548637,29.237354,29.2607,1659900,27.171656
"2015-04-14",29.29961,29.564203,29.214008,29.40856,1845800,27.308964
"2015-04-15",29.431906,29.564203,29.167315,29.237354,2499400,27.149977
"2015-04-16",29.29961,29.307392,29.073931,29.089495,1828900,27.012671
"2015-04-17",28.972763,29.066149,28.762646,29.027237,2233200,26.954859
"2015-04-20",29.089495,29.525291,29.027237,29.29961,2331900,27.207788
"2015-04-21",29.29961,29.486382,29.182878,29.268482,2832500,27.178883
"2015-04-22",29.245136,29.361868,29.003891,29.198444,3075900,27.113844
"2015-04-23",29.105059,29.424124,29.105059,29.190662,1654900,27.106619
"2015-04-24",29.22179,29.385214,29.089495,29.198444,1703900,27.113844
"2015-04-27",29.190662,29.307392,28.949417,29.066149,1708100,26.990993
"2015-04-28",28.677042,28.871595,28.583658,28.785992,1547700,26.962749
"2015-04-29",28.747082,28.77821,28.264591,28.334631,2122100,26.539974
"2015-04-30",28.295719,28.303501,28,28.132296,2386500,26.350456
"2015-05-01",28.093386,28.466927,28.077822,28.451363,1746300,26.649311
"2015-05-04",28.466927,28.980545,28.373541,28.887159,2214100,27.057507
"2015-05-05",28.910505,28.933851,28.677042,28.801556,3597600,26.977324
"2015-05-06",28.926069,28.964981,28.544746,28.949417,3381400,27.115822
"2015-05-07",28.817122,29.229572,28.762646,29.073931,2280500,27.232452
"2015-05-08",29.245136,29.540855,29.167315,29.190662,1850400,27.341785
"2015-05-11",29.105059,29.2607,29.003891,29.081713,1818100,27.239735
"2015-05-12",28.988327,29.36965,28.887159,29.322958,1824100,27.465704
"2015-05-13",29.346304,29.509727,29.089495,29.151751,1398400,27.30534
"2015-05-14",29.33074,29.525291,29.252918,29.517509,1703700,27.647932
"2015-05-15",29.556419,29.976654,29.548637,29.953308,2704000,28.056128
"2015-05-18",29.85214,30.171206,29.735409,29.976654,2913000,28.077995
"2015-05-19",30.085604,30.085604,29.867704,29.984436,2438100,28.085285
"2015-05-20",29.976654,30.303501,29.836576,30.272373,3106300,28.354988
"2015-05-21",30.178988,30.334631,30.124514,30.256809,3065500,28.340406
"2015-05-22",30.171206,30.334631,30.077822,30.233463,2255700,28.318541
"2015-05-26",30.233463,30.381323,29.875486,29.914396,2564800,28.019684
"2015-05-27",30.031128,30.14786,29.883268,30.116732,1362400,28.2092
"2015-05-28",30.015564,30.163424,29.96109,30.116732,1961900,28.2092
"2015-05-29",30.046692,30.186769,29.89105,30.046692,2544100,28.143597
"2015-06-01",30.233463,30.256809,29.992218,30.249027,2206200,28.333117
"2015-06-02",30.210117,30.264591,29.354086,29.696499,3949600,27.815586
"2015-06-03",29.85214,30.077822,29.626459,29.828794,3859800,27.939501
"2015-06-04",29.680933,29.758755,29.447472,29.501945,1688500,27.633352
"2015-06-05",29.4786,29.494164,29.112841,29.120623,4287300,27.27618
"2015-06-08",29.112841,29.455254,28.988327,29.33074,2302700,27.472988
"2015-06-09",29.338522,29.704281,29.284046,29.540855,3352100,27.6698
"2015-06-10",29.587549,29.766537,29.43969,29.595331,6381500,27.720825
"2015-06-11",29.603113,30.054474,29.556419,29.727627,2618100,27.844738
"2015-06-12",29.525291,29.704281,29.447472,29.657587,2479800,27.779135
"2015-06-15",29.509727,29.704281,29.392996,29.603113,3407100,27.728111
"2015-06-16",29.673151,30.202335,29.43969,30.054474,5139500,28.150888
"2015-06-17",30.085604,30.287937,29.922178,30.194553,3021700,28.282095
"2015-06-18",30.272373,30.638132,30.233463,30.443581,4111600,28.515345
"2015-06-19",32.280155,33.945526,32.241245,33.750973,20338800,31.613253
"2015-06-22",34.108948,34.11673,33.416344,33.509727,6907400,31.387289
"2015-06-23",33.416344,33.852139,33.416344,33.766537,4482200,31.627832
"2015-06-24",33.657589,34.365757,33.634243,34.132298,5448500,31.97043
