"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",62.080002,62.200001,59.400002,60.400002,530800,60.400002
"2015-01-05",59.310001,59.889999,57.830002,58.16,1104700,58.16
"2015-01-06",58.369999,58.400002,56.200001,57.330002,874800,57.330002
"2015-01-07",57.919998,58.740002,57.349998,57.689999,527100,57.689999
"2015-01-08",58.43,60.720001,57.91,60.669998,824600,60.669998
"2015-01-09",60.52,62.5,60.52,62.060001,610400,62.060001
"2015-01-12",62.880001,63.950001,61.77,63.220001,738200,63.220001
"2015-01-13",63.950001,64.610001,61.389999,61.959999,688900,61.959999
"2015-01-14",61.139999,62.450001,60.41,60.93,492000,60.93
"2015-01-15",61.41,61.490002,59.02,59.099998,670500,59.099998
"2015-01-16",58.889999,60.830002,58.720001,60.740002,572100,60.740002
"2015-01-20",60.860001,62.689999,60.41,62.200001,605100,62.200001
"2015-01-21",61.810001,62.73,60.709999,61.43,513200,61.43
"2015-01-22",60.490002,60.91,57.799999,60.27,1315200,60.27
"2015-01-23",60.119999,60.700001,58.66,59.84,521600,59.84
"2015-01-26",60.43,61.27,59.66,60.75,657600,60.75
"2015-01-27",60.720001,61.650002,59.599998,61.009998,786800,61.009998
"2015-01-28",62,62.490002,59.299999,59.73,1298000,59.73
"2015-01-29",60.360001,62.5,56.98,62.450001,2780200,62.450001
"2015-01-30",61.470001,61.740002,58.52,58.810001,1218700,58.810001
"2015-02-02",57.200001,58.200001,55.549999,57.439999,1476000,57.439999
"2015-02-03",57.709999,58.209999,56.139999,57.869999,833400,57.869999
"2015-02-04",57.360001,58.23,57.150002,57.709999,579300,57.709999
"2015-02-05",57.860001,58.540001,57.049999,58.18,593100,58.18
"2015-02-06",58.099998,59.209999,57.299999,57.790001,461100,57.790001
"2015-02-09",57.57,58.040001,56.27,57.16,412200,57.16
"2015-02-10",57.82,61.43,57.82,61.23,812700,61.23
"2015-02-11",60.889999,61.619999,60.040001,61.040001,596000,61.040001
"2015-02-12",62.029999,63.619999,61.849998,63.41,700200,63.41
"2015-02-13",63.400002,63.779999,61.259998,62.860001,562400,62.860001
"2015-02-17",62.75,62.98,61.43,62.860001,430900,62.860001
"2015-02-18",62.73,67.559998,62.700001,66.800003,1674900,66.800003
"2015-02-19",67.050003,67.589996,65.93,66.010002,1157100,66.010002
"2015-02-20",65.940002,67.239998,65.540001,66.959999,488300,66.959999
"2015-02-23",67.760002,67.769997,66.739998,67.260002,464400,67.260002
"2015-02-24",67.059998,67.660004,66.18,67.209999,618500,67.209999
"2015-02-25",66.93,69.690002,65.940002,67.209999,473100,67.209999
"2015-02-26",67.489998,68.690002,67.129997,68.400002,836200,68.400002
"2015-02-27",68.370003,68.93,67.940002,68.489998,568800,68.489998
"2015-03-02",68.989998,71.879997,68.75,71.730003,927000,71.730003
"2015-03-03",71.720001,71.720001,70.199997,70.870003,772200,70.870003
"2015-03-04",70.339996,71.360001,70.150002,70.830002,534100,70.830002
"2015-03-05",71.190002,71.449997,69.860001,70.32,677500,70.32
"2015-03-06",69.540001,70.269997,68.720001,69.720001,555400,69.720001
"2015-03-09",70.150002,70.550003,68.690002,69.910004,411900,69.910004
"2015-03-10",69.150002,70.379997,68.519997,69.779999,835800,69.779999
"2015-03-11",70.129997,70.129997,68.709999,68.970001,620300,68.970001
"2015-03-12",68.199997,69.790001,67.870003,69.57,561800,69.57
"2015-03-13",69.879997,70.489998,68.760002,70.099998,370100,70.099998
"2015-03-16",70.43,71.32,69.93,71.029999,449400,71.029999
"2015-03-17",70.519997,70.529999,69.25,69.800003,508500,69.800003
"2015-03-18",69.739998,71.5,68.620003,70.739998,505100,70.739998
"2015-03-19",70.589996,73.089996,69.949997,72.480003,554100,72.480003
"2015-03-20",73.230003,73.980003,72.18,73.809998,814900,73.809998
"2015-03-23",73.830002,74.260002,72.800003,73.110001,591800,73.110001
"2015-03-24",73.080002,73.410004,72.160004,72.230003,330800,72.230003
"2015-03-25",72.150002,72.290001,67.480003,67.75,935600,67.75
"2015-03-26",66.529999,67.32,64.790001,66.860001,1242500,66.860001
"2015-03-27",66.849998,72.120003,66.779999,71.940002,1072800,71.940002
"2015-03-30",72.309998,72.970001,71.209999,72.75,633000,72.75
"2015-03-31",72.5,72.5,70.529999,70.82,368900,70.82
"2015-04-01",70.870003,70.900002,68.839996,69.360001,484200,69.360001
"2015-04-02",69.589996,70.419998,68.370003,68.910004,471600,68.910004
"2015-04-06",68.559998,70.32,68.059998,69.75,286800,69.75
"2015-04-07",69.870003,71.239998,69.160004,70.470001,342500,70.470001
"2015-04-08",70.300003,71.959999,70.300003,71.940002,448200,71.940002
"2015-04-09",71.720001,72.269997,70.900002,72.199997,466100,72.199997
"2015-04-10",72.440002,73.199997,71.529999,71.760002,302300,71.760002
"2015-04-13",71.760002,72.599998,71.019997,71.239998,342900,71.239998
"2015-04-14",71.379997,71.470001,70.029999,70.449997,303200,70.449997
"2015-04-15",71.059998,72.699997,70.889999,72.610001,340000,72.610001
"2015-04-16",73,73.75,71.68,72.260002,296400,72.260002
"2015-04-17",71.540001,71.540001,69.709999,70.379997,422000,70.379997
"2015-04-20",70.760002,72.620003,70.760002,72.529999,380000,72.529999
"2015-04-21",73.150002,73.800003,72.519997,72.769997,254600,72.769997
"2015-04-22",73.139999,73.720001,71.970001,73.160004,437500,73.160004
"2015-04-23",70.480003,70.68,69.230003,70.139999,1088700,70.139999
"2015-04-24",70.360001,70.360001,65.480003,65.629997,1131800,65.629997
"2015-04-27",65.720001,68.120003,65.150002,65.349998,1129800,65.349998
"2015-04-28",65.349998,66.199997,64.089996,66,808700,66
"2015-04-29",65.919998,67.309998,65.029999,66.589996,702100,66.589996
"2015-04-30",65.059998,67.879997,63.610001,64.790001,1704900,64.790001
"2015-05-01",62.939999,65.93,62.790001,65.519997,837700,65.519997
"2015-05-04",65.150002,65.849998,64.760002,65.839996,670400,65.839996
"2015-05-05",65.660004,65.839996,62.650002,63.549999,826800,63.549999
"2015-05-06",63.919998,64.449997,62.32,64.339996,515800,64.339996
"2015-05-07",64.529999,65.629997,63.959999,64.559998,450400,64.559998
"2015-05-08",65.32,65.809998,64.279999,64.779999,600700,64.779999
"2015-05-11",64.809998,65.339996,64.410004,64.529999,545700,64.529999
"2015-05-12",64.449997,64.970001,63.619999,64.669998,438200,64.669998
"2015-05-13",64.93,66.769997,64.559998,64.970001,535100,64.970001
"2015-05-14",65.629997,67.309998,65.160004,67.059998,505300,67.059998
"2015-05-15",67.139999,68.279999,66.660004,67.730003,558900,67.730003
"2015-05-18",67.760002,69.32,67.339996,69.230003,457100,69.230003
"2015-05-19",69.43,70.080002,68.690002,68.739998,432400,68.739998
"2015-05-20",68.900002,68.989998,67.839996,68.309998,398100,68.309998
"2015-05-21",68.139999,69.230003,67.620003,68.970001,421300,68.970001
"2015-05-22",68.779999,69.160004,68.18,68.489998,227200,68.489998
"2015-05-26",68.089996,68.480003,66.150002,67.379997,605900,67.379997
"2015-05-27",67.779999,70.989998,67.059998,70.599998,765700,70.599998
"2015-05-28",70.93,72.650002,70.75,71.160004,574000,71.160004
"2015-05-29",71.389999,71.449997,69.739998,70.370003,505000,70.370003
"2015-06-01",70.43,71.610001,70.089996,70.940002,562200,70.940002
"2015-06-02",70.529999,71.040001,69.839996,70.389999,581700,70.389999
"2015-06-03",70.959999,71.510002,70.089996,70.860001,382400,70.860001
"2015-06-04",71.790001,75.93,71.050003,73.419998,1945100,73.419998
"2015-06-05",73.449997,74.620003,71.809998,73.879997,867400,73.879997
"2015-06-08",74.519997,75.230003,72.559998,73.019997,536300,73.019997
"2015-06-09",73.309998,74,72.410004,73.860001,476800,73.860001
