Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,132.740005,132.740005,131.020004,131.710007,129.756332,1401100
2017-01-04,132.110001,132.330002,131.009995,131.520004,129.569153,1324400
2017-01-05,131.479996,131.889999,129.830002,130.630005,128.692337,1731400
2017-01-06,130.869995,131.979996,130.669998,131.330002,129.381958,1595500
2017-01-09,131.080002,131.539993,130.350006,130.509995,128.574127,1536900
2017-01-10,130.460007,131.270004,130.320007,130.460007,128.524872,1134900
2017-01-11,129.960007,130.440002,129.460007,130.360001,128.426361,1545000
2017-01-12,129.889999,130.210007,128.979996,129.789993,127.864792,1225700
2017-01-13,130.300003,130.75,129.970001,130.25,128.317993,1059700
2017-01-17,129.720001,131.449997,129.330002,130.990005,129.046997,1999500
2017-01-18,131.270004,132.059998,130.839996,131.970001,130.012466,1868100
2017-01-19,132.100006,132.399994,130.910004,131.270004,129.322861,1626900
2017-01-20,131.660004,132.479996,130.740005,131.410004,129.460785,1801700
2017-01-23,131.539993,131.639999,130.990005,131.429993,129.480469,1010600
2017-01-24,131.770004,132.820007,131.539993,131.970001,130.012466,1359800
2017-01-25,132.600006,133.339996,132.509995,133.070007,131.096161,1294200
2017-01-26,133.0,133.399994,132.369995,133.059998,131.086288,1045800
2017-01-27,133.190002,133.320007,132.339996,133.300003,131.322739,1105600
2017-01-30,133.259995,133.259995,131.199997,131.710007,129.756332,1497300
2017-01-31,131.149994,132.0,130.539993,131.490005,129.539581,1521400
2017-02-01,128.869995,129.690002,127.150002,128.479996,126.574226,3620600
2017-02-02,128.149994,130.970001,128.0,130.770004,128.830261,2037900
2017-02-03,132.0,132.259995,130.949997,131.279999,129.332687,1486600
2017-02-06,131.100006,132.25,130.919998,131.429993,129.480469,1056400
2017-02-07,131.990005,131.990005,130.360001,130.75,128.810562,1526400
2017-02-08,130.550003,131.190002,130.169998,130.830002,128.889374,983400
2017-02-09,130.830002,132.210007,130.679993,131.880005,129.923813,919900
2017-02-10,132.199997,133.210007,131.740005,132.759995,130.790741,867400
2017-02-13,132.949997,133.960007,132.25,133.809998,131.825165,1007500
2017-02-14,133.860001,134.160004,132.970001,133.990005,132.002502,1002200
2017-02-15,134.039993,134.550003,133.520004,134.460007,132.46553,936800
2017-02-16,134.300003,135.740005,134.100006,135.729996,133.71669,1421100
2017-02-17,135.350006,136.25,134.740005,136.190002,134.169861,1431500
2017-02-21,136.039993,136.869995,135.130005,136.729996,134.701859,1318700
2017-02-22,136.0,137.910004,135.490005,137.759995,135.716583,1244000
2017-02-23,138.0,139.300003,137.649994,139.009995,136.948029,984900
2017-02-24,138.479996,139.350006,137.740005,138.410004,136.356949,978200
2017-02-27,138.199997,138.649994,137.179993,137.610001,135.568802,897800
2017-02-28,136.869995,138.509995,136.690002,138.169998,136.120483,1463200
2017-03-01,139.110001,140.559998,138.050003,140.380005,138.297714,1602500
2017-03-02,139.669998,140.320007,138.389999,138.399994,136.347076,1161800
2017-03-03,138.350006,138.729996,137.639999,138.649994,136.593384,1240900
2017-03-06,137.919998,138.380005,137.559998,137.690002,135.647629,1204600
2017-03-07,137.300003,137.759995,136.940002,137.410004,135.37178,1133600
2017-03-08,137.899994,138.380005,136.789993,136.960007,134.928452,1133300
2017-03-09,137.210007,137.820007,136.960007,137.410004,135.37178,1051500
2017-03-10,137.800003,137.889999,137.119995,137.809998,135.765823,1074900
2017-03-13,137.699997,138.199997,137.130005,137.539993,135.499832,1285400
2017-03-14,137.289993,137.809998,136.979996,137.330002,135.292969,1016400
2017-03-15,137.929993,138.550003,137.279999,138.259995,136.209152,1422000
2017-03-16,138.350006,138.600006,137.279999,137.729996,135.687027,1214200
2017-03-17,137.800003,138.100006,137.149994,138.100006,136.051529,2874900
2017-03-20,137.860001,137.860001,137.089996,137.139999,135.105774,950800
2017-03-21,137.470001,137.889999,135.639999,136.080002,134.061493,1656900
2017-03-22,136.080002,137.070007,135.710007,136.649994,134.623047,1298200
2017-03-23,136.520004,137.960007,136.399994,136.660004,134.632904,1546500
2017-03-24,136.660004,136.929993,135.539993,136.059998,134.041794,942600
2017-03-27,135.0,136.690002,134.800003,136.660004,134.632904,1148200
2017-03-28,136.070007,138.330002,135.960007,138.0,135.953018,1466700
2017-03-29,136.869995,136.979996,136.240005,136.5,135.151031,1034300
2017-03-30,136.169998,137.300003,136.110001,137.050003,135.695587,726100
2017-03-31,137.050003,137.059998,136.220001,136.25,134.903503,1709100
2017-04-03,136.369995,136.630005,135.660004,136.270004,134.923309,1128500
2017-04-04,136.190002,137.440002,136.190002,137.339996,135.982727,955900
2017-04-05,137.660004,138.110001,136.679993,136.779999,135.428268,1157400
2017-04-06,137.179993,137.979996,136.399994,137.589996,136.23024,1437100
2017-04-07,136.940002,138.029999,136.940002,137.470001,136.111435,1010600
2017-04-10,137.470001,138.419998,136.660004,137.979996,136.616394,1004600
2017-04-11,137.399994,138.070007,137.110001,137.800003,136.438187,917100
2017-04-12,137.100006,137.240005,136.419998,137.020004,135.665894,1904400
2017-04-13,136.699997,137.160004,136.25,136.720001,135.368851,1124800
2017-04-17,137.059998,138.339996,136.75,138.190002,136.824341,1017100
2017-04-18,137.789993,138.380005,137.479996,137.5,136.141144,1206800
2017-04-19,138.380005,138.380005,136.559998,136.970001,135.616394,1463500
